"pli0083","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Urban Area","99","0.709698347582129","0.633967956640779","0.78542873852348"
"Daily","1990","Schleswig-Holstein","Rural Area","122","0.830792905467098","0.769975577285933","0.891610233648263"
"Daily","1990","Hamburg","Urban Area","136","0.791608833131274","0.730191858544271","0.853025807718278"
"Daily","1990","Hamburg","Rural Area","","","",""
"Daily","1990","Lower Saxony","Urban Area","416","0.802071026795036","0.768213644679421","0.835928408910652"
"Daily","1990","Lower Saxony","Rural Area","353","0.791349432128931","0.753595514967199","0.829103349290664"
"Daily","1990","Bremen","Urban Area","83","0.850571076572142","0.781043027539221","0.920099125605062"
"Daily","1990","Bremen","Rural Area","","","",""
"Daily","1990","North Rhine-Westphalia","Urban Area","2004","0.801663600883319","0.786011081638782","0.817316120127855"
"Daily","1990","North Rhine-Westphalia","Rural Area","61","0.856884940625445","0.77542898569779","0.9383408955531"
"Daily","1990","Hesse","Urban Area","648","0.796998143080445","0.76990963753872","0.82408664862217"
"Daily","1990","Hesse","Rural Area","103","0.78116964680264","0.711165760225176","0.851173533380105"
"Daily","1990","Rhineland-Palatinate,Saarland","Urban Area","444","0.791871560369889","0.758157304348225","0.825585816391553"
"Daily","1990","Rhineland-Palatinate,Saarland","Rural Area","95","0.854776579438098","0.789232836340706","0.92032032253549"
"Daily","1990","Baden-Württemberg","Urban Area","1236","0.786997037181764","0.766679776038859","0.80731429832467"
"Daily","1990","Baden-Württemberg","Rural Area","186","0.735601535379082","0.679335946642873","0.791867124115292"
"Daily","1990","Bavaria","Urban Area","608","0.73181996593975","0.701771645563662","0.761868286315838"
"Daily","1990","Bavaria","Rural Area","586","0.77819043075826","0.748787982709343","0.807592878807176"
"Daily","1990","Berlin","Urban Area","269","0.831958455167988","0.79161711945729","0.872299790878685"
"Daily","1990","Berlin","Rural Area","","","",""
"Daily","1990","Brandenburg","Urban Area","","","",""
"Daily","1990","Brandenburg","Rural Area","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Daily","1990","Saxony","Urban Area","","","",""
"Daily","1990","Saxony","Rural Area","","","",""
"Daily","1990","Saxony-Anhalt","Urban Area","","","",""
"Daily","1990","Saxony-Anhalt","Rural Area","","","",""
"Daily","1990","Thuringia","Urban Area","","","",""
"Daily","1990","Thuringia","Rural Area","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Urban Area","31","0.234725041253041","0.164012407835209","0.305437674670873"
