"pli0083","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1990","66 and older","(3a) lower tertiary education","2","","",""
"Min 1x per week","1990","66 and older","(3b) higher tertiary education","3","","",""
"Min 1x per month","1990","16-34 y.","(0) in school","4","","",""
"Min 1x per month","1990","16-34 y.","(1a) inadequately completed","3","","",""
"Min 1x per month","1990","16-34 y.","(1b) general elementary school","13","","",""
"Min 1x per month","1990","16-34 y.","(1c) basic vocational qualification","13","","",""
"Min 1x per month","1990","16-34 y.","(2b) intermediate general qualification","5","","",""
"Min 1x per month","1990","16-34 y.","(2a) intermediate vocational","13","","",""
"Min 1x per month","1990","16-34 y.","(2c_gen) general maturity certificate","4","","",""
"Min 1x per month","1990","16-34 y.","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per month","1990","16-34 y.","(3a) lower tertiary education","1","","",""
"Min 1x per month","1990","16-34 y.","(3b) higher tertiary education","7","","",""
"Min 1x per month","1990","35-65 y.","(0) in school","","","",""
"Min 1x per month","1990","35-65 y.","(1a) inadequately completed","6","","",""
"Min 1x per month","1990","35-65 y.","(1b) general elementary school","12","","",""
"Min 1x per month","1990","35-65 y.","(1c) basic vocational qualification","21","","",""
"Min 1x per month","1990","35-65 y.","(2b) intermediate general qualification","3","","",""
"Min 1x per month","1990","35-65 y.","(2a) intermediate vocational","15","","",""
"Min 1x per month","1990","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","35-65 y.","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per month","1990","35-65 y.","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","35-65 y.","(3b) higher tertiary education","7","","",""
"Min 1x per month","1990","66 and older","(0) in school","","","",""
"Min 1x per month","1990","66 and older","(1a) inadequately completed","","","",""
"Min 1x per month","1990","66 and older","(1b) general elementary school","3","","",""
"Min 1x per month","1990","66 and older","(1c) basic vocational qualification","6","","",""
"Min 1x per month","1990","66 and older","(2b) intermediate general qualification","1","","",""
"Min 1x per month","1990","66 and older","(2a) intermediate vocational","1","","",""
"Min 1x per month","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per month","1990","66 and older","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","66 and older","(3b) higher tertiary education","1","","",""
"Rarely","1990","16-34 y.","(0) in school","4","","",""
"Rarely","1990","16-34 y.","(1a) inadequately completed","4","","",""
"Rarely","1990","16-34 y.","(1b) general elementary school","21","","",""
"Rarely","1990","16-34 y.","(1c) basic vocational qualification","34","0.0437891263723742","0.0305737889800712","0.0570044637646772"
"Rarely","1990","16-34 y.","(2b) intermediate general qualification","15","","",""
"Rarely","1990","16-34 y.","(2a) intermediate vocational","15","","",""
"Rarely","1990","16-34 y.","(2c_gen) general maturity certificate","18","","",""
"Rarely","1990","16-34 y.","(2c_voc) vocational maturity certificate","12","","",""
"Rarely","1990","16-34 y.","(3a) lower tertiary education","5","","",""
"Rarely","1990","16-34 y.","(3b) higher tertiary education","13","","",""
"Rarely","1990","35-65 y.","(0) in school","","","",""
"Rarely","1990","35-65 y.","(1a) inadequately completed","11","","",""
"Rarely","1990","35-65 y.","(1b) general elementary school","34","0.0308739356456773","0.020637920696251","0.0411099505951037"
"Rarely","1990","35-65 y.","(1c) basic vocational qualification","51","0.0293341506016459","0.0217287173281925","0.0369395838750993"
"Rarely","1990","35-65 y.","(2b) intermediate general qualification","3","","",""
"Rarely","1990","35-65 y.","(2a) intermediate vocational","22","","",""
"Rarely","1990","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Rarely","1990","35-65 y.","(2c_voc) vocational maturity certificate","6","","",""
"Rarely","1990","35-65 y.","(3a) lower tertiary education","10","","",""
"Rarely","1990","35-65 y.","(3b) higher tertiary education","23","","",""
"Rarely","1990","66 and older","(0) in school","","","",""
"Rarely","1990","66 and older","(1a) inadequately completed","2","","",""
"Rarely","1990","66 and older","(1b) general elementary school","12","","",""
"Rarely","1990","66 and older","(1c) basic vocational qualification","5","","",""
"Rarely","1990","66 and older","(2b) intermediate general qualification","","","",""
