"pli0083","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","3318","0.740747611626357","0.72783139753964","0.753663825713075","1"
"Daily","1990","Part Time","1330","0.770140763454195","0.75026849007762","0.79001303683077","1"
"Daily","1990","Not Working","2801","0.850922217443184","0.83881977337264","0.863024661513729","1"
"Min 1x per month","1990","Part Time","28","","","","3"
"Min 1x per month","1990","Full Time","82","0.0213598724043473","0.0170984993186332","0.0256212454900613","3"
"Min 1x per month","1990","Not Working","46","0.0133260977810275","0.00942972941283013","0.0172224661492249","3"
"Min 1x per week","1990","Full Time","794","0.185569132572371","0.174110871760328","0.197027393384415","2"
"Min 1x per week","1990","Part Time","286","0.162161378109231","0.144751913368676","0.179570842849786","2"
"Min 1x per week","1990","Not Working","351","0.0936094055857651","0.0837115952055639","0.103507215965966","2"
"Never","1990","Full Time","51","0.00909920081668915","0.00630050669134146","0.0118978949420368","5"
"Never","1990","Not Working","34","0.0126548480680514","0.00885658835301766","0.0164531077830852","5"
"Never","1990","Part Time","14","","","","5"
"Rarely","1990","Full Time","177","0.0432241825802349","0.0372303140706898","0.04921805108978","4"
"Rarely","1990","Not Working","95","0.0294874311219717","0.0237391136926263","0.0352357485513171","4"
"Rarely","1990","Part Time","64","0.0358757041661972","0.0270915844075978","0.0446598239247966","4"
"Daily","1991","Full Time","","","","","1"
"Daily","1991","Part Time","","","","","1"
"Daily","1991","Not Working","","","","","1"
"Min 1x per month","1991","Full Time","","","","","3"
"Min 1x per month","1991","Part Time","","","","","3"
"Min 1x per month","1991","Not Working","","","","","3"
"Min 1x per week","1991","Full Time","","","","","2"
"Min 1x per week","1991","Part Time","","","","","2"
"Min 1x per week","1991","Not Working","","","","","2"
"Never","1991","Full Time","","","","","5"
"Never","1991","Part Time","","","","","5"
"Never","1991","Not Working","","","","","5"
"Rarely","1991","Full Time","","","","","4"
"Rarely","1991","Part Time","","","","","4"
"Rarely","1991","Not Working","","","","","4"
"Daily","1992","Full Time","","","","","1"
"Daily","1992","Part Time","","","","","1"
"Daily","1992","Not Working","","","","","1"
"Min 1x per month","1992","Full Time","","","","","3"
"Min 1x per month","1992","Part Time","","","","","3"
"Min 1x per month","1992","Not Working","","","","","3"
"Min 1x per week","1992","Full Time","","","","","2"
"Min 1x per week","1992","Part Time","","","","","2"
"Min 1x per week","1992","Not Working","","","","","2"
"Never","1992","Full Time","","","","","5"
"Never","1992","Part Time","","","","","5"
"Never","1992","Not Working","","","","","5"
"Rarely","1992","Full Time","","","","","4"
"Rarely","1992","Not Working","","","","","4"
"Rarely","1992","Part Time","","","","","4"
"Daily","1993","Full Time","","","","","1"
"Daily","1993","Part Time","","","","","1"
"Daily","1993","Not Working","","","","","1"
"Min 1x per month","1993","Full Time","","","","","3"
"Min 1x per month","1993","Part Time","","","","","3"
"Min 1x per month","1993","Not Working","","","","","3"
"Min 1x per week","1993","Part Time","","","","","2"
"Min 1x per week","1993","Full Time","","","","","2"
"Min 1x per week","1993","Not Working","","","","","2"
"Never","1993","Full Time","","","","","5"
"Never","1993","Part Time","","","","","5"
"Never","1993","Not Working","","","","","5"
"Rarely","1993","Full Time","","","","","4"
"Rarely","1993","Part Time","","","","","4"
"Rarely","1993","Not Working","","","","","4"
"Daily","1994","Full Time","","","","","1"
"Daily","1994","Part Time","","","","","1"
"Daily","1994","Not Working","","","","","1"
"Min 1x per month","1994","Full Time","","","","","3"
"Min 1x per month","1994","Part Time","","","","","3"
"Min 1x per month","1994","Not Working","","","","","3"
"Min 1x per week","1994","Full Time","","","","","2"
"Min 1x per week","1994","Part Time","","","","","2"
"Min 1x per week","1994","Not Working","","","","","2"
"Never","1994","Full Time","","","","","5"
"Never","1994","Part Time","","","","","5"
"Never","1994","Not Working","","","","","5"
"Rarely","1994","Part Time","","","","","4"
"Rarely","1994","Full Time","","","","","4"
"Rarely","1994","Not Working","","","","","4"
"Daily","1995","Full Time","4818","0.797539134359149","0.787282239597042","0.807796029121257","1"
"Daily","1995","Part Time","2137","0.804455004158713","0.789197974903655","0.819712033413771","1"
