"pli0083","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","Not Employed","682","0.714087925047578","0.684746513974009","0.743429336121147","1"
"Daily","1990","16-34 y.","Employed","1988","0.714411048450776","0.697457902368982","0.73136419453257","1"
"Daily","1990","35-65 y.","Not Employed","1205","0.864422418072664","0.84650270560624","0.882342130539088","1"
"Daily","1990","35-65 y.","Employed","2629","0.775653555615522","0.761577886756737","0.789729224474307","1"
"Daily","1990","66 and older","Not Employed","914","0.898939702133625","0.880387960756266","0.917491443510985","1"
"Daily","1990","66 and older","Employed","31","0.681712151201999","0.542484848238416","0.820939454165581","1"
"Min 1x per month","1990","16-34 y.","Employed","61","0.0268275849981752","0.0207631379704153","0.0328920320259351","3"
"Min 1x per month","1990","16-34 y.","Not Employed","13","","","","3"
"Min 1x per month","1990","35-65 y.","Not Employed","21","","","","3"
"Min 1x per month","1990","35-65 y.","Employed","48","0.0183289986179342","0.0138028594620854","0.022855137773783","3"
"Min 1x per month","1990","66 and older","Not Employed","12","","","","3"
"Min 1x per month","1990","66 and older","Employed","1","","","","3"
"Min 1x per week","1990","16-34 y.","Employed","552","0.21546481566233","0.200033607998049","0.230896023326612","2"
"Min 1x per week","1990","16-34 y.","Not Employed","166","0.199936807520745","0.173965284122077","0.225908330919412","2"
"Min 1x per week","1990","35-65 y.","Not Employed","131","0.0876535039543762","0.0728508826306704","0.102456125278082","2"
"Min 1x per week","1990","35-65 y.","Employed","520","0.152286589136996","0.140163008411493","0.164410169862499","2"
"Min 1x per week","1990","66 and older","Not Employed","54","0.0523639559838059","0.0386530509236596","0.0660748610439522","2"
"Min 1x per week","1990","66 and older","Employed","8","","","","2"
"Never","1990","16-34 y.","Not Employed","9","","","","5"
"Never","1990","16-34 y.","Employed","21","","","","5"
"Never","1990","35-65 y.","Not Employed","13","","","","5"
"Never","1990","35-65 y.","Employed","42","0.00994599155741428","0.00659765551118104","0.0132943276036475","5"
"Never","1990","66 and older","Not Employed","12","","","","5"
"Never","1990","66 and older","Employed","2","","","","5"
"Rarely","1990","16-34 y.","Employed","105","0.037960272202106","0.0307878361573421","0.0451327082468699","4"
"Rarely","1990","35-65 y.","Not Employed","32","0.0242753544299865","0.0162193348816492","0.0323313739783237","4"
"Rarely","1990","16-34 y.","Not Employed","41","0.0562794594250199","0.0413141546768963","0.0712447641731435","4"
"Rarely","1990","66 and older","Not Employed","22","","","","4"
"Rarely","1990","35-65 y.","Employed","135","0.0437848650721335","0.0368806332296812","0.0506890969145858","4"
"Rarely","1990","66 and older","Employed","1","","","","4"
"Daily","1991","16-34 y.","Not Employed","","","","","1"
"Daily","1991","16-34 y.","Employed","","","","","1"
"Daily","1991","35-65 y.","Not Employed","","","","","1"
"Daily","1991","35-65 y.","Employed","","","","","1"
"Daily","1991","66 and older","Not Employed","","","","","1"
"Daily","1991","66 and older","Employed","","","","","1"
"Min 1x per month","1991","16-34 y.","Employed","","","","","3"
"Min 1x per month","1991","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1991","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1991","35-65 y.","Employed","","","","","3"
"Min 1x per month","1991","66 and older","Not Employed","","","","","3"
"Min 1x per month","1991","66 and older","Employed","","","","","3"
"Min 1x per week","1991","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1991","16-34 y.","Employed","","","","","2"
"Min 1x per week","1991","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1991","35-65 y.","Employed","","","","","2"
"Min 1x per week","1991","66 and older","Not Employed","","","","","2"
"Min 1x per week","1991","66 and older","Employed","","","","","2"
"Never","1991","16-34 y.","Not Employed","","","","","5"
"Never","1991","16-34 y.","Employed","","","","","5"
"Never","1991","35-65 y.","Not Employed","","","","","5"
"Never","1991","35-65 y.","Employed","","","","","5"
"Never","1991","66 and older","Not Employed","","","","","5"
"Never","1991","66 and older","Employed","","","","","5"
"Rarely","1991","16-34 y.","Employed","","","","","4"
"Rarely","1991","16-34 y.","Not Employed","","","","","4"
"Rarely","1991","35-65 y.","Not Employed","","","","","4"
"Rarely","1991","35-65 y.","Employed","","","","","4"
"Rarely","1991","66 and older","Not Employed","","","","","4"
"Rarely","1991","66 and older","Employed","","","","","4"
"Daily","1992","16-34 y.","Not Employed","","","","","1"
"Daily","1992","16-34 y.","Employed","","","","","1"
"Daily","1992","35-65 y.","Not Employed","","","","","1"
"Daily","1992","35-65 y.","Employed","","","","","1"
"Daily","1992","66 and older","Not Employed","","","","","1"
"Daily","1992","66 and older","Employed","","","","","1"
"Min 1x per month","1992","16-34 y.","Employed","","","","","3"
"Min 1x per month","1992","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1992","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1992","35-65 y.","Employed","","","","","3"
"Min 1x per month","1992","66 and older","Not Employed","","","","","3"
"Min 1x per month","1992","66 and older","Employed","","","","","3"
"Min 1x per week","1992","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1992","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1992","16-34 y.","Employed","","","","","2"
"Min 1x per week","1992","66 and older","Not Employed","","","","","2"
"Min 1x per week","1992","35-65 y.","Employed","","","","","2"
"Min 1x per week","1992","66 and older","Employed","","","","","2"
"Never","1992","16-34 y.","Not Employed","","","","","5"
"Never","1992","16-34 y.","Employed","","","","","5"
"Never","1992","35-65 y.","Not Employed","","","","","5"
"Never","1992","35-65 y.","Employed","","","","","5"
"Never","1992","66 and older","Not Employed","","","","","5"
"Never","1992","66 and older","Employed","","","","","5"
"Rarely","1992","16-34 y.","Not Employed","","","","","4"
"Rarely","1992","16-34 y.","Employed","","","","","4"
"Rarely","1992","35-65 y.","Not Employed","","","","","4"
"Rarely","1992","35-65 y.","Employed","","","","","4"
"Rarely","1992","66 and older","Not Employed","","","","","4"
"Rarely","1992","66 and older","Employed","","","","","4"
"Daily","1993","16-34 y.","Not Employed","","","","","1"
"Daily","1993","16-34 y.","Employed","","","","","1"
"Daily","1993","35-65 y.","Not Employed","","","","","1"
"Daily","1993","35-65 y.","Employed","","","","","1"
"Daily","1993","66 and older","Not Employed","","","","","1"
"Daily","1993","66 and older","Employed","","","","","1"
"Min 1x per month","1993","16-34 y.","Not Employed","","","","","3"
