"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","college entrance qualification","7.06","7","5143","6","6","8","8","10","7.03","7.09","2","18","7","7"
"2008","lower secondary degree","7.08","7","6478","5","6","8","9","10","7.05","7.11","1","15","7","7"
"2008","no degree/no degree yet","7.18","7","549","6","6","8","8","10","7.08","7.28","2","12","7","7"
"2008","Other degree","7.03","7","947","5","6","8","8","10","6.95","7.11","2","12","7","7"
"2008","secondary school degree","7.01","7","5749","6","6","8","8","10","6.98","7.04","2","14","7","7"
"2009","college entrance qualification","7.04","7","4898","6","6","8","8","10","7.01","7.07","2","16","7","7"
"2009","lower secondary degree","7.04","7","5932","5","6","8","8","10","7.01","7.07","1","14","7","7"
"2009","no degree/no degree yet","7.1","7","488","6","6","8","8","10","7","7.2","3","12","7","7"
"2009","Other degree","7.09","7","810","6","6","8","8","10","7","7.18","1","16","7","7"
"2009","secondary school degree","6.93","7","5414","6","6","8","8","10","6.9","6.96","2","12","7","7"
"2010","college entrance qualification","6.99","7","6807","6","6","8","8","10","6.97","7.01","2","14","7","7"
"2010","lower secondary degree","6.99","7","6849","5","6","8","8","10","6.96","7.02","1","15","7","7"
"2010","no degree/no degree yet","7.03","7","777","5","6","8","9","10","6.94","7.12","1","12","7","7"
"2010","Other degree","6.96","7","1586","5","6","8","8","10","6.9","7.02","2","13","7","7"
"2010","secondary school degree","6.92","7","7460","6","6","8","8","10","6.89","6.95","2","13","7","7"
"2011","college entrance qualification","7.01","7","7959","6","6","8","8","10","6.99","7.03","2","12","7","7"
"2011","lower secondary degree","6.94","7","8157","5","6","8","8","10","6.91","6.97","1","15","7","7"
"2011","no degree/no degree yet","6.91","7","907","5","6","8","8","10","6.83","6.99","2","12","7","7"
"2011","Other degree","6.94","7","1879","5","6","8","8","10","6.88","7","1","12","7","7"
"2011","secondary school degree","6.88","7","8693","5","6","8","8","10","6.86","6.9","1","15","7","7"
"2012","college entrance qualification","6.98","7","7834","6","6","8","8","9","6.96","7","1","13","7","7"
"2012","lower secondary degree","6.97","7","7922","5","6","8","8","10","6.94","7","1","16","7","7"
"2012","no degree/no degree yet","6.87","7","901","5","6","8","8","10","6.78","6.96","2","14","7","7"
"2012","Other degree","6.92","7","1857","5","6","8","8","10","6.86","6.98","2","15","7","7"
"2012","secondary school degree","6.88","7","8456","5","6","8","8","10","6.85","6.91","1","12","7","7"
"2013","college entrance qualification","6.99","7","7443","6","6","8","8","9","6.97","7.01","2","12","7","7"
"2013","lower secondary degree","6.9","7","7167","5","6","8","8","10","6.87","6.93","1","14","7","7"
"2013","no degree/no degree yet","6.9","7","833","5","6","8","8","10","6.81","6.99","2","12","7","7"
"2013","Other degree","6.87","7","1630","5","6","8","8","10","6.81","6.93","2","12","7","7"
"2013","secondary school degree","6.82","7","7917","5","6","8","8","10","6.79","6.85","1","13","7","7"
"2014","college entrance qualification","","","","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","","","","",""
"2015","college entrance qualification","6.96","7","7109","6","6","8","8","10","6.94","6.98","1","12","7","7"
"2015","lower secondary degree","6.89","7","6317","5","6","8","8","10","6.86","6.92","0","16","7","7"
"2015","no degree/no degree yet","6.76","7","821","5","6","8","8","10","6.66","6.86","1","17","7","7"
"2015","Other degree","6.86","7","2778","5","6","8","8","10","6.81","6.91","0","12","7","7"
"2015","secondary school degree","6.84","7","7123","6","6","8","8","10","6.81","6.87","0","15","7","7"
"2016","college entrance qualification","","","","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","","","","",""
"2017","college entrance qualification","6.89","7","7931","6","6","8","8","10","6.87","6.91","1","14","7","7"
"2017","lower secondary degree","6.84","7","6075","5","6","8","8","10","6.8","6.88","1","16","7","7"
"2017","no degree/no degree yet","6.88","7","943","5","6","8","8","10","6.79","6.97","2","12","7","7"
"2017","Other degree","6.79","7","3134","5","6","8","8","10","6.75","6.83","1","12","7","7"
"2017","secondary school degree","6.79","7","7599","5","6","8","8","10","6.76","6.82","2","13","7","7"
"2018","college entrance qualification","","","","","","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","","","","","","",""
"2018","Other degree","","","","","","","","","","","","","",""
"2018","secondary school degree","","","","","","","","","","","","","",""
"2019","college entrance qualification","6.89","7","8549","6","6","8","8","10","6.87","6.91","1","16","7","7"
"2019","lower secondary degree","6.73","7","5317","5","6","8","8","10","6.69","6.77","2","14","7","7"
"2019","no degree/no degree yet","6.73","7","781","5","6","8","8","10","6.64","6.82","2","13","7","7"
"2019","Other degree","6.78","7","2560","5","6","8","8","10","6.73","6.83","1","15","7","7"
"2019","secondary school degree","6.73","7","7435","5","6","8","8","10","6.7","6.76","1","16","7","7"
