"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Full Time","college entrance qualification","6.86","7","2479","6","6","7","8","9","6.82","6.9","3","12","7","7"
"2008","Full Time","lower secondary degree","6.77","7","1768","5","6","7","8","9","6.72","6.82","1","12","7","7"
"2008","Full Time","no degree/no degree yet","6.67","6.43","39","5","6","7","8","10","6.2","7.14","4","10","6","7"
"2008","Full Time","Other degree","6.74","7","299","5","6","7","8","10","6.61","6.87","3","11","7","7"
"2008","Full Time","secondary school degree","6.85","7","2713","6","6","8","8","9","6.81","6.89","2","11","7","7"
"2008","Not Working","college entrance qualification","7.42","8","1348","6","7","8","9","10","7.36","7.48","3","18","7","8"
"2008","Not Working","lower secondary degree","7.26","7","3564","5","6","8","9","10","7.21","7.31","2","15","7","8"
"2008","Not Working","no degree/no degree yet","7.27","7","409","6","7","8","8","10","7.15","7.39","2","12","7","8"
"2008","Not Working","Other degree","7.13","7","415","5","6","8","9","10","6.98","7.28","2","12","7","7"
"2008","Not Working","secondary school degree","7.2","7","1562","6","6","8","9","10","7.14","7.26","2","14","7","7"
"2008","Part Time","college entrance qualification","7.09","7","1316","6","6","8","8","10","7.04","7.14","2","13","7","7"
"2008","Part Time","lower secondary degree","7.04","7","1146","6","6","8","8","10","6.97","7.11","3","12","7","7"
"2008","Part Time","no degree/no degree yet","7.12","7","101","6","6","8","8","10","6.91","7.33","4","10","7","8"
"2008","Part Time","Other degree","7.22","7","233","6","7","8","8","9","7.08","7.36","3","12","7","7"
"2008","Part Time","secondary school degree","7.08","7","1474","6","6","8","8","10","7.03","7.13","3","12","7","7"
"2009","Full Time","college entrance qualification","6.87","7","2366","6","6","7","8","9","6.84","6.9","2","11","7","7"
"2009","Full Time","lower secondary degree","6.84","7","1586","6","6","7","8","10","6.79","6.89","3","10","7","7"
"2009","Full Time","no degree/no degree yet","6.86","7","36","5","6","8","8","9","6.45","7.27","3","9","6","7"
"2009","Full Time","Other degree","6.83","7","250","6","6","8","8","9","6.69","6.97","4","12","7","7"
"2009","Full Time","secondary school degree","6.8","7","2581","6","6","7","8","9","6.76","6.84","2","12","7","7"
"2009","Not Working","college entrance qualification","7.29","7","1260","6","7","8","8","10","7.23","7.35","3","14","7","7"
"2009","Not Working","lower secondary degree","7.16","7","3269","5","6","8","9","10","7.11","7.21","1","14","7","7"
"2009","Not Working","no degree/no degree yet","7.12","7","357","6","6","8","8","10","7","7.24","3","12","7","7"
"2009","Not Working","Other degree","7.09","7","347","5","6","8","9","10","6.92","7.26","1","16","7","7"
"2009","Not Working","secondary school degree","7.13","7","1429","6","6","8","8","10","7.06","7.2","2","12","7","7"
"2009","Part Time","college entrance qualification","7.13","7","1272","6","7","8","8","10","7.08","7.18","2","16","7","7"
"2009","Part Time","lower secondary degree","7.03","7","1077","6","6","8","8","10","6.96","7.1","2","12","7","7"
"2009","Part Time","no degree/no degree yet","7.2","7","95","6","7","8","8","10","6.98","7.42","5","12","7","8"
"2009","Part Time","Other degree","7.36","7","213","6","7","8","8","12","7.21","7.51","3","12","7","7"
"2009","Part Time","secondary school degree","6.96","7","1404","6","6","8","8","10","6.91","7.01","2","12","7","7"
"2010","Full Time","college entrance qualification","6.84","7","3235","6","6","7","8","9","6.81","6.87","3","11","7","7"
"2010","Full Time","lower secondary degree","6.81","7","1991","6","6","7","8","10","6.76","6.86","3","12","7","7"
"2010","Full Time","no degree/no degree yet","6.15","6","71","4","6","7","8","9","5.86","6.44","3","9","6","7"
"2010","Full Time","Other degree","6.82","7","485","5","6","8","8","10","6.72","6.92","3","10","7","7"
"2010","Full Time","secondary school degree","6.79","7","3256","6","6","7","8","9","6.76","6.82","2","11","7","7"
"2010","Not Working","college entrance qualification","7.23","7","1614","6","6","8","8","10","7.17","7.29","2","14","7","7"
"2010","Not Working","lower secondary degree","7.12","7","3467","5","6","8","9","10","7.07","7.17","1","15","7","7"
"2010","Not Working","no degree/no degree yet","7.11","7","559","5","6","8","9","12","7","7.22","1","12","7","7"
"2010","Not Working","Other degree","6.99","7","662","5","6","8","9","11","6.88","7.1","2","13","7","7"
"2010","Not Working","secondary school degree","7.12","7","1950","6","6","8","9","10","7.06","7.18","2","13","7","7"
"2010","Part Time","college entrance qualification","7.05","7","1958","6","6","8","8","9","7.01","7.09","3","10","7","7"
"2010","Part Time","lower secondary degree","6.9","7","1391","5","6","8","8","10","6.84","6.96","2","12","7","7"
"2010","Part Time","no degree/no degree yet","7.18","7","147","6","7","8","9","9","6.99","7.37","4","10","7","7"
"2010","Part Time","Other degree","7.05","7","439","6","6","8","8","9","6.94","7.16","2","10","7","7"
"2010","Part Time","secondary school degree","6.94","7","2254","6","6","8","8","9","6.9","6.98","2","11","7","7"
"2011","Full Time","college entrance qualification","6.87","7","3666","6","6","7","8","9","6.84","6.9","3","12","7","7"
"2011","Full Time","lower secondary degree","6.71","7","2256","5","6","7","8","9","6.67","6.75","3","10","7","7"
"2011","Full Time","no degree/no degree yet","6.6","7","94","5","6","7","8","10","6.35","6.85","3","10","6","7"
"2011","Full Time","Other degree","6.82","7","586","6","6","8","8","10","6.74","6.9","4","10","7","7"
"2011","Full Time","secondary school degree","6.74","7","3685","6","6","7","8","9","6.71","6.77","1","10","7","7"
"2011","Not Working","college entrance qualification","7.2","7","1922","6","7","8","8","10","7.15","7.25","2","12","7","7"
"2011","Not Working","lower secondary degree","7.04","7","4251","5","6","8","9","10","7","7.08","1","15","7","7"
"2011","Not Working","no degree/no degree yet","6.98","7","632","5","6","8","8","10","6.88","7.08","2","12","7","7"
"2011","Not Working","Other degree","6.96","7","774","5","6","8","8","10","6.86","7.06","1","12","7","7"
"2011","Not Working","secondary school degree","7.04","7","2285","5","6","8","8","11","6.98","7.1","2","15","7","7"
