"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","7.06","7","19368","6","6","8","8","10","7.04","7.08","1","18","7","7"
"2009","7.02","7","18046","6","6","8","8","10","7","7.04","1","16","7","7"
"2010","6.97","7","23998","6","6","8","8","10","6.96","6.98","1","15","7","7"
"2011","6.94","7","28440","6","6","8","8","10","6.93","6.95","1","15","7","7"
"2012","6.95","7","27663","6","6","8","8","10","6.94","6.96","1","16","7","7"
"2013","6.91","7","25731","5","6","8","8","10","6.9","6.92","1","14","7","7"
"2014","","","","","","","","","","","","","",""
"2015","6.9","7","25085","5","6","8","8","10","6.89","6.91","0","17","7","7"
"2016","","","","","","","","","","","","","",""
"2017","6.84","7","26657","5","6","8","8","10","6.83","6.85","1","16","7","7"
"2018","","","","","","","","","","","","","",""
"2019","6.79","7","25824","5","6","8","8","10","6.78","6.8","1","16","7","7"
