"plb0037_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","West Germany","688","0.124579429753273","0.116053233514002","0.133105625992544","2"
"Limited","1985","East Germany","","","","","2"
"Permanent","1985","West Germany","5075","0.875420570246727","0.866894374007456","0.883946766485997","1"
"Permanent","1985","East Germany","","","","","1"
"Limited","1986","West Germany","218","0.262998213501214","0.233260832662676","0.292735594339753","2"
"Limited","1986","East Germany","","","","","2"
"Permanent","1986","West Germany","624","0.737001786498786","0.707264405660247","0.766739167337324","1"
"Permanent","1986","East Germany","","","","","1"
"Limited","1987","West Germany","337","0.277684827798996","0.251687116919152","0.303682538678839","2"
"Limited","1987","East Germany","","","","","2"
"Permanent","1987","West Germany","803","0.722315172201004","0.696317461321161","0.748312883080848","1"
"Permanent","1987","East Germany","","","","","1"
"Limited","1988","West Germany","653","0.115638478146003","0.107042785783557","0.124234170508449","2"
"Limited","1988","East Germany","","","","","2"
"Permanent","1988","West Germany","4664","0.884361521853997","0.875765829491551","0.892957214216443","1"
"Permanent","1988","East Germany","","","","","1"
"Limited","1989","West Germany","253","0.248645864645434","0.220360301454646","0.276931427836223","2"
"Limited","1989","East Germany","","","","","2"
"Permanent","1989","West Germany","644","0.751354135354566","0.723068572163777","0.779639698545354","1"
"Permanent","1989","East Germany","","","","","1"
"Limited","1990","West Germany","228","0.225332826434055","0.198567042034391","0.252098610833719","2"
"Limited","1990","East Germany","","","","","2"
"Permanent","1990","West Germany","708","0.774667173565945","0.747901389166282","0.801432957965609","1"
"Permanent","1990","East Germany","","","","","1"
"Limited","1991","West Germany","226","0.228988439808862","0.202325309967258","0.255651569650466","2"
"Limited","1991","East Germany","162","0.233713710949544","0.202585329496417","0.264842092402671","2"
"Permanent","1991","West Germany","728","0.771011560191138","0.744348430349534","0.797674690032742","1"
"Permanent","1991","East Germany","548","0.766286289050456","0.735157907597329","0.797414670503583","1"
"Limited","1992","West Germany","184","0.219834657030681","0.192363156855107","0.247306157206256","2"
"Limited","1992","East Germany","211","0.292951348317406","0.259981651741049","0.325921044893764","2"
"Permanent","1992","West Germany","689","0.780165342969318","0.752693842793744","0.807636843144893","1"
"Permanent","1992","East Germany","521","0.707048651682594","0.674078955106236","0.740018348258951","1"
"Limited","1993","West Germany","187","0.235748779813927","0.206678518389584","0.264819041238271","2"
"Limited","1993","East Germany","132","0.225831159241482","0.191013226310681","0.260649092172284","2"
"Permanent","1993","West Germany","632","0.764251220186073","0.73518095876173","0.793321481610416","1"
"Permanent","1993","East Germany","422","0.774168840758518","0.739350907827716","0.808986773689319","1"
"Limited","1994","West Germany","248","0.305658219686207","0.273674894092426","0.337641545279987","2"
"Limited","1994","East Germany","165","0.339025472601752","0.295336850609133","0.382714094594371","2"
"Permanent","1994","West Germany","549","0.694341780313793","0.662358454720013","0.726325105907574","1"
"Permanent","1994","East Germany","286","0.660974527398248","0.617285905405629","0.704663149390867","1"
"Limited","1995","West Germany","585","0.110498029299389","0.101954691560765","0.119041367038013","2"
"Limited","1995","East Germany","347","0.176188743529162","0.159631975775503","0.192745511282821","2"
"Permanent","1995","West Germany","4588","0.889501970700611","0.880958632961987","0.898045308439235","1"
"Permanent","1995","East Germany","1687","0.823811256470838","0.807254488717179","0.840368024224497","1"
"Limited","1996","West Germany","542","0.109012851458625","0.100390731458199","0.117634971459052","2"
"Limited","1996","East Germany","325","0.159513387895409","0.14335684202474","0.175669933766078","2"
"Permanent","1996","West Germany","4477","0.890987148541375","0.882365028540948","0.899609268541801","1"
"Permanent","1996","East Germany","1648","0.840486612104591","0.824330066233922","0.85664315797526","1"
"Limited","1997","West Germany","628","0.127347574481286","0.117986828932166","0.136708320030405","2"
"Limited","1997","East Germany","335","0.168119180022963","0.151285924663382","0.184952435382544","2"
"Permanent","1997","West Germany","4244","0.872652425518715","0.863291679969595","0.882013171067834","1"
"Permanent","1997","East Germany","1561","0.831880819977037","0.815047564617456","0.848714075336618","1"
"Limited","1998","West Germany","680","0.121443632709183","0.112759618868696","0.13012764654967","2"
"Limited","1998","East Germany","353","0.180037755142316","0.163139681774086","0.196935828510545","2"
