"plb0037_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","1-pers.-HH","in school","","","",""
"Permanent","1985","1-pers.-HH","inadequately","37","1","1","1"
"Permanent","1985","1-pers.-HH","general elemantary","79","0.85409221046928","0.780336037441787","0.927848383496773"
"Permanent","1985","1-pers.-HH","middle vocational","229","0.894523431659509","0.857042351824711","0.932004511494308"
"Permanent","1985","1-pers.-HH","vocational + Abi","24","","",""
"Permanent","1985","1-pers.-HH","higher vocational","38","0.90638674371612","0.818292223527172","0.994481263905067"
"Permanent","1985","1-pers.-HH","higher education","59","0.894278704615194","0.821196554320051","0.967360854910336"
"Permanent","1985","(Married) couple without C. ","in school","","","",""
"Permanent","1985","(Married) couple without C. ","inadequately","58","0.984320480134254","0.952620665279595","1.01602029498891"
"Permanent","1985","(Married) couple without C. ","general elemantary","188","0.913380697678507","0.874782567835742","0.951978827521272"
"Permanent","1985","(Married) couple without C. ","middle vocational","610","0.955847603567618","0.939919314451624","0.971775892683612"
"Permanent","1985","(Married) couple without C. ","vocational + Abi","32","0.890288503231951","0.786749132439539","0.993827874024362"
"Permanent","1985","(Married) couple without C. ","higher vocational","66","0.960522031584992","0.91457530155326","1.00646876161672"
"Permanent","1985","(Married) couple without C. ","higher education","91","0.82491093468446","0.755451345040888","0.894370524328032"
"Permanent","1985","Single parent ","in school","","","",""
"Permanent","1985","Single parent ","inadequately","20","","",""
"Permanent","1985","Single parent ","general elemantary","64","0.625783989062092","0.526357798283144","0.725210179841041"
"Permanent","1985","Single parent ","middle vocational","118","0.845417401946106","0.785102525790787","0.905732278101425"
"Permanent","1985","Single parent ","vocational + Abi","2","","",""
"Permanent","1985","Single parent ","higher vocational","14","","",""
"Permanent","1985","Single parent ","higher education","7","","",""
"Permanent","1985","Couple + C. LE 16 ","in school","","","",""
"Permanent","1985","Couple + C. LE 16 ","inadequately","131","0.909459828705557","0.862262617783147","0.956657039627967"
"Permanent","1985","Couple + C. LE 16 ","general elemantary","280","0.917608500284132","0.886699766267401","0.948517234300863"
"Permanent","1985","Couple + C. LE 16 ","middle vocational","756","0.94611636273297","0.930470344708374","0.961762380757567"
"Permanent","1985","Couple + C. LE 16 ","vocational + Abi","48","0.945875132841806","0.883159123726697","1.00859114195691"
"Permanent","1985","Couple + C. LE 16 ","higher vocational","121","0.963275418564832","0.930434410102327","0.996116427027337"
"Permanent","1985","Couple + C. LE 16 ","higher education","154","0.94708487651007","0.913233385050633","0.980936367969507"
"Permanent","1985","Couple + C. GT 16 ","in school","2","","",""
"Permanent","1985","Couple + C. GT 16 ","inadequately","63","0.765755390496143","0.665091556176877","0.866419224815409"
"Permanent","1985","Couple + C. GT 16 ","general elemantary","197","0.630832333276695","0.57622433408912","0.68544033246427"
"Permanent","1985","Couple + C. GT 16 ","middle vocational","514","0.873860776442296","0.847093723960841","0.900627828923751"
"Permanent","1985","Couple + C. GT 16 ","vocational + Abi","20","","",""
"Permanent","1985","Couple + C. GT 16 ","higher vocational","58","0.951377701462005","0.897404596810597","1.00535080611341"
"Permanent","1985","Couple + C. GT 16 ","higher education","72","0.882228449488791","0.812031812346596","0.952425086630986"
"Permanent","1985","Couple + C. LE and GT 16","in school","2","","",""
"Permanent","1985","Couple + C. LE and GT 16","inadequately","93","0.900666444251209","0.841746751159457","0.959586137342961"
"Permanent","1985","Couple + C. LE and GT 16","general elemantary","179","0.55534502377224","0.496505949612637","0.614184097931842"
"Permanent","1985","Couple + C. LE and GT 16","middle vocational","311","0.892959974907881","0.860662701730597","0.925257248085166"
"Permanent","1985","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Permanent","1985","Couple + C. LE and GT 16","higher vocational","21","","",""
"Permanent","1985","Couple + C. LE and GT 16","higher education","31","0.896955109220936","0.797644550261736","0.996265668180137"
"Limited","1985","1-pers.-HH","in school","","","",""
"Limited","1985","1-pers.-HH","inadequately","","","",""
"Limited","1985","1-pers.-HH","general elemantary","9","","",""
"Limited","1985","1-pers.-HH","middle vocational","29","","",""
"Limited","1985","1-pers.-HH","vocational + Abi","1","","",""
"Limited","1985","1-pers.-HH","higher vocational","4","","",""
"Limited","1985","1-pers.-HH","higher education","9","","",""
"Limited","1985","(Married) couple without C. ","in school","","","",""
"Limited","1985","(Married) couple without C. ","inadequately","1","","",""
"Limited","1985","(Married) couple without C. ","general elemantary","16","","",""
"Limited","1985","(Married) couple without C. ","middle vocational","29","","",""
"Limited","1985","(Married) couple without C. ","vocational + Abi","3","","",""
"Limited","1985","(Married) couple without C. ","higher vocational","3","","",""
"Limited","1985","(Married) couple without C. ","higher education","24","","",""
"Limited","1985","Single parent ","in school","","","",""
"Limited","1985","Single parent ","inadequately","2","","",""
"Limited","1985","Single parent ","general elemantary","27","","",""
"Limited","1985","Single parent ","middle vocational","20","","",""
"Limited","1985","Single parent ","vocational + Abi","3","","",""
"Limited","1985","Single parent ","higher vocational","","","",""
"Limited","1985","Single parent ","higher education","1","","",""
"Limited","1985","Couple + C. LE 16 ","in school","","","",""
"Limited","1985","Couple + C. LE 16 ","inadequately","11","","",""
"Limited","1985","Couple + C. LE 16 ","general elemantary","24","","",""
"Limited","1985","Couple + C. LE 16 ","middle vocational","44","0.0538836372670297","0.0382376192424334","0.069529655291626"
"Limited","1985","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Limited","1985","Couple + C. LE 16 ","higher vocational","5","","",""
"Limited","1985","Couple + C. LE 16 ","higher education","14","","",""
"Limited","1985","Couple + C. GT 16 ","in school","1","","",""
"Limited","1985","Couple + C. GT 16 ","inadequately","5","","",""
"Limited","1985","Couple + C. GT 16 ","general elemantary","103","0.369167666723305","0.31455966753573","0.42377566591088"
"Limited","1985","Couple + C. GT 16 ","middle vocational","77","0.126139223557704","0.0993721710762491","0.152906276039159"
"Limited","1985","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Limited","1985","Couple + C. GT 16 ","higher vocational","3","","",""
"Limited","1985","Couple + C. GT 16 ","higher education","9","","",""
"Limited","1985","Couple + C. LE and GT 16","in school","","","",""
"Limited","1985","Couple + C. LE and GT 16","inadequately","6","","",""
