"plb0037_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Not Employed","in school","2","","",""
"Permanent","1985","Not Employed","inadequately","4","","",""
"Permanent","1985","Not Employed","general elemantary","24","","",""
"Permanent","1985","Not Employed","middle vocational","38","0.693520651154694","0.569401023749693","0.817640278559694"
"Permanent","1985","Not Employed","vocational + Abi","","","",""
"Permanent","1985","Not Employed","higher vocational","1","","",""
"Permanent","1985","Not Employed","higher education","3","","",""
"Permanent","1985","Employed","in school","2","","",""
"Permanent","1985","Employed","inadequately","416","0.913688349904245","0.887478619743753","0.939898080064738"
"Permanent","1985","Employed","general elemantary","1027","0.747379112515888","0.723768103388418","0.770990121643359"
"Permanent","1985","Employed","middle vocational","2621","0.919059047232697","0.909061421451158","0.929056673014236"
"Permanent","1985","Employed","vocational + Abi","145","0.926606358082826","0.885814346518217","0.967398369647434"
"Permanent","1985","Employed","higher vocational","326","0.96065573974898","0.93996038739679","0.98135109210117"
"Permanent","1985","Employed","higher education","425","0.884768991661608","0.856439563520263","0.913098419802953"
"Limited","1985","Not Employed","in school","","","",""
"Limited","1985","Not Employed","inadequately","","","",""
"Limited","1985","Not Employed","general elemantary","22","","",""
"Limited","1985","Not Employed","middle vocational","15","","",""
"Limited","1985","Not Employed","vocational + Abi","1","","",""
"Limited","1985","Not Employed","higher vocational","3","","",""
"Limited","1985","Not Employed","higher education","8","","",""
"Limited","1985","Employed","in school","1","","",""
"Limited","1985","Employed","inadequately","25","","",""
"Limited","1985","Employed","general elemantary","274","0.252620887484112","0.229009878356641","0.276231896611582"
"Limited","1985","Employed","middle vocational","238","0.0809409527673029","0.0709433269857642","0.0909385785488416"
"Limited","1985","Employed","vocational + Abi","12","","",""
"Limited","1985","Employed","higher vocational","13","","",""
"Limited","1985","Employed","higher education","63","0.115231008338392","0.0869015801970475","0.143560436479737"
"Permanent","1986","Not Employed","in school","","","",""
"Permanent","1986","Not Employed","inadequately","1","","",""
"Permanent","1986","Not Employed","general elemantary","10","","",""
"Permanent","1986","Not Employed","middle vocational","8","","",""
"Permanent","1986","Not Employed","vocational + Abi","","","",""
"Permanent","1986","Not Employed","higher vocational","","","",""
"Permanent","1986","Not Employed","higher education","1","","",""
"Permanent","1986","Employed","in school","","","",""
"Permanent","1986","Employed","inadequately","20","","",""
"Permanent","1986","Employed","general elemantary","96","0.4427000291557","0.3731624862684","0.512237572042999"
"Permanent","1986","Employed","middle vocational","355","0.842521349519118","0.80756054942483","0.877482149613405"
"Permanent","1986","Employed","vocational + Abi","28","","",""
"Permanent","1986","Employed","higher vocational","37","0.960697985097","0.899713882777375","1.02168208741663"
"Permanent","1986","Employed","higher education","63","0.772658089272228","0.682492157383183","0.862824021161272"
"Limited","1986","Not Employed","in school","2","","",""
"Limited","1986","Not Employed","inadequately","2","","",""
"Limited","1986","Not Employed","general elemantary","3","","",""
"Limited","1986","Not Employed","middle vocational","8","","",""
"Limited","1986","Not Employed","vocational + Abi","","","",""
"Limited","1986","Not Employed","higher vocational","1","","",""
"Limited","1986","Not Employed","higher education","5","","",""
"Limited","1986","Employed","in school","","","",""
"Limited","1986","Employed","inadequately","7","","",""
"Limited","1986","Employed","general elemantary","100","0.5572999708443","0.487762427957001","0.6268375137316"
"Limited","1986","Employed","middle vocational","62","0.157478650480882","0.122517850386595","0.19243945057517"
"Limited","1986","Employed","vocational + Abi","3","","",""
"Limited","1986","Employed","higher vocational","2","","",""
"Limited","1986","Employed","higher education","20","","",""
"Permanent","1987","Not Employed","in school","1","","",""
"Permanent","1987","Not Employed","inadequately","","","",""
"Permanent","1987","Not Employed","general elemantary","13","","",""
"Permanent","1987","Not Employed","middle vocational","20","","",""
"Permanent","1987","Not Employed","vocational + Abi","2","","",""
