"plb0037_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","(Married) couple without C. ","78","0.0686306585310916","0.0538961097626688","0.0833652072995144","2"
"Limited","1985","1-pers.-HH","52","0.103563485070119","0.0773750518370136","0.129751918303225","2"
"Limited","1985","Couple + C. GT 16 ","206","0.18867688892968","0.165915097620092","0.211438680239267","2"
"Limited","1985","Couple + C. LE 16 ","100","0.0566848516900957","0.0453755124328462","0.0679941909473452","2"
"Limited","1985","Couple + C. LE and GT 16","150","0.21645913307323","0.188010006690527","0.244908259455933","2"
"Limited","1985","Single parent ","55","0.216299311415321","0.16824567927268","0.264352943557962","2"
"Permanent","1985","(Married) couple without C. ","1053","0.931369341468908","0.916634792700486","0.946103890237331","1"
"Permanent","1985","1-pers.-HH","468","0.896436514929881","0.870248081696775","0.922624948162986","1"
"Permanent","1985","Couple + C. GT 16 ","929","0.81132311107032","0.788561319760733","0.834084902379908","1"
"Permanent","1985","Couple + C. LE 16 ","1506","0.943315148309904","0.932005809052655","0.954624487567154","1"
"Permanent","1985","Couple + C. LE and GT 16","655","0.78354086692677","0.755091740544066","0.811989993309473","1"
"Permanent","1985","Single parent ","227","0.783700688584679","0.735647056442038","0.83175432072732","1"
"Limited","1986","(Married) couple without C. ","32","0.147715728102779","0.0979149197580928","0.197516536447465","2"
"Limited","1986","1-pers.-HH","15","","","","2"
"Limited","1986","Couple + C. GT 16 ","75","0.389046840998622","0.319724025251164","0.45836965674608","2"
"Limited","1986","Couple + C. LE 16 ","13","","","","2"
"Limited","1986","Couple + C. LE and GT 16","49","0.405380761131468","0.317537487283234","0.493224034979702","2"
"Limited","1986","Single parent ","21","","","","2"
"Permanent","1986","1-pers.-HH","56","0.776623210350579","0.679741204456385","0.873505216244772","1"
"Permanent","1986","(Married) couple without C. ","163","0.852284271897221","0.802483463552535","0.902085080241907","1"
"Permanent","1986","Couple + C. LE 16 ","160","0.937945434540012","0.901995285453491","0.973895583626534","1"
"Permanent","1986","Couple + C. GT 16 ","115","0.610953159001378","0.54163034325392","0.680275974748836","1"
"Permanent","1986","Couple + C. LE and GT 16","71","0.594619238868532","0.506775965020298","0.682462512716766","1"
"Permanent","1986","Single parent ","26","","","","1"
"Limited","1987","(Married) couple without C. ","47","0.192041143872068","0.14124463491482","0.242837652829316","2"
"Limited","1987","1-pers.-HH","25","","","","2"
"Limited","1987","Couple + C. GT 16 ","107","0.396718730111524","0.337023516366212","0.456413943856837","2"
"Limited","1987","Couple + C. LE 16 ","39","0.158483120710258","0.111890728142769","0.205075513277748","2"
"Limited","1987","Couple + C. LE and GT 16","65","0.360386082000688","0.287786117552945","0.432986046448432","2"
"Limited","1987","Single parent ","22","","","","2"
"Permanent","1987","(Married) couple without C. ","184","0.807958856127932","0.757162347170684","0.85875536508518","1"
"Permanent","1987","1-pers.-HH","60","0.735654896197612","0.64190704360687","0.829402748788355","1"
"Permanent","1987","Couple + C. LE 16 ","197","0.841516879289742","0.794924486722252","0.888109271857231","1"
"Permanent","1987","Couple + C. GT 16 ","151","0.603281269888476","0.543586056143163","0.662976483633788","1"
"Permanent","1987","Couple + C. LE and GT 16","103","0.639613917999311","0.567013953551568","0.712213882447055","1"
"Permanent","1987","Single parent ","48","0.689740059204401","0.581371163305142","0.79810895510366","1"
"Limited","1988","(Married) couple without C. ","77","0.0718763431396583","0.056729664461236","0.0870230218180805","2"
"Limited","1988","1-pers.-HH","39","0.0887594133317183","0.0624244436304961","0.115094383032941","2"
"Limited","1988","Couple + C. GT 16 ","226","0.169014130483359","0.148019138686023","0.190009122280695","2"
"Limited","1988","Couple + C. LE 16 ","75","0.0489299727106264","0.0374012635491673","0.0604586818720855","2"
"Limited","1988","Couple + C. LE and GT 16","126","0.216863982916525","0.184160388555106","0.249567577277943","2"
"Limited","1988","Single parent ","65","0.216869827594989","0.168855437261083","0.264884217928894","2"
"Permanent","1988","(Married) couple without C. ","1040","0.928123656860342","0.912976978181919","0.943270335538764","1"
"Permanent","1988","1-pers.-HH","409","0.911240586668282","0.88490561696706","0.937575556369504","1"
"Permanent","1988","Couple + C. GT 16 ","998","0.830985869516641","0.809990877719304","0.851980861313977","1"
"Permanent","1988","Couple + C. LE 16 ","1270","0.951070027289374","0.939541318127915","0.962598736450833","1"
"Permanent","1988","Couple + C. LE and GT 16","484","0.783136017083475","0.750432422722056","0.815839611444894","1"
"Permanent","1988","Single parent ","218","0.783130172405011","0.735115782071106","0.831144562738917","1"
"Limited","1989","(Married) couple without C. ","27","","","","2"
"Limited","1989","1-pers.-HH","26","","","","2"
"Limited","1989","Couple + C. GT 16 ","76","0.342519112872248","0.279233471340125","0.40580475440437","2"
"Limited","1989","Couple + C. LE 16 ","41","0.194942853415831","0.140713031954649","0.249172674877012","2"
