"plb0037_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","(Married) couple without C. ","Female","37","0.074113329477729","0.0512663137904774","0.0969603451649805","2"
"Limited","1985","(Married) couple without C. ","Male","41","0.0642472901108025","0.0450398769533306","0.0834547032682744","2"
"Limited","1985","1-pers.-HH","Female","21","","","","2"
"Limited","1985","1-pers.-HH","Male","31","0.111079572450815","0.0755807958473095","0.146578349054321","2"
"Limited","1985","Couple + C. GT 16 ","Female","87","0.218188218403302","0.179985728116728","0.256390708689876","2"
"Limited","1985","Couple + C. GT 16 ","Male","119","0.169636144047205","0.141550819445677","0.197721468648733","2"
"Limited","1985","Couple + C. LE 16 ","Female","42","0.0854032818168616","0.0611475097878876","0.109659053845836","2"
"Limited","1985","Couple + C. LE 16 ","Male","58","0.0437153787611509","0.0316106929180373","0.0558200646042644","2"
"Limited","1985","Couple + C. LE and GT 16","Female","53","0.265053259702195","0.211197426791586","0.318909092612805","2"
"Limited","1985","Couple + C. LE and GT 16","Male","97","0.192459851117953","0.159422397806719","0.225497304429186","2"
"Limited","1985","Single parent ","Female","34","0.220609796220411","0.160033640793351","0.281185951647471","2"
"Limited","1985","Single parent ","Male","21","","","","2"
"Permanent","1985","(Married) couple without C. ","Female","468","0.925886670522271","0.903039654835019","0.948733686209523","1"
"Permanent","1985","(Married) couple without C. ","Male","585","0.935752709889197","0.916545296731726","0.954960123046669","1"
"Permanent","1985","1-pers.-HH","Female","198","0.904695768142504","0.865806174458729","0.943585361826279","1"
"Permanent","1985","Couple + C. LE 16 ","Male","1038","0.956284621238849","0.944179935395736","0.968389307081963","1"
"Permanent","1985","1-pers.-HH","Male","270","0.888920427549185","0.853421650945679","0.924419204152691","1"
"Permanent","1985","Couple + C. GT 16 ","Female","362","0.781811781596698","0.743609291310124","0.820014271883272","1"
"Permanent","1985","Couple + C. GT 16 ","Male","567","0.830363855952795","0.802278531351266","0.858449180554323","1"
"Permanent","1985","Couple + C. LE 16 ","Female","468","0.914596718183138","0.890340946154164","0.938852490212112","1"
"Permanent","1985","Couple + C. LE and GT 16","Female","205","0.734946740297805","0.681090907387195","0.788802573208415","1"
"Permanent","1985","Couple + C. LE and GT 16","Male","450","0.807540148882047","0.774502695570814","0.840577602193281","1"
"Permanent","1985","Single parent ","Female","146","0.779390203779589","0.718814048352529","0.839966359206649","1"
"Permanent","1985","Single parent ","Male","81","0.791143424278585","0.712257468252343","0.870029380304826","1"
"Limited","1986","(Married) couple without C. ","Female","17","","","","2"
"Limited","1986","(Married) couple without C. ","Male","15","","","","2"
"Limited","1986","1-pers.-HH","Female","7","","","","2"
"Limited","1986","1-pers.-HH","Male","8","","","","2"
"Limited","1986","Couple + C. GT 16 ","Female","27","","","","2"
"Limited","1986","Couple + C. GT 16 ","Male","48","0.41838897184243","0.327031197580739","0.509746746104122","2"
"Limited","1986","Couple + C. LE 16 ","Female","6","","","","2"
"Limited","1986","Couple + C. LE 16 ","Male","7","","","","2"
"Limited","1986","Couple + C. LE and GT 16","Female","23","","","","2"
"Limited","1986","Couple + C. LE and GT 16","Male","26","","","","2"
"Limited","1986","Single parent ","Female","6","","","","2"
"Limited","1986","Single parent ","Male","15","","","","2"
"Permanent","1986","(Married) couple without C. ","Female","73","0.838089326677108","0.761984932939294","0.914193720414922","1"
"Permanent","1986","(Married) couple without C. ","Male","90","0.862642506650678","0.796801714564453","0.928483298736902","1"
"Permanent","1986","1-pers.-HH","Female","25","","","","1"
"Permanent","1986","1-pers.-HH","Male","31","0.770557648256668","0.638593746448147","0.902521550065189","1"
"Permanent","1986","Couple + C. GT 16 ","Female","51","0.652608245405552","0.546941867406124","0.75827462340498","1"
