"plb0037_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","16-34 y.","(0) in school","4","","",""
"Permanent","1985","16-34 y.","(1a) inadequately completed","97","0.856267912268158","0.789796041153386","0.922739783382931"
"Permanent","1985","16-34 y.","(1b) general elementary school","328","0.612063916998139","0.568243171363193","0.655884662633086"
"Permanent","1985","16-34 y.","(1c) basic vocational qualification","734","0.911689099985375","0.892244367355771","0.931133832614978"
"Permanent","1985","16-34 y.","(2b) intermediate general qualification","62","0.351751648852606","0.281798002542528","0.421705295162684"
"Permanent","1985","16-34 y.","(2a) intermediate vocational","388","0.877139905933571","0.846431612094139","0.907848199773003"
"Permanent","1985","16-34 y.","(2c_gen) general maturity certificate","45","0.348691197088915","0.259634678381209","0.437747715796622"
"Permanent","1985","16-34 y.","(2c_voc) vocational maturity certificate","110","0.885001744530533","0.829298497975227","0.940704991085839"
"Permanent","1985","16-34 y.","(3a) lower tertiary education","42","0.881434252552285","0.789980389358645","0.972888115745926"
"Permanent","1985","16-34 y.","(3b) higher tertiary education","77","0.652566346078538","0.568418343115978","0.736714349041097"
"Permanent","1985","35-65 y.","(0) in school","","","",""
"Permanent","1985","35-65 y.","(1a) inadequately completed","368","0.95732817889832","0.937138996283085","0.977517361513555"
"Permanent","1985","35-65 y.","(1b) general elementary school","637","0.940353378652623","0.922433902906893","0.958272854398353"
"Permanent","1985","35-65 y.","(1c) basic vocational qualification","1299","0.969922461049633","0.960780836948411","0.979064085150855"
"Permanent","1985","35-65 y.","(2b) intermediate general qualification","30","0.961663653507758","0.894073379675736","1.02925392733978"
"Permanent","1985","35-65 y.","(2a) intermediate vocational","351","0.966960467302339","0.948598521264155","0.985322413340524"
"Permanent","1985","35-65 y.","(2c_gen) general maturity certificate","22","","",""
"Permanent","1985","35-65 y.","(2c_voc) vocational maturity certificate","103","0.957812932567368","0.919545865697253","0.996079999437483"
"Permanent","1985","35-65 y.","(3a) lower tertiary education","101","0.957250582509711","0.918740621517909","0.995760543501513"
"Permanent","1985","35-65 y.","(3b) higher tertiary education","208","0.957164499287997","0.930528633436669","0.983800365139325"
"Permanent","1985","66 and older","(0) in school","","","",""
"Permanent","1985","66 and older","(1a) inadequately completed","","","",""
"Permanent","1985","66 and older","(1b) general elementary school","5","","",""
"Permanent","1985","66 and older","(1c) basic vocational qualification","5","","",""
"Permanent","1985","66 and older","(2b) intermediate general qualification","","","",""
"Permanent","1985","66 and older","(2a) intermediate vocational","2","","",""
"Permanent","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Permanent","1985","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Permanent","1985","66 and older","(3a) lower tertiary education","","","",""
"Permanent","1985","66 and older","(3b) higher tertiary education","","","",""
"Limited","1985","16-34 y.","(0) in school","1","","",""
"Limited","1985","16-34 y.","(1a) inadequately completed","10","","",""
"Limited","1985","16-34 y.","(1b) general elementary school","147","0.387936083001861","0.344115337366915","0.431756828636807"
"Limited","1985","16-34 y.","(1c) basic vocational qualification","84","0.0883109000146253","0.068866167385022","0.107755632644229"
"Limited","1985","16-34 y.","(2b) intermediate general qualification","117","0.648248351147395","0.578294704837316","0.718201997457473"
"Limited","1985","16-34 y.","(2a) intermediate vocational","51","0.122860094066429","0.0921518002269975","0.153568387905861"
"Limited","1985","16-34 y.","(2c_gen) general maturity certificate","65","0.651308802911085","0.562252284203378","0.740365321618791"
"Limited","1985","16-34 y.","(2c_voc) vocational maturity certificate","16","","",""
"Limited","1985","16-34 y.","(3a) lower tertiary education","6","","",""
"Limited","1985","16-34 y.","(3b) higher tertiary education","46","0.347433653921462","0.263285650958902","0.431581656884022"
"Limited","1985","35-65 y.","(0) in school","","","",""
"Limited","1985","35-65 y.","(1a) inadequately completed","17","","",""
"Limited","1985","35-65 y.","(1b) general elementary school","34","0.059646621347377","0.0417271456016467","0.0775660970931073"
"Limited","1985","35-65 y.","(1c) basic vocational qualification","42","0.0300775389503667","0.0209359148491448","0.0392191630515886"
"Limited","1985","35-65 y.","(2b) intermediate general qualification","1","","",""
"Limited","1985","35-65 y.","(2a) intermediate vocational","13","","",""
"Limited","1985","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Limited","1985","35-65 y.","(2c_voc) vocational maturity certificate","3","","",""
"Limited","1985","35-65 y.","(3a) lower tertiary education","5","","",""
"Limited","1985","35-65 y.","(3b) higher tertiary education","14","","",""
"Limited","1985","66 and older","(0) in school","","","",""
"Limited","1985","66 and older","(1a) inadequately completed","","","",""
"Limited","1985","66 and older","(1b) general elementary school","","","",""
"Limited","1985","66 and older","(1c) basic vocational qualification","","","",""
"Limited","1985","66 and older","(2b) intermediate general qualification","","","",""
"Limited","1985","66 and older","(2a) intermediate vocational","","","",""
"Limited","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Limited","1985","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Limited","1985","66 and older","(3a) lower tertiary education","","","",""
