"plb0037_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Not Employed","lower secondary degree","33","0.585094847806113","0.452447763870155","0.717741931742072"
"Permanent","1985","Not Employed","secondary school degree","14","","",""
"Permanent","1985","Not Employed","college entrance qualification","6","","",""
"Permanent","1985","Not Employed","Other degree","12","","",""
"Permanent","1985","Not Employed","no degree/no degree yet","7","","",""
"Permanent","1985","Employed","lower secondary degree","2313","0.915469558536985","0.904699890663382","0.926239226410589"
"Permanent","1985","Employed","secondary school degree","853","0.835568311065953","0.812909596270964","0.858227025860943"
"Permanent","1985","Employed","college entrance qualification","529","0.824434367702004","0.795119107928405","0.853749627475602"
"Permanent","1985","Employed","Other degree","791","0.913537215970243","0.894587728568799","0.932486703371687"
"Permanent","1985","Employed","no degree/no degree yet","462","0.915774009509803","0.891183514494393","0.940364504525212"
"Limited","1985","Not Employed","lower secondary degree","20","","",""
"Limited","1985","Not Employed","secondary school degree","10","","",""
"Limited","1985","Not Employed","college entrance qualification","14","","",""
"Limited","1985","Not Employed","Other degree","3","","",""
"Limited","1985","Not Employed","no degree/no degree yet","1","","",""
"Limited","1985","Employed","lower secondary degree","250","0.0845304414630147","0.0737607735894114","0.095300109336618"
"Limited","1985","Employed","secondary school degree","175","0.164431688934047","0.141772974139057","0.187090403729036"
"Limited","1985","Employed","college entrance qualification","118","0.175565632297996","0.146250372524397","0.204880892071595"
"Limited","1985","Employed","Other degree","54","0.0864627840297569","0.0675132966283127","0.105412271431201"
"Limited","1985","Employed","no degree/no degree yet","28","","",""
"Permanent","1986","Not Employed","lower secondary degree","10","","",""
"Permanent","1986","Not Employed","secondary school degree","4","","",""
"Permanent","1986","Not Employed","college entrance qualification","3","","",""
"Permanent","1986","Not Employed","Other degree","2","","",""
"Permanent","1986","Not Employed","no degree/no degree yet","1","","",""
"Permanent","1986","Employed","lower secondary degree","296","0.820409624591103","0.781559773402094","0.859259475780113"
