"plb0037_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","no migration background","(0) in school","4","","",""
"Permanent","1985","no migration background","(1a) inadequately completed","20","","",""
"Permanent","1985","no migration background","(1b) general elementary school","464","0.797976332997772","0.76527202685468","0.830680639140864"
"Permanent","1985","no migration background","(1c) basic vocational qualification","1583","0.953121521309223","0.942965296096238","0.963277746522208"
"Permanent","1985","no migration background","(2b) intermediate general qualification","77","0.439023890618596","0.365286166869707","0.512761614367484"
"Permanent","1985","no migration background","(2a) intermediate vocational","695","0.918693550357937","0.899159738378351","0.938227362337523"
"Permanent","1985","no migration background","(2c_gen) general maturity certificate","29","","",""
"Permanent","1985","no migration background","(2c_voc) vocational maturity certificate","141","0.936263417181898","0.897428738872723","0.975098095491074"
"Permanent","1985","no migration background","(3a) lower tertiary education","132","0.943118765006977","0.904888594387949","0.981348935626005"
"Permanent","1985","no migration background","(3b) higher tertiary education","238","0.844513537692029","0.802590114047455","0.886436961336603"
"Permanent","1985","direct migration background","(0) in school","","","",""
"Permanent","1985","direct migration background","(1a) inadequately completed","443","0.94271497886776","0.921638386632701","0.963791571102818"
"Permanent","1985","direct migration background","(1b) general elementary school","495","0.905011629029698","0.880596697629086","0.929426560430311"
"Permanent","1985","direct migration background","(1c) basic vocational qualification","434","0.907688122570619","0.881684028239359","0.933692216901878"
"Permanent","1985","direct migration background","(2b) intermediate general qualification","15","","",""
"Permanent","1985","direct migration background","(2a) intermediate vocational","41","0.925512280290949","0.850448126243919","1.00057643433798"
"Permanent","1985","direct migration background","(2c_gen) general maturity certificate","37","0.728018096507556","0.604678029308469","0.851358163706643"
"Permanent","1985","direct migration background","(2c_voc) vocational maturity certificate","74","0.787901029923915","0.699420792619797","0.876381267228033"
"Permanent","1985","direct migration background","(3a) lower tertiary education","10","","",""
"Permanent","1985","direct migration background","(3b) higher tertiary education","46","0.829090676804551","0.731368179669417","0.926813173939684"
