"plb0037_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Schleswig-Holstein","(0) in school","","","",""
"Permanent","1985","Schleswig-Holstein","(1a) inadequately completed","4","","",""
"Permanent","1985","Schleswig-Holstein","(1b) general elementary school","21","","",""
"Permanent","1985","Schleswig-Holstein","(1c) basic vocational qualification","75","0.940957128401614","0.889626777198338","0.992287479604889"
"Permanent","1985","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Permanent","1985","Schleswig-Holstein","(2a) intermediate vocational","44","0.979587286458451","0.938271713996925","1.02090285891998"
"Permanent","1985","Schleswig-Holstein","(2c_gen) general maturity certificate","1","","",""
"Permanent","1985","Schleswig-Holstein","(2c_voc) vocational maturity certificate","6","","",""
"Permanent","1985","Schleswig-Holstein","(3a) lower tertiary education","4","","",""
"Permanent","1985","Schleswig-Holstein","(3b) higher tertiary education","4","","",""
"Permanent","1985","Hamburg","(0) in school","","","",""
"Permanent","1985","Hamburg","(1a) inadequately completed","13","","",""
"Permanent","1985","Hamburg","(1b) general elementary school","17","","",""
"Permanent","1985","Hamburg","(1c) basic vocational qualification","46","0.914291032598099","0.837463238369865","0.991118826826333"
"Permanent","1985","Hamburg","(2b) intermediate general qualification","4","","",""
"Permanent","1985","Hamburg","(2a) intermediate vocational","25","","",""
"Permanent","1985","Hamburg","(2c_gen) general maturity certificate","5","","",""
"Permanent","1985","Hamburg","(2c_voc) vocational maturity certificate","14","","",""
"Permanent","1985","Hamburg","(3a) lower tertiary education","6","","",""
"Permanent","1985","Hamburg","(3b) higher tertiary education","2","","",""
"Permanent","1985","Lower Saxony","(0) in school","","","",""
"Permanent","1985","Lower Saxony","(1a) inadequately completed","22","","",""
"Permanent","1985","Lower Saxony","(1b) general elementary school","68","0.821623999314982","0.738253893826948","0.904994104803016"
"Permanent","1985","Lower Saxony","(1c) basic vocational qualification","202","0.942551851286635","0.911301929575516","0.973801772997755"
"Permanent","1985","Lower Saxony","(2b) intermediate general qualification","7","","",""
"Permanent","1985","Lower Saxony","(2a) intermediate vocational","81","0.886771853577501","0.821667423149483","0.951876284005519"
"Permanent","1985","Lower Saxony","(2c_gen) general maturity certificate","3","","",""
"Permanent","1985","Lower Saxony","(2c_voc) vocational maturity certificate","17","","",""
"Permanent","1985","Lower Saxony","(3a) lower tertiary education","8","","",""
"Permanent","1985","Lower Saxony","(3b) higher tertiary education","38","0.917304085311945","0.834008470657709","1.00059969996618"
"Permanent","1985","Bremen","(0) in school","","","",""
"Permanent","1985","Bremen","(1a) inadequately completed","","","",""
"Permanent","1985","Bremen","(1b) general elementary school","7","","",""
"Permanent","1985","Bremen","(1c) basic vocational qualification","14","","",""
"Permanent","1985","Bremen","(2b) intermediate general qualification","2","","",""
"Permanent","1985","Bremen","(2a) intermediate vocational","5","","",""
"Permanent","1985","Bremen","(2c_gen) general maturity certificate","","","",""
"Permanent","1985","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Permanent","1985","Bremen","(3a) lower tertiary education","","","",""
"Permanent","1985","Bremen","(3b) higher tertiary education","1","","",""
"Permanent","1985","North Rhine-Westphalia","(0) in school","2","","",""
"Permanent","1985","North Rhine-Westphalia","(1a) inadequately completed","128","0.922771248380842","0.878069517261907","0.967472979499778"
"Permanent","1985","North Rhine-Westphalia","(1b) general elementary school","246","0.819209921958929","0.77484046967829","0.863579374239568"
"Permanent","1985","North Rhine-Westphalia","(1c) basic vocational qualification","516","0.952680345806583","0.934821945235419","0.970538746377747"
"Permanent","1985","North Rhine-Westphalia","(2b) intermediate general qualification","20","","",""
"Permanent","1985","North Rhine-Westphalia","(2a) intermediate vocational","179","0.935285294714084","0.900485953807214","0.970084635620955"
