"plb0037_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","16-34 y.","Not Employed","54","0.484073347911932","0.385631431105692","0.582515264718171"
"Permanent","1985","16-34 y.","Employed","1854","0.774198441895144","0.757351140920757","0.791045742869531"
"Permanent","1985","35-65 y.","Not Employed","19","","",""
"Permanent","1985","35-65 y.","Employed","3134","0.963412013138375","0.956966148269615","0.969857878007135"
"Permanent","1985","66 and older","Not Employed","","","",""
"Permanent","1985","66 and older","Employed","14","","",""
"Limited","1985","16-34 y.","Not Employed","45","0.515926652088068","0.417484735281829","0.614368568894308"
"Limited","1985","16-34 y.","Employed","512","0.225801558104856","0.208954257130469","0.242648859079243"
"Limited","1985","35-65 y.","Not Employed","6","","",""
"Limited","1985","35-65 y.","Employed","125","0.036587986861625","0.0301421219928652","0.0430338517303848"
"Limited","1985","66 and older","Not Employed","","","",""
"Limited","1985","66 and older","Employed","","","",""
"Permanent","1986","16-34 y.","Not Employed","20","","",""
"Permanent","1986","16-34 y.","Employed","417","0.690641237178774","0.65362501068152","0.727657463676027"
"Permanent","1986","35-65 y.","Not Employed","1","","",""
"Permanent","1986","35-65 y.","Employed","186","0.929335160762279","0.893907870605679","0.96476245091888"
"Permanent","1986","66 and older","Not Employed","","","",""
"Permanent","1986","66 and older","Employed","","","",""
"Limited","1986","16-34 y.","Not Employed","21","","",""
"Limited","1986","16-34 y.","Employed","182","0.309358762821226","0.272342536323973","0.34637498931848"
"Limited","1986","35-65 y.","Not Employed","","","",""
"Limited","1986","35-65 y.","Employed","15","","",""
"Limited","1986","66 and older","Not Employed","","","",""
"Limited","1986","66 and older","Employed","","","",""
"Permanent","1987","16-34 y.","Not Employed","29","","",""
"Permanent","1987","16-34 y.","Employed","526","0.675696424868885","0.643359268288468","0.708033581449301"
"Permanent","1987","35-65 y.","Not Employed","12","","",""
"Permanent","1987","35-65 y.","Employed","236","0.880837574563874","0.841903948263579","0.91977120086417"
"Permanent","1987","66 and older","Not Employed","","","",""
"Permanent","1987","66 and older","Employed","","","",""
"Limited","1987","16-34 y.","Not Employed","23","","",""
"Limited","1987","16-34 y.","Employed","279","0.324303575131115","0.291966418550699","0.356640731711532"
"Limited","1987","35-65 y.","Not Employed","5","","",""
"Limited","1987","35-65 y.","Employed","30","0.119162425436126","0.0802287991358301","0.158096051736421"
"Limited","1987","66 and older","Not Employed","","","",""
"Limited","1987","66 and older","Employed","","","",""
"Permanent","1988","16-34 y.","Not Employed","26","","",""
"Permanent","1988","16-34 y.","Employed","1802","0.794421605377721","0.777916611003885","0.810926599751556"
"Permanent","1988","35-65 y.","Not Employed","14","","",""
"Permanent","1988","35-65 y.","Employed","2812","0.964175682481552","0.957421958925199","0.970929406037905"
"Permanent","1988","66 and older","Not Employed","","","",""
"Permanent","1988","66 and older","Employed","10","","",""
"Limited","1988","16-34 y.","Not Employed","40","0.465762577545344","0.345418264506491","0.586106890584197"
"Limited","1988","16-34 y.","Employed","501","0.205578394622279","0.189073400248444","0.222083388996115"
"Limited","1988","35-65 y.","Not Employed","12","","",""
"Limited","1988","35-65 y.","Employed","97","0.0358243175184482","0.0290705939620953","0.0425780410748011"
"Limited","1988","66 and older","Not Employed","","","",""
"Limited","1988","66 and older","Employed","3","","",""
"Permanent","1989","16-34 y.","Not Employed","25","","",""
"Permanent","1989","16-34 y.","Employed","440","0.744384279424039","0.710158907802437","0.77860965104564"
"Permanent","1989","35-65 y.","Not Employed","10","","",""
"Permanent","1989","35-65 y.","Employed","169","0.840642885165781","0.790661765510285","0.890624004821276"
"Permanent","1989","66 and older","Not Employed","","","",""
"Permanent","1989","66 and older","Employed","","","",""
"Limited","1989","16-34 y.","Not Employed","24","","",""
"Limited","1989","16-34 y.","Employed","184","0.255615720575961","0.22139034895436","0.289841092197563"
"Limited","1989","35-65 y.","Not Employed","8","","",""
"Limited","1989","35-65 y.","Employed","37","0.159357114834219","0.109375995178724","0.209338234489715"
"Limited","1989","66 and older","Not Employed","","","",""
"Limited","1989","66 and older","Employed","","","",""
"Permanent","1990","16-34 y.","Not Employed","20","","",""
"Permanent","1990","16-34 y.","Employed","458","0.752783290904053","0.718962638715843","0.786603943092263"
"Permanent","1990","35-65 y.","Not Employed","12","","",""
"Permanent","1990","35-65 y.","Employed","217","0.862675912634324","0.820347846271374","0.905003978997275"
"Permanent","1990","66 and older","Not Employed","","","",""
"Permanent","1990","66 and older","Employed","1","","",""
"Limited","1990","16-34 y.","Not Employed","17","","",""
"Limited","1990","16-34 y.","Employed","167","0.247216709095947","0.213396056907737","0.281037361284157"
"Limited","1990","35-65 y.","Not Employed","7","","",""
"Limited","1990","35-65 y.","Employed","37","0.137324087365676","0.0949960210027252","0.179652153728627"
"Limited","1990","66 and older","Not Employed","","","",""
"Limited","1990","66 and older","Employed","","","",""
"Permanent","1991","16-34 y.","Not Employed","37","0.643925348678173","0.516211056472533","0.771639640883812"
"Permanent","1991","16-34 y.","Employed","441","0.736024051014105","0.700871422502469","0.771176679525741"
"Permanent","1991","35-65 y.","Not Employed","19","","",""
"Permanent","1991","35-65 y.","Employed","215","0.86805687365953","0.826105560271846","0.910008187047214"
"Permanent","1991","66 and older","Not Employed","","","",""
"Permanent","1991","66 and older","Employed","","","",""
"Limited","1991","16-34 y.","Not Employed","17","","",""
"Limited","1991","16-34 y.","Employed","163","0.263975948985895","0.228823320474259","0.299128577497531"
"Limited","1991","35-65 y.","Not Employed","6","","",""
"Limited","1991","35-65 y.","Employed","35","0.13194312634047","0.0899918129527864","0.173894439728154"
"Limited","1991","66 and older","Not Employed","","","",""
"Limited","1991","66 and older","Employed","","","",""
"Permanent","1992","16-34 y.","Not Employed","20","","",""
