"plb0037_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","lower secondary degree","no migration background","2040","0.913699577019783","0.902050026476378","0.925349127563187"
"Permanent","1985","lower secondary degree","direct migration background","275","0.877525564374689","0.842882086717284","0.912169042032095"
"Permanent","1985","lower secondary degree","indirect migration background","31","0.798828298630153","0.674597790805909","0.923058806454396"
"Permanent","1985","secondary school degree","no migration background","805","0.830440337751303","0.806727908692282","0.854152766810324"
"Permanent","1985","secondary school degree","direct migration background","57","0.836902758492465","0.754381938275547","0.919423578709383"
"Permanent","1985","secondary school degree","indirect migration background","5","","",""
"Permanent","1985","college entrance qualification","no migration background","493","0.815662449200735","0.784916378117963","0.846408520283507"
"Permanent","1985","college entrance qualification","direct migration background","39","0.729848328946656","0.610303637791588","0.849393020101723"
"Permanent","1985","college entrance qualification","indirect migration background","3","","",""
"Permanent","1985","Other degree","no migration background","21","","",""
"Permanent","1985","Other degree","direct migration background","781","0.928702914270901","0.91121811216646","0.946187716375343"
"Permanent","1985","Other degree","indirect migration background","1","","",""
"Permanent","1985","no degree/no degree yet","no migration background","24","","",""
"Permanent","1985","no degree/no degree yet","direct migration background","443","0.941642547315187","0.920404412928069","0.962880681702305"
"Permanent","1985","no degree/no degree yet","indirect migration background","2","","",""
"Limited","1985","lower secondary degree","no migration background","192","0.0863004229802175","0.0746508724368126","0.0979499735236223"
"Limited","1985","lower secondary degree","direct migration background","69","0.122474435625311","0.0878309579679053","0.157117913282716"
"Limited","1985","lower secondary degree","indirect migration background","9","","",""
"Limited","1985","secondary school degree","no migration background","157","0.169559662248697","0.145847233189676","0.193272091307718"
"Limited","1985","secondary school degree","direct migration background","20","","",""
"Limited","1985","secondary school degree","indirect migration background","8","","",""
"Limited","1985","college entrance qualification","no migration background","118","0.184337550799265","0.153591479716493","0.215083621882037"
"Limited","1985","college entrance qualification","direct migration background","14","","",""
"Limited","1985","college entrance qualification","indirect migration background","","","",""
"Limited","1985","Other degree","no migration background","5","","",""
"Limited","1985","Other degree","direct migration background","51","0.0712970857290985","0.0538122836246569","0.0887818878335402"
"Limited","1985","Other degree","indirect migration background","1","","",""
"Limited","1985","no degree/no degree yet","no migration background","4","","",""
"Limited","1985","no degree/no degree yet","direct migration background","25","","",""
"Limited","1985","no degree/no degree yet","indirect migration background","","","",""
"Permanent","1986","lower secondary degree","no migration background","239","0.813356456252984","0.768894964686006","0.857817947819962"
"Permanent","1986","lower secondary degree","direct migration background","59","0.77787815431268","0.68790921733664","0.867847091288721"
"Permanent","1986","lower secondary degree","indirect migration background","8","","",""
"Permanent","1986","secondary school degree","no migration background","129","0.661967714266728","0.594349038459991","0.729586390073465"
"Permanent","1986","secondary school degree","direct migration background","6","","",""
"Permanent","1986","secondary school degree","indirect migration background","1","","",""
"Permanent","1986","college entrance qualification","no migration background","99","0.689486459458178","0.613113138223118","0.765859780693239"
"Permanent","1986","college entrance qualification","direct migration background","9","","",""
"Permanent","1986","college entrance qualification","indirect migration background","1","","",""
"Permanent","1986","Other degree","no migration background","","","",""
"Permanent","1986","Other degree","direct migration background","40","0.888735569837024","0.798834757250043","0.978636382424004"
"Permanent","1986","Other degree","indirect migration background","","","",""
"Permanent","1986","no degree/no degree yet","no migration background","7","","",""
"Permanent","1986","no degree/no degree yet","direct migration background","18","","",""
"Permanent","1986","no degree/no degree yet","indirect migration background","2","","",""
"Limited","1986","lower secondary degree","no migration background","56","0.186643543747016","0.142182052180038","0.231105035313994"
"Limited","1986","lower secondary degree","direct migration background","23","","",""
"Limited","1986","lower secondary degree","indirect migration background","5","","",""
"Limited","1986","secondary school degree","no migration background","59","0.338032285733272","0.270413609926535","0.405650961540009"
"Limited","1986","secondary school degree","direct migration background","9","","",""
"Limited","1986","secondary school degree","indirect migration background","2","","",""
"Limited","1986","college entrance qualification","no migration background","42","0.310513540541822","0.234140219306761","0.386886861776882"
"Limited","1986","college entrance qualification","direct migration background","","","",""
"Limited","1986","college entrance qualification","indirect migration background","","","",""
"Limited","1986","Other degree","no migration background","3","","",""
"Limited","1986","Other degree","direct migration background","7","","",""
"Limited","1986","Other degree","indirect migration background","","","",""
"Limited","1986","no degree/no degree yet","no migration background","3","","",""
"Limited","1986","no degree/no degree yet","direct migration background","5","","",""
"Limited","1986","no degree/no degree yet","indirect migration background","","","",""
"Permanent","1987","lower secondary degree","no migration background","315","0.789469984165133","0.749911209360023","0.829028758970242"
"Permanent","1987","lower secondary degree","direct migration background","63","0.647143176774129","0.552047303257448","0.742239050290809"
"Permanent","1987","lower secondary degree","indirect migration background","12","","",""
"Permanent","1987","secondary school degree","no migration background","164","0.708204536316875","0.650329331879062","0.766079740754688"
"Permanent","1987","secondary school degree","direct migration background","13","","",""
"Permanent","1987","secondary school degree","indirect migration background","1","","",""
"Permanent","1987","college entrance qualification","no migration background","106","0.650129540051928","0.577136785215453","0.723122294888402"
"Permanent","1987","college entrance qualification","direct migration background","10","","",""
"Permanent","1987","college entrance qualification","indirect migration background","1","","",""
"Permanent","1987","Other degree","no migration background","4","","",""
"Permanent","1987","Other degree","direct migration background","65","0.703782303005768","0.608923473973099","0.798641132038438"
"Permanent","1987","Other degree","indirect migration background","1","","",""
"Permanent","1987","no degree/no degree yet","no migration background","6","","",""
"Permanent","1987","no degree/no degree yet","direct migration background","29","","",""
"Permanent","1987","no degree/no degree yet","indirect migration background","1","","",""
"Limited","1987","lower secondary degree","no migration background","93","0.210530015834867","0.170971241029758","0.250088790639977"
"Limited","1987","lower secondary degree","direct migration background","34","0.352856823225871","0.257760949709191","0.447952696742552"
"Limited","1987","lower secondary degree","indirect migration background","3","","",""
"Limited","1987","secondary school degree","no migration background","73","0.291795463683125","0.233920259245312","0.349670668120938"
"Limited","1987","secondary school degree","direct migration background","10","","",""
"Limited","1987","secondary school degree","indirect migration background","2","","",""
"Limited","1987","college entrance qualification","no migration background","58","0.349870459948072","0.276877705111598","0.422863214784547"
"Limited","1987","college entrance qualification","direct migration background","5","","",""
"Limited","1987","college entrance qualification","indirect migration background","3","","",""
"Limited","1987","Other degree","no migration background","4","","",""
"Limited","1987","Other degree","direct migration background","24","","",""
"Limited","1987","Other degree","indirect migration background","","","",""
"Limited","1987","no degree/no degree yet","no migration background","1","","",""
"Limited","1987","no degree/no degree yet","direct migration background","11","","",""
"Limited","1987","no degree/no degree yet","indirect migration background","","","",""
"Permanent","1988","lower secondary degree","no migration background","1787","0.916524173397974","0.904291266359173","0.928757080436775"
"Permanent","1988","lower secondary degree","direct migration background","315","0.911905512746163","0.883370519592733","0.940440505899593"
"Permanent","1988","lower secondary degree","indirect migration background","42","0.771413548454537","0.666888321229824","0.87593877567925"
"Permanent","1988","secondary school degree","no migration background","789","0.874262191372211","0.852895807988892","0.895628574755531"
"Permanent","1988","secondary school degree","direct migration background","62","0.805102772272218","0.719883555833972","0.890321988710464"
"Permanent","1988","secondary school degree","indirect migration background","15","","",""
"Permanent","1988","college entrance qualification","no migration background","505","0.830702474062413","0.800819868565277","0.860585079559549"
"Permanent","1988","college entrance qualification","direct migration background","54","0.852335263695906","0.767387037419455","0.937283489972357"
"Permanent","1988","college entrance qualification","indirect migration background","3","","",""
"Permanent","1988","Other degree","no migration background","19","","",""
"Permanent","1988","Other degree","direct migration background","643","0.936136871951166","0.917732202873959","0.954541541028373"
"Permanent","1988","Other degree","indirect migration background","3","","",""
"Permanent","1988","no degree/no degree yet","no migration background","18","","",""
"Permanent","1988","no degree/no degree yet","direct migration background","333","0.934485289734958","0.908710085985184","0.960260493484731"
"Permanent","1988","no degree/no degree yet","indirect migration background","4","","",""
"Limited","1988","lower secondary degree","no migration background","177","0.0834758266020258","0.0712429195632247","0.0957087336408269"
"Limited","1988","lower secondary degree","direct migration background","64","0.088094487253837","0.0595594941004071","0.116629480407267"
"Limited","1988","lower secondary degree","indirect migration background","20","","",""
"Limited","1988","secondary school degree","no migration background","136","0.125737808627789","0.104371425244469","0.147104192011108"
"Limited","1988","secondary school degree","direct migration background","21","","",""
"Limited","1988","secondary school degree","indirect migration background","10","","",""
"Limited","1988","college entrance qualification","no migration background","100","0.169297525937587","0.139414920440451","0.199180131434723"
"Limited","1988","college entrance qualification","direct migration background","13","","",""
"Limited","1988","college entrance qualification","indirect migration background","3","","",""
"Limited","1988","Other degree","no migration background","6","","",""
"Limited","1988","Other degree","direct migration background","35","0.0638631280488341","0.0454584589716274","0.0822677971260409"
"Limited","1988","Other degree","indirect migration background","1","","",""
"Limited","1988","no degree/no degree yet","no migration background","7","","",""
"Limited","1988","no degree/no degree yet","direct migration background","21","","",""
"Limited","1988","no degree/no degree yet","indirect migration background","1","","",""
"Permanent","1989","lower secondary degree","no migration background","203","0.762561938441722","0.711993869391298","0.813130007492145"
"Permanent","1989","lower secondary degree","direct migration background","59","0.742612390218292","0.650744577022882","0.834480203413702"
"Permanent","1989","lower secondary degree","indirect migration background","13","","",""
