"plb0037_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Limited","1985","(Married) couple without C. ","Rural Area","11","","",""
"Limited","1985","(Married) couple without C. ","Urban Area","67","0.0704623757175454","0.0540931769470499","0.086831574488041"
"Limited","1985","1-pers.-HH","Rural Area","4","","",""
"Limited","1985","1-pers.-HH","Urban Area","48","0.106155320415527","0.0779443994328776","0.134366241398176"
"Limited","1985","Couple + C. GT 16 ","Rural Area","31","0.168456710841336","0.116059683921747","0.220853737760925"
"Limited","1985","Couple + C. GT 16 ","Urban Area","175","0.193884250466188","0.168597951752732","0.219170549179644"
"Limited","1985","Couple + C. LE 16 ","Rural Area","19","","",""
"Limited","1985","Couple + C. LE 16 ","Urban Area","81","0.0587430750817572","0.045886391427498","0.0715997587360163"
"Limited","1985","Couple + C. LE and GT 16","Rural Area","38","0.217418323489719","0.157325624203386","0.277511022776053"
"Limited","1985","Couple + C. LE and GT 16","Urban Area","112","0.216021398431717","0.183732272616436","0.248310524246998"
"Limited","1985","Single parent ","Rural Area","12","","",""
"Limited","1985","Single parent ","Urban Area","43","0.207736021630639","0.154370290464345","0.261101752796933"
"Permanent","1985","(Married) couple without C. ","Rural Area","181","0.939385333194918","0.905632656041912","0.973138010347924"
"Permanent","1985","(Married) couple without C. ","Urban Area","872","0.929537624282455","0.913168425511959","0.94590682305295"
"Permanent","1985","1-pers.-HH","Rural Area","58","0.91592311680631","0.846848249675514","0.984997983937106"
"Permanent","1985","1-pers.-HH","Urban Area","410","0.893844679584473","0.865633758601824","0.922055600567122"
"Permanent","1985","Couple + C. GT 16 ","Rural Area","165","0.831543289158664","0.779146262239075","0.883940316078253"
"Permanent","1985","Couple + C. GT 16 ","Urban Area","764","0.806115749533812","0.780829450820356","0.831402048247268"
"Permanent","1985","Couple + C. LE 16 ","Rural Area","302","0.950211056846598","0.926416804202852","0.974005309490344"
"Permanent","1985","Couple + C. LE 16 ","Urban Area","1204","0.941256924918243","0.928400241263984","0.954113608572502"
"Permanent","1985","Couple + C. LE and GT 16","Rural Area","143","0.782581676510281","0.722488977223947","0.842674375796614"
"Permanent","1985","Couple + C. LE and GT 16","Urban Area","512","0.783978601568283","0.751689475753002","0.816267727383564"
"Permanent","1985","Single parent ","Rural Area","48","0.756353514607649","0.647732224661194","0.864974804554105"
"Permanent","1985","Single parent ","Urban Area","179","0.792263978369361","0.738898247203067","0.845629709535655"
"Limited","1986","(Married) couple without C. ","Rural Area","11","","",""
"Limited","1986","(Married) couple without C. ","Urban Area","21","","",""
"Limited","1986","1-pers.-HH","Rural Area","1","","",""
"Limited","1986","1-pers.-HH","Urban Area","14","","",""
"Limited","1986","Couple + C. GT 16 ","Rural Area","15","","",""
"Limited","1986","Couple + C. GT 16 ","Urban Area","60","0.385251493454192","0.307886017137674","0.462616969770709"
"Limited","1986","Couple + C. LE 16 ","Rural Area","1","","",""
"Limited","1986","Couple + C. LE 16 ","Urban Area","12","","",""
"Limited","1986","Couple + C. LE and GT 16","Rural Area","14","","",""
"Limited","1986","Couple + C. LE and GT 16","Urban Area","35","0.379373665438545","0.277411944993137","0.481335385883954"
"Limited","1986","Single parent ","Rural Area","5","","",""
"Limited","1986","Single parent ","Urban Area","16","","",""
"Permanent","1986","(Married) couple without C. ","Rural Area","19","","",""
"Permanent","1986","(Married) couple without C. ","Urban Area","144","0.891576902592771","0.844136711645819","0.939017093539724"
"Permanent","1986","1-pers.-HH","Rural Area","4","","",""
"Permanent","1986","1-pers.-HH","Urban Area","52","0.774152352953239","0.673274198695715","0.875030507210764"
"Permanent","1986","Couple + C. GT 16 ","Rural Area","23","","",""
"Permanent","1986","Couple + C. GT 16 ","Urban Area","92","0.614748506545808","0.537383030229291","0.692113982862326"
"Permanent","1986","Couple + C. LE 16 ","Rural Area","28","","",""
"Permanent","1986","Couple + C. LE 16 ","Urban Area","132","0.932537137928626","0.891570314110486","0.973503961746766"
"Permanent","1986","Couple + C. LE and GT 16","Rural Area","19","","",""
"Permanent","1986","Couple + C. LE and GT 16","Urban Area","52","0.620626334561455","0.518664614116046","0.722588055006863"
"Permanent","1986","Single parent ","Rural Area","6","","",""
"Permanent","1986","Single parent ","Urban Area","20","","",""
"Limited","1987","(Married) couple without C. ","Rural Area","5","","",""
"Limited","1987","(Married) couple without C. ","Urban Area","42","0.2102672995309","0.151705077334028","0.268829521727771"
"Limited","1987","1-pers.-HH","Rural Area","4","","",""
"Limited","1987","1-pers.-HH","Urban Area","21","","",""
"Limited","1987","Couple + C. GT 16 ","Rural Area","25","","",""
"Limited","1987","Couple + C. GT 16 ","Urban Area","82","0.386300641791437","0.318988933635618","0.453612349947257"
"Limited","1987","Couple + C. LE 16 ","Rural Area","10","","",""
"Limited","1987","Couple + C. LE 16 ","Urban Area","29","","",""
"Limited","1987","Couple + C. LE and GT 16","Rural Area","16","","",""
"Limited","1987","Couple + C. LE and GT 16","Urban Area","49","0.360654240709401","0.275446001340563","0.445862480078239"
"Limited","1987","Single parent ","Rural Area","3","","",""
"Limited","1987","Single parent ","Urban Area","19","","",""
"Permanent","1987","(Married) couple without C. ","Rural Area","40","0.893828456955964","0.803822140712562","0.983834773199365"
"Permanent","1987","(Married) couple without C. ","Urban Area","144","0.7897327004691","0.731170478272229","0.848294922665972"
"Permanent","1987","1-pers.-HH","Rural Area","7","","",""
"Permanent","1987","1-pers.-HH","Urban Area","53","0.744749449910475","0.645410247198753","0.844088652622198"
"Permanent","1987","Couple + C. GT 16 ","Rural Area","32","0.570087645075813","0.441567430845535","0.698607859306092"
"Permanent","1987","Couple + C. GT 16 ","Urban Area","119","0.613699358208562","0.546387650052743","0.681011066364382"
"Permanent","1987","Couple + C. LE 16 ","Rural Area","43","0.800158004338142","0.692501217829494","0.90781479084679"
"Permanent","1987","Couple + C. LE 16 ","Urban Area","154","0.85689702035178","0.806161607258437","0.907632433445123"
"Permanent","1987","Couple + C. LE and GT 16","Rural Area","30","0.640201080382341","0.501507198413057","0.778894962351624"
"Permanent","1987","Couple + C. LE and GT 16","Urban Area","73","0.639345759290599","0.554137519921761","0.724553998659437"
"Permanent","1987","Single parent ","Rural Area","19","","",""
"Permanent","1987","Single parent ","Urban Area","29","","",""
"Limited","1988","(Married) couple without C. ","Rural Area","18","","",""
"Limited","1988","(Married) couple without C. ","Urban Area","59","0.0654554035194426","0.0496444911417383","0.0812663158971468"
"Limited","1988","1-pers.-HH","Rural Area","10","","",""
"Limited","1988","1-pers.-HH","Urban Area","29","","",""
