"plb0037_h","year","e11102","n","percent","lower_confidence","upper_confidence"
"Limited","1985","Employed","637","0.118260854623505","0.109832600702059","0.126689108544951"
"Limited","1985","Not Employed","51","0.453893120968709","0.366263108716917","0.5415231332205"
"Permanent","1985","Employed","5002","0.881739145376495","0.873310891455049","0.890167399297941"
"Permanent","1985","Not Employed","73","0.546106879031291","0.4584768667795","0.633736891283083"
"Limited","1986","Employed","197","0.24640241263543","0.216542032982286","0.276262792288574"
"Limited","1986","Not Employed","21","","",""
"Permanent","1986","Employed","603","0.75359758736457","0.723737207711426","0.783457967017714"
"Permanent","1986","Not Employed","21","","",""
"Limited","1987","Employed","309","0.269264790299157","0.242698974537611","0.295830606060703"
"Limited","1987","Not Employed","28","","",""
"Permanent","1987","Employed","762","0.730735209700843","0.704169393939297","0.757301025462388"
"Permanent","1987","Not Employed","41","0.595822652089899","0.480033456791573","0.711611847388225"
"Limited","1988","Employed","601","0.109690139722441","0.10121670808252","0.118163571362362"
"Limited","1988","Not Employed","52","0.468402083968765","0.366436121831393","0.570368046106138"
"Permanent","1988","Employed","4624","0.890309860277559","0.881836428637638","0.89878329191748"
"Permanent","1988","Not Employed","40","0.531597916031235","0.429631953893862","0.633563878168607"
"Limited","1989","Employed","221","0.231346708162204","0.202658332926962","0.260035083397446"
"Limited","1989","Not Employed","32","0.468213132498834","0.348731461127128","0.587694803870541"
"Permanent","1989","Employed","609","0.768653291837796","0.739964916602554","0.797341667073038"
"Permanent","1989","Not Employed","35","0.531786867501166","0.412305196129459","0.651268538872872"
"Limited","1990","Employed","204","0.212260446929827","0.185243727149638","0.239277166710017"
"Limited","1990","Not Employed","24","","",""
"Permanent","1990","Employed","676","0.787739553070173","0.760722833289983","0.814756272850362"
"Permanent","1990","Not Employed","32","0.516865587970204","0.38598450715406","0.647746668786347"
"Limited","1991","Employed","198","0.222170802971504","0.194290032665883","0.250051573277125"
"Limited","1991","Not Employed","23","","",""
"Permanent","1991","Employed","656","0.777829197028496","0.749948426722875","0.805709967334117"
"Permanent","1991","Not Employed","56","0.675810101411704","0.572594196577255","0.779026006246153"
"Limited","1992","Employed","358","0.232588699448689","0.211460578060292","0.253716820837087"
"Limited","1992","Not Employed","37","0.524738792887068","0.406907317666729","0.642570268107408"
"Permanent","1992","Employed","1178","0.767411300551311","0.746283179162913","0.788539421939708"
"Permanent","1992","Not Employed","32","0.475261207112932","0.357429731892592","0.593092682333271"
"Limited","1993","Employed","290","0.231087330299968","0.2080756565312","0.254099004068735"
"Limited","1993","Not Employed","29","","",""
"Permanent","1993","Employed","999","0.768912669700032","0.745900995931265","0.7919243434688"
"Permanent","1993","Not Employed","55","0.734840155565416","0.640443030881434","0.829237280249399"
"Limited","1994","Employed","361","0.295191869793398","0.268863674792246","0.32152006479455"
"Limited","1994","Not Employed","52","0.535942636730424","0.435658722518227","0.636226550942622"
"Permanent","1994","Employed","792","0.704808130206602","0.67847993520545","0.731136325207754"
"Permanent","1994","Not Employed","43","0.464057363269576","0.363773449057378","0.564341277481773"
"Limited","1995","Employed","859","0.115625234410847","0.108157072396377","0.123093396425317"
"Limited","1995","Not Employed","73","0.429153407535747","0.353401747218522","0.504905067852973"
"Permanent","1995","Employed","6184","0.884374765589153","0.876906603574683","0.891842927603623"
"Permanent","1995","Not Employed","91","0.570846592464253","0.495094932147027","0.646598252781478"
"Limited","1996","Employed","799","0.110807231760038","0.103374420228285","0.118240043291792"
"Limited","1996","Not Employed","68","0.500010776662407","0.417481404941497","0.582540148383317"
"Permanent","1996","Employed","6052","0.889192768239962","0.881759956708208","0.896625579771715"
"Permanent","1996","Not Employed","73","0.499989223337593","0.417459851616683","0.582518595058503"
"Limited","1997","Employed","888","0.129131711481338","0.121069380663241","0.137194042299435"
"Limited","1997","Not Employed","75","0.462105802915913","0.373637577403541","0.550574028428285"
"Permanent","1997","Employed","5758","0.870868288518662","0.862805957700565","0.878930619336759"
"Permanent","1997","Not Employed","47","0.537894197084087","0.449425971571716","0.626362422596459"
"Limited","1998","Employed","958","0.123958586429687","0.116394522894548","0.131522649964825"
"Limited","1998","Not Employed","75","0.534166043033012","0.448416833606808","0.619915252459215"
"Permanent","1998","Employed","6333","0.876041413570313","0.868477350035175","0.883605477105452"
"Permanent","1998","Not Employed","55","0.465833956966988","0.380084747540785","0.551583166393192"
"Limited","1999","Employed","1051","0.134086916715506","0.126227146575498","0.141946686855514"
"Limited","1999","Not Employed","54","0.446592511023717","0.359441722976448","0.533743299070986"
"Permanent","1999","Employed","6169","0.865913083284494","0.858053313144486","0.873772853424502"
"Permanent","1999","Not Employed","71","0.553407488976283","0.466256700929014","0.640558277023552"
"Limited","2000","Employed","1567","0.131777387366779","0.125599327495656","0.137955447237901"
"Limited","2000","Not Employed","119","0.5392159178088","0.472432092645187","0.605999742972412"
"Permanent","2000","Employed","9948","0.868222612633221","0.862044552762099","0.874400672504344"
"Permanent","2000","Not Employed","95","0.4607840821912","0.394000257027588","0.527567907354813"
"Limited","2001","Employed","1429","0.131031117032643","0.124575066882717","0.137487167182568"
"Limited","2001","Not Employed","102","0.580155365855385","0.509037504680445","0.651273227030326"
"Permanent","2001","Employed","9065","0.868968882967358","0.862512832817432","0.875424933117283"
"Permanent","2001","Not Employed","83","0.419844634144615","0.348726772969674","0.490962495319555"
"Limited","2002","Employed","1436","0.133872855661488","0.127520711981846","0.140224999341129"
"Limited","2002","Not Employed","96","0.607595777042894","0.531936478710191","0.683255075375597"
"Permanent","2002","Employed","9603","0.866127144338512","0.859775000658871","0.872479288018154"
"Permanent","2002","Not Employed","64","0.392404222957106","0.316744924624403","0.468063521289809"
"Limited","2003","Employed","1374","0.134766719999743","0.128190625056931","0.141342814942556"
"Limited","2003","Not Employed","77","0.598027888328539","0.513745837414033","0.682309939243044"
"Permanent","2003","Employed","8984","0.865233280000257","0.858657185057444","0.871809374943069"
"Permanent","2003","Not Employed","53","0.401972111671461","0.317690060756956","0.486254162585967"
"Limited","2004","Employed","1366","0.144752639181173","0.137846806166011","0.151658472196334"
"Limited","2004","Not Employed","82","0.610776573399258","0.528222907527528","0.693330239270988"
"Permanent","2004","Employed","8606","0.855247360818827","0.848341527803666","0.862153193833989"
"Permanent","2004","Not Employed","52","0.389223426600742","0.306669760729012","0.471777092472472"
"Limited","2005","Employed","1212","0.139851238284776","0.132924802753181","0.146777673816372"
"Limited","2005","Not Employed","78","0.60919934168214","0.524003151478725","0.694395531885554"
"Permanent","2005","Employed","8420","0.860148761715224","0.853222326183628","0.867075197246819"
"Permanent","2005","Not Employed","48","0.39080065831786","0.305604468114445","0.475996848521275"
"Limited","2006","Employed","1333","0.145790209875663","0.138898346088437","0.152682073662889"
"Limited","2006","Not Employed","80","0.558180464173714","0.477070050055467","0.639290878291962"
"Permanent","2006","Employed","8739","0.854209790124337","0.847317926337111","0.861101653911563"
"Permanent","2006","Not Employed","64","0.441819535826286","0.360709121708038","0.522929949944533"
"Limited","2007","Employed","1315","0.147412956960821","0.140326064985499","0.154499848936143"
"Limited","2007","Not Employed","89","0.628865541590455","0.553296693295142","0.704434389885768"
"Permanent","2007","Employed","8298","0.852587043039179","0.845500151063857","0.859673935014501"
"Permanent","2007","Not Employed","68","0.371134458409545","0.295565610114232","0.446703306704858"
"Limited","2008","Employed","1287","0.150707032291957","0.143414696316733","0.157999368267181"
"Limited","2008","Not Employed","81","0.549442090816427","0.469552310160501","0.629331871472354"
"Permanent","2008","Employed","7959","0.849292967708043","0.842000631732819","0.856585303683267"
"Permanent","2008","Not Employed","68","0.450557909183573","0.370668128527646","0.530447689839499"
"Limited","2009","Employed","1242","0.153010857708509","0.145422627082367","0.160599088334652"
"Limited","2009","Not Employed","49","0.482238835100834","0.383809098971337","0.580668571230331"
"Permanent","2009","Employed","7404","0.846989142291491","0.839400911665348","0.854577372917633"
"Permanent","2009","Not Employed","50","0.517761164899166","0.419331428769669","0.616190901028663"
"Limited","2010","Employed","1724","0.153734845961775","0.147206359107713","0.160263332815836"
"Limited","2010","Not Employed","131","0.536447676133565","0.479638917288143","0.593256434978987"
"Permanent","2010","Employed","10002","0.846265154038225","0.839736667184164","0.852793640892287"
"Permanent","2010","Not Employed","165","0.463552323866435","0.406743565021013","0.520361082711857"
"Limited","2011","Employed","2033","0.155093920127354","0.149150837224889","0.161037003029818"
"Limited","2011","Not Employed","146","0.468553682746305","0.416349667049723","0.520757698442886"
"Permanent","2011","Employed","12219","0.844906079872646","0.838962996970182","0.850849162775111"
"Permanent","2011","Not Employed","205","0.531446317253695","0.479242301557114","0.583650332950277"
"Limited","2012","Employed","2123","0.156892647859655","0.150885207081777","0.162900088637533"
