"plb0037_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","16-34 y.","lower secondary degree","887","0.8223397220142","0.799731431560919","0.84494801246748"
"Permanent","1985","16-34 y.","secondary school degree","455","0.733604019523452","0.698890491636763","0.768317547410142"
"Permanent","1985","16-34 y.","college entrance qualification","223","0.6684725396599","0.618433361113839","0.718511718205962"
"Permanent","1985","16-34 y.","Other degree","221","0.817431869259522","0.770109511377599","0.864754227141445"
"Permanent","1985","16-34 y.","no degree/no degree yet","101","0.852178020706452","0.78644648929518","0.917909552117723"
"Permanent","1985","35-65 y.","lower secondary degree","1449","0.961988331175882","0.95233692060876","0.971639741743004"
"Permanent","1985","35-65 y.","secondary school degree","410","0.963370286465879","0.94555275484646","0.981187818085298"
"Permanent","1985","35-65 y.","college entrance qualification","311","0.958584714782869","0.93695579304979","0.980213636515947"
"Permanent","1985","35-65 y.","Other degree","581","0.959456900748615","0.943714874122397","0.975198927374833"
"Permanent","1985","35-65 y.","no degree/no degree yet","368","0.956065414755876","0.935619737162031","0.97651109234972"
"Permanent","1985","66 and older","lower secondary degree","10","","",""
"Permanent","1985","66 and older","secondary school degree","2","","",""
"Permanent","1985","66 and older","college entrance qualification","1","","",""
"Permanent","1985","66 and older","Other degree","1","","",""
"Permanent","1985","66 and older","no degree/no degree yet","","","",""
"Limited","1985","16-34 y.","lower secondary degree","211","0.1776602779858","0.15505198753252","0.200268568439081"
"Limited","1985","16-34 y.","secondary school degree","168","0.266395980476548","0.231682452589858","0.301109508363237"
"Limited","1985","16-34 y.","college entrance qualification","117","0.331527460340099","0.281488281794038","0.381566638886161"
"Limited","1985","16-34 y.","Other degree","35","0.182568130740478","0.135245772858555","0.229890488622401"
"Limited","1985","16-34 y.","no degree/no degree yet","11","","",""
"Limited","1985","35-65 y.","lower secondary degree","59","0.0380116688241183","0.0283602582569963","0.0476630793912404"
"Limited","1985","35-65 y.","secondary school degree","17","","",""
"Limited","1985","35-65 y.","college entrance qualification","15","","",""
"Limited","1985","35-65 y.","Other degree","22","","",""
"Limited","1985","35-65 y.","no degree/no degree yet","18","","",""
"Limited","1985","66 and older","lower secondary degree","","","",""
"Limited","1985","66 and older","secondary school degree","","","",""
"Limited","1985","66 and older","college entrance qualification","","","",""
"Limited","1985","66 and older","Other degree","","","",""
"Limited","1985","66 and older","no degree/no degree yet","","","",""
"Permanent","1986","16-34 y.","lower secondary degree","205","0.746486436527827","0.695713170880253","0.7972597021754"
"Permanent","1986","16-34 y.","secondary school degree","109","0.604736393023089","0.532913225022955","0.676559561023222"
"Permanent","1986","16-34 y.","college entrance qualification","81","0.652931559787534","0.567402046075355","0.738461073499713"
"Permanent","1986","16-34 y.","Other degree","21","","",""
"Permanent","1986","16-34 y.","no degree/no degree yet","17","","",""
"Permanent","1986","35-65 y.","lower secondary degree","101","0.929001756581238","0.880565755211321","0.977437757951156"
"Permanent","1986","35-65 y.","secondary school degree","27","","",""
"Permanent","1986","35-65 y.","college entrance qualification","28","","",""
"Permanent","1986","35-65 y.","Other degree","19","","",""
"Permanent","1986","35-65 y.","no degree/no degree yet","10","","",""
"Permanent","1986","66 and older","lower secondary degree","","","",""
"Permanent","1986","66 and older","secondary school degree","","","",""
"Permanent","1986","66 and older","college entrance qualification","","","",""
"Permanent","1986","66 and older","Other degree","","","",""
"Permanent","1986","66 and older","no degree/no degree yet","","","",""
"Limited","1986","16-34 y.","lower secondary degree","77","0.253513563472173","0.2027402978246","0.304286829119747"
"Limited","1986","16-34 y.","secondary school degree","69","0.395263606976911","0.323440438976778","0.467086774977045"
"Limited","1986","16-34 y.","college entrance qualification","38","0.347068440212466","0.261538926500287","0.432597953924645"
"Limited","1986","16-34 y.","Other degree","7","","",""
