"plb0037_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","indirect migration background","inadequately","","","","","2"
"Limited","1985","indirect migration background","general elemantary","14","","","","2"
"Limited","1985","indirect migration background","higher vocational","","","","","2"
"Limited","1985","indirect migration background","in school","","","","","2"
"Limited","1985","indirect migration background","higher education","","","","","2"
"Limited","1985","indirect migration background","middle vocational","4","","","","2"
"Limited","1985","indirect migration background","vocational + Abi","","","","","2"
"Limited","1985","no migration background","higher education","58","0.122277672821998","0.0912407710442959","0.153314574599699","2"
"Limited","1985","no migration background","higher vocational","12","","","","2"
"Limited","1985","direct migration background","middle vocational","63","0.0964449576775289","0.0732085323894716","0.119681382965586","2"
"Limited","1985","direct migration background","vocational + Abi","6","","","","2"
"Limited","1985","direct migration background","higher vocational","4","","","","2"
"Limited","1985","direct migration background","higher education","13","","","","2"
"Limited","1985","no migration background","middle vocational","186","0.0833642892812468","0.0719750628750844","0.0947535156874091","2"
"Limited","1985","no migration background","general elemantary","209","0.285162462510802","0.25265456811395","0.317670356907655","2"
"Limited","1985","no migration background","vocational + Abi","7","","","","2"
"Limited","1985","no migration background","inadequately","5","","","","2"
"Limited","1985","direct migration background","in school","","","","","2"
"Limited","1985","direct migration background","inadequately","20","","","","2"
"Limited","1985","direct migration background","general elemantary","73","0.124565281186561","0.0977136660196901","0.151416896353432","2"
"Limited","1985","no migration background","in school","1","","","","2"
"Permanent","1985","no migration background","in school","4","","","","1"
"Permanent","1985","no migration background","inadequately","27","","","","1"
"Permanent","1985","no migration background","general elemantary","532","0.714837537489198","0.682329643092345","0.74734543188605","1"
"Permanent","1985","no migration background","middle vocational","2077","0.916635710718753","0.905246484312591","0.928024937124916","1"
"Permanent","1985","no migration background","vocational + Abi","78","0.93198344393496","0.878459261045869","0.985507626824051","1"
"Permanent","1985","no migration background","higher vocational","300","0.963577937043479","0.942790713420537","0.984365160666421","1"
"Permanent","1985","no migration background","higher education","370","0.877722327178002","0.846685425400301","0.908759228955704","1"
"Permanent","1985","direct migration background","in school","","","","","1"
"Permanent","1985","direct migration background","inadequately","392","0.946034597939274","0.924216810752292","0.967852385126256","1"
"Permanent","1985","direct migration background","general elemantary","508","0.875434718813439","0.848583103646568","0.90228633398031","1"
"Permanent","1985","direct migration background","middle vocational","557","0.903555042322471","0.880318617034414","0.926791467610528","1"
"Permanent","1985","direct migration background","vocational + Abi","67","0.85601886646021","0.775484522837596","0.936553210082824","1"
"Permanent","1985","direct migration background","higher vocational","24","","","","1"
"Permanent","1985","direct migration background","higher education","56","0.825667381894724","0.736148337834354","0.915186425955094","1"
"Permanent","1985","indirect migration background","in school","","","","","1"
"Permanent","1985","indirect migration background","inadequately","1","","","","1"
"Permanent","1985","indirect migration background","general elemantary","11","","","","1"
"Permanent","1985","indirect migration background","middle vocational","25","","","","1"
"Permanent","1985","indirect migration background","vocational + Abi","","","","","1"
"Permanent","1985","indirect migration background","higher vocational","3","","","","1"
"Permanent","1985","indirect migration background","higher education","2","","","","1"
"Limited","1986","indirect migration background","general elemantary","4","","","","2"
"Limited","1986","indirect migration background","in school","","","","","2"
"Limited","1986","indirect migration background","inadequately","","","","","2"
"Limited","1986","indirect migration background","higher vocational","","","","","2"
"Limited","1986","indirect migration background","vocational + Abi","","","","","2"
"Limited","1986","indirect migration background","higher education","","","","","2"
"Limited","1986","no migration background","higher education","24","","","","2"
"Limited","1986","indirect migration background","middle vocational","3","","","","2"
"Limited","1986","no migration background","higher vocational","2","","","","2"
"Limited","1986","no migration background","middle vocational","55","0.174458387551374","0.134699934285906","0.214216840816842","2"
"Limited","1986","direct migration background","vocational + Abi","1","","","","2"
"Limited","1986","direct migration background","higher education","1","","","","2"
"Limited","1986","no migration background","inadequately","4","","","","2"
"Limited","1986","direct migration background","middle vocational","12","","","","2"
"Limited","1986","direct migration background","higher vocational","1","","","","2"
"Limited","1986","no migration background","general elemantary","75","0.57417150187037","0.491068480286251","0.65727452345449","2"
"Limited","1986","no migration background","in school","2","","","","2"
"Limited","1986","no migration background","vocational + Abi","2","","","","2"
"Limited","1986","direct migration background","in school","","","","","2"
"Limited","1986","direct migration background","inadequately","5","","","","2"
"Limited","1986","direct migration background","general elemantary","24","","","","2"
"Permanent","1986","no migration background","in school","","","","","1"
