"plb0037_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","16-34 y.","Male","322","0.234040490406643","0.211869891285295","0.256211089527992","2"
"Limited","1985","16-34 y.","Female","235","0.236864602765393","0.211318293920155","0.26241091161063","2"
"Limited","1985","35-65 y.","Male","67","0.0269331493912083","0.0200484379295097","0.0338178608529069","2"
"Limited","1985","35-65 y.","Female","64","0.0580092265807528","0.0445570995895654","0.0714613535719401","2"
"Limited","1985","66 and older","Male","","","","","2"
"Limited","1985","66 and older","Female","","","","","2"
"Permanent","1985","16-34 y.","Male","1079","0.765959509593357","0.743788910472008","0.788130108714705","1"
"Permanent","1985","16-34 y.","Female","829","0.763135397234607","0.73758908838937","0.788681706079845","1"
"Permanent","1985","35-65 y.","Male","2057","0.973066850608792","0.966182139147093","0.97995156207049","1"
"Permanent","1985","35-65 y.","Female","1096","0.941990773419247","0.92853864642806","0.955442900410435","1"
"Permanent","1985","66 and older","Male","6","","","","1"
"Permanent","1985","66 and older","Female","8","","","","1"
"Limited","1986","16-34 y.","Female","87","0.347795846532434","0.289453742935442","0.406137950129426","2"
"Limited","1986","16-34 y.","Male","116","0.313888652876395","0.26747266608584","0.360304639666951","2"
"Limited","1986","35-65 y.","Female","5","","","","2"
"Limited","1986","35-65 y.","Male","10","","","","2"
"Limited","1986","66 and older","Male","","","","","2"
"Limited","1986","66 and older","Female","","","","","2"
"Permanent","1986","16-34 y.","Male","268","0.686111347123605","0.639695360333049","0.73252733391416","1"
"Permanent","1986","16-34 y.","Female","169","0.652204153467566","0.593862049870574","0.710546257064558","1"
"Permanent","1986","35-65 y.","Male","124","0.940772981762946","0.900806304419592","0.980739659106301","1"
"Permanent","1986","35-65 y.","Female","63","0.906518177380497","0.837327835143439","0.975708519617555","1"
"Permanent","1986","66 and older","Male","","","","","1"
"Permanent","1986","66 and older","Female","","","","","1"
"Limited","1987","16-34 y.","Male","154","0.298215563176299","0.257332580626936","0.339098545725662","2"
"Limited","1987","16-34 y.","Female","148","0.372681873283468","0.323809073198893","0.421554673368043","2"
"Limited","1987","35-65 y.","Female","16","","","","2"
"Limited","1987","35-65 y.","Male","19","","","","2"
"Limited","1987","66 and older","Male","","","","","2"
"Limited","1987","66 and older","Female","","","","","2"
"Permanent","1987","16-34 y.","Male","327","0.701784436823701","0.660901454274338","0.742667419373064","1"
"Permanent","1987","16-34 y.","Female","228","0.627318126716532","0.578445326631957","0.676190926801107","1"
"Permanent","1987","35-65 y.","Male","153","0.894498335327282","0.848588758249172","0.940407912405391","1"
"Permanent","1987","35-65 y.","Female","95","0.839644921533461","0.771383426821377","0.907906416245544","1"
"Permanent","1987","66 and older","Male","","","","","1"
"Permanent","1987","66 and older","Female","","","","","1"
"Limited","1988","16-34 y.","Male","314","0.218312390587012","0.196381515071391","0.240243266102632","2"
"Limited","1988","16-34 y.","Female","227","0.20387531249641","0.17897974868395","0.22877087630887","2"
"Limited","1988","35-65 y.","Male","53","0.0300219498269643","0.0222667673756666","0.037777132278262","2"
"Limited","1988","35-65 y.","Female","56","0.0581302716407984","0.0441427602064937","0.0721177830751032","2"
"Limited","1988","66 and older","Male","2","","","","2"
"Limited","1988","66 and older","Female","1","","","","2"
"Permanent","1988","16-34 y.","Male","1049","0.781687609412988","0.759756733897368","0.803618484928609","1"
"Permanent","1988","16-34 y.","Female","779","0.79612468750359","0.77122912369113","0.82102025131605","1"
"Permanent","1988","35-65 y.","Male","1807","0.969978050173036","0.962222867721738","0.977733232624333","1"
"Permanent","1988","35-65 y.","Female","1019","0.941869728359202","0.927882216924897","0.955857239793506","1"
"Permanent","1988","66 and older","Male","4","","","","1"
"Permanent","1988","66 and older","Female","6","","","","1"
"Limited","1989","16-34 y.","Male","107","0.262849197002324","0.217814571285082","0.307883822719566","2"
"Limited","1989","16-34 y.","Female","101","0.281923150481428","0.231510653325237","0.332335647637618","2"
"Limited","1989","35-65 y.","Male","16","","","","2"
"Limited","1989","35-65 y.","Female","29","","","","2"
"Limited","1989","66 and older","Male","","","","","2"
"Limited","1989","66 and older","Female","","","","","2"
