"plb0037_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Schleswig-Holstein","1-pers.-HH","17","","",""
"Permanent","1985","Schleswig-Holstein","(Married) couple without C. ","38","0.977189811352213","0.930333327992736","1.02404629471169"
"Permanent","1985","Schleswig-Holstein","Single parent ","11","","",""
"Permanent","1985","Schleswig-Holstein","Couple + C. LE 16 ","48","0.909702448068623","0.833259244174542","0.986145651962705"
"Permanent","1985","Schleswig-Holstein","Couple + C. GT 16 ","26","","",""
"Permanent","1985","Schleswig-Holstein","Couple + C. LE and GT 16","17","","",""
"Permanent","1985","Hamburg","1-pers.-HH","22","","",""
"Permanent","1985","Hamburg","(Married) couple without C. ","41","0.92806229849994","0.851715892649269","1.00440870435061"
"Permanent","1985","Hamburg","Single parent ","5","","",""
"Permanent","1985","Hamburg","Couple + C. LE 16 ","35","0.903459750730795","0.809559899249726","0.997359602211864"
"Permanent","1985","Hamburg","Couple + C. GT 16 ","15","","",""
"Permanent","1985","Hamburg","Couple + C. LE and GT 16","11","","",""
"Permanent","1985","Lower Saxony","1-pers.-HH","37","0.875322551928039","0.775414277759609","0.975230826096469"
"Permanent","1985","Lower Saxony","(Married) couple without C. ","103","0.927470224776495","0.879220509441429","0.975719940111561"
"Permanent","1985","Lower Saxony","Single parent ","19","","",""
"Permanent","1985","Lower Saxony","Couple + C. LE 16 ","124","0.964634035113834","0.932636453724712","0.996631616502956"
"Permanent","1985","Lower Saxony","Couple + C. GT 16 ","86","0.83280991164567","0.760395299085676","0.905224524205663"
"Permanent","1985","Lower Saxony","Couple + C. LE and GT 16","49","0.792714368844521","0.690145532097498","0.895283205591544"
"Permanent","1985","Bremen","1-pers.-HH","5","","",""
"Permanent","1985","Bremen","(Married) couple without C. ","6","","",""
"Permanent","1985","Bremen","Single parent ","1","","",""
"Permanent","1985","Bremen","Couple + C. LE 16 ","9","","",""
"Permanent","1985","Bremen","Couple + C. GT 16 ","3","","",""
"Permanent","1985","Bremen","Couple + C. LE and GT 16","3","","",""
"Permanent","1985","North Rhine-Westphalia","1-pers.-HH","132","0.872214140048594","0.818608816912891","0.925819463184297"
"Permanent","1985","North Rhine-Westphalia","(Married) couple without C. ","288","0.941399982512172","0.915083772500725","0.96771619252362"
"Permanent","1985","North Rhine-Westphalia","Single parent ","45","0.781944942051071","0.673795259907401","0.890094624194742"
