"plb0037_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","66 and older","","","","","2"
"Limited","1985","16-34 y.","557","0.235311821687471","0.218566106888633","0.252057536486309","2"
"Limited","1985","35-65 y.","131","0.0383161672488842","0.0317508804225027","0.0448814540752658","2"
"Permanent","1985","16-34 y.","1908","0.764688178312529","0.747942463513691","0.781433893111367","1"
"Permanent","1985","35-65 y.","3153","0.961683832751116","0.955118545924734","0.968249119577497","1"
"Permanent","1985","66 and older","14","","","","1"
"Limited","1986","66 and older","","","","","2"
"Limited","1986","16-34 y.","203","0.327944870607697","0.291573390443824","0.364316350771571","2"
"Limited","1986","35-65 y.","15","","","","2"
"Permanent","1986","16-34 y.","437","0.672055129392302","0.635683649228429","0.708426609556176","1"
"Permanent","1986","35-65 y.","187","0.929421506454975","0.894101973074628","0.964741039835322","1"
"Permanent","1986","66 and older","","","","","1"
"Limited","1987","66 and older","","","","","2"
"Limited","1987","16-34 y.","302","0.333057367528727","0.30150285740148","0.364611877655974","2"
"Limited","1987","35-65 y.","35","0.127605011535838","0.088732256651799","0.166477766419878","2"
"Permanent","1987","16-34 y.","555","0.666942632471273","0.635388122344026","0.69849714259852","1"
"Permanent","1987","35-65 y.","248","0.872394988464162","0.833522233580122","0.911267743348201","1"
"Permanent","1987","66 and older","","","","","1"
"Limited","1988","66 and older","3","","","","2"
"Limited","1988","16-34 y.","541","0.211903317609609","0.195447321031001","0.228359314188218","2"
"Limited","1988","35-65 y.","109","0.0405157215631506","0.0333826799330324","0.0476487631932688","2"
"Permanent","1988","16-34 y.","1828","0.788096682390391","0.771640685811782","0.804552678968999","1"
"Permanent","1988","35-65 y.","2826","0.959484278436849","0.952351236806731","0.966617320066968","1"
"Permanent","1988","66 and older","10","","","","1"
"Limited","1989","66 and older","","","","","2"
"Limited","1989","16-34 y.","208","0.271993703491836","0.238374489780778","0.305612917202895","2"
"Limited","1989","35-65 y.","45","0.178776400306839","0.128598800122285","0.228954000491392","2"
"Permanent","1989","16-34 y.","465","0.728006296508164","0.694387082797105","0.761625510219222","1"
"Permanent","1989","35-65 y.","179","0.821223599693161","0.771045999508608","0.871401199877715","1"
"Permanent","1989","66 and older","","","","","1"
"Limited","1990","66 and older","","","","","2"
"Limited","1990","16-34 y.","184","0.255332446402401","0.22211598878067","0.288548904024132","2"
"Limited","1990","35-65 y.","44","0.161714330651705","0.118038915461135","0.205389745842275","2"
"Permanent","1990","16-34 y.","478","0.744667553597599","0.711451095975868","0.77788401121933","1"
"Permanent","1990","35-65 y.","229","0.838285669348295","0.794610254157725","0.881961084538865","1"
"Permanent","1990","66 and older","1","","","","1"
"Limited","1991","66 and older","","","","","2"
"Limited","1991","16-34 y.","273","0.266910853394828","0.239535537690809","0.294286169098847","2"
"Limited","1991","35-65 y.","115","0.172737724322368","0.143876111868046","0.20159933677669","2"
"Permanent","1991","16-34 y.","730","0.733089146605172","0.705713830901153","0.760464462309191","1"
"Permanent","1991","35-65 y.","544","0.827262275677632","0.79840066322331","0.856123888131954","1"
"Permanent","1991","66 and older","2","","","","1"
"Limited","1992","16-34 y.","253","0.283320713658816","0.254075670833037","0.312565756484595","2"
"Limited","1992","66 and older","1","","","","2"
"Limited","1992","35-65 y.","141","0.187673704775369","0.158561437028788","0.21678597252195","2"
"Permanent","1992","35-65 y.","550","0.812326295224631","0.78321402747805","0.841438562971212","1"
"Permanent","1992","66 and older","1","","","","1"
"Permanent","1992","16-34 y.","659","0.716679286341184","0.687434243515405","0.745924329166963","1"
"Limited","1993","16-34 y.","213","0.263681322696808","0.233559255366073","0.293803390027542","2"
"Limited","1993","66 and older","","","","","2"
"Limited","1993","35-65 y.","106","0.188428222810366","0.155776301927148","0.221080143693583","2"
"Permanent","1993","35-65 y.","445","0.811571777189634","0.778919856306417","0.844223698072852","1"
"Permanent","1993","66 and older","","","","","1"
"Permanent","1993","16-34 y.","609","0.736318677303192","0.706196609972458","0.766440744633927","1"
"Limited","1994","16-34 y.","303","0.362431164272065","0.329767663043654","0.395094665500475","2"
"Limited","1994","66 and older","","","","","2"
"Limited","1994","35-65 y.","110","0.223090201230244","0.183084031530158","0.26309637093033","2"
"Permanent","1994","35-65 y.","306","0.776909798769756","0.73690362906967","0.816915968469842","1"
"Permanent","1994","66 and older","","","","","1"
"Permanent","1994","16-34 y.","529","0.637568835727935","0.604905334499525","0.670232336956346","1"
"Limited","1995","16-34 y.","670","0.216725927446539","0.202280333908537","0.23117152098454","2"
"Limited","1995","66 and older","3","","","","2"
"Limited","1995","35-65 y.","259","0.0602101090741537","0.0528975749188313","0.0675226432294761","2"
"Permanent","1995","35-65 y.","3806","0.939789890925846","0.932477356770524","0.947102425081169","1"
"Permanent","1995","66 and older","14","","","","1"
"Permanent","1995","16-34 y.","2455","0.783274072553461","0.76882847901546","0.797719666091463","1"
"Limited","1996","16-34 y.","621","0.202499648316511","0.188015265082931","0.21698403155009","2"
"Limited","1996","66 and older","","","","","2"
"Limited","1996","35-65 y.","246","0.0663773901088294","0.0586839101925153","0.0740708700251436","2"
"Permanent","1996","35-65 y.","3776","0.933622609891171","0.925929129974856","0.941316089807485","1"
"Permanent","1996","66 and older","13","","","","1"
"Permanent","1996","16-34 y.","2336","0.797500351683489","0.78301596844991","0.811984734917068","1"
"Limited","1997","66 and older","3","","","","2"
"Limited","1997","16-34 y.","710","0.244682350778656","0.228915856845407","0.260448844711905","2"
"Limited","1997","35-65 y.","250","0.0662210058661145","0.058411666491216","0.074030345241013","2"
"Permanent","1997","35-65 y.","3645","0.933778994133886","0.925969654758987","0.941588333508784","1"
"Permanent","1997","66 and older","14","","","","1"
"Permanent","1997","16-34 y.","2146","0.755317649221344","0.739551155288095","0.771084143154593","1"
"Limited","1998","66 and older","2","","","","2"
"Limited","1998","16-34 y.","783","0.262011432105103","0.246263098168477","0.277759766041728","2"
"Limited","1998","35-65 y.","248","0.0571929048895266","0.0503363123251022","0.0640494974539511","2"
"Permanent","1998","35-65 y.","4158","0.942807095110473","0.935950502546049","0.949663687674898","1"
"Permanent","1998","66 and older","18","","","","1"
"Permanent","1998","16-34 y.","2212","0.737988567894897","0.722240233958272","0.753736901831523","1"
"Limited","1999","66 and older","3","","","","2"
"Limited","1999","16-34 y.","799","0.265501543889704","0.249592971644689","0.28141011613472","2"
"Limited","1999","35-65 y.","303","0.0675541755793378","0.0601052617366447","0.075003089422031","2"
"Permanent","1999","35-65 y.","4058","0.932445824420662","0.924996910577969","0.939894738263355","1"
"Permanent","1999","16-34 y.","2161","0.734498456110296","0.71858988386528","0.750407028355311","1"
"Permanent","1999","66 and older","21","","","","1"
"Limited","2000","66 and older","4","","","","2"
"Limited","2000","16-34 y.","1233","0.284837884323842","0.271145691878684","0.298530076769","2"
"Limited","2000","35-65 y.","449","0.0629454385745112","0.0574574002996928","0.0684334768493296","2"
"Permanent","2000","35-65 y.","7074","0.937054561425489","0.93156652315067","0.942542599700307","1"
"Permanent","2000","16-34 y.","2941","0.715162115676158","0.701469923231","0.728854308121316","1"
"Permanent","2000","66 and older","28","","","","1"
"Limited","2001","66 and older","6","","","","2"
"Limited","2001","16-34 y.","1126","0.300328217534177","0.285483399425749","0.315173035642604","2"
"Limited","2001","35-65 y.","399","0.056570380231953","0.0511515259663985","0.0619892344975074","2"
"Permanent","2001","35-65 y.","6583","0.943429619768047","0.938010765502493","0.948848474033601","1"
"Permanent","2001","16-34 y.","2537","0.699671782465823","0.684826964357396","0.714516600574251","1"
"Permanent","2001","66 and older","28","","","","1"
"Limited","2002","66 and older","5","","","","2"
"Limited","2002","16-34 y.","1113","0.313722440899979","0.298369941165053","0.329074940634904","2"
"Limited","2002","35-65 y.","414","0.0567332692278024","0.0515497447500532","0.0619167937055515","2"
"Permanent","2002","35-65 y.","7237","0.943266730772198","0.938083206294449","0.948450255249947","1"
"Permanent","2002","66 and older","34","0.800404569213893","0.674961733017141","0.925847405410644","1"
"Permanent","2002","16-34 y.","2396","0.686277559100021","0.670925059365096","0.701630058834947","1"
"Limited","2003","16-34 y.","1058","0.318218130128917","0.302097433882675","0.334338826375159","2"
"Limited","2003","66 and older","3","","","","2"
"Limited","2003","35-65 y.","390","0.0585177056216633","0.0531117988190824","0.0639236124242441","2"
"Permanent","2003","35-65 y.","6852","0.941482294378337","0.936076387575756","0.946888201180918","1"
"Permanent","2003","66 and older","36","0.944193975214334","0.872151779012055","1.01623617141661","1"
"Permanent","2003","16-34 y.","2149","0.681781869871083","0.665661173624841","0.697902566117325","1"
"Limited","2004","16-34 y.","1060","0.348840297171241","0.331878613172724","0.365801981169757","2"
"Limited","2004","66 and older","3","","","","2"
"Limited","2004","35-65 y.","385","0.0606675804857048","0.0550856810031604","0.0662494799682492","2"
"Permanent","2004","35-65 y.","6641","0.939332419514295","0.933750520031751","0.94491431899684","1"
"Permanent","2004","66 and older","44","0.97690170754754","0.933956516976489","1.01984689811859","1"
"Permanent","2004","16-34 y.","1973","0.651159702828759","0.634198018830243","0.668121386827276","1"
"Limited","2005","16-34 y.","955","0.334470393557431","0.317090757131402","0.35185002998346","2"
"Limited","2005","66 and older","7","","","","2"
"Limited","2005","35-65 y.","328","0.0588165266000999","0.0532525132158599","0.0643805399843399","2"
"Permanent","2005","35-65 y.","6541","0.9411834733999","0.93561946001566","0.94674748678414","1"
"Permanent","2005","66 and older","51","0.832483636801553","0.736377622839837","0.928589650763269","1"
"Permanent","2005","16-34 y.","1876","0.665529606442569","0.64814997001654","0.682909242868598","1"
"Limited","2006","66 and older","12","","","","2"
"Limited","2006","16-34 y.","983","0.357154983057753","0.339413271129062","0.374896694986443","2"
"Limited","2006","35-65 y.","418","0.0635394863037363","0.0579598295180664","0.0691191430894062","2"
"Permanent","2006","35-65 y.","6924","0.936460513696264","0.930880856910594","0.942040170481934","1"
"Permanent","2006","66 and older","60","0.891612566130721","0.819806786771881","0.963418345489561","1"
"Permanent","2006","16-34 y.","1819","0.642845016942247","0.625103305013557","0.660586728870938","1"
"Limited","2007","66 and older","7","","","","2"
"Limited","2007","16-34 y.","974","0.354699006038438","0.336699759644354","0.372698252432521","2"
"Limited","2007","35-65 y.","423","0.0689653610308692","0.0630267660946587","0.0749039559670798","2"
"Permanent","2007","35-65 y.","6571","0.931034638969131","0.92509604403292","0.936973233905341","1"
"Permanent","2007","66 and older","55","0.894531828101046","0.81807595462566","0.970987701576432","1"
"Permanent","2007","16-34 y.","1740","0.645300993961562","0.627301747567478","0.663300240355646","1"
"Limited","2008","66 and older","6","","","","2"
"Limited","2008","16-34 y.","929","0.34608513268853","0.327678606109523","0.364491659267536","2"
"Limited","2008","35-65 y.","433","0.0782991692117421","0.0718937921818158","0.0847045462416683","2"
"Permanent","2008","35-65 y.","6324","0.921700830788258","0.915295453758332","0.928106207818184","1"
"Permanent","2008","16-34 y.","1637","0.65391486731147","0.635508340732464","0.672321393890477","1"
"Permanent","2008","66 and older","66","0.883370878346418","0.80923014383639","0.957511612856447","1"
"Limited","2009","66 and older","16","","","","2"
