"plb0037_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","West Germany","Female","299","0.145093154897315","0.130482023204793","0.159704286589836","2"
"Limited","1985","East Germany","Female","","","","","2"
"Limited","1985","West Germany","Male","389","0.110674613277199","0.100326680857943","0.121022545696455","2"
"Limited","1985","East Germany","Male","","","","","2"
"Permanent","1985","West Germany","Male","3142","0.889325386722801","0.878977454303545","0.899673319142057","1"
"Permanent","1985","West Germany","Female","1933","0.854906845102685","0.840295713410164","0.869517976795207","1"
"Permanent","1985","East Germany","Male","","","","","1"
"Permanent","1985","East Germany","Female","","","","","1"
"Limited","1986","West Germany","Female","92","0.293758718060623","0.244162619091697","0.34335481702955","2"
"Limited","1986","East Germany","Female","","","","","2"
"Limited","1986","West Germany","Male","126","0.243035417969716","0.206098915013305","0.279971920926127","2"
"Limited","1986","East Germany","Male","","","","","2"
"Permanent","1986","West Germany","Male","392","0.756964582030284","0.720028079073873","0.793901084986695","1"
"Permanent","1986","West Germany","Female","232","0.706241281939377","0.65664518297045","0.755837380908303","1"
"Permanent","1986","East Germany","Male","","","","","1"
"Permanent","1986","East Germany","Female","","","","","1"
"Limited","1987","West Germany","Female","164","0.321483346201612","0.280002929908323","0.3629637624949","2"
"Limited","1987","East Germany","Female","","","","","2"
"Limited","1987","West Germany","Male","173","0.241793726181379","0.208953381910732","0.274634070452027","2"
"Limited","1987","East Germany","Male","","","","","2"
"Permanent","1987","West Germany","Female","323","0.678516653798389","0.6370362375051","0.719997070091677","1"
"Permanent","1987","East Germany","Male","","","","","1"
"Permanent","1987","East Germany","Female","","","","","1"
"Permanent","1987","West Germany","Male","480","0.758206273818621","0.725365929547973","0.791046618089268","1"
"Limited","1988","West Germany","Female","284","0.127907275718054","0.113581709383229","0.142232842052879","2"
"Limited","1988","East Germany","Female","","","","","2"
"Limited","1988","West Germany","Male","369","0.107286874453869","0.0966124780843802","0.117961270823357","2"
"Limited","1988","East Germany","Male","","","","","2"
"Permanent","1988","West Germany","Female","1804","0.872092724281946","0.857767157947121","0.88641829061677","1"
"Permanent","1988","East Germany","Male","","","","","1"
"Permanent","1988","East Germany","Female","","","","","1"
"Permanent","1988","West Germany","Male","2860","0.892713125546131","0.882038729176643","0.90338752191562","1"
"Limited","1989","West Germany","Male","123","0.230032787528954","0.192344073307392","0.267721501750516","2"
"Limited","1989","West Germany","Female","130","0.269468780246848","0.226935040572411","0.312002519921285","2"
"Limited","1989","East Germany","Female","","","","","2"
"Limited","1989","East Germany","Male","","","","","2"
"Permanent","1989","West Germany","Female","288","0.730531219753152","0.687997480078715","0.773064959427589","1"
"Permanent","1989","West Germany","Male","356","0.769967212471046","0.732278498249484","0.807655926692608","1"
"Permanent","1989","East Germany","Male","","","","","1"
"Permanent","1989","East Germany","Female","","","","","1"
"Limited","1990","East Germany","Female","","","","","2"
"Limited","1990","West Germany","Male","98","0.196891155921104","0.161464862222508","0.232317449619699","2"
"Limited","1990","West Germany","Female","130","0.255030334884186","0.214847174701949","0.295213495066423","2"
"Limited","1990","East Germany","Male","","","","","2"
"Permanent","1990","West Germany","Female","322","0.744969665115814","0.704786504933577","0.785152825298052","1"
"Permanent","1990","East Germany","Female","","","","","1"
"Permanent","1990","West Germany","Male","386","0.803108844078896","0.767682550380301","0.838535137777492","1"
"Permanent","1990","East Germany","Male","","","","","1"
"Limited","1991","East Germany","Female","75","0.247604663851408","0.200751195122734","0.294458132580083","2"
"Limited","1991","West Germany","Male","105","0.200547154709069","0.16516614536193","0.235928164056209","2"
"Limited","1991","West Germany","Female","121","0.259570454276365","0.219594705977325","0.299546202575405","2"
"Limited","1991","East Germany","Male","87","0.223070018341117","0.181431619493696","0.264708417188538","2"
"Permanent","1991","West Germany","Female","341","0.740429545723635","0.700453797424595","0.780405294022675","1"
"Permanent","1991","East Germany","Female","251","0.752395336148592","0.705541867419918","0.799248804877266","1"
"Permanent","1991","West Germany","Male","387","0.799452845290931","0.764071835943791","0.83483385463807","1"
"Permanent","1991","East Germany","Male","297","0.776929981658883","0.735291582811462","0.818568380506304","1"
"Limited","1992","West Germany","Male","90","0.205591762091697","0.1684988958337","0.242684628349693","2"
"Limited","1992","West Germany","Female","94","0.235016806740496","0.194320455685937","0.275713157795055","2"
"Limited","1992","East Germany","Male","120","0.295354137162911","0.250813897408368","0.339894376917454","2"
"Limited","1992","East Germany","Female","91","0.289723441562755","0.240705428792919","0.338741454332591","2"
"Permanent","1992","West Germany","Female","323","0.764983193259504","0.724286842204945","0.805679544314063","1"
"Permanent","1992","East Germany","Female","238","0.710276558437245","0.661258545667409","0.759294571207081","1"
"Permanent","1992","West Germany","Male","366","0.794408237908304","0.757315371650307","0.8315011041663","1"
"Permanent","1992","East Germany","Male","283","0.704645862837089","0.660105623082546","0.749186102591632","1"
"Limited","1993","West Germany","Male","92","0.227061159674604","0.185799709323454","0.268322610025754","2"
"Limited","1993","West Germany","Female","95","0.244619147538166","0.203654792873887","0.285583502202445","2"
"Limited","1993","East Germany","Male","64","0.207436463175734","0.161322817325012","0.253550109026457","2"
"Limited","1993","East Germany","Female","68","0.248161003557196","0.195351665755863","0.300970341358529","2"
"Permanent","1993","West Germany","Female","328","0.755380852461834","0.714416497797555","0.796345207126113","1"
"Permanent","1993","East Germany","Female","189","0.751838996442804","0.699029658641471","0.804648334244137","1"
"Permanent","1993","West Germany","Male","304","0.772938840325396","0.731677389974246","0.814200290676546","1"
"Permanent","1993","East Germany","Male","233","0.792563536824266","0.746449890973543","0.838677182674988","1"
"Limited","1994","West Germany","Male","126","0.318545020662419","0.272245415718323","0.364844625606515","2"
"Limited","1994","West Germany","Female","122","0.292244558931814","0.248114669944306","0.336374447919322","2"
"Limited","1994","East Germany","Male","72","0.300566430182663","0.241693777659236","0.359439082706091","2"
"Limited","1994","East Germany","Female","93","0.385190804404928","0.320591479881829","0.449790128928027","2"
"Permanent","1994","West Germany","Male","263","0.681454979337581","0.635155374393485","0.727754584281677","1"
"Permanent","1994","West Germany","Female","286","0.707755441068186","0.663625552080678","0.751885330055694","1"
"Permanent","1994","East Germany","Female","125","0.614809195595072","0.550209871071973","0.679408520118171","1"
"Permanent","1994","East Germany","Male","161","0.699433569817337","0.640560917293909","0.758306222340764","1"
"Limited","1995","West Germany","Female","263","0.115106572549967","0.101736900446701","0.128476244653232","2"
"Limited","1995","East Germany","Male","155","0.154757255917614","0.133116896682412","0.176397615152817","2"
"Limited","1995","East Germany","Female","192","0.203347603587625","0.177900382678014","0.228794824497235","2"
"Limited","1995","West Germany","Male","322","0.107180437965214","0.0960813244296331","0.118279551500795","2"
"Permanent","1995","East Germany","Female","769","0.796652396412375","0.771205175502765","0.822099617321986","1"
"Permanent","1995","West Germany","Male","2662","0.892819562034786","0.881720448499205","0.903918675570367","1"
"Permanent","1995","West Germany","Female","1926","0.884893427450033","0.871523755346768","0.898263099553299","1"
"Permanent","1995","East Germany","Male","918","0.845242744082386","0.823602384847183","0.866883103317588","1"
"Limited","1996","West Germany","Female","260","0.113192475163494","0.0998559737534873","0.1265289765735","2"
"Limited","1996","East Germany","Male","147","0.133454545402472","0.112706814729222","0.154202276075721","2"
"Limited","1996","East Germany","Female","178","0.191730080687495","0.166577843778945","0.216882317596045","2"
"Limited","1996","West Germany","Male","282","0.105910010386851","0.0946144286145162","0.117205592159187","2"
"Permanent","1996","East Germany","Female","763","0.808269919312505","0.783117682403955","0.833422156221055","1"
"Permanent","1996","West Germany","Male","2569","0.894089989613149","0.882794407840813","0.905385571385484","1"
"Permanent","1996","West Germany","Female","1908","0.886807524836506","0.8734710234265","0.900144026246513","1"
"Permanent","1996","East Germany","Male","885","0.866545454597528","0.845797723924279","0.887293185270778","1"
"Limited","1997","West Germany","Female","286","0.13400308272843","0.119405437029414","0.148600728427445","2"
"Limited","1997","West Germany","Male","342","0.122405510365249","0.110221980803346","0.134589039927153","2"
"Limited","1997","East Germany","Male","174","0.174184885476154","0.150583423696376","0.197786347255933","2"
"Limited","1997","East Germany","Female","161","0.160567559333434","0.136635192378161","0.184499926288707","2"
