"plb0037_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","(0) in school","4","","",""
"Permanent","1985","(1a) inadequately completed","465","0.92282599236965","0.899245059840817","0.946406924898484"
"Permanent","1985","(1b) general elementary school","970","0.814009467310674","0.79153079913995","0.836488135481397"
"Permanent","1985","(1c) basic vocational qualification","2038","0.948951818572606","0.939678574692856","0.958225062452357"
"Permanent","1985","(2b) intermediate general qualification","92","0.450700112010887","0.383404455873196","0.517995768148578"
"Permanent","1985","(2a) intermediate vocational","741","0.919311357203941","0.900497074353249","0.938125640054633"
"Permanent","1985","(2c_gen) general maturity certificate","67","0.391949451839326","0.3092922755981","0.474606628080552"
"Permanent","1985","(2c_voc) vocational maturity certificate","215","0.915143563390337","0.879438716731251","0.950848410049423"
"Permanent","1985","(3a) lower tertiary education","143","0.935436169552875","0.896622075496992","0.974250263608758"
"Permanent","1985","(3b) higher tertiary education","285","0.844020154481931","0.805733343423619","0.882306965540243"
"Limited","1985","(0) in school","1","","",""
"Limited","1985","(1a) inadequately completed","27","","",""
"Limited","1985","(1b) general elementary school","181","0.185990532689326","0.163511864518603","0.20846920086005"
"Limited","1985","(1c) basic vocational qualification","126","0.0510481814273938","0.0417749375476432","0.0603214253071445"
"Limited","1985","(2b) intermediate general qualification","118","0.549299887989113","0.482004231851422","0.616595544126805"
"Limited","1985","(2a) intermediate vocational","64","0.0806886427960594","0.0618743599453672","0.0995029256467515"
"Limited","1985","(2c_gen) general maturity certificate","67","0.608050548160674","0.525393371919448","0.6907077244019"
"Limited","1985","(2c_voc) vocational maturity certificate","19","","",""
"Limited","1985","(3a) lower tertiary education","11","","",""
"Limited","1985","(3b) higher tertiary education","60","0.155979845518069","0.117693034459757","0.194266656576381"
"Permanent","1986","(0) in school","","","",""
"Permanent","1986","(1a) inadequately completed","27","","",""
"Permanent","1986","(1b) general elementary school","89","0.600221397353254","0.520489958873061","0.679952835833446"
"Permanent","1986","(1c) basic vocational qualification","247","0.87405591848728","0.835331756552434","0.912780080422125"
"Permanent","1986","(2b) intermediate general qualification","18","","",""
"Permanent","1986","(2a) intermediate vocational","115","0.850399032877073","0.790231834965115","0.910566230789031"
"Permanent","1986","(2c_gen) general maturity certificate","19","","",""
"Permanent","1986","(2c_voc) vocational maturity certificate","39","0.872500349788411","0.773949799350707","0.971050900226115"
"Permanent","1986","(3a) lower tertiary education","21","","",""
"Permanent","1986","(3b) higher tertiary education","43","0.689820336593654","0.576493501304388","0.803147171882919"
"Limited","1986","(0) in school","2","","",""
"Limited","1986","(1a) inadequately completed","6","","",""
