"plb0037_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Schleswig-Holstein","lower secondary degree","88","0.929003753974031","0.87763028387232","0.980377224075743"
"Permanent","1985","Schleswig-Holstein","secondary school degree","45","0.838927853930519","0.740883240017353","0.936972467843685"
"Permanent","1985","Schleswig-Holstein","college entrance qualification","13","","",""
"Permanent","1985","Schleswig-Holstein","Other degree","10","","",""
"Permanent","1985","Schleswig-Holstein","no degree/no degree yet","4","","",""
"Permanent","1985","Hamburg","lower secondary degree","45","0.854293525152612","0.761051922580498","0.947535127724727"
"Permanent","1985","Hamburg","secondary school degree","30","0.843953624196417","0.725408696752696","0.962498551640137"
"Permanent","1985","Hamburg","college entrance qualification","21","","",""
"Permanent","1985","Hamburg","Other degree","23","","",""
"Permanent","1985","Hamburg","no degree/no degree yet","13","","",""
"Permanent","1985","Lower Saxony","lower secondary degree","241","0.909265743464803","0.874683257348882","0.943848229580725"
"Permanent","1985","Lower Saxony","secondary school degree","93","0.78589248322555","0.711880061957514","0.859904904493586"
"Permanent","1985","Lower Saxony","college entrance qualification","54","0.838443846643588","0.748971226481025","0.927916466806151"
"Permanent","1985","Lower Saxony","Other degree","36","1","1","1"
"Permanent","1985","Lower Saxony","no degree/no degree yet","22","","",""
"Permanent","1985","Bremen","lower secondary degree","16","","",""
"Permanent","1985","Bremen","secondary school degree","7","","",""
"Permanent","1985","Bremen","college entrance qualification","1","","",""
"Permanent","1985","Bremen","Other degree","5","","",""
"Permanent","1985","Bremen","no degree/no degree yet","","","",""
"Permanent","1985","North Rhine-Westphalia","lower secondary degree","588","0.913637857995026","0.892060098760347","0.935215617229705"
"Permanent","1985","North Rhine-Westphalia","secondary school degree","211","0.828472824882608","0.782739430252809","0.874206219512407"
"Permanent","1985","North Rhine-Westphalia","college entrance qualification","168","0.802721982526963","0.748899915936058","0.856544049117867"
"Permanent","1985","North Rhine-Westphalia","Other degree","213","0.917454290087135","0.881654981925143","0.953253598249127"
"Permanent","1985","North Rhine-Westphalia","no degree/no degree yet","130","0.92754307072667","0.884446005618008","0.970640135835331"
"Permanent","1985","Hesse","lower secondary degree","209","0.922889973572688","0.888710092114197","0.957069855031179"
"Permanent","1985","Hesse","secondary school degree","87","0.872227219610187","0.807121162535603","0.93733327668477"
"Permanent","1985","Hesse","college entrance qualification","59","0.783725640445454","0.690550082003584","0.876901198887325"
"Permanent","1985","Hesse","Other degree","103","0.855864908040762","0.791106473150294","0.92062334293123"
"Permanent","1985","Hesse","no degree/no degree yet","57","0.932021851505207","0.869367684638905","0.994676018371509"
"Permanent","1985","Rhineland-Palatinate,Saarland","lower secondary degree","178","0.88873306358665","0.84568636052713","0.93177976664617"
"Permanent","1985","Rhineland-Palatinate,Saarland","secondary school degree","45","0.766646116369331","0.658719870246959","0.874572362491703"
"Permanent","1985","Rhineland-Palatinate,Saarland","college entrance qualification","29","","",""
"Permanent","1985","Rhineland-Palatinate,Saarland","Other degree","28","","",""
"Permanent","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","34","0.929841385842053","0.846407633184247","1.01327513849986"
"Permanent","1985","Baden-Württemberg","lower secondary degree","482","0.931443626822085","0.909930062911489","0.95295719073268"
"Permanent","1985","Baden-Württemberg","secondary school degree","129","0.85463227792873","0.798781913175868","0.910482642681592"
"Permanent","1985","Baden-Württemberg","college entrance qualification","82","0.838423120050866","0.765920829825425","0.910925410276307"
"Permanent","1985","Baden-Württemberg","Other degree","217","0.968654800113638","0.94588669586499","0.991422904362286"
"Permanent","1985","Baden-Württemberg","no degree/no degree yet","149","0.947258441433217","0.912070572653723","0.98244631021271"
"Permanent","1985","Bavaria","lower secondary degree","429","0.897456096046356","0.870373761314239","0.924538430778472"
"Permanent","1985","Bavaria","secondary school degree","179","0.828214189814243","0.777795235022815","0.87863314460567"
"Permanent","1985","Bavaria","college entrance qualification","80","0.799462656919112","0.722876520480757","0.876048793357466"
"Permanent","1985","Bavaria","Other degree","139","0.912087751993216","0.866772388689506","0.957403115296925"
"Permanent","1985","Bavaria","no degree/no degree yet","51","0.791083056408253","0.684607001701172","0.897559111115334"
"Permanent","1985","Berlin","lower secondary degree","70","0.886694265332449","0.817237269865423","0.956151260799475"
"Permanent","1985","Berlin","secondary school degree","41","0.909779766450199","0.82607273422928","0.993486798671117"
"Permanent","1985","Berlin","college entrance qualification","28","","",""
"Permanent","1985","Berlin","Other degree","29","","",""
"Permanent","1985","Berlin","no degree/no degree yet","9","","",""
"Permanent","1985","Brandenburg","lower secondary degree","","","",""
"Permanent","1985","Brandenburg","secondary school degree","","","",""
"Permanent","1985","Brandenburg","college entrance qualification","","","",""
"Permanent","1985","Brandenburg","Other degree","","","",""
"Permanent","1985","Brandenburg","no degree/no degree yet","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Permanent","1985","Saxony","lower secondary degree","","","",""
"Permanent","1985","Saxony","secondary school degree","","","",""
"Permanent","1985","Saxony","college entrance qualification","","","",""
"Permanent","1985","Saxony","Other degree","","","",""
"Permanent","1985","Saxony","no degree/no degree yet","","","",""
"Permanent","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Permanent","1985","Saxony-Anhalt","secondary school degree","","","",""
"Permanent","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Permanent","1985","Saxony-Anhalt","Other degree","","","",""
"Permanent","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Permanent","1985","Thuringia","lower secondary degree","","","",""
"Permanent","1985","Thuringia","secondary school degree","","","",""
"Permanent","1985","Thuringia","college entrance qualification","","","",""
"Permanent","1985","Thuringia","Other degree","","","",""
"Permanent","1985","Thuringia","no degree/no degree yet","","","",""
"Limited","1985","Schleswig-Holstein","lower secondary degree","8","","",""
"Limited","1985","Schleswig-Holstein","secondary school degree","9","","",""
"Limited","1985","Schleswig-Holstein","college entrance qualification","5","","",""
"Limited","1985","Schleswig-Holstein","Other degree","2","","",""
"Limited","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Limited","1985","Hamburg","lower secondary degree","10","","",""
"Limited","1985","Hamburg","secondary school degree","6","","",""
"Limited","1985","Hamburg","college entrance qualification","3","","",""
"Limited","1985","Hamburg","Other degree","2","","",""
"Limited","1985","Hamburg","no degree/no degree yet","","","",""
"Limited","1985","Lower Saxony","lower secondary degree","24","","",""
"Limited","1985","Lower Saxony","secondary school degree","25","","",""
"Limited","1985","Lower Saxony","college entrance qualification","11","","",""
"Limited","1985","Lower Saxony","Other degree","","","",""
"Limited","1985","Lower Saxony","no degree/no degree yet","","","",""
"Limited","1985","Bremen","lower secondary degree","2","","",""
"Limited","1985","Bremen","secondary school degree","3","","",""
"Limited","1985","Bremen","college entrance qualification","2","","",""
"Limited","1985","Bremen","Other degree","1","","",""
"Limited","1985","Bremen","no degree/no degree yet","","","",""
"Limited","1985","North Rhine-Westphalia","lower secondary degree","63","0.0863621420049737","0.0647843827702945","0.107939901239653"
"Limited","1985","North Rhine-Westphalia","secondary school degree","50","0.171527175117392","0.125793780487594","0.217260569747191"
