"plb0037_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","16-34 y.","Single parent ","47","0.368448666876192","0.290993966249976","0.445903367502409","2"
"Limited","1985","16-34 y.","Couple + C. GT 16 ","186","0.418492055784703","0.37370251932014","0.463281592249267","2"
"Limited","1985","35-65 y.","1-pers.-HH","5","","","","2"
"Limited","1985","16-34 y.","(Married) couple without C. ","62","0.124279280530875","0.0949794041374651","0.153579156924285","2"
"Limited","1985","16-34 y.","Couple + C. LE and GT 16","128","0.460810644641871","0.404216452463894","0.517404836819848","2"
"Limited","1985","16-34 y.","1-pers.-HH","47","0.18355118085224","0.135371344045026","0.231731017659454","2"
"Limited","1985","16-34 y.","Couple + C. LE 16 ","45","0.0597522893833364","0.041871173333332","0.0776334054333409","2"
"Limited","1985","35-65 y.","(Married) couple without C. ","16","","","","2"
"Limited","1985","35-65 y.","Single parent ","8","","","","2"
"Limited","1985","35-65 y.","Couple + C. LE 16 ","55","0.0544278265918978","0.0398554264378516","0.0690002267459441","2"
"Limited","1985","66 and older","1-pers.-HH","","","","","2"
"Limited","1985","66 and older","(Married) couple without C. ","","","","","2"
"Limited","1985","35-65 y.","Couple + C. GT 16 ","20","","","","2"
"Limited","1985","35-65 y.","Couple + C. LE and GT 16","22","","","","2"
"Limited","1985","66 and older","Single parent ","","","","","2"
"Limited","1985","66 and older","Couple + C. LE 16 ","","","","","2"
"Limited","1985","66 and older","Couple + C. GT 16 ","","","","","2"
"Limited","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Permanent","1985","16-34 y.","1-pers.-HH","201","0.81644881914776","0.768268982340546","0.864628655954974","1"
"Permanent","1985","16-34 y.","(Married) couple without C. ","425","0.875720719469125","0.846420843075715","0.905020595862535","1"
"Permanent","1985","16-34 y.","Single parent ","102","0.631551333123808","0.554096632497591","0.709006033750024","1"
"Permanent","1985","16-34 y.","Couple + C. LE 16 ","630","0.940247710616664","0.922366594566659","0.958128826666668","1"
"Permanent","1985","16-34 y.","Couple + C. GT 16 ","280","0.581507944215297","0.536718407750733","0.62629748067986","1"
"Permanent","1985","16-34 y.","Couple + C. LE and GT 16","170","0.539189355358129","0.482595163180152","0.595783547536106","1"
"Permanent","1985","35-65 y.","1-pers.-HH","262","0.979882885829731","0.963042098676387","0.996723672983075","1"
"Permanent","1985","35-65 y.","(Married) couple without C. ","621","0.972363905251365","0.959633825455969","0.985093985046761","1"
"Permanent","1985","35-65 y.","Single parent ","125","0.942242268666504","0.902595424392043","0.981889112940966","1"
"Permanent","1985","35-65 y.","Couple + C. LE 16 ","876","0.945572173408102","0.930999773254056","0.960144573562148","1"
"Permanent","1985","35-65 y.","Couple + C. GT 16 ","647","0.970794021492378","0.958015382495686","0.983572660489069","1"
"Permanent","1985","35-65 y.","Couple + C. LE and GT 16","485","0.952395141446279","0.933860749768096","0.970929533124462","1"
"Permanent","1985","66 and older","1-pers.-HH","5","","","","1"
"Permanent","1985","66 and older","(Married) couple without C. ","7","","","","1"
"Permanent","1985","66 and older","Single parent ","","","","","1"
"Permanent","1985","66 and older","Couple + C. LE 16 ","","","","","1"
"Permanent","1985","66 and older","Couple + C. GT 16 ","2","","","","1"
"Permanent","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"Limited","1986","16-34 y.","1-pers.-HH","14","","","","2"
"Limited","1986","16-34 y.","(Married) couple without C. ","28","","","","2"
"Limited","1986","16-34 y.","Couple + C. LE and GT 16","49","0.498568844774618","0.402008745421116","0.59512894412812","2"
"Limited","1986","16-34 y.","Couple + C. GT 16 ","72","0.479880640228092","0.400457981461223","0.559303298994962","2"
"Limited","1986","16-34 y.","Single parent ","19","","","","2"
"Limited","1986","35-65 y.","1-pers.-HH","1","","","","2"
"Limited","1986","35-65 y.","Couple + C. LE 16 ","4","","","","2"
"Limited","1986","16-34 y.","Couple + C. LE 16 ","9","","","","2"
"Limited","1986","35-65 y.","(Married) couple without C. ","4","","","","2"
"Limited","1986","35-65 y.","Single parent ","2","","","","2"
"Limited","1986","35-65 y.","Couple + C. GT 16 ","3","","","","2"
"Limited","1986","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"Limited","1986","66 and older","1-pers.-HH","","","","","2"
"Limited","1986","66 and older","(Married) couple without C. ","","","","","2"
"Limited","1986","66 and older","Single parent ","","","","","2"
"Limited","1986","66 and older","Couple + C. LE 16 ","","","","","2"
"Limited","1986","66 and older","Couple + C. GT 16 ","","","","","2"
"Limited","1986","66 and older","Couple + C. LE and GT 16","","","","","2"
"Permanent","1986","16-34 y.","1-pers.-HH","44","0.750776970004395","0.639454290473478","0.862099649535313","1"
"Permanent","1986","16-34 y.","(Married) couple without C. ","125","0.835390787207241","0.776631802185059","0.894149772229423","1"
"Permanent","1986","16-34 y.","Single parent ","15","","","","1"
"Permanent","1986","16-34 y.","Couple + C. LE 16 ","100","0.917272194048311","0.865558006089356","0.968986382007266","1"
"Permanent","1986","16-34 y.","Couple + C. GT 16 ","80","0.520119359771907","0.440696701005038","0.599542018538777","1"
"Permanent","1986","16-34 y.","Couple + C. LE and GT 16","54","0.501431155225382","0.40487105587188","0.597991254578884","1"
"Permanent","1986","35-65 y.","1-pers.-HH","12","","","","1"
"Permanent","1986","35-65 y.","(Married) couple without C. ","38","0.903332097084786","0.813962805505435","0.992701388664137","1"
"Permanent","1986","35-65 y.","Single parent ","11","","","","1"
"Permanent","1986","35-65 y.","Couple + C. LE 16 ","60","0.972815278867053","0.932973773753757","1.01265678398035","1"
"Permanent","1986","35-65 y.","Couple + C. GT 16 ","35","0.943902517842924","0.870739510359759","1.01706552532609","1"
"Permanent","1986","35-65 y.","Couple + C. LE and GT 16","17","","","","1"
"Permanent","1986","66 and older","1-pers.-HH","","","","","1"
"Permanent","1986","66 and older","(Married) couple without C. ","","","","","1"
"Permanent","1986","66 and older","Single parent ","","","","","1"
"Permanent","1986","66 and older","Couple + C. LE 16 ","","","","","1"
"Permanent","1986","66 and older","Couple + C. GT 16 ","","","","","1"
"Permanent","1986","66 and older","Couple + C. LE and GT 16","","","","","1"
"Limited","1987","16-34 y.","(Married) couple without C. ","40","0.191156169357623","0.133871910084428","0.248440428630819","2"
"Limited","1987","16-34 y.","1-pers.-HH","22","","","","2"
"Limited","1987","16-34 y.","Couple + C. GT 16 ","106","0.504717621328345","0.436442079862903","0.572993162793787","2"
"Limited","1987","16-34 y.","Couple + C. LE and GT 16","61","0.459838216007238","0.375454207849516","0.544222224164959","2"
"Limited","1987","16-34 y.","Single parent ","18","","","","2"
"Limited","1987","16-34 y.","Couple + C. LE 16 ","24","","","","2"
"Limited","1987","35-65 y.","1-pers.-HH","3","","","","2"
"Limited","1987","35-65 y.","(Married) couple without C. ","7","","","","2"
"Limited","1987","35-65 y.","Single parent ","4","","","","2"
"Limited","1987","35-65 y.","Couple + C. LE 16 ","15","","","","2"
"Limited","1987","35-65 y.","Couple + C. GT 16 ","1","","","","2"
"Limited","1987","35-65 y.","Couple + C. LE and GT 16","4","","","","2"
"Limited","1987","66 and older","1-pers.-HH","","","","","2"
"Limited","1987","66 and older","(Married) couple without C. ","","","","","2"
"Limited","1987","66 and older","Single parent ","","","","","2"
"Limited","1987","66 and older","Couple + C. LE 16 ","","","","","2"
"Limited","1987","66 and older","Couple + C. GT 16 ","","","","","2"
"Limited","1987","66 and older","Couple + C. LE and GT 16","","","","","2"
"Permanent","1987","16-34 y.","1-pers.-HH","43","0.674742999857096","0.560856057640904","0.788629942073289","1"
"Permanent","1987","16-34 y.","(Married) couple without C. ","141","0.808843830642377","0.751559571369182","0.866128089915572","1"
"Permanent","1987","16-34 y.","Single parent ","36","0.676891747739312","0.552157748805531","0.801625746673092","1"
"Permanent","1987","16-34 y.","Couple + C. LE 16 ","124","0.846219841282658","0.788102065151337","0.90433761741398","1"
"Permanent","1987","16-34 y.","Couple + C. GT 16 ","100","0.495282378671655","0.427006837206213","0.563557920137097","1"
"Permanent","1987","16-34 y.","Couple + C. LE and GT 16","73","0.540161783992762","0.455777775835041","0.624545792150484","1"
"Permanent","1987","35-65 y.","1-pers.-HH","17","","","","1"
"Permanent","1987","35-65 y.","(Married) couple without C. ","43","0.80468399358428","0.69479740573969","0.91457058142887","1"
"Permanent","1987","35-65 y.","Single parent ","12","","","","1"
"Permanent","1987","35-65 y.","Couple + C. LE 16 ","73","0.834506021832836","0.756861183458952","0.912150860206719","1"
"Permanent","1987","35-65 y.","Couple + C. GT 16 ","51","0.976246430707655","0.934856891877032","1.01763596953828","1"
"Permanent","1987","35-65 y.","Couple + C. LE and GT 16","30","0.933960536523222","0.850482031358383","1.01743904168806","1"
"Permanent","1987","66 and older","1-pers.-HH","","","","","1"
"Permanent","1987","66 and older","(Married) couple without C. ","","","","","1"
"Permanent","1987","66 and older","Single parent ","","","","","1"
"Permanent","1987","66 and older","Couple + C. LE 16 ","","","","","1"
"Permanent","1987","66 and older","Couple + C. GT 16 ","","","","","1"
"Permanent","1987","66 and older","Couple + C. LE and GT 16","","","","","1"
"Limited","1988","16-34 y.","Couple + C. GT 16 ","199","0.349028467359294","0.308675347275679","0.38938158744291","2"
"Limited","1988","16-34 y.","(Married) couple without C. ","55","0.114822970201339","0.0863024837587791","0.1433434566439","2"
"Limited","1988","16-34 y.","Couple + C. LE and GT 16","109","0.506582304991914","0.443721878659256","0.569442731324571","2"
"Limited","1988","16-34 y.","1-pers.-HH","29","","","","2"
"Limited","1988","16-34 y.","Single parent ","58","0.362029940275826","0.284603440521369","0.439456440030283","2"
"Limited","1988","16-34 y.","Couple + C. LE 16 ","51","0.0758829907945568","0.0548512535965851","0.0969147279925285","2"
"Limited","1988","35-65 y.","1-pers.-HH","10","","","","2"
"Limited","1988","35-65 y.","(Married) couple without C. ","19","","","","2"
"Limited","1988","35-65 y.","Single parent ","7","","","","2"
"Limited","1988","35-65 y.","Couple + C. LE 16 ","24","","","","2"
"Limited","1988","35-65 y.","Couple + C. GT 16 ","27","","","","2"
"Limited","1988","35-65 y.","Couple + C. LE and GT 16","17","","","","2"
"Limited","1988","66 and older","1-pers.-HH","","","","","2"
"Limited","1988","66 and older","(Married) couple without C. ","3","","","","2"
"Limited","1988","66 and older","Single parent ","","","","","2"
"Limited","1988","66 and older","Couple + C. LE 16 ","","","","","2"
"Limited","1988","66 and older","Couple + C. GT 16 ","","","","","2"
"Limited","1988","66 and older","Couple + C. LE and GT 16","","","","","2"
"Permanent","1988","16-34 y.","1-pers.-HH","177","0.871216533885366","0.825475330080049","0.916957737690684","1"
"Permanent","1988","16-34 y.","(Married) couple without C. ","425","0.88517702979866","0.8566565433561","0.913697516241221","1"
"Permanent","1988","16-34 y.","Single parent ","90","0.637970059724174","0.560543559969717","0.715396559478631","1"
"Permanent","1988","16-34 y.","Couple + C. LE 16 ","558","0.924117009205443","0.903085272007472","0.945148746403415","1"
