"plb0037_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","16-34 y.","West Germany","1908","0.764688178312529","0.747942463513691","0.781433893111367"
"Permanent","1985","16-34 y.","East Germany","","","",""
"Permanent","1985","35-65 y.","West Germany","3153","0.961683832751116","0.955118545924734","0.968249119577497"
"Permanent","1985","35-65 y.","East Germany","","","",""
"Permanent","1985","66 and older","West Germany","14","","",""
"Permanent","1985","66 and older","East Germany","","","",""
"Limited","1985","16-34 y.","West Germany","557","0.235311821687471","0.218566106888633","0.252057536486309"
"Limited","1985","16-34 y.","East Germany","","","",""
"Limited","1985","35-65 y.","West Germany","131","0.0383161672488842","0.0317508804225027","0.0448814540752658"
"Limited","1985","35-65 y.","East Germany","","","",""
"Limited","1985","66 and older","West Germany","","","",""
"Limited","1985","66 and older","East Germany","","","",""
"Permanent","1986","16-34 y.","West Germany","437","0.672055129392302","0.635683649228429","0.708426609556176"
"Permanent","1986","16-34 y.","East Germany","","","",""
"Permanent","1986","35-65 y.","West Germany","187","0.929421506454975","0.894101973074628","0.964741039835322"
"Permanent","1986","35-65 y.","East Germany","","","",""
"Permanent","1986","66 and older","West Germany","","","",""
"Permanent","1986","66 and older","East Germany","","","",""
"Limited","1986","16-34 y.","West Germany","203","0.327944870607697","0.291573390443824","0.364316350771571"
"Limited","1986","16-34 y.","East Germany","","","",""
"Limited","1986","35-65 y.","West Germany","15","","",""
"Limited","1986","35-65 y.","East Germany","","","",""
"Limited","1986","66 and older","West Germany","","","",""
"Limited","1986","66 and older","East Germany","","","",""
"Permanent","1987","16-34 y.","West Germany","555","0.666942632471273","0.635388122344026","0.69849714259852"
"Permanent","1987","16-34 y.","East Germany","","","",""
"Permanent","1987","35-65 y.","West Germany","248","0.872394988464162","0.833522233580122","0.911267743348201"
"Permanent","1987","35-65 y.","East Germany","","","",""
"Permanent","1987","66 and older","West Germany","","","",""
"Permanent","1987","66 and older","East Germany","","","",""
"Limited","1987","16-34 y.","West Germany","302","0.333057367528727","0.30150285740148","0.364611877655974"
"Limited","1987","16-34 y.","East Germany","","","",""
"Limited","1987","35-65 y.","West Germany","35","0.127605011535838","0.088732256651799","0.166477766419878"
"Limited","1987","35-65 y.","East Germany","","","",""
"Limited","1987","66 and older","West Germany","","","",""
"Limited","1987","66 and older","East Germany","","","",""
"Permanent","1988","16-34 y.","West Germany","1828","0.788096682390391","0.771640685811782","0.804552678968999"
"Permanent","1988","16-34 y.","East Germany","","","",""
"Permanent","1988","35-65 y.","West Germany","2826","0.959484278436849","0.952351236806731","0.966617320066968"
"Permanent","1988","35-65 y.","East Germany","","","",""
"Permanent","1988","66 and older","West Germany","10","","",""
"Permanent","1988","66 and older","East Germany","","","",""
"Limited","1988","16-34 y.","West Germany","541","0.211903317609609","0.195447321031001","0.228359314188218"
"Limited","1988","16-34 y.","East Germany","","","",""
"Limited","1988","35-65 y.","West Germany","109","0.0405157215631506","0.0333826799330324","0.0476487631932688"
"Limited","1988","35-65 y.","East Germany","","","",""
"Limited","1988","66 and older","West Germany","3","","",""
"Limited","1988","66 and older","East Germany","","","",""
"Permanent","1989","16-34 y.","West Germany","465","0.728006296508164","0.694387082797105","0.761625510219222"
"Permanent","1989","16-34 y.","East Germany","","","",""
"Permanent","1989","35-65 y.","West Germany","179","0.821223599693161","0.771045999508608","0.871401199877715"
"Permanent","1989","35-65 y.","East Germany","","","",""
"Permanent","1989","66 and older","West Germany","","","",""
"Permanent","1989","66 and older","East Germany","","","",""
"Limited","1989","16-34 y.","West Germany","208","0.271993703491836","0.238374489780778","0.305612917202895"
"Limited","1989","16-34 y.","East Germany","","","",""
"Limited","1989","35-65 y.","West Germany","45","0.178776400306839","0.128598800122285","0.228954000491392"
"Limited","1989","35-65 y.","East Germany","","","",""
"Limited","1989","66 and older","West Germany","","","",""
"Limited","1989","66 and older","East Germany","","","",""
"Permanent","1990","16-34 y.","West Germany","478","0.744667553597599","0.711451095975868","0.77788401121933"
"Permanent","1990","16-34 y.","East Germany","","","",""
"Permanent","1990","35-65 y.","West Germany","229","0.838285669348295","0.794610254157725","0.881961084538865"
"Permanent","1990","35-65 y.","East Germany","","","",""
"Permanent","1990","66 and older","West Germany","1","","",""
"Permanent","1990","66 and older","East Germany","","","",""
"Limited","1990","16-34 y.","West Germany","184","0.255332446402401","0.22211598878067","0.288548904024132"
"Limited","1990","16-34 y.","East Germany","","","",""
"Limited","1990","35-65 y.","West Germany","44","0.161714330651705","0.118038915461135","0.205389745842275"
"Limited","1990","35-65 y.","East Germany","","","",""
"Limited","1990","66 and older","West Germany","","","",""
"Limited","1990","66 and older","East Germany","","","",""
"Permanent","1991","16-34 y.","West Germany","490","0.729976972680258","0.696484193526313","0.763469751834204"
"Permanent","1991","16-34 y.","East Germany","240","0.743850126409042","0.696611097344835","0.79108915547325"
"Permanent","1991","35-65 y.","West Germany","238","0.85994385867143","0.819221575689695","0.900666141653164"
"Permanent","1991","35-65 y.","East Germany","306","0.782588421868821","0.741115528401697","0.824061315335945"
"Permanent","1991","66 and older","West Germany","","","",""
"Permanent","1991","66 and older","East Germany","2","","",""
"Limited","1991","16-34 y.","West Germany","185","0.270023027319742","0.236530248165796","0.303515806473687"
"Limited","1991","16-34 y.","East Germany","88","0.256149873590958","0.20891084452675","0.303388902655166"
"Limited","1991","35-65 y.","West Germany","41","0.14005614132857","0.099333858346836","0.180778424310305"
"Limited","1991","35-65 y.","East Germany","74","0.217411578131179","0.175938684664055","0.258884471598303"
"Limited","1991","66 and older","West Germany","","","",""
"Limited","1991","66 and older","East Germany","","","",""
"Permanent","1992","16-34 y.","West Germany","451","0.73000360207104","0.694685672830296","0.765321531311783"
"Permanent","1992","16-34 y.","East Germany","208","0.679138866225003","0.626750359341231","0.731527373108774"
"Permanent","1992","35-65 y.","West Germany","238","0.882428158156981","0.84364738225735","0.921208934056612"
"Permanent","1992","35-65 y.","East Germany","312","0.72806484429009","0.685811508571436","0.770318180008744"
"Permanent","1992","66 and older","West Germany","","","",""
"Permanent","1992","66 and older","East Germany","1","","",""
"Limited","1992","16-34 y.","West Germany","156","0.26999639792896","0.234678468688217","0.305314327169704"
"Limited","1992","16-34 y.","East Germany","97","0.320861133774997","0.268472626891226","0.373249640658768"
"Limited","1992","35-65 y.","West Germany","27","","",""
"Limited","1992","35-65 y.","East Germany","114","0.27193515570991","0.229681819991257","0.314188491428564"
"Limited","1992","66 and older","West Germany","1","","",""
