"plb0037_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","lower secondary degree","(0) in school","","","",""
"Permanent","1985","lower secondary degree","(1a) inadequately completed","","","",""
"Permanent","1985","lower secondary degree","(1b) general elementary school","568","0.801097530436396","0.771980822084079","0.830214238788713"
"Permanent","1985","lower secondary degree","(1c) basic vocational qualification","1759","0.949432048645806","0.939498302355348","0.959365794936264"
"Permanent","1985","lower secondary degree","(2b) intermediate general qualification","","","",""
"Permanent","1985","lower secondary degree","(2a) intermediate vocational","","","",""
"Permanent","1985","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Permanent","1985","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"Permanent","1985","lower secondary degree","(3a) lower tertiary education","12","","",""
"Permanent","1985","lower secondary degree","(3b) higher tertiary education","4","","",""
"Permanent","1985","secondary school degree","(0) in school","","","",""
"Permanent","1985","secondary school degree","(1a) inadequately completed","","","",""
"Permanent","1985","secondary school degree","(1b) general elementary school","","","",""
"Permanent","1985","secondary school degree","(1c) basic vocational qualification","","","",""
"Permanent","1985","secondary school degree","(2b) intermediate general qualification","92","0.450700112010887","0.383404455873196","0.517995768148578"
"Permanent","1985","secondary school degree","(2a) intermediate vocational","741","0.919311357203941","0.900497074353249","0.938125640054633"
"Permanent","1985","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Permanent","1985","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Permanent","1985","secondary school degree","(3a) lower tertiary education","24","","",""
"Permanent","1985","secondary school degree","(3b) higher tertiary education","9","","",""
"Permanent","1985","college entrance qualification","(0) in school","","","",""
"Permanent","1985","college entrance qualification","(1a) inadequately completed","","","",""
"Permanent","1985","college entrance qualification","(1b) general elementary school","","","",""
"Permanent","1985","college entrance qualification","(1c) basic vocational qualification","","","",""
"Permanent","1985","college entrance qualification","(2b) intermediate general qualification","","","",""
"Permanent","1985","college entrance qualification","(2a) intermediate vocational","","","",""
"Permanent","1985","college entrance qualification","(2c_gen) general maturity certificate","34","0.349217662795222","0.2523290816416","0.446106243948843"
"Permanent","1985","college entrance qualification","(2c_voc) vocational maturity certificate","151","0.917732236149676","0.875806667792322","0.95965780450703"
"Permanent","1985","college entrance qualification","(3a) lower tertiary education","105","0.949424862851568","0.908842445344605","0.990007280358531"
"Permanent","1985","college entrance qualification","(3b) higher tertiary education","245","0.839785170066058","0.798068914110782","0.881501426021334"
"Permanent","1985","Other degree","(0) in school","","","",""
