"plb0037_h","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Limited","1985","Rural Area","132","0.129286404487326","0.109294758516643","0.149278050458009"
"Limited","1985","Urban Area","556","0.123302745929407","0.113884067538496","0.132721424320317"
"Permanent","1985","Rural Area","950","0.870713595512674","0.850721949541991","0.890705241483357"
"Permanent","1985","Urban Area","4125","0.876697254070593","0.867278575679683","0.886115932461504"
"Limited","1986","Rural Area","53","0.351501319174118","0.277522715850612","0.425479922497623"
"Limited","1986","Urban Area","165","0.240375785442827","0.208305659754347","0.272445911131306"
"Permanent","1986","Rural Area","107","0.648498680825882","0.574520077502377","0.722477284149388"
"Permanent","1986","Urban Area","517","0.759624214557173","0.727554088868694","0.791694340245653"
"Limited","1987","Rural Area","77","0.274313786872477","0.220493701602514","0.32813387214244"
"Limited","1987","Urban Area","260","0.278763610790557","0.249070691774905","0.308456529806209"
"Permanent","1987","Rural Area","187","0.725686213127523","0.67186612785756","0.779506298397486"
"Permanent","1987","Urban Area","616","0.721236389209443","0.691543470193791","0.750929308225095"
"Limited","1988","Rural Area","153","0.160360371462482","0.137764018026167","0.182956724898797"
"Limited","1988","Urban Area","500","0.103868526668034","0.0947538805684928","0.112983172767575"
"Permanent","1988","Rural Area","860","0.839639628537518","0.817043275101203","0.862235981973833"
"Permanent","1988","Urban Area","3804","0.896131473331966","0.887016827232425","0.905246119431507"
"Limited","1989","Rural Area","38","0.214498610109368","0.154027606288978","0.274969613929758"
"Limited","1989","Urban Area","215","0.25784176638854","0.225889127473185","0.289794405303895"
"Permanent","1989","Rural Area","139","0.785501389890632","0.725030386070242","0.845972393711022"
"Permanent","1989","Urban Area","505","0.74215823361146","0.710205594696105","0.774110872526815"
"Limited","1990","Rural Area","39","0.177128742582044","0.124218036221044","0.230039448943043"
"Limited","1990","Urban Area","189","0.240523137985293","0.209645441914741","0.271400834055845"
"Permanent","1990","Rural Area","161","0.822871257417956","0.769960551056957","0.875781963778956"
"Permanent","1990","Urban Area","547","0.759476862014707","0.728599165944155","0.790354558085259"
"Limited","1991","Rural Area","139","0.242347246211956","0.20820244793299","0.276492044490922"
"Limited","1991","Urban Area","241","0.222570241170266","0.197277002283939","0.247863480056593"
"Permanent","1991","Rural Area","466","0.757652753788044","0.723507955509078","0.79179755206701"
"Permanent","1991","Urban Area","798","0.777429758829734","0.752136519943407","0.802722997716061"
"Limited","1992","Rural Area","170","0.279229156149062","0.243830685747082","0.314627626551042"
"Limited","1992","Urban Area","220","0.226777965836159","0.200330291663551","0.253225640008766"
"Permanent","1992","Rural Area","447","0.720770843850938","0.685372373448958","0.756169314252918"
"Permanent","1992","Urban Area","743","0.773222034163841","0.746774359991234","0.799669708336449"
"Limited","1993","Rural Area","126","0.295607579732668","0.254657568864431","0.336557590600905"
"Limited","1993","Urban Area","193","0.206299441525691","0.17980398205178","0.232794900999601"
"Permanent","1993","Rural Area","351","0.704392420267332","0.663442409399095","0.745342431135569"
"Permanent","1993","Urban Area","703","0.793700558474309","0.767205099000399","0.82019601794822"
"Limited","1994","Rural Area","167","0.399032897490919","0.353380177629081","0.444685617352756"
"Limited","1994","Urban Area","246","0.275536362295871","0.244691820259239","0.306380904332503"
"Permanent","1994","Rural Area","275","0.600967102509082","0.555314382647244","0.646619822370919"
"Permanent","1994","Urban Area","560","0.724463637704129","0.693619095667497","0.755308179740761"
"Limited","1995","Rural Area","403","0.163982717793265","0.149270311687768","0.178695123898763"
"Limited","1995","Urban Area","529","0.105480596579524","0.0967671884781595","0.114194004680889"
"Permanent","1995","Rural Area","2030","0.836017282206735","0.821304876101237","0.850729688312232"
"Permanent","1995","Urban Area","4245","0.894519403420476","0.885805995319111","0.90323281152184"
"Limited","1996","Rural Area","347","0.135780128579739","0.121959674211693","0.149600582947784"
"Limited","1996","Urban Area","520","0.111188501251372","0.102135374809397","0.120241627693346"
"Permanent","1996","Rural Area","2013","0.864219871420261","0.850399417052216","0.878040325788307"
"Permanent","1996","Urban Area","4112","0.888811498748628","0.879758372306654","0.897864625190603"
"Limited","1997","Rural Area","364","0.146680702661709","0.132196884667188","0.161164520656231"
"Limited","1997","Urban Area","599","0.129837777754833","0.119990783120789","0.139684772388876"
"Permanent","1997","Rural Area","1928","0.853319297338291","0.838835479343769","0.867803115332813"
"Permanent","1997","Urban Area","3877","0.870162222245167","0.860315227611124","0.880009216879211"
"Limited","1998","Rural Area","387","0.142669017414701","0.129022288637504","0.156315746191897"
"Limited","1998","Urban Area","646","0.127737510569791","0.118389449886597","0.137085571252985"
"Permanent","1998","Rural Area","2136","0.857330982585299","0.843684253808103","0.870977711362496"
"Permanent","1998","Urban Area","4252","0.872262489430209","0.862914428747015","0.881610550113403"
"Limited","1999","Rural Area","442","0.16179382947368","0.147409930234221","0.17617772871314"
"Limited","1999","Urban Area","663","0.13011695799479","0.120626070515967","0.139607845473612"
"Permanent","1999","Rural Area","2076","0.83820617052632","0.82382227128686","0.852590069765779"
"Permanent","1999","Urban Area","4164","0.86988304200521","0.860392154526388","0.879373929484033"
"Limited","2000","Rural Area","682","0.160587509128374","0.149171024319268","0.17200399393748"
"Limited","2000","Urban Area","1005","0.130794774967569","0.123291867937712","0.138297681997426"
"Permanent","2000","Rural Area","3291","0.839412490871626","0.82799600606252","0.850828975680732"
"Permanent","2000","Urban Area","6753","0.869205225032431","0.861702318002574","0.876708132062288"
"Limited","2001","Rural Area","612","0.162124468299377","0.150019152028277","0.174229784570476"
"Limited","2001","Urban Area","919","0.128139995253667","0.120375113818171","0.135904876689163"
"Permanent","2001","Rural Area","2949","0.837875531700623","0.825770215429524","0.849980847971723"
"Permanent","2001","Urban Area","6199","0.871860004746333","0.864095123310837","0.879624886181829"
"Limited","2002","Rural Area","569","0.157277559895488","0.145448976836375","0.169106142954601"
"Limited","2002","Urban Area","963","0.133899364673933","0.126222911058809","0.141575818289056"
"Permanent","2002","Rural Area","3070","0.842722440104512","0.830893857045399","0.854551023163625"
"Permanent","2002","Urban Area","6597","0.866100635326067","0.858424181710943","0.873777088941191"
"Limited","2003","Rural Area","531","0.153018488011223","0.140908683839871","0.165128292182576"
"Limited","2003","Urban Area","920","0.135435658109453","0.127472262670465","0.143399053548441"
"Permanent","2003","Rural Area","2864","0.846981511988777","0.834871707817424","0.859091316160129"
"Permanent","2003","Urban Area","6173","0.864564341890547","0.856600946451559","0.872527737329535"
"Limited","2004","Rural Area","541","0.164535781671099","0.151828041650332","0.177243521691866"
"Limited","2004","Urban Area","907","0.145457216277747","0.137099615819943","0.153814816735551"
"Permanent","2004","Rural Area","2729","0.835464218328901","0.822756478308134","0.848171958349667"
"Permanent","2004","Urban Area","5929","0.854542783722253","0.846185183264449","0.862900384180057"
"Limited","2005","Rural Area","459","0.167205674623703","0.154190907157057","0.180220442090348"
"Limited","2005","Urban Area","831","0.136224032778215","0.127948355469111","0.144499710087319"
"Permanent","2005","Rural Area","2699","0.832794325376297","0.819779557909652","0.845809092842943"
"Permanent","2005","Urban Area","5769","0.863775967221785","0.855500289912681","0.872051644530889"
"Limited","2006","Rural Area","507","0.165341090357788","0.15275386411762","0.177928316597957"
"Limited","2006","Urban Area","906","0.147144729492419","0.138767898627135","0.155521560357703"
"Permanent","2006","Rural Area","2839","0.834658909642212","0.822071683402043","0.84724613588238"
"Permanent","2006","Urban Area","5964","0.852855270507581","0.844478439642297","0.861232101372865"
"Limited","2007","Rural Area","507","0.166654151015371","0.153831983499378","0.179476318531363"
"Limited","2007","Urban Area","897","0.150971779563446","0.142284840340309","0.159658718786582"
"Permanent","2007","Rural Area","2738","0.833345848984629","0.820523681468637","0.846168016500622"
"Permanent","2007","Urban Area","5628","0.849028220436554","0.840341281213418","0.857715159659691"
"Limited","2008","Rural Area","487","0.172525837026875","0.159250896332701","0.185800777721049"
"Limited","2008","Urban Area","881","0.152627635846225","0.143735250020292","0.161520021672157"
"Permanent","2008","Rural Area","2625","0.827474162973125","0.814199222278951","0.840749103667299"
"Permanent","2008","Urban Area","5402","0.847372364153775","0.838479978327843","0.856264749979707"
"Limited","2009","Rural Area","429","0.153402041932645","0.14044147363582","0.16636261022947"
"Limited","2009","Urban Area","862","0.158268724308978","0.148855110450559","0.167682338167398"
"Permanent","2009","Rural Area","2541","0.846597958067355","0.83363738977053","0.85955852636418"
"Permanent","2009","Urban Area","4913","0.841731275691022","0.832317661832602","0.851144889549441"
"Limited","2010","Rural Area","649","0.174904299813647","0.163354811955335","0.18645378767196"
