"plb0037_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","1-pers.-HH","West Germany","468","0.896436514929881","0.870248081696775","0.922624948162986"
"Permanent","1985","1-pers.-HH","East Germany","","","",""
"Permanent","1985","(Married) couple without C. ","West Germany","1053","0.931369341468908","0.916634792700486","0.946103890237331"
"Permanent","1985","(Married) couple without C. ","East Germany","","","",""
"Permanent","1985","Single parent ","West Germany","227","0.783700688584679","0.735647056442038","0.83175432072732"
"Permanent","1985","Single parent ","East Germany","","","",""
"Permanent","1985","Couple + C. LE 16 ","West Germany","1506","0.943315148309904","0.932005809052655","0.954624487567154"
"Permanent","1985","Couple + C. LE 16 ","East Germany","","","",""
"Permanent","1985","Couple + C. GT 16 ","West Germany","929","0.81132311107032","0.788561319760733","0.834084902379908"
"Permanent","1985","Couple + C. GT 16 ","East Germany","","","",""
"Permanent","1985","Couple + C. LE and GT 16","West Germany","655","0.78354086692677","0.755091740544066","0.811989993309473"
"Permanent","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Limited","1985","1-pers.-HH","West Germany","52","0.103563485070119","0.0773750518370136","0.129751918303225"
"Limited","1985","1-pers.-HH","East Germany","","","",""
"Limited","1985","(Married) couple without C. ","West Germany","78","0.0686306585310916","0.0538961097626688","0.0833652072995144"
"Limited","1985","(Married) couple without C. ","East Germany","","","",""
"Limited","1985","Single parent ","West Germany","55","0.216299311415321","0.16824567927268","0.264352943557962"
"Limited","1985","Single parent ","East Germany","","","",""
"Limited","1985","Couple + C. LE 16 ","West Germany","100","0.0566848516900957","0.0453755124328462","0.0679941909473452"
"Limited","1985","Couple + C. LE 16 ","East Germany","","","",""
"Limited","1985","Couple + C. GT 16 ","West Germany","206","0.18867688892968","0.165915097620092","0.211438680239267"
"Limited","1985","Couple + C. GT 16 ","East Germany","","","",""
"Limited","1985","Couple + C. LE and GT 16","West Germany","150","0.21645913307323","0.188010006690527","0.244908259455933"
"Limited","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Permanent","1986","1-pers.-HH","West Germany","56","0.776623210350579","0.679741204456385","0.873505216244772"
"Permanent","1986","1-pers.-HH","East Germany","","","",""
"Permanent","1986","(Married) couple without C. ","West Germany","163","0.852284271897221","0.802483463552535","0.902085080241907"
"Permanent","1986","(Married) couple without C. ","East Germany","","","",""
"Permanent","1986","Single parent ","West Germany","26","","",""
"Permanent","1986","Single parent ","East Germany","","","",""
"Permanent","1986","Couple + C. LE 16 ","West Germany","160","0.937945434540012","0.901995285453491","0.973895583626534"
"Permanent","1986","Couple + C. LE 16 ","East Germany","","","",""
"Permanent","1986","Couple + C. GT 16 ","West Germany","115","0.610953159001378","0.54163034325392","0.680275974748836"
"Permanent","1986","Couple + C. GT 16 ","East Germany","","","",""
"Permanent","1986","Couple + C. LE and GT 16","West Germany","71","0.594619238868532","0.506775965020298","0.682462512716766"
"Permanent","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Limited","1986","1-pers.-HH","West Germany","15","","",""
"Limited","1986","1-pers.-HH","East Germany","","","",""
"Limited","1986","(Married) couple without C. ","West Germany","32","0.147715728102779","0.0979149197580928","0.197516536447465"
"Limited","1986","(Married) couple without C. ","East Germany","","","",""
"Limited","1986","Single parent ","West Germany","21","","",""
"Limited","1986","Single parent ","East Germany","","","",""
"Limited","1986","Couple + C. LE 16 ","West Germany","13","","",""
"Limited","1986","Couple + C. LE 16 ","East Germany","","","",""
"Limited","1986","Couple + C. GT 16 ","West Germany","75","0.389046840998622","0.319724025251164","0.45836965674608"
"Limited","1986","Couple + C. GT 16 ","East Germany","","","",""
"Limited","1986","Couple + C. LE and GT 16","West Germany","49","0.405380761131468","0.317537487283234","0.493224034979702"
"Limited","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Permanent","1987","1-pers.-HH","West Germany","60","0.735654896197612","0.64190704360687","0.829402748788355"
"Permanent","1987","1-pers.-HH","East Germany","","","",""
"Permanent","1987","(Married) couple without C. ","West Germany","184","0.807958856127932","0.757162347170684","0.85875536508518"
"Permanent","1987","(Married) couple without C. ","East Germany","","","",""
"Permanent","1987","Single parent ","West Germany","48","0.689740059204401","0.581371163305142","0.79810895510366"
"Permanent","1987","Single parent ","East Germany","","","",""
"Permanent","1987","Couple + C. LE 16 ","West Germany","197","0.841516879289742","0.794924486722252","0.888109271857231"
"Permanent","1987","Couple + C. LE 16 ","East Germany","","","",""
"Permanent","1987","Couple + C. GT 16 ","West Germany","151","0.603281269888476","0.543586056143163","0.662976483633788"
"Permanent","1987","Couple + C. GT 16 ","East Germany","","","",""
"Permanent","1987","Couple + C. LE and GT 16","West Germany","103","0.639613917999311","0.567013953551568","0.712213882447055"
"Permanent","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Limited","1987","1-pers.-HH","West Germany","25","","",""
"Limited","1987","1-pers.-HH","East Germany","","","",""
"Limited","1987","(Married) couple without C. ","West Germany","47","0.192041143872068","0.14124463491482","0.242837652829316"
"Limited","1987","(Married) couple without C. ","East Germany","","","",""
"Limited","1987","Single parent ","West Germany","22","","",""
"Limited","1987","Single parent ","East Germany","","","",""
"Limited","1987","Couple + C. LE 16 ","West Germany","39","0.158483120710258","0.111890728142769","0.205075513277748"
"Limited","1987","Couple + C. LE 16 ","East Germany","","","",""
"Limited","1987","Couple + C. GT 16 ","West Germany","107","0.396718730111524","0.337023516366212","0.456413943856837"
"Limited","1987","Couple + C. GT 16 ","East Germany","","","",""
"Limited","1987","Couple + C. LE and GT 16","West Germany","65","0.360386082000688","0.287786117552945","0.432986046448432"
"Limited","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Permanent","1988","1-pers.-HH","West Germany","409","0.911240586668282","0.88490561696706","0.937575556369504"
"Permanent","1988","1-pers.-HH","East Germany","","","",""
"Permanent","1988","(Married) couple without C. ","West Germany","1040","0.928123656860342","0.912976978181919","0.943270335538764"
"Permanent","1988","(Married) couple without C. ","East Germany","","","",""
"Permanent","1988","Single parent ","West Germany","218","0.783130172405011","0.735115782071106","0.831144562738917"
"Permanent","1988","Single parent ","East Germany","","","",""
"Permanent","1988","Couple + C. LE 16 ","West Germany","1270","0.951070027289374","0.939541318127915","0.962598736450833"
"Permanent","1988","Couple + C. LE 16 ","East Germany","","","",""
"Permanent","1988","Couple + C. GT 16 ","West Germany","998","0.830985869516641","0.809990877719304","0.851980861313977"
"Permanent","1988","Couple + C. GT 16 ","East Germany","","","",""
"Permanent","1988","Couple + C. LE and GT 16","West Germany","484","0.783136017083475","0.750432422722056","0.815839611444894"
"Permanent","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Limited","1988","1-pers.-HH","West Germany","39","0.0887594133317183","0.0624244436304961","0.115094383032941"
"Limited","1988","1-pers.-HH","East Germany","","","",""
