"plb0037_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Schleswig-Holstein","West Germany","161","0.878724840440596","0.83168405051784","0.925765630363353"
"Permanent","1985","Schleswig-Holstein","East Germany","","","",""
"Permanent","1985","Hamburg","West Germany","134","0.860751602272369","0.806249122154799","0.91525408238994"
"Permanent","1985","Hamburg","East Germany","","","",""
"Permanent","1985","Lower Saxony","West Germany","447","0.86808973304262","0.838663284916695","0.897516181168544"
"Permanent","1985","Lower Saxony","East Germany","","","",""
"Permanent","1985","Bremen","West Germany","29","","",""
"Permanent","1985","Bremen","East Germany","","","",""
"Permanent","1985","North Rhine-Westphalia","West Germany","1325","0.873487036579375","0.856708921586788","0.890265151571962"
"Permanent","1985","North Rhine-Westphalia","East Germany","","","",""
"Permanent","1985","Hesse","West Germany","523","0.879708040747588","0.853547757102353","0.905868324392824"
"Permanent","1985","Hesse","East Germany","","","",""
"Permanent","1985","Rhineland-Palatinate,Saarland","West Germany","316","0.866543867871464","0.831704353568257","0.901383382174671"
"Permanent","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Permanent","1985","Baden-Württemberg","West Germany","1074","0.906111766144011","0.889462785124241","0.922760747163781"
"Permanent","1985","Baden-Württemberg","East Germany","","","",""
"Permanent","1985","Bavaria","West Germany","886","0.863877050714083","0.842822176920561","0.884931924507604"
"Permanent","1985","Bavaria","East Germany","","","",""
"Permanent","1985","Berlin","West Germany","180","0.858191679435583","0.811232211544429","0.905151147326736"
"Permanent","1985","Berlin","East Germany","","","",""
"Permanent","1985","Brandenburg","West Germany","","","",""
"Permanent","1985","Brandenburg","East Germany","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Permanent","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Permanent","1985","Saxony","West Germany","","","",""
"Permanent","1985","Saxony","East Germany","","","",""
"Permanent","1985","Saxony-Anhalt","West Germany","","","",""
"Permanent","1985","Saxony-Anhalt","East Germany","","","",""
"Permanent","1985","Thuringia","West Germany","","","",""
"Permanent","1985","Thuringia","East Germany","","","",""
"Limited","1985","Schleswig-Holstein","West Germany","24","","",""
"Limited","1985","Schleswig-Holstein","East Germany","","","",""
"Limited","1985","Hamburg","West Germany","21","","",""
"Limited","1985","Hamburg","East Germany","","","",""
"Limited","1985","Lower Saxony","West Germany","61","0.13191026695738","0.102483818831456","0.161336715083305"
"Limited","1985","Lower Saxony","East Germany","","","",""
"Limited","1985","Bremen","West Germany","8","","",""
"Limited","1985","Bremen","East Germany","","","",""
"Limited","1985","North Rhine-Westphalia","West Germany","183","0.126512963420625","0.109734848428038","0.143291078413212"
"Limited","1985","North Rhine-Westphalia","East Germany","","","",""
"Limited","1985","Hesse","West Germany","71","0.120291959252412","0.0941316756071763","0.146452242897647"
"Limited","1985","Hesse","East Germany","","","",""
"Limited","1985","Rhineland-Palatinate,Saarland","West Germany","50","0.133456132128536","0.0986166178253287","0.168295646431743"
"Limited","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Limited","1985","Baden-Württemberg","West Germany","105","0.0938882338559891","0.0772392528362191","0.110537214875759"
"Limited","1985","Baden-Württemberg","East Germany","","","",""
"Limited","1985","Bavaria","West Germany","133","0.136122949285917","0.115068075492396","0.157177823079439"
"Limited","1985","Bavaria","East Germany","","","",""
"Limited","1985","Berlin","West Germany","32","0.141808320564417","0.094848852673264","0.188767788455571"
"Limited","1985","Berlin","East Germany","","","",""
"Limited","1985","Brandenburg","West Germany","","","",""
"Limited","1985","Brandenburg","East Germany","","","",""
"Limited","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Limited","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Limited","1985","Saxony","West Germany","","","",""
"Limited","1985","Saxony","East Germany","","","",""
"Limited","1985","Saxony-Anhalt","West Germany","","","",""
"Limited","1985","Saxony-Anhalt","East Germany","","","",""
"Limited","1985","Thuringia","West Germany","","","",""
"Limited","1985","Thuringia","East Germany","","","",""
"Permanent","1986","Schleswig-Holstein","West Germany","15","","",""
"Permanent","1986","Schleswig-Holstein","East Germany","","","",""
"Permanent","1986","Hamburg","West Germany","14","","",""
"Permanent","1986","Hamburg","East Germany","","","",""
"Permanent","1986","Lower Saxony","West Germany","57","0.542103100736721","0.439170811116994","0.645035390356448"
"Permanent","1986","Lower Saxony","East Germany","","","",""
"Permanent","1986","Bremen","West Germany","6","","",""
"Permanent","1986","Bremen","East Germany","","","",""
"Permanent","1986","North Rhine-Westphalia","West Germany","146","0.717269546010791","0.654063550416915","0.780475541604667"
"Permanent","1986","North Rhine-Westphalia","East Germany","","","",""
"Permanent","1986","Hesse","West Germany","64","0.774958249930527","0.687205817026666","0.862710682834389"
"Permanent","1986","Hesse","East Germany","","","",""
"Permanent","1986","Rhineland-Palatinate,Saarland","West Germany","50","0.790631270097808","0.693210043700486","0.88805249649513"
"Permanent","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Permanent","1986","Baden-Württemberg","West Germany","137","0.801289215336577","0.74283350484531","0.859744925827845"
"Permanent","1986","Baden-Württemberg","East Germany","","","",""
"Permanent","1986","Bavaria","West Germany","100","0.780609093380484","0.70947094952415","0.851747237236818"
"Permanent","1986","Bavaria","East Germany","","","",""
"Permanent","1986","Berlin","West Germany","35","0.791609026941842","0.671599265339634","0.911618788544051"
"Permanent","1986","Berlin","East Germany","","","",""
"Permanent","1986","Brandenburg","West Germany","","","",""
"Permanent","1986","Brandenburg","East Germany","","","",""
"Permanent","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Permanent","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Permanent","1986","Saxony","West Germany","","","",""
"Permanent","1986","Saxony","East Germany","","","",""
"Permanent","1986","Saxony-Anhalt","West Germany","","","",""
"Permanent","1986","Saxony-Anhalt","East Germany","","","",""
"Permanent","1986","Thuringia","West Germany","","","",""
"Permanent","1986","Thuringia","East Germany","","","",""
"Limited","1986","Schleswig-Holstein","West Germany","7","","",""
"Limited","1986","Schleswig-Holstein","East Germany","","","",""
"Limited","1986","Hamburg","West Germany","5","","",""
"Limited","1986","Hamburg","East Germany","","","",""
"Limited","1986","Lower Saxony","West Germany","33","0.457896899263279","0.354964609643552","0.560829188883006"
"Limited","1986","Lower Saxony","East Germany","","","",""
"Limited","1986","Bremen","West Germany","3","","",""
"Limited","1986","Bremen","East Germany","","","",""
"Limited","1986","North Rhine-Westphalia","West Germany","49","0.282730453989209","0.219524458395333","0.345936449583085"
"Limited","1986","North Rhine-Westphalia","East Germany","","","",""
"Limited","1986","Hesse","West Germany","23","","",""
"Limited","1986","Hesse","East Germany","","","",""
"Limited","1986","Rhineland-Palatinate,Saarland","West Germany","17","","",""
"Limited","1986","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Limited","1986","Baden-Württemberg","West Germany","42","0.198710784663423","0.140255074172155","0.257166495154691"
"Limited","1986","Baden-Württemberg","East Germany","","","",""
"Limited","1986","Bavaria","West Germany","30","0.219390906619516","0.148252762763182","0.29052905047585"
"Limited","1986","Bavaria","East Germany","","","",""
"Limited","1986","Berlin","West Germany","9","","",""
"Limited","1986","Berlin","East Germany","","","",""
"Limited","1986","Brandenburg","West Germany","","","",""
"Limited","1986","Brandenburg","East Germany","","","",""
"Limited","1986","Mecklenburg-Western Pomerania","West Germany","","","",""
"Limited","1986","Mecklenburg-Western Pomerania","East Germany","","","",""
"Limited","1986","Saxony","West Germany","","","",""
"Limited","1986","Saxony","East Germany","","","",""
"Limited","1986","Saxony-Anhalt","West Germany","","","",""
"Limited","1986","Saxony-Anhalt","East Germany","","","",""
"Limited","1986","Thuringia","West Germany","","","",""
"Limited","1986","Thuringia","East Germany","","","",""
"Permanent","1987","Schleswig-Holstein","West Germany","26","","",""
"Permanent","1987","Schleswig-Holstein","East Germany","","","",""
"Permanent","1987","Hamburg","West Germany","13","","",""
"Permanent","1987","Hamburg","East Germany","","","",""
"Permanent","1987","Lower Saxony","West Germany","86","0.658534698651532","0.575735632362539","0.741333764940524"
"Permanent","1987","Lower Saxony","East Germany","","","",""
"Permanent","1987","Bremen","West Germany","10","","",""
"Permanent","1987","Bremen","East Germany","","","",""
"Permanent","1987","North Rhine-Westphalia","West Germany","204","0.73503758101045","0.684332847015626","0.785742315005273"
"Permanent","1987","North Rhine-Westphalia","East Germany","","","",""
"Permanent","1987","Hesse","West Germany","84","0.759470432166681","0.683316018872787","0.835624845460574"
"Permanent","1987","Hesse","East Germany","","","",""
"Permanent","1987","Rhineland-Palatinate,Saarland","West Germany","47","0.685308902410994","0.574111125454747","0.796506679367241"
"Permanent","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Permanent","1987","Baden-Württemberg","West Germany","144","0.757064204153361","0.696560557881269","0.817567850425453"
"Permanent","1987","Baden-Württemberg","East Germany","","","",""
"Permanent","1987","Bavaria","West Germany","143","0.709266617705909","0.64828337697865","0.770249858433169"
"Permanent","1987","Bavaria","East Germany","","","",""
"Permanent","1987","Berlin","West Germany","46","0.843314712297685","0.748108995817041","0.938520428778329"
"Permanent","1987","Berlin","East Germany","","","",""
"Permanent","1987","Brandenburg","West Germany","","","",""
"Permanent","1987","Brandenburg","East Germany","","","",""
"Permanent","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Permanent","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Permanent","1987","Saxony","West Germany","","","",""
"Permanent","1987","Saxony","East Germany","","","",""
"Permanent","1987","Saxony-Anhalt","West Germany","","","",""
"Permanent","1987","Saxony-Anhalt","East Germany","","","",""
"Permanent","1987","Thuringia","West Germany","","","",""
"Permanent","1987","Thuringia","East Germany","","","",""
"Limited","1987","Schleswig-Holstein","West Germany","13","","",""
"Limited","1987","Schleswig-Holstein","East Germany","","","",""
"Limited","1987","Hamburg","West Germany","9","","",""
"Limited","1987","Hamburg","East Germany","","","",""
"Limited","1987","Lower Saxony","West Germany","40","0.341465301348469","0.258666235059476","0.424264367637461"
"Limited","1987","Lower Saxony","East Germany","","","",""
"Limited","1987","Bremen","West Germany","2","","",""
"Limited","1987","Bremen","East Germany","","","",""
"Limited","1987","North Rhine-Westphalia","West Germany","87","0.26496241898955","0.214257684994727","0.315667152984374"
"Limited","1987","North Rhine-Westphalia","East Germany","","","",""
"Limited","1987","Hesse","West Germany","37","0.240529567833319","0.164375154539426","0.316683981127212"
"Limited","1987","Hesse","East Germany","","","",""
"Limited","1987","Rhineland-Palatinate,Saarland","West Germany","20","","",""
"Limited","1987","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Limited","1987","Baden-Württemberg","West Germany","49","0.242935795846639","0.182432149574547","0.303439442118731"
"Limited","1987","Baden-Württemberg","East Germany","","","",""
"Limited","1987","Bavaria","West Germany","70","0.290733382294091","0.229750141566832","0.35171662302135"
"Limited","1987","Bavaria","East Germany","","","",""
"Limited","1987","Berlin","West Germany","10","","",""
"Limited","1987","Berlin","East Germany","","","",""
"Limited","1987","Brandenburg","West Germany","","","",""
"Limited","1987","Brandenburg","East Germany","","","",""
"Limited","1987","Mecklenburg-Western Pomerania","West Germany","","","",""
"Limited","1987","Mecklenburg-Western Pomerania","East Germany","","","",""
"Limited","1987","Saxony","West Germany","","","",""
"Limited","1987","Saxony","East Germany","","","",""
"Limited","1987","Saxony-Anhalt","West Germany","","","",""
"Limited","1987","Saxony-Anhalt","East Germany","","","",""
"Limited","1987","Thuringia","West Germany","","","",""
"Limited","1987","Thuringia","East Germany","","","",""
"Permanent","1988","Schleswig-Holstein","West Germany","133","0.828158899321333","0.770771782436425","0.885546016206241"
"Permanent","1988","Schleswig-Holstein","East Germany","","","",""
"Permanent","1988","Hamburg","West Germany","98","0.911532984212661","0.857976372132062","0.96508959629326"
"Permanent","1988","Hamburg","East Germany","","","",""
"Permanent","1988","Lower Saxony","West Germany","450","0.851580040332822","0.821313063265535","0.881847017400109"
"Permanent","1988","Lower Saxony","East Germany","","","",""
"Permanent","1988","Bremen","West Germany","35","0.802166252882555","0.684458753127554","0.919873752637556"
"Permanent","1988","Bremen","East Germany","","","",""
"Permanent","1988","North Rhine-Westphalia","West Germany","1203","0.882335019465374","0.865328856760242","0.899341182170505"
"Permanent","1988","North Rhine-Westphalia","East Germany","","","",""
"Permanent","1988","Hesse","West Germany","471","0.905755506477007","0.880858121255987","0.930652891698027"
"Permanent","1988","Hesse","East Germany","","","",""
"Permanent","1988","Rhineland-Palatinate,Saarland","West Germany","301","0.864010478189601","0.828150769203456","0.899870187175746"
"Permanent","1988","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Permanent","1988","Baden-Württemberg","West Germany","1003","0.91301398489821","0.896367679257492","0.929660290538928"
"Permanent","1988","Baden-Württemberg","East Germany","","","",""
"Permanent","1988","Bavaria","West Germany","799","0.887451189536157","0.866939881141981","0.907962497930333"
"Permanent","1988","Bavaria","East Germany","","","",""
"Permanent","1988","Berlin","West Germany","171","0.907310566421285","0.866814944198688","0.947806188643882"
"Permanent","1988","Berlin","East Germany","","","",""
"Permanent","1988","Brandenburg","West Germany","","","",""
"Permanent","1988","Brandenburg","East Germany","","","",""
"Permanent","1988","Mecklenburg-Western Pomerania","West Germany","","","",""
"Permanent","1988","Mecklenburg-Western Pomerania","East Germany","","","",""
"Permanent","1988","Saxony","West Germany","","","",""
"Permanent","1988","Saxony","East Germany","","","",""
"Permanent","1988","Saxony-Anhalt","West Germany","","","",""
"Permanent","1988","Saxony-Anhalt","East Germany","","","",""
"Permanent","1988","Thuringia","West Germany","","","",""
"Permanent","1988","Thuringia","East Germany","","","",""
"Limited","1988","Schleswig-Holstein","West Germany","33","0.171841100678667","0.114453983793759","0.229228217563575"
"Limited","1988","Schleswig-Holstein","East Germany","","","",""
"Limited","1988","Hamburg","West Germany","10","","",""
"Limited","1988","Hamburg","East Germany","","","",""
"Limited","1988","Lower Saxony","West Germany","80","0.148419959667178","0.118152982599891","0.178686936734465"
"Limited","1988","Lower Saxony","East Germany","","","",""
"Limited","1988","Bremen","West Germany","9","","",""
"Limited","1988","Bremen","East Germany","","","",""
"Limited","1988","North Rhine-Westphalia","West Germany","176","0.117664980534626","0.100658817829495","0.134671143239758"
"Limited","1988","North Rhine-Westphalia","East Germany","","","",""
"Limited","1988","Hesse","West Germany","58","0.0942444935229928","0.069347108301973","0.119141878744013"
"Limited","1988","Hesse","East Germany","","","",""
"Limited","1988","Rhineland-Palatinate,Saarland","West Germany","50","0.135989521810399","0.100129812824254","0.171849230796544"
"Limited","1988","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Limited","1988","Baden-Württemberg","West Germany","98","0.0869860151017903","0.0703397094610722","0.103632320742508"
"Limited","1988","Baden-Württemberg","East Germany","","","",""
"Limited","1988","Bavaria","West Germany","113","0.112548810463843","0.0920375020696674","0.133060118858019"
"Limited","1988","Bavaria","East Germany","","","",""
"Limited","1988","Berlin","West Germany","26","","",""
"Limited","1988","Berlin","East Germany","","","",""
"Limited","1988","Brandenburg","West Germany","","","",""
"Limited","1988","Brandenburg","East Germany","","","",""
"Limited","1988","Mecklenburg-Western Pomerania","West Germany","","","",""
"Limited","1988","Mecklenburg-Western Pomerania","East Germany","","","",""
"Limited","1988","Saxony","West Germany","","","",""
