"plb0037_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Employed","Rural Area","124","0.123957832096589","0.10413866841596","0.143776995777219","2"
"Limited","1985","Employed","Urban Area","513","0.116712064568822","0.107410271798507","0.126013857339137","2"
"Limited","1985","Not Employed","Rural Area","8","","","","2"
"Limited","1985","Not Employed","Urban Area","43","0.457996443814335","0.362240984829249","0.55375190279942","2"
"Permanent","1985","Employed","Urban Area","4064","0.883287935431178","0.873986142660863","0.892589728201493","1"
"Permanent","1985","Not Employed","Urban Area","61","0.542003556185665","0.446248097200579","0.637759015170751","1"
"Permanent","1985","Employed","Rural Area","938","0.876042167903411","0.856223004222781","0.89586133158404","1"
"Permanent","1985","Not Employed","Rural Area","12","","","","1"
"Limited","1986","Employed","Rural Area","45","0.31089379509412","0.236822221860306","0.384965368327935","2"
"Limited","1986","Employed","Urban Area","152","0.230511179093204","0.198134032903293","0.262888325283115","2"
"Limited","1986","Not Employed","Rural Area","8","","","","2"
"Limited","1986","Not Employed","Urban Area","13","","","","2"
"Permanent","1986","Employed","Urban Area","498","0.769488820906796","0.737111674716885","0.801865967096707","1"
"Permanent","1986","Not Employed","Urban Area","19","","","","1"
"Permanent","1986","Employed","Rural Area","105","0.68910620490588","0.615034631672065","0.763177778139694","1"
"Permanent","1986","Not Employed","Rural Area","2","","","","1"
"Limited","1987","Employed","Urban Area","237","0.267620072887538","0.237373530753393","0.297866615021684","2"
"Limited","1987","Not Employed","Rural Area","5","","","","2"
"Limited","1987","Not Employed","Urban Area","23","","","","2"
"Limited","1987","Employed","Rural Area","72","0.274363868283424","0.218831632488525","0.329896104078322","2"
"Permanent","1987","Employed","Urban Area","586","0.732379927112461","0.702133384978316","0.762626469246607","1"
"Permanent","1987","Not Employed","Urban Area","30","0.558830792797189","0.425154954438417","0.692506631155962","1"
"Permanent","1987","Employed","Rural Area","176","0.725636131716576","0.670103895921677","0.781168367511474","1"
"Permanent","1987","Not Employed","Rural Area","11","","","","1"
"Limited","1988","Employed","Urban Area","458","0.0983090189518444","0.0893388462306351","0.107279191673054","2"
"Limited","1988","Not Employed","Rural Area","10","","","","2"
"Limited","1988","Not Employed","Urban Area","42","0.459177235824768","0.344070828444224","0.574283643205312","2"
"Limited","1988","Employed","Rural Area","143","0.153184065757565","0.130782685735233","0.175585445779897","2"
"Permanent","1988","Employed","Urban Area","3774","0.901690981048155","0.892720808326946","0.910661153769365","1"
"Permanent","1988","Not Employed","Urban Area","30","0.540822764175232","0.425716356794688","0.655929171555776","1"
"Permanent","1988","Employed","Rural Area","850","0.846815934242435","0.824414554220103","0.869217314264767","1"
"Permanent","1988","Not Employed","Rural Area","10","","","","1"
"Limited","1989","Employed","Urban Area","186","0.236474433681091","0.204105903036864","0.268842964325319","2"
"Limited","1989","Employed","Rural Area","35","0.212180867550937","0.150356480066856","0.274005255035018","2"
"Limited","1989","Not Employed","Rural Area","3","","","","2"
"Limited","1989","Not Employed","Urban Area","29","","","","2"
"Permanent","1989","Employed","Rural Area","133","0.787819132449063","0.725994744964982","0.849643519933144","1"
"Permanent","1989","Employed","Urban Area","476","0.763525566318909","0.731157035674681","0.795894096963136","1"
"Permanent","1989","Not Employed","Urban Area","29","","","","1"
"Permanent","1989","Not Employed","Rural Area","6","","","","1"
"Limited","1990","Employed","Urban Area","168","0.226183969618519","0.194922913649694","0.257445025587344","2"
"Limited","1990","Not Employed","Urban Area","21","","","","2"
"Limited","1990","Employed","Rural Area","36","0.167437594170772","0.114625624824263","0.22024956351728","2"
"Limited","1990","Not Employed","Rural Area","3","","","","2"
"Permanent","1990","Not Employed","Urban Area","27","","","","1"
"Permanent","1990","Employed","Rural Area","156","0.832562405829228","0.77975043648272","0.885374375175737","1"
"Permanent","1990","Employed","Urban Area","520","0.773816030381481","0.742554974412656","0.805077086350306","1"
"Permanent","1990","Not Employed","Rural Area","5","","","","1"
"Limited","1991","Employed","Urban Area","163","0.216958340473173","0.18618185037565","0.247734830570696","2"
"Limited","1991","Not Employed","Urban Area","18","","","","2"
"Limited","1991","Employed","Rural Area","35","0.241033003484561","0.175771688447093","0.306294318522029","2"
"Limited","1991","Not Employed","Rural Area","5","","","","2"
"Permanent","1991","Not Employed","Urban Area","46","0.667766723086691","0.552370377558427","0.783163068614954","1"
"Permanent","1991","Employed","Rural Area","130","0.758966996515439","0.693705681477971","0.824228311552907","1"
"Permanent","1991","Employed","Urban Area","526","0.783041659526827","0.752265169429304","0.81381814962435","1"
"Permanent","1991","Not Employed","Rural Area","10","","","","1"
"Limited","1992","Employed","Urban Area","197","0.214212870495528","0.187687248808237","0.240738492182819","2"
"Limited","1992","Not Employed","Urban Area","23","","","","2"
"Limited","1992","Employed","Rural Area","157","0.267714613391721","0.232107965383853","0.303321261399588","2"
"Limited","1992","Not Employed","Rural Area","13","","","","2"
"Permanent","1992","Employed","Rural Area","437","0.732285386608279","0.696678738600412","0.767892034616147","1"
"Permanent","1992","Employed","Urban Area","722","0.785787129504472","0.759261507817181","0.812312751191763","1"
"Permanent","1992","Not Employed","Rural Area","10","","","","1"
"Permanent","1992","Not Employed","Urban Area","21","","","","1"
"Limited","1993","Employed","Urban Area","172","0.201356237211636","0.174237619835492","0.228474854587779","2"
"Limited","1993","Not Employed","Urban Area","21","","","","2"
"Limited","1993","Employed","Rural Area","118","0.301296675196268","0.258857347530471","0.343736002862064","2"
"Limited","1993","Not Employed","Rural Area","8","","","","2"
"Permanent","1993","Employed","Rural Area","331","0.698703324803732","0.656263997137936","0.741142652469529","1"
"Permanent","1993","Employed","Urban Area","668","0.798643762788364","0.771525145412221","0.825762380164508","1"
"Permanent","1993","Not Employed","Rural Area","20","","","","1"
"Permanent","1993","Not Employed","Urban Area","35","0.705628237577613","0.586259630114067","0.824996845041159","1"
"Limited","1994","Employed","Rural Area","153","0.380448472986947","0.333961879973906","0.426935065999988","2"
"Limited","1994","Employed","Urban Area","208","0.255394963134961","0.22384715362342","0.286942772646503","2"
"Limited","1994","Not Employed","Urban Area","38","0.491759768829212","0.3762834686691","0.607236068989324","2"
"Limited","1994","Not Employed","Rural Area","14","","","","2"
"Permanent","1994","Employed","Rural Area","266","0.619551527013053","0.573064934000011","0.666038120026094","1"
"Permanent","1994","Employed","Urban Area","526","0.744605036865039","0.713057227353497","0.77615284637658","1"
"Permanent","1994","Not Employed","Rural Area","9","","","","1"
"Permanent","1994","Not Employed","Urban Area","34","0.508240231170788","0.392763931010676","0.6237165313309","1"
"Limited","1995","Not Employed","Urban Area","35","0.337609506070483","0.245837043808656","0.42938196833231","2"
"Limited","1995","Employed","Rural Area","365","0.151633711386427","0.137196879547058","0.166070543225795","2"
"Limited","1995","Employed","Urban Area","494","0.100249305791141","0.0916374161443094","0.108861195437973","2"
"Limited","1995","Not Employed","Rural Area","38","0.599572413643349","0.477607457960765","0.721537369325933","2"
"Permanent","1995","Employed","Urban Area","4178","0.899750694208859","0.891138804562027","0.908362583855691","1"
"Permanent","1995","Not Employed","Rural Area","24","","","","1"
"Permanent","1995","Not Employed","Urban Area","67","0.662390493929517","0.57061803166769","0.754162956191344","1"
"Permanent","1995","Employed","Rural Area","2006","0.848366288613573","0.833929456774205","0.862803120452942","1"
"Limited","1996","Not Employed","Urban Area","37","0.501119656039354","0.396054821682326","0.606184490396382","2"
"Limited","1996","Employed","Rural Area","316","0.126456255825451","0.112890908185641","0.140021603465261","2"
"Limited","1996","Employed","Urban Area","483","0.104438587678372","0.0955474091911771","0.113329766165568","2"
"Limited","1996","Not Employed","Rural Area","31","0.498177518674821","0.364819746886301","0.63153529046334","2"
"Permanent","1996","Employed","Urban Area","4062","0.895561412321628","0.886670233834432","0.904452590808823","1"
"Permanent","1996","Not Employed","Rural Area","23","","","","1"
"Permanent","1996","Not Employed","Urban Area","50","0.498880343960646","0.393815509603618","0.603945178317674","1"
"Permanent","1996","Employed","Rural Area","1990","0.873543744174549","0.85997839653474","0.887109091814359","1"
"Limited","1997","Employed","Rural Area","326","0.136329126019233","0.12212551568908","0.150532736349386","2"
"Limited","1997","Employed","Urban Area","562","0.126227428596414","0.116418975778883","0.136035881413944","2"
"Limited","1997","Not Employed","Rural Area","38","0.7227944352857","0.598723098607885","0.846865771963514","2"
"Limited","1997","Not Employed","Urban Area","37","0.347930057712198","0.237909229952879","0.457950885471517","2"
"Permanent","1997","Employed","Urban Area","3842","0.873772571403586","0.863964118586056","0.883581024221117","1"
"Permanent","1997","Employed","Rural Area","1916","0.863670873980767","0.849467263650614","0.87787448431092","1"
"Permanent","1997","Not Employed","Rural Area","12","","","","1"
"Permanent","1997","Not Employed","Urban Area","35","0.652069942287802","0.542049114528483","0.762090770047121","1"
