"plb0037_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Employed","Female","274","0.136249060358297","0.121801986627602","0.150696134088991","2"
"Limited","1985","Employed","Male","363","0.106233542407297","0.0959855556144485","0.116481529200146","2"
"Limited","1985","Not Employed","Female","25","","","","2"
"Limited","1985","Not Employed","Male","26","","","","2"
"Permanent","1985","Employed","Male","3110","0.893766457592703","0.883518470799854","0.904014444385551","1"
"Permanent","1985","Not Employed","Male","32","0.562629196181815","0.434964704263757","0.690293688099873","1"
"Permanent","1985","Employed","Female","1892","0.863750939641703","0.849303865911009","0.878198013372398","1"
"Permanent","1985","Not Employed","Female","41","0.533914888335559","0.413565259806328","0.65426451686479","1"
"Limited","1986","Employed","Female","84","0.276250703650679","0.226314156891287","0.326187250410071","2"
"Limited","1986","Employed","Male","113","0.227313167397801","0.190280960674637","0.264345374120965","2"
"Limited","1986","Not Employed","Female","8","","","","2"
"Limited","1986","Not Employed","Male","13","","","","2"
"Permanent","1986","Employed","Male","379","0.7726868326022","0.735654625879036","0.809719039325363","1"
"Permanent","1986","Not Employed","Male","13","","","","1"
"Permanent","1986","Employed","Female","224","0.723749296349322","0.67381274958993","0.773685843108713","1"
"Permanent","1986","Not Employed","Female","8","","","","1"
"Limited","1987","Employed","Male","164","0.230279309002727","0.197429908304891","0.263128709700563","2"
"Limited","1987","Not Employed","Female","19","","","","2"
"Limited","1987","Not Employed","Male","9","","","","2"
"Limited","1987","Employed","Female","145","0.319239430176142","0.275680499193588","0.362798361158696","2"
"Permanent","1987","Employed","Male","467","0.769720690997273","0.736871290299437","0.802570091695109","1"
"Permanent","1987","Not Employed","Male","13","","","","1"
"Permanent","1987","Employed","Female","295","0.680760569823858","0.637201638841304","0.724319500806412","1"
"Permanent","1987","Not Employed","Female","28","","","","1"
"Limited","1988","Employed","Male","343","0.101682625379789","0.0911897301980698","0.112175520561509","2"
"Limited","1988","Not Employed","Female","26","","","","2"
"Limited","1988","Not Employed","Male","26","","","","2"
"Limited","1988","Employed","Female","258","0.121553059186295","0.107366185066032","0.135739933306558","2"
"Permanent","1988","Employed","Male","2844","0.898317374620211","0.887824479438491","0.90881026980193","1"
"Permanent","1988","Not Employed","Male","16","","","","1"
"Permanent","1988","Employed","Female","1780","0.878446940813705","0.864260066693442","0.892633814933968","1"
"Permanent","1988","Not Employed","Female","24","","","","1"
"Limited","1989","Employed","Male","109","0.222406198153503","0.183767905840622","0.261044490466385","2"
"Limited","1989","Employed","Female","112","0.241495470049646","0.198743974692578","0.284246965406715","2"
"Limited","1989","Not Employed","Female","18","","","","2"
"Limited","1989","Not Employed","Male","14","","","","2"
"Permanent","1989","Employed","Female","273","0.758504529950354","0.715753034593285","0.801256025307422","1"
"Permanent","1989","Employed","Male","336","0.777593801846497","0.738955509533615","0.816232094159378","1"
"Permanent","1989","Not Employed","Male","20","","","","1"
"Permanent","1989","Not Employed","Female","15","","","","1"
"Limited","1990","Employed","Male","88","0.185740121383138","0.150316580038653","0.221163662727623","2"
"Limited","1990","Not Employed","Male","10","","","","2"
"Limited","1990","Employed","Female","116","0.240578889534865","0.199553741742357","0.281604037327373","2"
"Limited","1990","Not Employed","Female","14","","","","2"
"Permanent","1990","Not Employed","Male","11","","","","1"
"Permanent","1990","Employed","Female","301","0.759421110465135","0.718395962672627","0.800446258257643","1"
"Permanent","1990","Employed","Male","375","0.814259878616862","0.778836337272377","0.849683419961347","1"
"Permanent","1990","Not Employed","Female","21","","","","1"
"Limited","1991","Employed","Male","93","0.192417983259214","0.155915262763718","0.228920703754709","2"
"Limited","1991","Not Employed","Male","10","","","","2"
"Limited","1991","Employed","Female","105","0.254572853938663","0.212199414004572","0.296946293872755","2"
"Limited","1991","Not Employed","Female","13","","","","2"
"Permanent","1991","Not Employed","Male","20","","","","1"
"Permanent","1991","Employed","Female","301","0.745427146061337","0.703053706127245","0.787800585995428","1"
"Permanent","1991","Employed","Male","355","0.807582016740786","0.771079296245291","0.844084737236282","1"
"Permanent","1991","Not Employed","Female","36","0.696768294129811","0.568067405461657","0.825469182797964","1"
"Limited","1992","Employed","Male","191","0.226886699164217","0.198342265736861","0.255431132591574","2"
"Limited","1992","Not Employed","Male","19","","","","2"
"Limited","1992","Employed","Female","167","0.239257735455619","0.207854330478595","0.270661140432643","2"
"Limited","1992","Not Employed","Female","18","","","","2"
"Permanent","1992","Employed","Female","542","0.760742264544381","0.729338859567357","0.792145669521405","1"
"Permanent","1992","Employed","Male","636","0.773113300835783","0.744568867408426","0.801657734263139","1"
"Permanent","1992","Not Employed","Female","19","","","","1"
"Permanent","1992","Not Employed","Male","13","","","","1"
"Limited","1993","Employed","Male","144","0.215293472411276","0.184100681225253","0.2464862635973","2"
"Limited","1993","Not Employed","Male","12","","","","2"
"Limited","1993","Employed","Female","146","0.24885627087532","0.214878982507648","0.282833559242991","2"
"Limited","1993","Not Employed","Female","17","","","","2"
"Permanent","1993","Employed","Female","476","0.75114372912468","0.717166440757009","0.785121017492352","1"
"Permanent","1993","Employed","Male","523","0.784706527588724","0.7535137364027","0.815899318774747","1"
"Permanent","1993","Not Employed","Female","41","0.793630124873529","0.689478435867186","0.897781813879872","1"
"Permanent","1993","Not Employed","Male","14","","","","1"
"Limited","1994","Employed","Female","185","0.300171278828136","0.262643640987742","0.33769891666853","2"
"Limited","1994","Employed","Male","176","0.290425736887459","0.253481170672928","0.327370303101989","2"
"Limited","1994","Not Employed","Male","22","","","","2"
"Limited","1994","Not Employed","Female","30","0.533566428390192","0.399259225344221","0.667873631436163","2"
"Permanent","1994","Employed","Female","388","0.699828721171864","0.66230108333147","0.737356359012258","1"
"Permanent","1994","Employed","Male","404","0.709574263112541","0.672629696898011","0.746518829327072","1"
"Permanent","1994","Not Employed","Female","23","","","","1"
"Permanent","1994","Not Employed","Male","20","","","","1"
"Limited","1995","Not Employed","Male","28","","","","2"
"Limited","1995","Employed","Female","410","0.124031031085518","0.112331218185948","0.135730843985088","2"
"Limited","1995","Employed","Male","449","0.10955460033988","0.0998681865520917","0.119241014127669","2"
"Limited","1995","Not Employed","Female","45","0.396470994544435","0.301072353601264","0.491869635487605","2"
"Permanent","1995","Employed","Male","3545","0.89044539966012","0.880758985872331","0.900131813447908","1"
"Permanent","1995","Not Employed","Female","56","0.603529005455565","0.508130364512395","0.698927646398736","1"
"Permanent","1995","Not Employed","Male","35","0.527905823182821","0.404632142186404","0.651179504179238","1"
"Permanent","1995","Employed","Female","2639","0.875968968914482","0.864269156014912","0.887668781814052","1"
"Limited","1996","Not Employed","Male","26","","","","2"
"Limited","1996","Employed","Female","396","0.118116242281457","0.106609262659398","0.129623221903516","2"
"Limited","1996","Employed","Male","403","0.105366600938093","0.0956418285183635","0.115091373357822","2"
"Limited","1996","Not Employed","Female","42","0.498176126733928","0.393111727954425","0.603240525513432","2"
"Permanent","1996","Employed","Male","3426","0.894633399061907","0.884908626642178","0.904358171481636","1"
"Permanent","1996","Not Employed","Female","45","0.501823873266072","0.396759474486568","0.606888272045575","1"
"Permanent","1996","Not Employed","Male","28","","","","1"
"Permanent","1996","Employed","Female","2626","0.881883757718543","0.870376778096484","0.893390737340602","1"
"Limited","1997","Employed","Female","406","0.133544406544616","0.121208578167174","0.145880234922059","2"
"Limited","1997","Employed","Male","482","0.125853201717664","0.115201738490716","0.136504664944611","2"
"Limited","1997","Not Employed","Female","41","0.356258628872158","0.247876952092399","0.464640305651917","2"
"Limited","1997","Not Employed","Male","34","0.639544957344598","0.50227981830471","0.776810096384485","2"
"Permanent","1997","Employed","Male","3243","0.874146798282337","0.863495335055389","0.884798261509284","1"
"Permanent","1997","Employed","Female","2515","0.866455593455384","0.854119765077941","0.878791421832826","1"
"Permanent","1997","Not Employed","Female","34","0.643741371127842","0.535359694348083","0.752123047907601","1"
"Permanent","1997","Not Employed","Male","13","","","","1"
"Limited","1998","Employed","Female","438","0.121191131033158","0.109913829430298","0.132468432636018","2"
"Limited","1998","Employed","Male","520","0.126002396779409","0.115812210980426","0.136192582578391","2"
"Limited","1998","Not Employed","Female","37","0.530584204074774","0.411966464762312","0.649201943387236","2"
"Limited","1998","Not Employed","Male","38","0.537639157113863","0.413534461013117","0.661743853214609","2"
"Permanent","1998","Employed","Male","3554","0.873997603220592","0.863807417421609","0.884187789019574","1"
"Permanent","1998","Not Employed","Male","24","","","","1"
"Permanent","1998","Employed","Female","2779","0.878808868966842","0.867531567363982","0.890086170569702","1"
"Permanent","1998","Not Employed","Female","31","0.469415795925226","0.350798056612763","0.588033535237688","1"
"Limited","1999","Employed","Female","478","0.126397367754284","0.114919898527074","0.137874836981495","2"
"Limited","1999","Employed","Male","573","0.139934953429936","0.129184003277978","0.150685903581893","2"
"Limited","1999","Not Employed","Female","33","0.384761875167275","0.278146280465096","0.491377469869454","2"
"Limited","1999","Not Employed","Male","21","","","","2"
"Permanent","1999","Employed","Male","3427","0.860065046570064","0.849314096418107","0.870815996722022","1"
"Permanent","1999","Not Employed","Male","24","","","","1"
"Permanent","1999","Employed","Female","2742","0.873602632245716","0.862125163018505","0.885080101472926","1"
"Permanent","1999","Not Employed","Female","47","0.615238124832725","0.508622530130546","0.721853719534904","1"
"Limited","2000","Employed","Male","827","0.127578410521408","0.119412527958039","0.135744293084778","2"
"Limited","2000","Not Employed","Female","63","0.4816149133366","0.395722930713752","0.567506895959448","2"
"Limited","2000","Not Employed","Male","56","0.625930774479277","0.522452878281469","0.729408670677084","2"
"Limited","2000","Employed","Female","740","0.137317813814519","0.127874505650867","0.146761121978171","2"
"Permanent","2000","Employed","Male","5585","0.872421589478592","0.864255706915222","0.880587472041961","1"
"Permanent","2000","Not Employed","Male","28","","","","1"
"Permanent","2000","Employed","Female","4363","0.862682186185481","0.853238878021829","0.872125494349133","1"
"Permanent","2000","Not Employed","Female","67","0.5183850866634","0.432493104040552","0.604277069286248","1"
"Limited","2001","Employed","Male","726","0.119589213791123","0.11121538363782","0.127963043944426","2"
"Limited","2001","Not Employed","Female","62","0.51588630307372","0.427925753886889","0.603846852260551","2"
"Limited","2001","Not Employed","Male","40","0.697317150775906","0.582026987639214","0.812607313912599","2"
"Limited","2001","Employed","Female","703","0.1458076364502","0.135745986366872","0.155869286533528","2"
"Permanent","2001","Employed","Male","5042","0.880410786208877","0.872036956055574","0.88878461636218","1"
"Permanent","2001","Not Employed","Male","21","","","","1"
"Permanent","2001","Employed","Female","4023","0.8541923635498","0.844130713466472","0.864254013633128","1"
"Permanent","2001","Not Employed","Female","62","0.48411369692628","0.396153147739449","0.572074246113111","1"
"Limited","2002","Employed","Male","735","0.125319389979659","0.116916800242443","0.133721979716875","2"
"Limited","2002","Employed","Female","701","0.144676511561634","0.134998318498884","0.154354704624385","2"
"Limited","2002","Not Employed","Female","56","0.616598918079072","0.520335096357465","0.712862739800678","2"
"Limited","2002","Not Employed","Male","40","0.595949663528303","0.473804922767567","0.718094404289038","2"
"Permanent","2002","Employed","Female","4374","0.855323488438365","0.845645295375615","0.865001681501116","1"
"Permanent","2002","Employed","Male","5229","0.874680610020341","0.866278020283125","0.883083199757557","1"
"Permanent","2002","Not Employed","Male","22","","","","1"
"Permanent","2002","Not Employed","Female","42","0.383401081920928","0.287137260199322","0.479664903642535","1"
