"plb0037_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Urban Area","East Germany","","","","","2"
"Limited","1985","Rural Area","East Germany","","","","","2"
"Limited","1985","Urban Area","West Germany","556","0.123302745929407","0.113884067538496","0.132721424320317","2"
"Limited","1985","Rural Area","West Germany","132","0.129286404487326","0.109294758516643","0.149278050458009","2"
"Permanent","1985","Urban Area","West Germany","4125","0.876697254070593","0.867278575679683","0.886115932461504","1"
"Permanent","1985","Urban Area","East Germany","","","","","1"
"Permanent","1985","Rural Area","West Germany","950","0.870713595512674","0.850721949541991","0.890705241483357","1"
"Permanent","1985","Rural Area","East Germany","","","","","1"
"Limited","1986","Urban Area","East Germany","","","","","2"
"Limited","1986","Rural Area","East Germany","","","","","2"
"Limited","1986","Urban Area","West Germany","165","0.240375785442827","0.208305659754347","0.272445911131306","2"
"Limited","1986","Rural Area","West Germany","53","0.351501319174118","0.277522715850612","0.425479922497623","2"
"Permanent","1986","Urban Area","West Germany","517","0.759624214557173","0.727554088868694","0.791694340245653","1"
"Permanent","1986","Urban Area","East Germany","","","","","1"
"Permanent","1986","Rural Area","West Germany","107","0.648498680825882","0.574520077502377","0.722477284149388","1"
"Permanent","1986","Rural Area","East Germany","","","","","1"
"Limited","1987","Urban Area","East Germany","","","","","2"
"Limited","1987","Rural Area","East Germany","","","","","2"
"Limited","1987","Urban Area","West Germany","260","0.278763610790557","0.249070691774905","0.308456529806209","2"
"Limited","1987","Rural Area","West Germany","77","0.274313786872477","0.220493701602514","0.32813387214244","2"
"Permanent","1987","Urban Area","East Germany","","","","","1"
"Permanent","1987","Rural Area","West Germany","187","0.725686213127523","0.67186612785756","0.779506298397486","1"
"Permanent","1987","Rural Area","East Germany","","","","","1"
"Permanent","1987","Urban Area","West Germany","616","0.721236389209443","0.691543470193791","0.750929308225095","1"
"Limited","1988","Urban Area","East Germany","","","","","2"
"Limited","1988","Rural Area","East Germany","","","","","2"
"Limited","1988","Urban Area","West Germany","500","0.103868526668034","0.0947538805684928","0.112983172767575","2"
"Limited","1988","Rural Area","West Germany","153","0.160360371462482","0.137764018026167","0.182956724898797","2"
"Permanent","1988","Urban Area","East Germany","","","","","1"
"Permanent","1988","Rural Area","West Germany","860","0.839639628537518","0.817043275101203","0.862235981973833","1"
"Permanent","1988","Rural Area","East Germany","","","","","1"
"Permanent","1988","Urban Area","West Germany","3804","0.896131473331966","0.887016827232425","0.905246119431507","1"
"Limited","1989","Urban Area","West Germany","215","0.25784176638854","0.225889127473185","0.289794405303895","2"
"Limited","1989","Urban Area","East Germany","","","","","2"
"Limited","1989","Rural Area","East Germany","","","","","2"
"Limited","1989","Rural Area","West Germany","38","0.214498610109368","0.154027606288978","0.274969613929758","2"
"Permanent","1989","Urban Area","East Germany","","","","","1"
"Permanent","1989","Urban Area","West Germany","505","0.74215823361146","0.710205594696105","0.774110872526815","1"
"Permanent","1989","Rural Area","West Germany","139","0.785501389890632","0.725030386070242","0.845972393711022","1"
"Permanent","1989","Rural Area","East Germany","","","","","1"
"Limited","1990","Rural Area","East Germany","","","","","2"
"Limited","1990","Urban Area","West Germany","189","0.240523137985293","0.209645441914741","0.271400834055845","2"
"Limited","1990","Urban Area","East Germany","","","","","2"
"Limited","1990","Rural Area","West Germany","39","0.177128742582044","0.124218036221044","0.230039448943043","2"
"Permanent","1990","Urban Area","East Germany","","","","","1"
"Permanent","1990","Rural Area","East Germany","","","","","1"
"Permanent","1990","Urban Area","West Germany","547","0.759476862014707","0.728599165944155","0.790354558085259","1"
"Permanent","1990","Rural Area","West Germany","161","0.822871257417956","0.769960551056957","0.875781963778956","1"
"Limited","1991","Rural Area","East Germany","96","0.235443377094947","0.194818772578553","0.276067981611342","2"
"Limited","1991","Urban Area","West Germany","182","0.222505096764472","0.193031296875636","0.251978896653308","2"
"Limited","1991","Urban Area","East Germany","59","0.222858064517566","0.173581870203198","0.272134258831933","2"
"Limited","1991","Rural Area","West Germany","43","0.25006362936783","0.187829432076452","0.312297826659208","2"
"Permanent","1991","Urban Area","East Germany","215","0.777141935482434","0.727865741168067","0.826418129796802","1"
"Permanent","1991","Rural Area","East Germany","323","0.764556622905053","0.723932018388658","0.805181227421447","1"
"Permanent","1991","Urban Area","West Germany","583","0.777494903235528","0.748021103346692","0.806968703124364","1"
"Permanent","1991","Rural Area","West Germany","143","0.74993637063217","0.687702173340792","0.812170567923548","1"
"Limited","1992","Urban Area","West Germany","143","0.218662500620869","0.187434293710368","0.249890707531369","2"
"Limited","1992","Urban Area","East Germany","77","0.25273484611707","0.202717687112864","0.302752005121276","2"
"Limited","1992","Rural Area","West Germany","41","0.229024255767689","0.170046005631246","0.288002505904132","2"
"Limited","1992","Rural Area","East Germany","129","0.326069225408834","0.281343806627199","0.370794644190469","2"
"Permanent","1992","Urban Area","East Germany","213","0.74726515388293","0.697247994878724","0.797282312887136","1"
"Permanent","1992","Rural Area","East Germany","293","0.673930774591166","0.629205355809531","0.718656193372801","1"
"Permanent","1992","Urban Area","West Germany","530","0.781337499379131","0.75010929246863","0.812565706289632","1"
"Permanent","1992","Rural Area","West Germany","154","0.770975744232311","0.711997494095868","0.829953994368754","1"
"Limited","1993","Urban Area","West Germany","144","0.209618546309519","0.178588631433426","0.240648461185612","2"
"Limited","1993","Urban Area","East Germany","49","0.191289033846996","0.141002018172545","0.241576049521447","2"
"Limited","1993","Rural Area","West Germany","43","0.342185971702474","0.268208035137529","0.416163908267418","2"
"Limited","1993","Rural Area","East Germany","83","0.253773908633317","0.206019722398419","0.301528094868214","2"
"Permanent","1993","Urban Area","East Germany","186","0.808710966153004","0.758423950478553","0.858997981827455","1"
