"plb0037_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","in school","Urban Area","3","","",""
"Permanent","1985","in school","Rural Area","1","","",""
"Permanent","1985","inadequately","Urban Area","381","0.924277379597011","0.898383931673391","0.95017082752063"
"Permanent","1985","inadequately","Rural Area","39","0.854986174425497","0.750944818473381","0.959027530377613"
"Permanent","1985","general elemantary","Urban Area","854","0.739110743997812","0.713006196238394","0.765215291757229"
"Permanent","1985","general elemantary","Rural Area","197","0.732416936863495","0.67860607885939","0.786227794867599"
"Permanent","1985","middle vocational","Urban Area","2097","0.916739106351632","0.905443319422211","0.928034893281053"
"Permanent","1985","middle vocational","Rural Area","562","0.911959675927612","0.889547060487336","0.934372291367889"
"Permanent","1985","vocational + Abi","Urban Area","131","0.935762007652773","0.895293497263034","0.976230518042512"
"Permanent","1985","vocational + Abi","Rural Area","14","","",""
"Permanent","1985","higher vocational","Urban Area","263","0.953695126723019","0.92890311995959","0.978487133486448"
"Permanent","1985","higher vocational","Rural Area","64","0.946403960686258","0.892475836684379","1.00033208468814"
"Permanent","1985","higher education","Urban Area","362","0.863480269029593","0.830990743735381","0.895969794323805"
"Permanent","1985","higher education","Rural Area","66","0.937017272319581","0.88010792538356","0.993926619255602"
"Limited","1985","in school","Urban Area","1","","",""
"Limited","1985","in school","Rural Area","","","",""
"Limited","1985","inadequately","Urban Area","20","","",""
"Limited","1985","inadequately","Rural Area","5","","",""
"Limited","1985","general elemantary","Urban Area","233","0.260889256002188","0.234784708242771","0.286993803761606"
"Limited","1985","general elemantary","Rural Area","63","0.267583063136505","0.213772205132401","0.32139392114061"
"Limited","1985","middle vocational","Urban Area","201","0.0832608936483684","0.0719651067189474","0.0945566805777894"
"Limited","1985","middle vocational","Rural Area","52","0.0880403240723876","0.0656277086321109","0.110452939512664"
"Limited","1985","vocational + Abi","Urban Area","10","","",""
"Limited","1985","vocational + Abi","Rural Area","3","","",""
"Limited","1985","higher vocational","Urban Area","13","","",""
"Limited","1985","higher vocational","Rural Area","3","","",""
"Limited","1985","higher education","Urban Area","67","0.136519730970407","0.104030205676195","0.169009256264619"
"Limited","1985","higher education","Rural Area","4","","",""
"Permanent","1986","in school","Urban Area","","","",""
"Permanent","1986","in school","Rural Area","","","",""
"Permanent","1986","inadequately","Urban Area","14","","",""
"Permanent","1986","inadequately","Rural Area","7","","",""
"Permanent","1986","general elemantary","Urban Area","84","0.477970028657058","0.401752621523704","0.554187435790412"
"Permanent","1986","general elemantary","Rural Area","22","","",""
"Permanent","1986","middle vocational","Urban Area","302","0.852453801085815","0.815245930480823","0.889661671690808"
"Permanent","1986","middle vocational","Rural Area","61","0.712770261871168","0.616009799487436","0.8095307242549"
"Permanent","1986","vocational + Abi","Urban Area","25","","",""
"Permanent","1986","vocational + Abi","Rural Area","3","","",""
"Permanent","1986","higher vocational","Urban Area","31","0.965120077345662","0.901550176558601","1.02868997813272"
"Permanent","1986","higher vocational","Rural Area","6","","",""
"Permanent","1986","higher education","Urban Area","56","0.728127940173332","0.629389348914861","0.826866531431802"
"Permanent","1986","higher education","Rural Area","8","","",""
"Limited","1986","in school","Urban Area","2","","",""
"Limited","1986","in school","Rural Area","","","",""
"Limited","1986","inadequately","Urban Area","6","","",""
"Limited","1986","inadequately","Rural Area","3","","",""
"Limited","1986","general elemantary","Urban Area","81","0.522029971342942","0.445812564209588","0.598247378476296"
"Limited","1986","general elemantary","Rural Area","22","","",""
"Limited","1986","middle vocational","Urban Area","47","0.147546198914185","0.110338328309192","0.184754069519177"
"Limited","1986","middle vocational","Rural Area","23","","",""
"Limited","1986","vocational + Abi","Urban Area","3","","",""
"Limited","1986","vocational + Abi","Rural Area","","","",""
"Limited","1986","higher vocational","Urban Area","1","","",""
"Limited","1986","higher vocational","Rural Area","2","","",""
"Limited","1986","higher education","Urban Area","22","","",""
"Limited","1986","higher education","Rural Area","3","","",""
"Permanent","1987","in school","Urban Area","1","","",""
"Permanent","1987","in school","Rural Area","","","",""
"Permanent","1987","inadequately","Urban Area","30","0.862187551365604","0.751118687962243","0.973256414768966"
"Permanent","1987","inadequately","Rural Area","4","","",""
"Permanent","1987","general elemantary","Urban Area","115","0.526414448209597","0.460285874445239","0.592543021973955"
"Permanent","1987","general elemantary","Rural Area","40","0.634902365352207","0.518748382678285","0.751056348026128"
"Permanent","1987","middle vocational","Urban Area","338","0.809128568588278","0.771678109983814","0.846579027192741"
"Permanent","1987","middle vocational","Rural Area","114","0.750518474351972","0.681728335480779","0.819308613223166"
"Permanent","1987","vocational + Abi","Urban Area","26","","",""
"Permanent","1987","vocational + Abi","Rural Area","3","","",""
"Permanent","1987","higher vocational","Urban Area","40","0.822710148405625","0.716850985765077","0.928569311046173"
"Permanent","1987","higher vocational","Rural Area","13","","",""
"Permanent","1987","higher education","Urban Area","60","0.701425090473716","0.607399796925306","0.795450384022125"
"Permanent","1987","higher education","Rural Area","13","","",""
"Limited","1987","in school","Urban Area","2","","",""
"Limited","1987","in school","Rural Area","","","",""
"Limited","1987","inadequately","Urban Area","7","","",""
"Limited","1987","inadequately","Rural Area","5","","",""
"Limited","1987","general elemantary","Urban Area","104","0.473585551790403","0.407456978026045","0.539714125554761"
"Limited","1987","general elemantary","Rural Area","26","","",""
"Limited","1987","middle vocational","Urban Area","85","0.190871431411722","0.153420972807259","0.228321890016186"
"Limited","1987","middle vocational","Rural Area","38","0.249481525648028","0.180691386776835","0.318271664519221"
"Limited","1987","vocational + Abi","Urban Area","12","","",""
"Limited","1987","vocational + Abi","Rural Area","1","","",""
"Limited","1987","higher vocational","Urban Area","10","","",""
"Limited","1987","higher vocational","Rural Area","3","","",""
"Limited","1987","higher education","Urban Area","31","0.298574909526284","0.204549615977875","0.392600203074694"
"Limited","1987","higher education","Rural Area","1","","",""
"Permanent","1988","in school","Urban Area","5","","",""
"Permanent","1988","in school","Rural Area","","","",""
"Permanent","1988","inadequately","Urban Area","274","0.862955918334246","0.823911010027173","0.902000826641319"
"Permanent","1988","inadequately","Rural Area","41","0.716333582382902","0.587460926154513","0.84520623861129"
"Permanent","1988","general elemantary","Urban Area","782","0.77003265063521","0.744106054973224","0.795959246297196"
"Permanent","1988","general elemantary","Rural Area","174","0.70304298490472","0.644748183958797","0.761337785850644"
"Permanent","1988","middle vocational","Urban Area","1982","0.941640331186001","0.931682627577765","0.951598034794236"
"Permanent","1988","middle vocational","Rural Area","508","0.879624235711488","0.852980881279855","0.90626759014312"
"Permanent","1988","vocational + Abi","Urban Area","126","0.861811285289083","0.805833715473664","0.917788855104502"
"Permanent","1988","vocational + Abi","Rural Area","13","","",""
"Permanent","1988","higher vocational","Urban Area","233","0.968201665882348","0.946094885084399","0.990308446680296"
"Permanent","1988","higher vocational","Rural Area","53","0.874879010362354","0.791162416545944","0.958595604178765"
"Permanent","1988","higher education","Urban Area","359","0.89077503747183","0.860321304231616","0.921228770712045"
"Permanent","1988","higher education","Rural Area","65","0.925522092481017","0.864017690626097","0.987026494335937"
"Limited","1988","in school","Urban Area","1","","",""
"Limited","1988","in school","Rural Area","","","",""
"Limited","1988","inadequately","Urban Area","24","","",""
"Limited","1988","inadequately","Rural Area","6","","",""
"Limited","1988","general elemantary","Urban Area","230","0.22996734936479","0.204040753702804","0.255893945026776"
"Limited","1988","general elemantary","Rural Area","62","0.29695701509528","0.238662214149356","0.355251816041203"
"Limited","1988","middle vocational","Urban Area","147","0.0583596688139994","0.0484019652057637","0.0683173724222351"
"Limited","1988","middle vocational","Rural Area","65","0.120375764288512","0.0937324098568797","0.147019118720145"
"Limited","1988","vocational + Abi","Urban Area","20","","",""
"Limited","1988","vocational + Abi","Rural Area","3","","",""
"Limited","1988","higher vocational","Urban Area","9","","",""
"Limited","1988","higher vocational","Rural Area","7","","",""
"Limited","1988","higher education","Urban Area","44","0.10922496252817","0.0787712292879553","0.139678695768384"
"Limited","1988","higher education","Rural Area","5","","",""
"Permanent","1989","in school","Urban Area","5","","",""
"Permanent","1989","in school","Rural Area","1","","",""
"Permanent","1989","inadequately","Urban Area","25","","",""
"Permanent","1989","inadequately","Rural Area","7","","",""
"Permanent","1989","general elemantary","Urban Area","109","0.543882193198867","0.473975023544149","0.613789362853585"
"Permanent","1989","general elemantary","Rural Area","25","","",""
"Permanent","1989","middle vocational","Urban Area","227","0.771389238734202","0.724566806022446","0.818211671445959"
"Permanent","1989","middle vocational","Rural Area","85","0.782875877445437","0.703638167532605","0.862113587358269"
"Permanent","1989","vocational + Abi","Urban Area","36","0.862213694958613","0.761508396833129","0.962918993084097"
"Permanent","1989","vocational + Abi","Rural Area","1","","",""
"Permanent","1989","higher vocational","Urban Area","39","0.883163787402287","0.788249604233459","0.978077970571114"
"Permanent","1989","higher vocational","Rural Area","9","","",""
"Permanent","1989","higher education","Urban Area","57","0.791695578607768","0.701573926717309","0.881817230498227"
"Permanent","1989","higher education","Rural Area","9","","",""
"Limited","1989","in school","Urban Area","","","",""
"Limited","1989","in school","Rural Area","","","",""
"Limited","1989","inadequately","Urban Area","6","","",""
"Limited","1989","inadequately","Rural Area","1","","",""
"Limited","1989","general elemantary","Urban Area","86","0.456117806801133","0.386210637146415","0.52602497645585"
"Limited","1989","general elemantary","Rural Area","13","","",""
"Limited","1989","middle vocational","Urban Area","82","0.228610761265798","0.181788328554041","0.275433193977554"
"Limited","1989","middle vocational","Rural Area","19","","",""
"Limited","1989","vocational + Abi","Urban Area","9","","",""
"Limited","1989","vocational + Abi","Rural Area","","","",""
"Limited","1989","higher vocational","Urban Area","5","","",""
"Limited","1989","higher vocational","Rural Area","2","","",""
