"plb0037_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Bavaria","in school","","","","","2"
"Limited","1985","Hesse","higher vocational","","","","","2"
"Limited","1985","Schleswig-Holstein","in school","","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","in school","","","","","2"
"Limited","1985","Baden-Württemberg","vocational + Abi","3","","","","2"
"Limited","1985","North Rhine-Westphalia","inadequately","7","","","","2"
"Limited","1985","Baden-Württemberg","higher vocational","2","","","","2"
"Limited","1985","Bremen","higher vocational","1","","","","2"
"Limited","1985","Baden-Württemberg","middle vocational","45","0.0752462056229118","0.0530997003888567","0.097392710856967","2"
"Limited","1985","Lower Saxony","vocational + Abi","","","","","2"
"Limited","1985","Baden-Württemberg","higher education","4","","","","2"
"Limited","1985","North Rhine-Westphalia","in school","","","","","2"
"Limited","1985","Hesse","vocational + Abi","2","","","","2"
"Limited","1985","Hesse","higher education","13","","","","2"
"Limited","1985","North Rhine-Westphalia","general elemantary","78","0.268896179539825","0.221904942212405","0.315887416867246","2"
"Limited","1985","North Rhine-Westphalia","middle vocational","59","0.0782370202116169","0.0587564151186179","0.097717625304616","2"
"Limited","1985","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"Limited","1985","Bremen","higher education","1","","","","2"
"Limited","1985","Hesse","middle vocational","19","","","","2"
"Limited","1985","Schleswig-Holstein","inadequately","1","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","higher education","","","","","2"
"Limited","1985","Saxony","inadequately","","","","","2"
"Limited","1985","Saxony","general elemantary","","","","","2"
"Limited","1985","Saxony","middle vocational","","","","","2"
"Limited","1985","Hamburg","in school","","","","","2"
"Limited","1985","Lower Saxony","in school","","","","","2"
"Limited","1985","Lower Saxony","inadequately","","","","","2"
"Limited","1985","Lower Saxony","general elemantary","28","","","","2"
"Limited","1985","Lower Saxony","middle vocational","27","","","","2"
"Limited","1985","Lower Saxony","higher vocational","1","","","","2"
"Limited","1985","Lower Saxony","higher education","4","","","","2"
"Limited","1985","Bremen","in school","","","","","2"
"Limited","1985","Bremen","inadequately","","","","","2"
"Limited","1985","North Rhine-Westphalia","vocational + Abi","4","","","","2"
"Limited","1985","North Rhine-Westphalia","higher vocational","4","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","inadequately","2","","","","2"
"Limited","1985","Saxony","in school","","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","middle vocational","12","","","","2"
"Limited","1985","Schleswig-Holstein","higher vocational","2","","","","2"
"Limited","1985","Schleswig-Holstein","higher education","1","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","higher vocational","1","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","higher education","","","","","2"
"Limited","1985","Baden-Württemberg","in school","1","","","","2"
"Limited","1985","Baden-Württemberg","inadequately","4","","","","2"
"Limited","1985","Baden-Württemberg","general elemantary","44","0.1646532426237","0.123697825484103","0.205608659763297","2"
"Limited","1985","Bavaria","vocational + Abi","1","","","","2"
"Limited","1985","Bavaria","higher vocational","4","","","","2"
"Limited","1985","North Rhine-Westphalia","higher education","26","","","","2"
"Limited","1985","Saxony","vocational + Abi","","","","","2"
"Limited","1985","Saxony","higher vocational","","","","","2"
"Limited","1985","Saxony","higher education","","","","","2"
"Limited","1985","Saxony-Anhalt","in school","","","","","2"
"Limited","1985","Saxony-Anhalt","inadequately","","","","","2"
"Limited","1985","Saxony-Anhalt","general elemantary","","","","","2"
"Limited","1985","Saxony-Anhalt","middle vocational","","","","","2"
"Limited","1985","Saxony-Anhalt","vocational + Abi","","","","","2"
"Limited","1985","Thuringia","in school","","","","","2"
"Limited","1985","Thuringia","inadequately","","","","","2"
"Limited","1985","Schleswig-Holstein","general elemantary","10","","","","2"
"Limited","1985","Schleswig-Holstein","middle vocational","10","","","","2"
"Limited","1985","Schleswig-Holstein","vocational + Abi","","","","","2"
"Limited","1985","Hamburg","middle vocational","9","","","","2"
"Limited","1985","Hamburg","vocational + Abi","","","","","2"
"Limited","1985","Hamburg","higher vocational","1","","","","2"
"Limited","1985","Hamburg","higher education","2","","","","2"
"Limited","1985","Bremen","general elemantary","3","","","","2"
"Limited","1985","Bremen","middle vocational","3","","","","2"
"Limited","1985","Bremen","vocational + Abi","","","","","2"
"Limited","1985","Hesse","in school","","","","","2"
"Limited","1985","Hesse","inadequately","5","","","","2"
"Limited","1985","Hesse","general elemantary","31","0.248742868422529","0.176619139773614","0.320866597071445","2"
"Limited","1985","Rhineland-Palatinate,Saarland","general elemantary","32","0.412599518898676","0.308552324769002","0.51664671302835","2"
"Limited","1985","Rhineland-Palatinate,Saarland","vocational + Abi","2","","","","2"
"Limited","1985","Bavaria","inadequately","5","","","","2"
"Limited","1985","Bavaria","general elemantary","51","0.256209091503982","0.201434912230391","0.310983270777572","2"
"Limited","1985","Bavaria","middle vocational","55","0.104371369409805","0.0784638474484414","0.130278891371169","2"
"Limited","1985","Saxony-Anhalt","higher vocational","","","","","2"
"Limited","1985","Saxony-Anhalt","higher education","","","","","2"
"Limited","1985","Hamburg","inadequately","","","","","2"
"Limited","1985","Hamburg","general elemantary","9","","","","2"
"Limited","1985","Bavaria","higher education","16","","","","2"
"Limited","1985","Berlin","in school","","","","","2"
"Limited","1985","Berlin","inadequately","1","","","","2"
"Limited","1985","Berlin","general elemantary","10","","","","2"
"Limited","1985","Berlin","middle vocational","14","","","","2"
"Limited","1985","Berlin","vocational + Abi","1","","","","2"
"Limited","1985","Berlin","higher vocational","","","","","2"
"Limited","1985","Berlin","higher education","4","","","","2"
"Limited","1985","Brandenburg","in school","","","","","2"
"Limited","1985","Brandenburg","inadequately","","","","","2"
"Limited","1985","Brandenburg","general elemantary","","","","","2"
"Limited","1985","Brandenburg","middle vocational","","","","","2"
"Limited","1985","Brandenburg","vocational + Abi","","","","","2"
"Limited","1985","Brandenburg","higher vocational","","","","","2"
"Limited","1985","Brandenburg","higher education","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","in school","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","general elemantary","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"Limited","1985","Thuringia","general elemantary","","","","","2"
"Limited","1985","Thuringia","middle vocational","","","","","2"
"Limited","1985","Thuringia","vocational + Abi","","","","","2"
"Limited","1985","Thuringia","higher vocational","","","","","2"
"Limited","1985","Thuringia","higher education","","","","","2"
"Permanent","1985","Schleswig-Holstein","in school","","","","","1"
"Permanent","1985","Schleswig-Holstein","inadequately","4","","","","1"
"Permanent","1985","Schleswig-Holstein","general elemantary","22","","","","1"
"Permanent","1985","Schleswig-Holstein","middle vocational","109","0.931423468485788","0.886015093917392","0.976831843054184","1"
"Permanent","1985","Schleswig-Holstein","vocational + Abi","4","","","","1"
"Permanent","1985","Schleswig-Holstein","higher vocational","13","","","","1"
"Permanent","1985","Schleswig-Holstein","higher education","8","","","","1"
"Permanent","1985","Hamburg","in school","","","","","1"
"Permanent","1985","Hamburg","inadequately","12","","","","1"
"Permanent","1985","Hamburg","general elemantary","21","","","","1"
"Permanent","1985","Hamburg","middle vocational","73","0.907475603214783","0.844758386749117","0.970192819680448","1"
"Permanent","1985","Hamburg","vocational + Abi","9","","","","1"
"Permanent","1985","Hamburg","higher vocational","10","","","","1"
"Permanent","1985","Hamburg","higher education","8","","","","1"
"Permanent","1985","Lower Saxony","in school","","","","","1"
"Permanent","1985","Lower Saxony","inadequately","19","","","","1"
"Permanent","1985","Lower Saxony","general elemantary","75","0.700518883751948","0.61206352998445","0.788974237519446","1"
"Permanent","1985","Lower Saxony","middle vocational","258","0.89486339036135","0.85925264895882","0.930474131763879","1"
"Permanent","1985","Lower Saxony","vocational + Abi","8","","","","1"
"Permanent","1985","Lower Saxony","higher vocational","40","0.972743245086476","0.922901602212397","1.02258488796055","1"
"Permanent","1985","Lower Saxony","higher education","46","0.933521993523259","0.864471885915276","1.00257210113124","1"
"Permanent","1985","Bremen","in school","","","","","1"
"Permanent","1985","Bremen","inadequately","","","","","1"
"Permanent","1985","Bremen","general elemantary","9","","","","1"
"Permanent","1985","Bremen","middle vocational","19","","","","1"
"Permanent","1985","Bremen","vocational + Abi","","","","","1"
"Permanent","1985","Bremen","higher vocational","","","","","1"
"Permanent","1985","Bremen","higher education","1","","","","1"
"Permanent","1985","North Rhine-Westphalia","in school","2","","","","1"
"Permanent","1985","North Rhine-Westphalia","inadequately","114","0.921312994353896","0.873338488110881","0.969287500596911","1"
"Permanent","1985","North Rhine-Westphalia","general elemantary","264","0.731103820460175","0.684112583132754","0.778095057787595","1"
"Permanent","1985","North Rhine-Westphalia","middle vocational","671","0.921762979788383","0.902282374695384","0.941243584881382","1"
"Permanent","1985","North Rhine-Westphalia","vocational + Abi","46","0.944933668558395","0.881706050263859","1.00816128685293","1"
"Permanent","1985","North Rhine-Westphalia","higher vocational","81","0.947260396212222","0.899744190950653","0.99477660147379","1"
"Permanent","1985","North Rhine-Westphalia","higher education","133","0.839705428826488","0.782679493612826","0.896731364040151","1"
"Permanent","1985","Hesse","in school","1","","","","1"
"Permanent","1985","Hesse","inadequately","43","0.815524578955447","0.705797136981909","0.925252020928984","1"
