"plb0037_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Bremen","Part Time","3","","","","2"
"Limited","1985","Bremen","Not Working","","","","","2"
"Limited","1985","Schleswig-Holstein","Part Time","8","","","","2"
"Limited","1985","Schleswig-Holstein","Full Time","13","","","","2"
"Limited","1985","Schleswig-Holstein","Not Working","3","","","","2"
"Limited","1985","Hamburg","Full Time","12","","","","2"
"Limited","1985","Hamburg","Part Time","5","","","","2"
"Limited","1985","Hamburg","Not Working","4","","","","2"
"Limited","1985","Lower Saxony","Full Time","31","0.0999139882038993","0.0694807035105707","0.130347272897228","2"
"Limited","1985","Lower Saxony","Part Time","21","","","","2"
"Limited","1985","Lower Saxony","Not Working","9","","","","2"
"Limited","1985","Bremen","Full Time","5","","","","2"
"Limited","1985","North Rhine-Westphalia","Full Time","96","0.0874472132885774","0.0709911153827812","0.103903311194374","2"
"Limited","1985","North Rhine-Westphalia","Part Time","76","0.228516759017666","0.184017035351486","0.273016482683845","2"
"Limited","1985","Hesse","Full Time","35","0.0802643237917182","0.0551048313192717","0.105423816264165","2"
"Limited","1985","Hesse","Part Time","29","","","","2"
"Limited","1985","Hesse","Not Working","7","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","Full Time","31","0.105628897406833","0.0700692541649521","0.141188540648715","2"
"Limited","1985","Rhineland-Palatinate,Saarland","Part Time","17","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","Not Working","2","","","","2"
"Limited","1985","North Rhine-Westphalia","Not Working","11","","","","2"
"Limited","1985","Baden-Württemberg","Full Time","60","0.0671684197479779","0.050833048541448","0.0835037909545077","2"
"Limited","1985","Baden-Württemberg","Part Time","38","0.153353014315053","0.108864780729681","0.197841247900426","2"
"Limited","1985","Baden-Württemberg","Not Working","7","","","","2"
"Limited","1985","Bavaria","Full Time","80","0.107961368720718","0.0857070751726074","0.130215662268829","2"
"Limited","1985","Bavaria","Part Time","47","0.197605550656013","0.148827814971962","0.246383286340064","2"
"Limited","1985","Bavaria","Not Working","6","","","","2"
"Limited","1985","Berlin","Full Time","12","","","","2"
"Limited","1985","Berlin","Part Time","18","","","","2"
"Limited","1985","Brandenburg","Full Time","","","","","2"
"Limited","1985","Brandenburg","Part Time","","","","","2"
"Limited","1985","Brandenburg","Not Working","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"Limited","1985","Saxony","Full Time","","","","","2"
"Limited","1985","Berlin","Not Working","2","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"Limited","1985","Saxony","Part Time","","","","","2"
"Limited","1985","Saxony","Not Working","","","","","2"
"Limited","1985","Saxony-Anhalt","Full Time","","","","","2"
"Limited","1985","Saxony-Anhalt","Part Time","","","","","2"
"Limited","1985","Saxony-Anhalt","Not Working","","","","","2"
"Limited","1985","Thuringia","Full Time","","","","","2"
"Limited","1985","Thuringia","Part Time","","","","","2"
"Limited","1985","Thuringia","Not Working","","","","","2"
"Permanent","1985","Schleswig-Holstein","Full Time","121","0.904149821137063","0.854305882117832","0.953993760156294","1"
"Permanent","1985","Schleswig-Holstein","Part Time","40","0.851216437651159","0.750540670048806","0.951892205253511","1"
"Permanent","1985","Schleswig-Holstein","Not Working","","","","","1"
"Permanent","1985","Hamburg","Full Time","105","0.896860886618279","0.841751015022641","0.951970758213917","1"
"Permanent","1985","Hamburg","Part Time","27","","","","1"
"Permanent","1985","Hamburg","Not Working","2","","","","1"
"Permanent","1985","Lower Saxony","Full Time","342","0.900086011796101","0.869652727102772","0.930519296489429","1"
"Permanent","1985","Lower Saxony","Part Time","100","0.81620418955411","0.747192506436831","0.885215872671389","1"
"Permanent","1985","Lower Saxony","Not Working","5","","","","1"
"Permanent","1985","Bremen","Full Time","17","","","","1"
"Permanent","1985","Bremen","Part Time","12","","","","1"
"Permanent","1985","Bremen","Not Working","","","","","1"
"Permanent","1985","North Rhine-Westphalia","Full Time","1036","0.912552786711423","0.896096688805626","0.929008884617219","1"
"Permanent","1985","North Rhine-Westphalia","Part Time","266","0.771483240982334","0.726983517316155","0.815982964648514","1"
"Permanent","1985","North Rhine-Westphalia","Not Working","23","","","","1"
"Permanent","1985","Hesse","Full Time","413","0.919735676208282","0.894576183735835","0.944895168680728","1"
"Permanent","1985","Hesse","Part Time","100","0.776573708612312","0.704693104927639","0.848454312296985","1"
"Permanent","1985","Hesse","Not Working","10","","","","1"
"Permanent","1985","Rhineland-Palatinate,Saarland","Full Time","256","0.894371102593167","0.858811459351285","0.929930745835048","1"
"Permanent","1985","Rhineland-Palatinate,Saarland","Part Time","59","0.794195105311443","0.703301621903723","0.885088588719162","1"
"Permanent","1985","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Permanent","1985","Baden-Württemberg","Full Time","842","0.932831580252022","0.916496209045492","0.949166951458552","1"
"Permanent","1985","Baden-Württemberg","Part Time","214","0.846646985684947","0.802158752099574","0.891135219270319","1"
"Permanent","1985","Baden-Württemberg","Not Working","18","","","","1"
"Permanent","1985","Bavaria","Full Time","667","0.892038631279282","0.869784337731171","0.914292924827393","1"
"Permanent","1985","Bavaria","Part Time","209","0.802394449343987","0.753616713659936","0.851172185028037","1"
"Permanent","1985","Bavaria","Not Working","10","","","","1"
"Permanent","1985","Berlin","Full Time","138","0.931059121564485","0.890514850427735","0.971603392701235","1"
"Permanent","1985","Berlin","Part Time","38","0.672732874340327","0.549840030578107","0.795625718102546","1"
"Permanent","1985","Berlin","Not Working","4","","","","1"
"Permanent","1985","Brandenburg","Full Time","","","","","1"
"Permanent","1985","Brandenburg","Part Time","","","","","1"
"Permanent","1985","Brandenburg","Not Working","","","","","1"
"Permanent","1985","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Permanent","1985","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Permanent","1985","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Permanent","1985","Saxony","Full Time","","","","","1"
"Permanent","1985","Saxony","Part Time","","","","","1"
"Permanent","1985","Saxony","Not Working","","","","","1"
"Permanent","1985","Saxony-Anhalt","Full Time","","","","","1"
"Permanent","1985","Saxony-Anhalt","Part Time","","","","","1"
"Permanent","1985","Saxony-Anhalt","Not Working","","","","","1"
"Permanent","1985","Thuringia","Full Time","","","","","1"
"Permanent","1985","Thuringia","Part Time","","","","","1"
"Permanent","1985","Thuringia","Not Working","","","","","1"
"Limited","1986","Bremen","Part Time","1","","","","2"
"Limited","1986","Schleswig-Holstein","Full Time","1","","","","2"
"Limited","1986","Hamburg","Part Time","1","","","","2"
"Limited","1986","Lower Saxony","Part Time","19","","","","2"
"Limited","1986","North Rhine-Westphalia","Full Time","10","","","","2"
"Limited","1986","Schleswig-Holstein","Part Time","6","","","","2"
"Limited","1986","Schleswig-Holstein","Not Working","","","","","2"
"Limited","1986","Hamburg","Full Time","3","","","","2"
"Limited","1986","Hesse","Part Time","12","","","","2"
"Limited","1986","Hamburg","Not Working","1","","","","2"
