"plb0037_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Full Time","Rural Area","86","0.11508786480405","0.0929461380393552","0.137229591568744","2"
"Limited","1985","Full Time","Urban Area","289","0.0838880680655984","0.0747222426963217","0.0930538934348751","2"
"Limited","1985","Not Working","Rural Area","8","","","","2"
"Limited","1985","Not Working","Urban Area","43","0.457996443814335","0.362240984829249","0.55375190279942","2"
"Limited","1985","Part Time","Rural Area","38","0.149259757455647","0.106274851419093","0.192244663492202","2"
"Limited","1985","Part Time","Urban Area","224","0.216210441506812","0.191463614216728","0.240957268796895","2"
"Permanent","1985","Full Time","Rural Area","712","0.88491213519595","0.862770408431256","0.907053861960645","1"
"Permanent","1985","Full Time","Urban Area","3225","0.916111931934402","0.906946106565125","0.925277757303678","1"
"Permanent","1985","Not Working","Rural Area","12","","","","1"
"Permanent","1985","Not Working","Urban Area","61","0.542003556185665","0.446248097200579","0.637759015170751","1"
"Permanent","1985","Part Time","Rural Area","226","0.850740242544352","0.807755336507798","0.893725148580907","1"
"Permanent","1985","Part Time","Urban Area","839","0.783789558493188","0.759042731203105","0.808536385783272","1"
"Limited","1986","Full Time","Rural Area","17","","","","2"
"Limited","1986","Full Time","Urban Area","51","0.113175174230458","0.0825841519731131","0.143766196487802","2"
"Limited","1986","Not Working","Rural Area","8","","","","2"
"Limited","1986","Not Working","Urban Area","13","","","","2"
"Limited","1986","Part Time","Rural Area","28","","","","2"
"Limited","1986","Part Time","Urban Area","101","0.436025483448166","0.373024795919163","0.499026170977169","2"
"Permanent","1986","Full Time","Urban Area","361","0.886824825769542","0.856233803512198","0.917415848026887","1"
"Permanent","1986","Full Time","Rural Area","74","0.838832499751359","0.763287842688205","0.914377156814514","1"
"Permanent","1986","Not Working","Urban Area","19","","","","1"
"Permanent","1986","Not Working","Rural Area","2","","","","1"
"Permanent","1986","Part Time","Rural Area","31","0.474583514913771","0.347165669560323","0.60200136026722","1"
"Permanent","1986","Part Time","Urban Area","137","0.563974516551834","0.500973829022831","0.626975204080837","1"
"Limited","1987","Full Time","Rural Area","21","","","","2"
"Limited","1987","Full Time","Urban Area","78","0.135317272334468","0.10445825438273","0.166176290286205","2"
"Limited","1987","Not Working","Rural Area","5","","","","2"
"Limited","1987","Not Working","Urban Area","23","","","","2"
"Limited","1987","Part Time","Rural Area","51","0.383008600619923","0.294545345721307","0.471471855518539","2"
"Limited","1987","Part Time","Urban Area","159","0.452602345372341","0.400530328530023","0.504674362214659","2"
"Permanent","1987","Full Time","Rural Area","111","0.829727172809835","0.765606000257223","0.893848345362447","1"
"Permanent","1987","Full Time","Urban Area","394","0.864682727665532","0.833823709713795","0.89554174561727","1"
"Permanent","1987","Not Working","Urban Area","30","0.558830792797189","0.425154954438417","0.692506631155962","1"
"Permanent","1987","Not Working","Rural Area","11","","","","1"
"Permanent","1987","Part Time","Rural Area","65","0.616991399380077","0.528528144481461","0.705454654278693","1"
"Permanent","1987","Part Time","Urban Area","192","0.547397654627659","0.495325637785341","0.599469671469977","1"
"Limited","1988","Full Time","Rural Area","97","0.143938833828528","0.118613143149851","0.169264524507204","2"
"Limited","1988","Full Time","Urban Area","267","0.0720167557973236","0.0631683663996505","0.0808651451949967","2"
"Limited","1988","Not Working","Rural Area","10","","","","2"
"Limited","1988","Not Working","Urban Area","42","0.459177235824768","0.344070828444224","0.574283643205312","2"
"Limited","1988","Part Time","Rural Area","46","0.178448960378146","0.131453891911393","0.2254440288449","2"
"Limited","1988","Part Time","Urban Area","191","0.188407726247885","0.163580971909847","0.213234480585924","2"
"Permanent","1988","Full Time","Rural Area","641","0.856061166171472","0.830735475492796","0.881386856850149","1"
"Permanent","1988","Full Time","Urban Area","3012","0.927983244202676","0.919134854805003","0.936831633600349","1"
"Permanent","1988","Not Working","Rural Area","10","","","","1"
"Permanent","1988","Not Working","Urban Area","30","0.540822764175232","0.425716356794688","0.655929171555776","1"
"Permanent","1988","Part Time","Rural Area","209","0.821551039621854","0.7745559711551","0.868546108088607","1"
"Permanent","1988","Part Time","Urban Area","762","0.811592273752115","0.786765519414076","0.836419028090153","1"
"Limited","1989","Full Time","Rural Area","15","","","","2"
"Limited","1989","Full Time","Urban Area","56","0.124292826732846","0.0895803309683209","0.15900532249737","2"
"Limited","1989","Not Working","Rural Area","3","","","","2"
"Limited","1989","Not Working","Urban Area","29","","","","2"
"Limited","1989","Part Time","Rural Area","20","","","","2"
"Limited","1989","Part Time","Urban Area","130","0.382065188545838","0.328407386404812","0.435722990686864","2"
"Permanent","1989","Full Time","Rural Area","81","0.818142947817538","0.740982961197025","0.895302934438052","1"
"Permanent","1989","Full Time","Urban Area","291","0.875707173267154","0.84099467750263","0.910419669031679","1"
"Permanent","1989","Not Working","Rural Area","6","","","","1"
"Permanent","1989","Not Working","Urban Area","29","","","","1"
"Permanent","1989","Part Time","Rural Area","52","0.745335445729857","0.644702083914666","0.845968807545047","1"
"Permanent","1989","Part Time","Urban Area","185","0.617934811454162","0.564277009313136","0.671592613595188","1"
"Limited","1990","Full Time","Rural Area","11","","","","2"
"Limited","1990","Full Time","Urban Area","56","0.133346281482662","0.0988009091300215","0.167891653835303","2"
"Limited","1990","Not Working","Rural Area","3","","","","2"
"Limited","1990","Not Working","Urban Area","21","","","","2"
"Limited","1990","Part Time","Rural Area","25","","","","2"
"Limited","1990","Part Time","Urban Area","112","0.34757068326895","0.295066627519134","0.400074739018765","2"
"Permanent","1990","Full Time","Rural Area","99","0.918202810416531","0.866988627479882","0.96941699335318","1"
"Permanent","1990","Full Time","Urban Area","316","0.866653718517338","0.832108346164697","0.901199090869979","1"
"Permanent","1990","Not Working","Rural Area","5","","","","1"
"Permanent","1990","Not Working","Urban Area","27","","","","1"
"Permanent","1990","Part Time","Rural Area","57","0.720220906341692","0.62306221507689","0.817379597606494","1"
"Permanent","1990","Part Time","Urban Area","204","0.652429316731051","0.599925260981235","0.704933372480866","1"
"Limited","1991","Full Time","Rural Area","11","","","","2"
"Limited","1991","Full Time","Urban Area","53","0.113428643328527","0.0814602795937471","0.145397007063306","2"
"Limited","1991","Not Working","Rural Area","5","","","","2"
"Limited","1991","Not Working","Urban Area","18","","","","2"
"Limited","1991","Part Time","Rural Area","24","","","","2"
"Limited","1991","Part Time","Urban Area","110","0.359870403231047","0.306527712896035","0.413213093566059","2"
"Permanent","1991","Full Time","Rural Area","78","0.83468654198499","0.757512917311046","0.911860166658933","1"
"Permanent","1991","Full Time","Urban Area","325","0.886571356671473","0.854602992936694","0.918539720406253","1"
"Permanent","1991","Not Working","Rural Area","10","","","","1"
"Permanent","1991","Not Working","Urban Area","46","0.667766723086691","0.552370377558427","0.783163068614954","1"
"Permanent","1991","Part Time","Rural Area","52","0.675215630724893","0.569932182959099","0.780499078490687","1"
"Permanent","1991","Part Time","Urban Area","201","0.640129596768953","0.586786906433941","0.693472287103965","1"
"Limited","1992","Full Time","Rural Area","75","0.175888384260231","0.137302906021343","0.214473862499119","2"
"Limited","1992","Not Working","Rural Area","13","","","","2"
"Limited","1992","Not Working","Urban Area","23","","","","2"
"Limited","1992","Part Time","Rural Area","82","0.399795956273286","0.335065985980007","0.464525926566565","2"
"Limited","1992","Full Time","Urban Area","93","0.15722791592186","0.127396767262414","0.187059064581307","2"
"Limited","1992","Part Time","Urban Area","104","0.309260653424942","0.260630819556577","0.357890487293306","2"
"Permanent","1992","Full Time","Rural Area","299","0.824111615739769","0.785526137500881","0.862697093978657","1"
"Permanent","1992","Full Time","Urban Area","479","0.84277208407814","0.812940935418693","0.872603232737586","1"
"Permanent","1992","Not Working","Rural Area","10","","","","1"
"Permanent","1992","Not Working","Urban Area","21","","","","1"
"Permanent","1992","Part Time","Rural Area","138","0.600204043726714","0.535474073433435","0.664934014019993","1"
"Permanent","1992","Part Time","Urban Area","243","0.690739346575058","0.642109512706694","0.739369180443423","1"
"Limited","1993","Full Time","Rural Area","43","0.175588794251465","0.130122213761428","0.221055374741503","2"
"Limited","1993","Full Time","Urban Area","60","0.12723050284663","0.097934032586826","0.156526973106433","2"
"Limited","1993","Not Working","Rural Area","8","","","","2"
"Limited","1993","Not Working","Urban Area","21","","","","2"
"Limited","1993","Part Time","Rural Area","75","0.468929076763565","0.39602670094094","0.54183145258619","2"
"Limited","1993","Part Time","Urban Area","112","0.310973833221329","0.261986836791907","0.35996082965075","2"
"Permanent","1993","Full Time","Rural Area","226","0.824411205748535","0.778944625258497","0.869877786238572","1"
"Permanent","1993","Full Time","Urban Area","437","0.87276949715337","0.843473026893566","0.902065967413174","1"
"Permanent","1993","Not Working","Rural Area","20","","","","1"
"Permanent","1993","Not Working","Urban Area","35","0.705628237577613","0.586259630114067","0.824996845041159","1"
"Permanent","1993","Part Time","Rural Area","105","0.531070923236435","0.45816854741381","0.60397329905906","1"
"Permanent","1993","Part Time","Urban Area","231","0.689026166778671","0.64003917034925","0.738013163208093","1"
"Limited","1994","Full Time","Rural Area","38","0.23069117396974","0.171257129678249","0.290125218261231","2"
