"plb0037_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","general elemantary","Female","121","0.211001259948686","0.179849250717628","0.242153269179744","2"
"Limited","1985","in school","Female","","","","","2"
"Limited","1985","general elemantary","Male","175","0.32856968747542","0.293472841377207","0.363666533573633","2"
"Limited","1985","inadequately","Female","10","","","","2"
"Limited","1985","inadequately","Male","15","","","","2"
"Limited","1985","in school","Male","1","","","","2"
"Limited","1985","higher vocational","Female","7","","","","2"
"Limited","1985","higher education","Male","39","0.0911866804182054","0.0611985421474147","0.121174818688996","2"
"Limited","1985","higher vocational","Male","9","","","","2"
"Limited","1985","higher education","Female","32","0.209367837750408","0.143145224852984","0.275590450647832","2"
"Limited","1985","middle vocational","Male","133","0.0661690223505099","0.0549295428843705","0.0774085018166494","2"
"Limited","1985","middle vocational","Female","120","0.11482749054906","0.0953857641968082","0.134269216901312","2"
"Limited","1985","vocational + Abi","Male","10","","","","2"
"Limited","1985","vocational + Abi","Female","3","","","","2"
"Permanent","1985","in school","Male","3","","","","1"
"Permanent","1985","in school","Female","1","","","","1"
"Permanent","1985","inadequately","Male","240","0.910611678077883","0.875594189086505","0.945629167069262","1"
"Permanent","1985","inadequately","Female","180","0.922225048568409","0.884143936556429","0.960306160580388","1"
"Permanent","1985","general elemantary","Male","513","0.67143031252458","0.636333466426367","0.706527158622793","1"
"Permanent","1985","general elemantary","Female","538","0.788998740051314","0.757846730820256","0.820150749282372","1"
"Permanent","1985","middle vocational","Male","1746","0.93383097764949","0.922591498183351","0.945070457115629","1"
"Permanent","1985","middle vocational","Female","913","0.88517250945094","0.865730783098688","0.904614235803192","1"
"Permanent","1985","vocational + Abi","Male","92","0.895326818371247","0.835917233953632","0.954736402788862","1"
"Permanent","1985","vocational + Abi","Female","53","0.951073684472897","0.894575770109457","1.00757159883634","1"
"Permanent","1985","higher vocational","Male","208","0.959080187220799","0.932722184238115","0.985438190203482","1"
"Permanent","1985","higher vocational","Female","119","0.940262764515696","0.898880905416636","0.981644623614755","1"
"Permanent","1985","higher education","Male","315","0.908813319581795","0.878825181311004","0.938801457852585","1"
"Permanent","1985","higher education","Female","113","0.790632162249592","0.724409549352168","0.856854775147016","1"
"Limited","1986","inadequately","Male","7","","","","2"
"Limited","1986","in school","Female","","","","","2"
"Limited","1986","inadequately","Female","2","","","","2"
"Limited","1986","higher education","Female","11","","","","2"
"Limited","1986","general elemantary","Female","44","0.497272935856503","0.394544437573664","0.600001434139342","2"
"Limited","1986","general elemantary","Male","59","0.585388890136851","0.496499527352954","0.674278252920748","2"
"Limited","1986","higher vocational","Female","1","","","","2"
"Limited","1986","higher education","Male","14","","","","2"
"Limited","1986","in school","Male","2","","","","2"
"Limited","1986","higher vocational","Male","2","","","","2"
"Limited","1986","middle vocational","Male","40","0.15817146934737","0.114806451070947","0.201536487623794","2"
"Limited","1986","middle vocational","Female","30","0.209582955847594","0.146713271212718","0.27245264048247","2"
"Limited","1986","vocational + Abi","Male","2","","","","2"
"Limited","1986","vocational + Abi","Female","1","","","","2"
"Permanent","1986","in school","Male","","","","","1"
"Permanent","1986","in school","Female","","","","","1"
"Permanent","1986","inadequately","Male","11","","","","1"
"Permanent","1986","inadequately","Female","10","","","","1"
"Permanent","1986","general elemantary","Male","59","0.414611109863149","0.325721747079252","0.503500472647046","1"
"Permanent","1986","general elemantary","Female","47","0.502727064143497","0.399998565860658","0.605455562426336","1"
"Permanent","1986","middle vocational","Male","232","0.84182853065263","0.798463512376206","0.885193548929053","1"
"Permanent","1986","middle vocational","Female","131","0.790417044152406","0.72754735951753","0.853286728787282","1"
"Permanent","1986","vocational + Abi","Male","16","","","","1"
"Permanent","1986","vocational + Abi","Female","12","","","","1"
"Permanent","1986","higher vocational","Male","22","","","","1"
"Permanent","1986","higher vocational","Female","15","","","","1"
"Permanent","1986","higher education","Male","50","0.767319945793821","0.663799549495486","0.870840342092155","1"
"Permanent","1986","higher education","Female","14","","","","1"
"Limited","1987","inadequately","Male","6","","","","2"
"Limited","1987","in school","Female","1","","","","2"
"Limited","1987","higher education","Female","18","","","","2"
"Limited","1987","higher vocational","Female","10","","","","2"
"Limited","1987","inadequately","Female","6","","","","2"
"Limited","1987","general elemantary","Male","70","0.475218482334849","0.394763459874547","0.555673504795152","2"
"Limited","1987","general elemantary","Female","60","0.425830629478801","0.343031405547741","0.508629853409861","2"
"Limited","1987","higher education","Male","14","","","","2"
"Limited","1987","in school","Male","1","","","","2"
"Limited","1987","higher vocational","Male","3","","","","2"
"Limited","1987","middle vocational","Male","65","0.180605302483909","0.139774988039184","0.221435616928633","2"
"Limited","1987","middle vocational","Female","58","0.243801330640819","0.188786959556539","0.2988157017251","2"
"Limited","1987","vocational + Abi","Male","8","","","","2"
"Limited","1987","vocational + Abi","Female","5","","","","2"
"Permanent","1987","in school","Male","","","","","1"
"Permanent","1987","in school","Female","1","","","","1"
"Permanent","1987","inadequately","Male","19","","","","1"
"Permanent","1987","inadequately","Female","15","","","","1"
"Permanent","1987","general elemantary","Male","78","0.524781517665151","0.444326495204848","0.605236540125453","1"
"Permanent","1987","general elemantary","Female","77","0.574169370521199","0.491370146590139","0.656968594452259","1"
"Permanent","1987","middle vocational","Male","276","0.819394697516091","0.778564383071367","0.860225011960816","1"
"Permanent","1987","middle vocational","Female","176","0.756198669359181","0.7011842982749","0.811213040443461","1"
"Permanent","1987","vocational + Abi","Male","17","","","","1"
"Permanent","1987","vocational + Abi","Female","12","","","","1"
"Permanent","1987","higher vocational","Male","28","","","","1"
"Permanent","1987","higher vocational","Female","25","","","","1"
"Permanent","1987","higher education","Male","58","0.851233811184338","0.769036351823763","0.933431270544913","1"
"Permanent","1987","higher education","Female","15","","","","1"
"Limited","1988","inadequately","Male","16","","","","2"
"Limited","1988","in school","Female","","","","","2"
"Limited","1988","higher education","Female","24","","","","2"
"Limited","1988","inadequately","Female","14","","","","2"
"Limited","1988","general elemantary","Male","168","0.3072071476187","0.271521142441488","0.342893152795911","2"
"Limited","1988","higher vocational","Female","6","","","","2"
"Limited","1988","general elemantary","Female","124","0.199162974189169","0.167365827342788","0.23096012103555","2"
"Limited","1988","higher education","Male","25","","","","2"
"Limited","1988","in school","Male","1","","","","2"
"Limited","1988","higher vocational","Male","10","","","","2"
"Limited","1988","middle vocational","Male","115","0.0628390936525331","0.0513572537400977","0.0743209335649685","2"
"Limited","1988","middle vocational","Female","97","0.0877200464223213","0.0700627939889327","0.10537729885571","2"
"Limited","1988","vocational + Abi","Male","16","","","","2"
"Limited","1988","vocational + Abi","Female","7","","","","2"
"Permanent","1988","in school","Male","2","","","","1"
"Permanent","1988","in school","Female","3","","","","1"
"Permanent","1988","inadequately","Male","180","0.837696386283735","0.786075260565924","0.889317512001546","1"
"Permanent","1988","inadequately","Female","135","0.830241584047248","0.769961638013007","0.890521530081488","1"
"Permanent","1988","general elemantary","Male","474","0.692792852381301","0.657106847204089","0.728478857558512","1"
"Permanent","1988","general elemantary","Female","482","0.800837025810831","0.76903987896445","0.832634172657212","1"
"Permanent","1988","middle vocational","Male","1601","0.937160906347467","0.925679066435031","0.948642746259902","1"
"Permanent","1988","middle vocational","Female","889","0.912279953577679","0.89462270114429","0.929937206011067","1"
"Permanent","1988","vocational + Abi","Male","77","0.829929711928054","0.753574005971608","0.906285417884499","1"
"Permanent","1988","vocational + Abi","Female","62","0.888912001347344","0.814766210489857","0.963057792204832","1"
"Permanent","1988","higher vocational","Male","186","0.950673987748355","0.920357850535391","0.98099012496132","1"
"Permanent","1988","higher vocational","Female","100","0.949778007928759","0.908201004949493","0.991355010908024","1"
"Permanent","1988","higher education","Male","311","0.924051016575886","0.895724875779168","0.952377157372604","1"
"Permanent","1988","higher education","Female","113","0.826747315819057","0.76337286774079","0.890121763897324","1"
"Limited","1989","inadequately","Male","3","","","","2"
"Limited","1989","higher vocational","Female","5","","","","2"
"Limited","1989","higher education","Male","13","","","","2"
"Limited","1989","in school","Female","","","","","2"
"Limited","1989","higher vocational","Male","2","","","","2"
"Limited","1989","higher education","Female","9","","","","2"
"Limited","1989","inadequately","Female","4","","","","2"
"Limited","1989","general elemantary","Male","48","0.445993766593856","0.354747020677216","0.537240512510495","2"
"Limited","1989","general elemantary","Female","51","0.421288390596008","0.33257371813862","0.510003063053397","2"
"Limited","1989","in school","Male","","","","","2"
"Limited","1989","middle vocational","Male","46","0.209590376151049","0.155560792300893","0.263619960001205","2"
"Limited","1989","middle vocational","Female","55","0.242225981510029","0.182093240184424","0.302358722835633","2"
"Limited","1989","vocational + Abi","Male","6","","","","2"
"Limited","1989","vocational + Abi","Female","3","","","","2"
"Permanent","1989","in school","Male","3","","","","1"
"Permanent","1989","in school","Female","3","","","","1"
"Permanent","1989","inadequately","Male","12","","","","1"
"Permanent","1989","inadequately","Female","20","","","","1"
"Permanent","1989","general elemantary","Male","66","0.554006233406144","0.462759487489505","0.645252979322784","1"
"Permanent","1989","general elemantary","Female","68","0.578711609403992","0.489996936946603","0.66742628186138","1"
"Permanent","1989","middle vocational","Male","172","0.790409623848951","0.736380039998795","0.844439207699107","1"
"Permanent","1989","middle vocational","Female","140","0.757774018489972","0.697641277164367","0.817906759815576","1"
"Permanent","1989","vocational + Abi","Male","20","","","","1"
"Permanent","1989","vocational + Abi","Female","17","","","","1"
"Permanent","1989","higher vocational","Male","28","","","","1"
"Permanent","1989","higher vocational","Female","20","","","","1"
"Permanent","1989","higher education","Male","51","0.862445045692363","0.778060690069361","0.946829401315364","1"
"Permanent","1989","higher education","Female","15","","","","1"
"Limited","1990","inadequately","Male","2","","","","2"
"Limited","1990","higher vocational","Female","5","","","","2"
"Limited","1990","higher education","Male","13","","","","2"
"Limited","1990","in school","Female","","","","","2"
"Limited","1990","inadequately","Female","6","","","","2"
"Limited","1990","higher vocational","Male","","","","","2"
"Limited","1990","higher education","Female","8","","","","2"
"Limited","1990","general elemantary","Male","38","0.361380296802984","0.27470197798835","0.448058615617619","2"
"Limited","1990","general elemantary","Female","54","0.424139839796177","0.336081912927889","0.512197766664466","2"
"Limited","1990","in school","Male","","","","","2"
"Limited","1990","middle vocational","Male","35","0.135889102495465","0.092715581950283","0.179062623040647","2"
"Limited","1990","middle vocational","Female","49","0.210307438596667","0.156333715807145","0.264281161386189","2"
"Limited","1990","vocational + Abi","Male","4","","","","2"
"Limited","1990","vocational + Abi","Female","4","","","","2"
"Permanent","1990","in school","Male","1","","","","1"
"Permanent","1990","in school","Female","","","","","1"
"Permanent","1990","inadequately","Male","13","","","","1"
"Permanent","1990","inadequately","Female","18","","","","1"
