"plb0037_h","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","16-34 y.","Brandenburg","","","","","2"
"Limited","1985","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1985","16-34 y.","Hamburg","17","","","","2"
"Limited","1985","16-34 y.","Schleswig-Holstein","19","","","","2"
"Limited","1985","16-34 y.","Lower Saxony","53","0.292723749400835","0.229023142124213","0.356424356677457","2"
"Limited","1985","16-34 y.","Bremen","7","","","","2"
"Limited","1985","16-34 y.","North Rhine-Westphalia","146","0.231504253632058","0.199177697623198","0.263830809640919","2"
"Limited","1985","16-34 y.","Hesse","59","0.235968820765991","0.184456550645828","0.287481090886153","2"
"Limited","1985","16-34 y.","Rhineland-Palatinate,Saarland","41","0.224356355935884","0.163916578849152","0.284796133022616","2"
"Limited","1985","16-34 y.","Baden-Württemberg","88","0.187825688586209","0.153313884776052","0.222337492396366","2"
"Limited","1985","16-34 y.","Bavaria","105","0.231281613305985","0.192580820826271","0.269982405785699","2"
"Limited","1985","16-34 y.","Berlin","22","","","","2"
"Limited","1985","16-34 y.","Saxony","","","","","2"
"Limited","1985","16-34 y.","Saxony-Anhalt","","","","","2"
"Limited","1985","35-65 y.","Schleswig-Holstein","5","","","","2"
"Limited","1985","35-65 y.","Hamburg","4","","","","2"
"Limited","1985","35-65 y.","Lower Saxony","8","","","","2"
"Limited","1985","35-65 y.","Bremen","1","","","","2"
"Limited","1985","35-65 y.","North Rhine-Westphalia","37","0.0395714538775687","0.026457979283481","0.0526849284716565","2"
"Limited","1985","35-65 y.","Hesse","12","","","","2"
"Limited","1985","16-34 y.","Thuringia","","","","","2"
"Limited","1985","35-65 y.","Rhineland-Palatinate,Saarland","9","","","","2"
"Limited","1985","35-65 y.","Baden-Württemberg","17","","","","2"
"Limited","1985","35-65 y.","Bavaria","28","","","","2"
"Limited","1985","35-65 y.","Berlin","10","","","","2"
"Limited","1985","35-65 y.","Brandenburg","","","","","2"
"Limited","1985","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1985","35-65 y.","Saxony","","","","","2"
"Limited","1985","35-65 y.","Saxony-Anhalt","","","","","2"
"Limited","1985","66 and older","Schleswig-Holstein","","","","","2"
"Limited","1985","66 and older","Hamburg","","","","","2"
"Limited","1985","66 and older","Lower Saxony","","","","","2"
"Limited","1985","66 and older","Hesse","","","","","2"
"Limited","1985","66 and older","Rhineland-Palatinate,Saarland","","","","","2"
"Limited","1985","35-65 y.","Thuringia","","","","","2"
"Limited","1985","66 and older","Bremen","","","","","2"
"Limited","1985","66 and older","North Rhine-Westphalia","","","","","2"
"Limited","1985","66 and older","Baden-Württemberg","","","","","2"
"Limited","1985","66 and older","Bavaria","","","","","2"
"Limited","1985","66 and older","Berlin","","","","","2"
"Limited","1985","66 and older","Brandenburg","","","","","2"
"Limited","1985","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1985","66 and older","Saxony","","","","","2"
"Limited","1985","66 and older","Saxony-Anhalt","","","","","2"
"Limited","1985","66 and older","Thuringia","","","","","2"
"Permanent","1985","16-34 y.","Schleswig-Holstein","54","0.733420835300772","0.631988509435864","0.83485316116568","1"
"Permanent","1985","16-34 y.","Hamburg","38","0.697539484474499","0.576148764201888","0.81893020474711","1"
"Permanent","1985","16-34 y.","Lower Saxony","143","0.707276250599165","0.643575643322543","0.770976857875787","1"
"Permanent","1985","16-34 y.","Bremen","8","","","","1"
"Permanent","1985","16-34 y.","North Rhine-Westphalia","508","0.768495746367942","0.736169190359081","0.800822302376802","1"
"Permanent","1985","16-34 y.","Hesse","202","0.764031179234009","0.712518909113847","0.815543449354172","1"
"Permanent","1985","16-34 y.","Rhineland-Palatinate,Saarland","142","0.775643644064116","0.715203866977384","0.836083421150848","1"
"Permanent","1985","16-34 y.","Baden-Württemberg","404","0.812174311413791","0.777662507603634","0.846686115223948","1"
"Permanent","1985","16-34 y.","Bavaria","351","0.768718386694015","0.730017594214301","0.807419179173729","1"
"Permanent","1985","16-34 y.","Berlin","58","0.730102753717625","0.632829304110411","0.827376203324838","1"
"Permanent","1985","16-34 y.","Brandenburg","","","","","1"
"Permanent","1985","16-34 y.","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1985","16-34 y.","Saxony","","","","","1"
"Permanent","1985","16-34 y.","Saxony-Anhalt","","","","","1"
"Permanent","1985","16-34 y.","Thuringia","","","","","1"
"Permanent","1985","35-65 y.","Schleswig-Holstein","107","0.962710796583094","0.927621185572312","0.997800407593876","1"
"Permanent","1985","35-65 y.","Hamburg","95","0.955970789644011","0.915557588427728","0.996383990860294","1"
"Permanent","1985","35-65 y.","Lower Saxony","303","0.970819513893569","0.95211340723344","0.989525620553698","1"
"Permanent","1985","35-65 y.","Bremen","20","","","","1"
"Permanent","1985","35-65 y.","North Rhine-Westphalia","812","0.960428546122431","0.947315071528343","0.973542020716519","1"
"Permanent","1985","35-65 y.","Hesse","321","0.966784501347168","0.947537583064564","0.986031419629771","1"
"Permanent","1985","35-65 y.","Rhineland-Palatinate,Saarland","174","0.958812446337763","0.930020410346888","0.987604482328638","1"
"Permanent","1985","35-65 y.","Baden-Württemberg","666","0.976487940395524","0.965124325215426","0.987851555575623","1"
"Permanent","1985","35-65 y.","Bavaria","534","0.949267726511405","0.931124419327724","0.967411033695086","1"
"Permanent","1985","35-65 y.","Berlin","121","0.930859622217918","0.887416561677234","0.974302682758602","1"
"Permanent","1985","35-65 y.","Brandenburg","","","","","1"
"Permanent","1985","35-65 y.","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1985","35-65 y.","Saxony","","","","","1"
"Permanent","1985","35-65 y.","Saxony-Anhalt","","","","","1"
"Permanent","1985","35-65 y.","Thuringia","","","","","1"
"Permanent","1985","66 and older","Schleswig-Holstein","","","","","1"
"Permanent","1985","66 and older","Hamburg","1","","","","1"
"Permanent","1985","66 and older","Lower Saxony","1","","","","1"
"Permanent","1985","66 and older","Bremen","1","","","","1"
"Permanent","1985","66 and older","North Rhine-Westphalia","5","","","","1"
"Permanent","1985","66 and older","Hesse","","","","","1"
"Permanent","1985","66 and older","Rhineland-Palatinate,Saarland","","","","","1"
"Permanent","1985","66 and older","Baden-Württemberg","4","","","","1"
"Permanent","1985","66 and older","Bavaria","1","","","","1"
"Permanent","1985","66 and older","Berlin","1","","","","1"
"Permanent","1985","66 and older","Brandenburg","","","","","1"
"Permanent","1985","66 and older","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1985","66 and older","Saxony","","","","","1"
"Permanent","1985","66 and older","Saxony-Anhalt","","","","","1"
"Permanent","1985","66 and older","Thuringia","","","","","1"
"Limited","1986","16-34 y.","Brandenburg","","","","","2"
"Limited","1986","16-34 y.","Schleswig-Holstein","7","","","","2"
"Limited","1986","16-34 y.","North Rhine-Westphalia","44","0.333152907792817","0.257471379799578","0.408834435786056","2"
"Limited","1986","16-34 y.","Baden-Württemberg","39","0.244427955363031","0.17374457731019","0.315111333415872","2"
"Limited","1986","16-34 y.","Saxony","","","","","2"
"Limited","1986","16-34 y.","Hamburg","4","","","","2"
"Limited","1986","16-34 y.","Lower Saxony","30","0.582937078423413","0.463069138004602","0.702805018842223","2"
"Limited","1986","16-34 y.","Bremen","3","","","","2"
"Limited","1986","35-65 y.","Hamburg","1","","","","2"
"Limited","1986","16-34 y.","Hesse","21","","","","2"
"Limited","1986","35-65 y.","Lower Saxony","3","","","","2"
"Limited","1986","35-65 y.","Bremen","","","","","2"
"Limited","1986","16-34 y.","Bavaria","30","0.310713409852359","0.217652734130109","0.403774085574608","2"
"Limited","1986","35-65 y.","Hesse","2","","","","2"
"Limited","1986","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1986","16-34 y.","Berlin","9","","","","2"
"Limited","1986","16-34 y.","Saxony-Anhalt","","","","","2"
"Limited","1986","16-34 y.","Thuringia","","","","","2"
"Limited","1986","35-65 y.","Schleswig-Holstein","","","","","2"
"Limited","1986","16-34 y.","Rhineland-Palatinate,Saarland","16","","","","2"
"Limited","1986","35-65 y.","North Rhine-Westphalia","5","","","","2"
"Limited","1986","35-65 y.","Rhineland-Palatinate,Saarland","1","","","","2"
"Limited","1986","35-65 y.","Baden-Württemberg","3","","","","2"
"Limited","1986","35-65 y.","Bavaria","","","","","2"
"Limited","1986","35-65 y.","Berlin","","","","","2"
"Limited","1986","35-65 y.","Brandenburg","","","","","2"
"Limited","1986","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1986","35-65 y.","Saxony","","","","","2"
"Limited","1986","35-65 y.","Saxony-Anhalt","","","","","2"
"Limited","1986","35-65 y.","Thuringia","","","","","2"
"Limited","1986","66 and older","Schleswig-Holstein","","","","","2"
"Limited","1986","66 and older","Hamburg","","","","","2"
"Limited","1986","66 and older","Lower Saxony","","","","","2"
"Limited","1986","66 and older","Hesse","","","","","2"
"Limited","1986","66 and older","Rhineland-Palatinate,Saarland","","","","","2"
"Limited","1986","66 and older","Bremen","","","","","2"
"Limited","1986","66 and older","North Rhine-Westphalia","","","","","2"
