"plb0037_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","no migration background","West Germany","3400","0.873977854756474","0.863547411428073","0.884408298084875"
"Permanent","1985","no migration background","East Germany","","","",""
"Permanent","1985","direct migration background","West Germany","1633","0.890215422854381","0.875825203543587","0.904605642165175"
"Permanent","1985","direct migration background","East Germany","","","",""
"Permanent","1985","indirect migration background","West Germany","42","0.795826010483926","0.694669824640494","0.896982196327358"
"Permanent","1985","indirect migration background","East Germany","","","",""
"Limited","1985","no migration background","West Germany","489","0.126022145243526","0.115591701915124","0.136452588571927"
"Limited","1985","no migration background","East Germany","","","",""
"Limited","1985","direct migration background","West Germany","180","0.109784577145619","0.0953943578348249","0.124174796456413"
"Limited","1985","direct migration background","East Germany","","","",""
"Limited","1985","indirect migration background","West Germany","19","","",""
"Limited","1985","indirect migration background","East Germany","","","",""
"Permanent","1986","no migration background","West Germany","477","0.730434763297569","0.696163681246928","0.76470584534821"
"Permanent","1986","no migration background","East Germany","","","",""
"Permanent","1986","direct migration background","West Germany","135","0.812655576938689","0.75549518207014","0.869815971807239"
"Permanent","1986","direct migration background","East Germany","","","",""
"Permanent","1986","indirect migration background","West Germany","12","","",""
"Permanent","1986","indirect migration background","East Germany","","","",""
"Limited","1986","no migration background","West Germany","167","0.269565236702431","0.23529415465179","0.303836318753072"
"Limited","1986","no migration background","East Germany","","","",""
"Limited","1986","direct migration background","West Germany","44","0.187344423061311","0.130184028192761","0.24450481792986"
"Limited","1986","direct migration background","East Germany","","","",""
"Limited","1986","indirect migration background","West Germany","7","","",""
"Limited","1986","indirect migration background","East Germany","","","",""
"Permanent","1987","no migration background","West Germany","599","0.727365536135486","0.697251068857132","0.757480003413841"
"Permanent","1987","no migration background","East Germany","","","",""
"Permanent","1987","direct migration background","West Germany","187","0.675968246184571","0.620451538796887","0.731484953572255"
"Permanent","1987","direct migration background","East Germany","","","",""
"Permanent","1987","indirect migration background","West Germany","17","","",""
"Permanent","1987","indirect migration background","East Germany","","","",""
"Limited","1987","no migration background","West Germany","241","0.272634463864513","0.242519996586159","0.302748931142868"
"Limited","1987","no migration background","East Germany","","","",""
"Limited","1987","direct migration background","West Germany","86","0.324031753815429","0.268515046427745","0.379548461203113"
"Limited","1987","direct migration background","East Germany","","","",""
"Limited","1987","indirect migration background","West Germany","10","","",""
"Limited","1987","indirect migration background","East Germany","","","",""
"Permanent","1988","no migration background","West Germany","3146","0.883129554402953","0.87263214655338","0.893626962252527"
"Permanent","1988","no migration background","East Germany","","","",""
"Permanent","1988","direct migration background","West Germany","1449","0.903752119309597","0.889341245307407","0.918162993311786"
"Permanent","1988","direct migration background","East Germany","","","",""
"Permanent","1988","indirect migration background","West Germany","69","0.73152218020144","0.648705140222541","0.81433922018034"
"Permanent","1988","indirect migration background","East Germany","","","",""
"Limited","1988","no migration background","West Germany","452","0.116870445597047","0.106373037747473","0.12736785344662"
"Limited","1988","no migration background","East Germany","","","",""
"Limited","1988","direct migration background","West Germany","160","0.0962478806904032","0.0818370066882137","0.110658754692593"
"Limited","1988","direct migration background","East Germany","","","",""
