"plb0037_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Limited","1985","direct migration background","Female","71","0.15761334568993","0.128862028764146","0.186364662615715"
"Limited","1985","direct migration background","Male","109","0.0827992590886203","0.0671811689520967","0.0984173492251439"
"Limited","1985","indirect migration background","Female","6","","",""
"Limited","1985","indirect migration background","Male","13","","",""
"Limited","1985","no migration background","Female","222","0.144001949439578","0.126733894747419","0.161270004131738"
"Limited","1985","no migration background","Male","267","0.113561102217713","0.100597401873303","0.126524802562123"
"Permanent","1985","direct migration background","Female","546","0.84238665431007","0.813635337384285","0.871137971235854"
"Permanent","1985","direct migration background","Male","1087","0.91720074091138","0.901582650774856","0.932818831047903"
"Permanent","1985","indirect migration background","Female","21","","",""
"Permanent","1985","indirect migration background","Male","21","","",""
"Permanent","1985","no migration background","Female","1366","0.855998050560422","0.838729995868262","0.873266105252581"
"Permanent","1985","no migration background","Male","2034","0.886438897782287","0.873475197437877","0.899402598126697"
"Limited","1986","direct migration background","Female","13","","",""
"Limited","1986","direct migration background","Male","31","0.155827502644796","0.0939548436734031","0.217700161616189"
"Limited","1986","indirect migration background","Female","3","","",""
"Limited","1986","indirect migration background","Male","4","","",""
"Limited","1986","no migration background","Female","76","0.29559119506626","0.241162948494546","0.350019441637974"
"Limited","1986","no migration background","Male","91","0.252046540828097","0.208042764533432","0.296050317122761"
"Permanent","1986","direct migration background","Female","34","0.738963658988437","0.613400801897615","0.86452651607926"
"Permanent","1986","direct migration background","Male","101","0.844172497355204","0.782299838383811","0.906045156326597"
"Permanent","1986","indirect migration background","Female","4","","",""
"Permanent","1986","indirect migration background","Male","8","","",""
"Permanent","1986","no migration background","Female","194","0.70440880493374","0.649980558362026","0.758837051505454"
"Permanent","1986","no migration background","Male","283","0.747953459171903","0.703949682877239","0.791957235466568"
"Limited","1987","direct migration background","Female","38","0.419463838478947","0.320232650595331","0.518695026362563"
"Limited","1987","direct migration background","Male","48","0.27090531253928","0.205616492810501","0.336194132268058"
"Limited","1987","indirect migration background","Female","5","","",""
"Limited","1987","indirect migration background","Male","5","","",""
"Limited","1987","no migration background","Female","121","0.312369561239177","0.265710028395255","0.3590290940831"
"Limited","1987","no migration background","Male","120","0.239040549589539","0.200107880800598","0.277973218378481"
"Permanent","1987","direct migration background","Female","57","0.580536161521053","0.481304973637437","0.679767349404669"
"Permanent","1987","direct migration background","Male","130","0.72909468746072","0.663805867731942","0.794383507189499"
"Permanent","1987","indirect migration background","Female","8","","",""
"Permanent","1987","indirect migration background","Male","9","","",""
"Permanent","1987","no migration background","Female","258","0.687630438760823","0.6409709059169","0.734289971604745"
"Permanent","1987","no migration background","Male","341","0.760959450410461","0.722026781621519","0.799892119199402"
"Limited","1988","direct migration background","Female","69","0.127792144214154","0.100312023437171","0.155272264991138"
"Limited","1988","direct migration background","Male","91","0.076819523906053","0.0606501448301286","0.0929889029819774"
"Limited","1988","indirect migration background","Female","15","","",""
"Limited","1988","indirect migration background","Male","26","","",""
"Limited","1988","no migration background","Female","200","0.126957568011417","0.109961583661626","0.143953552361209"
"Limited","1988","no migration background","Male","252","0.109928011760233","0.0966253794231939","0.123230644097273"
"Permanent","1988","direct migration background","Female","498","0.872207855785846","0.844727735008862","0.899687976562829"
"Permanent","1988","direct migration background","Male","951","0.923180476093947","0.907011097018023","0.939349855169871"
"Permanent","1988","indirect migration background","Female","32","0.770419491837534","0.650184660227673","0.890654323447394"
"Permanent","1988","indirect migration background","Male","37","0.698617357369662","0.585310388831406","0.811924325907917"
"Permanent","1988","no migration background","Female","1274","0.873042431988583","0.856046447638791","0.890038416338374"
"Permanent","1988","no migration background","Male","1872","0.890071988239767","0.876769355902727","0.903374620576806"
"Limited","1989","direct migration background","Female","36","0.294550207590426","0.204757055905703","0.38434335927515"
"Limited","1989","direct migration background","Male","38","0.292430100962554","0.213933844120359","0.37092635780475"
"Limited","1989","indirect migration background","Female","8","","",""
"Limited","1989","indirect migration background","Male","5","","",""
"Limited","1989","no migration background","Female","86","0.262849163736804","0.213038888128871","0.312659439344737"
"Limited","1989","no migration background","Male","80","0.222613016395263","0.177932325110347","0.267293707680179"
"Permanent","1989","direct migration background","Female","63","0.705449792409574","0.61565664072485","0.795242944094297"
"Permanent","1989","direct migration background","Male","91","0.707569899037446","0.62907364219525","0.786066155879641"
"Permanent","1989","indirect migration background","Female","11","","",""
"Permanent","1989","indirect migration background","Male","12","","",""
"Permanent","1989","no migration background","Female","214","0.737150836263196","0.687340560655263","0.786961111871129"
"Permanent","1989","no migration background","Male","253","0.777386983604737","0.732706292319821","0.822067674889654"
"Limited","1990","direct migration background","Female","33","0.303881114460614","0.211394293503981","0.396367935417247"
"Limited","1990","direct migration background","Male","29","","",""
"Limited","1990","indirect migration background","Female","11","","",""
"Limited","1990","indirect migration background","Male","9","","",""
"Limited","1990","no migration background","Female","86","0.245963922697551","0.199709023129264","0.292218822265837"
"Limited","1990","no migration background","Male","60","0.186416227746245","0.143746870744189","0.2290855847483"
"Permanent","1990","direct migration background","Female","62","0.696118885539386","0.603632064582753","0.788605706496019"
"Permanent","1990","direct migration background","Male","110","0.761849620566171","0.691038583064839","0.832660658067502"
"Permanent","1990","indirect migration background","Female","13","","",""
"Permanent","1990","indirect migration background","Male","16","","",""
