"plb0037_h","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Schleswig-Holstein","24","","","","2"
"Limited","1985","Hamburg","21","","","","2"
"Limited","1985","Bavaria","133","0.136122949285917","0.115068075492396","0.157177823079439","2"
"Limited","1985","Lower Saxony","61","0.13191026695738","0.102483818831456","0.161336715083305","2"
"Limited","1985","North Rhine-Westphalia","183","0.126512963420625","0.109734848428038","0.143291078413212","2"
"Limited","1985","Bremen","8","","","","2"
"Limited","1985","Rhineland-Palatinate,Saarland","50","0.133456132128536","0.0986166178253287","0.168295646431743","2"
"Limited","1985","Hesse","71","0.120291959252412","0.0941316756071763","0.146452242897647","2"
"Limited","1985","Berlin","32","0.141808320564417","0.094848852673264","0.188767788455571","2"
"Limited","1985","Baden-Württemberg","105","0.0938882338559891","0.0772392528362191","0.110537214875759","2"
"Limited","1985","Brandenburg","","","","","2"
"Limited","1985","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1985","Saxony","","","","","2"
"Limited","1985","Saxony-Anhalt","","","","","2"
"Limited","1985","Thuringia","","","","","2"
"Permanent","1985","Schleswig-Holstein","161","0.878724840440596","0.83168405051784","0.925765630363353","1"
"Permanent","1985","Hamburg","134","0.860751602272369","0.806249122154799","0.91525408238994","1"
"Permanent","1985","Lower Saxony","447","0.86808973304262","0.838663284916695","0.897516181168544","1"
"Permanent","1985","Bremen","29","","","","1"
"Permanent","1985","North Rhine-Westphalia","1325","0.873487036579375","0.856708921586788","0.890265151571962","1"
"Permanent","1985","Hesse","523","0.879708040747588","0.853547757102353","0.905868324392824","1"
"Permanent","1985","Rhineland-Palatinate,Saarland","316","0.866543867871464","0.831704353568257","0.901383382174671","1"
"Permanent","1985","Baden-Württemberg","1074","0.906111766144011","0.889462785124241","0.922760747163781","1"
"Permanent","1985","Bavaria","886","0.863877050714083","0.842822176920561","0.884931924507604","1"
"Permanent","1985","Berlin","180","0.858191679435583","0.811232211544429","0.905151147326736","1"
"Permanent","1985","Brandenburg","","","","","1"
"Permanent","1985","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1985","Saxony","","","","","1"
"Permanent","1985","Saxony-Anhalt","","","","","1"
"Permanent","1985","Thuringia","","","","","1"
"Limited","1986","Hamburg","5","","","","2"
"Limited","1986","Schleswig-Holstein","7","","","","2"
"Limited","1986","Lower Saxony","33","0.457896899263279","0.354964609643552","0.560829188883006","2"
"Limited","1986","Bremen","3","","","","2"
"Limited","1986","Bavaria","30","0.219390906619516","0.148252762763182","0.29052905047585","2"
"Limited","1986","North Rhine-Westphalia","49","0.282730453989209","0.219524458395333","0.345936449583085","2"
"Limited","1986","Hesse","23","","","","2"
"Limited","1986","Rhineland-Palatinate,Saarland","17","","","","2"
"Limited","1986","Berlin","9","","","","2"
"Limited","1986","Baden-Württemberg","42","0.198710784663423","0.140255074172155","0.257166495154691","2"
"Limited","1986","Brandenburg","","","","","2"
"Limited","1986","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1986","Saxony","","","","","2"
"Limited","1986","Saxony-Anhalt","","","","","2"
"Limited","1986","Thuringia","","","","","2"
"Permanent","1986","Schleswig-Holstein","15","","","","1"
"Permanent","1986","Hamburg","14","","","","1"
"Permanent","1986","Lower Saxony","57","0.542103100736721","0.439170811116994","0.645035390356448","1"
"Permanent","1986","Bremen","6","","","","1"
"Permanent","1986","North Rhine-Westphalia","146","0.717269546010791","0.654063550416915","0.780475541604667","1"
"Permanent","1986","Hesse","64","0.774958249930527","0.687205817026666","0.862710682834389","1"
"Permanent","1986","Rhineland-Palatinate,Saarland","50","0.790631270097808","0.693210043700486","0.88805249649513","1"
"Permanent","1986","Baden-Württemberg","137","0.801289215336577","0.74283350484531","0.859744925827845","1"
"Permanent","1986","Bavaria","100","0.780609093380484","0.70947094952415","0.851747237236818","1"
"Permanent","1986","Berlin","35","0.791609026941842","0.671599265339634","0.911618788544051","1"
"Permanent","1986","Brandenburg","","","","","1"
"Permanent","1986","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1986","Saxony","","","","","1"
"Permanent","1986","Saxony-Anhalt","","","","","1"
"Permanent","1986","Thuringia","","","","","1"
"Limited","1987","Schleswig-Holstein","13","","","","2"
"Limited","1987","Hamburg","9","","","","2"
"Limited","1987","Lower Saxony","40","0.341465301348469","0.258666235059476","0.424264367637461","2"
"Limited","1987","Berlin","10","","","","2"
"Limited","1987","Bremen","2","","","","2"
"Limited","1987","North Rhine-Westphalia","87","0.26496241898955","0.214257684994727","0.315667152984374","2"
"Limited","1987","Hesse","37","0.240529567833319","0.164375154539426","0.316683981127212","2"
"Limited","1987","Rhineland-Palatinate,Saarland","20","","","","2"
"Limited","1987","Baden-Württemberg","49","0.242935795846639","0.182432149574547","0.303439442118731","2"
"Limited","1987","Brandenburg","","","","","2"
"Limited","1987","Bavaria","70","0.290733382294091","0.229750141566832","0.35171662302135","2"
"Limited","1987","Mecklenburg-Western Pomerania","","","","","2"
"Limited","1987","Saxony","","","","","2"
"Limited","1987","Saxony-Anhalt","","","","","2"
"Limited","1987","Thuringia","","","","","2"
"Permanent","1987","Schleswig-Holstein","26","","","","1"
"Permanent","1987","Hamburg","13","","","","1"
"Permanent","1987","Lower Saxony","86","0.658534698651532","0.575735632362539","0.741333764940524","1"
"Permanent","1987","Bremen","10","","","","1"
"Permanent","1987","North Rhine-Westphalia","204","0.73503758101045","0.684332847015626","0.785742315005273","1"
"Permanent","1987","Hesse","84","0.759470432166681","0.683316018872787","0.835624845460574","1"
"Permanent","1987","Rhineland-Palatinate,Saarland","47","0.685308902410994","0.574111125454747","0.796506679367241","1"
"Permanent","1987","Baden-Württemberg","144","0.757064204153361","0.696560557881269","0.817567850425453","1"
"Permanent","1987","Bavaria","143","0.709266617705909","0.64828337697865","0.770249858433169","1"
"Permanent","1987","Berlin","46","0.843314712297685","0.748108995817041","0.938520428778329","1"
"Permanent","1987","Brandenburg","","","","","1"
"Permanent","1987","Mecklenburg-Western Pomerania","","","","","1"
"Permanent","1987","Saxony","","","","","1"
"Permanent","1987","Saxony-Anhalt","","","","","1"
"Permanent","1987","Thuringia","","","","","1"
"Limited","1988","Schleswig-Holstein","33","0.171841100678667","0.114453983793759","0.229228217563575","2"
"Limited","1988","Lower Saxony","80","0.148419959667178","0.118152982599891","0.178686936734465","2"
"Limited","1988","Hamburg","10","","","","2"
"Limited","1988","North Rhine-Westphalia","176","0.117664980534626","0.100658817829495","0.134671143239758","2"
"Limited","1988","Berlin","26","","","","2"
"Limited","1988","Bremen","9","","","","2"
"Limited","1988","Hesse","58","0.0942444935229928","0.069347108301973","0.119141878744013","2"
"Limited","1988","Rhineland-Palatinate,Saarland","50","0.135989521810399","0.100129812824254","0.171849230796544","2"
