"plb0037_h","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","higher education","71","0.125496903553219","0.0964302523487144","0.154563554757723","2"
"Limited","1985","vocational + Abi","13","","","","2"
"Limited","1985","higher vocational","16","","","","2"
"Limited","1985","general elemantary","296","0.262485909786691","0.238989448926126","0.285982370647255","2"
"Limited","1985","middle vocational","253","0.0843448635255227","0.0742512262564589","0.0944385007945865","2"
"Limited","1985","inadequately","25","","","","2"
"Limited","1985","in school","1","","","","2"
"Permanent","1985","in school","4","","","","1"
"Permanent","1985","inadequately","420","0.915062304832326","0.88915968722716","0.940964922437492","1"
"Permanent","1985","general elemantary","1051","0.73751409021331","0.714017629352745","0.761010551073874","1"
"Permanent","1985","middle vocational","2659","0.915655136474477","0.905561499205414","0.925748773743541","1"
"Permanent","1985","vocational + Abi","145","0.918278321845497","0.87556381942728","0.960992824263713","1"
"Permanent","1985","higher vocational","327","0.952250541286747","0.929684214575169","0.974816867998324","1"
"Permanent","1985","higher education","428","0.874503096446781","0.845436445242277","0.903569747651286","1"
"Limited","1986","higher education","25","","","","2"
"Limited","1986","higher vocational","3","","","","2"
"Limited","1986","vocational + Abi","3","","","","2"
"Limited","1986","general elemantary","103","0.541924215606926","0.474376153538181","0.609472277675672","2"
"Limited","1986","inadequately","9","","","","2"
"Limited","1986","middle vocational","70","0.178201120638901","0.142156361266473","0.21424588001133","2"
"Limited","1986","in school","2","","","","2"
"Permanent","1986","in school","","","","","1"
"Permanent","1986","inadequately","21","","","","1"
"Permanent","1986","general elemantary","106","0.458075784393074","0.390527722324328","0.525623846461819","1"
"Permanent","1986","middle vocational","363","0.821798879361099","0.78575411998867","0.857843638733527","1"
"Permanent","1986","vocational + Abi","28","","","","1"
"Permanent","1986","higher vocational","37","0.951660564085252","0.885192975824822","1.01812815234568","1"
"Permanent","1986","higher education","64","0.723777318787635","0.630883837117377","0.816670800457892","1"
"Limited","1987","higher education","32","0.271846382378917","0.186746937671574","0.35694582708626","2"
"Limited","1987","higher vocational","13","","","","2"
"Limited","1987","general elemantary","130","0.448010736459642","0.390276265944293","0.505745206974991","2"
"Limited","1987","vocational + Abi","13","","","","2"
"Limited","1987","inadequately","12","","","","2"
"Limited","1987","in school","2","","","","2"
"Limited","1987","middle vocational","123","0.207776598307521","0.174614934046084","0.240938262568959","2"
"Permanent","1987","in school","1","","","","1"
"Permanent","1987","inadequately","34","0.773225704726826","0.652216270698611","0.89423513875504","1"
"Permanent","1987","general elemantary","155","0.551989263540358","0.494254793025009","0.609723734055707","1"
"Permanent","1987","middle vocational","452","0.792223401692479","0.759061737431041","0.825385065953916","1"
"Permanent","1987","vocational + Abi","29","","","","1"
"Permanent","1987","higher vocational","53","0.807460218911538","0.712334724353104","0.902585713469973","1"
"Permanent","1987","higher education","73","0.728153617621083","0.64305417291374","0.813253062328426","1"
"Limited","1988","higher education","49","0.104194939807194","0.0766623166615369","0.131727562952851","2"
"Limited","1988","higher vocational","16","","","","2"
"Limited","1988","general elemantary","292","0.245600164037178","0.221718976601463","0.269481351472894","2"
"Limited","1988","inadequately","30","0.165189975724197","0.126004581905623","0.204375369542771","2"
"Limited","1988","middle vocational","212","0.0721563897020029","0.0624002006566666","0.0819125787473392","2"
"Limited","1988","vocational + Abi","23","","","","2"
"Limited","1988","in school","1","","","","2"
"Permanent","1988","in school","5","","","","1"
"Permanent","1988","inadequately","315","0.834810024275803","0.795624630457229","0.873995418094377","1"
"Permanent","1988","general elemantary","956","0.754399835962822","0.730518648527106","0.778281023398537","1"
"Permanent","1988","middle vocational","2490","0.927843610297997","0.918087421252661","0.937599799343333","1"
"Permanent","1988","vocational + Abi","139","0.860231262177995","0.806835939407743","0.913626584948246","1"
"Permanent","1988","higher vocational","286","0.950347548110141","0.925848105800205","0.974846990420078","1"
"Permanent","1988","higher education","424","0.895805060192806","0.868272437047149","0.923337683338463","1"
"Limited","1989","higher vocational","7","","","","2"
"Limited","1989","higher education","22","","","","2"
"Limited","1989","inadequately","7","","","","2"
"Limited","1989","general elemantary","99","0.43256075859808","0.368946660723929","0.49617485647223","2"
"Limited","1989","middle vocational","101","0.2256059705869","0.185294433555831","0.265917507617968","2"
"Limited","1989","vocational + Abi","9","","","","2"
"Limited","1989","in school","","","","","2"
"Permanent","1989","in school","6","","","","1"
"Permanent","1989","inadequately","32","0.842519986489455","0.728200934258119","0.956839038720791","1"
"Permanent","1989","general elemantary","134","0.56743924140192","0.50382514352777","0.631053339276071","1"
"Permanent","1989","middle vocational","312","0.7743940294131","0.734082492382032","0.814705566444169","1"
"Permanent","1989","vocational + Abi","37","0.865817751188633","0.76731917539331","0.964316326983955","1"
"Permanent","1989","higher vocational","48","0.877501614312806","0.790854143374183","0.964149085251429","1"
"Permanent","1989","higher education","66","0.809945963760187","0.727972492466535","0.891919435053838","1"
"Limited","1990","higher education","21","","","","2"
"Limited","1990","higher vocational","5","","","","2"
"Limited","1990","inadequately","8","","","","2"
"Limited","1990","general elemantary","92","0.396943187865645","0.334914523335121","0.45897185239617","2"
"Limited","1990","middle vocational","84","0.170841272485841","0.136484459945028","0.205198085026655","2"
"Limited","1990","vocational + Abi","8","","","","2"
"Limited","1990","in school","","","","","2"
"Permanent","1990","in school","1","","","","1"
"Permanent","1990","inadequately","31","0.909333859822474","0.8192182486297","0.999449471015247","1"
"Permanent","1990","general elemantary","147","0.603056812134355","0.54102814760383","0.665085476664879","1"
"Permanent","1990","middle vocational","377","0.829158727514159","0.794801914973345","0.863515540054972","1"
"Permanent","1990","vocational + Abi","38","0.866501745573758","0.768215739015711","0.964787752131805","1"
"Permanent","1990","higher vocational","35","0.874357638361685","0.771643389380067","0.977071887343303","1"
"Permanent","1990","higher education","62","0.74670169280992","0.653139852302659","0.84026353331718","1"
"Limited","1991","general elemantary","90","0.351105752689445","0.292862694220754","0.409348811158136","2"
"Limited","1991","inadequately","11","","","","2"
"Limited","1991","higher vocational","12","","","","2"
"Limited","1991","higher education","80","0.274198051079808","0.225993128590937","0.322402973568679","2"
"Limited","1991","in school","2","","","","2"
"Limited","1991","middle vocational","163","0.188998026653738","0.162379306562526","0.215616746744949","2"
"Limited","1991","vocational + Abi","17","","","","2"
"Permanent","1991","in school","1","","","","1"
"Permanent","1991","inadequately","40","0.773830326097645","0.659014154524732","0.888646497670558","1"
"Permanent","1991","general elemantary","168","0.648894247310555","0.590651188841864","0.707137305779246","1"
