"plb0037_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","1-pers.-HH","no migration background","330","0.893438378863056","0.862125255666151","0.924751502059961"
"Permanent","1985","1-pers.-HH","direct migration background","133","0.9080471909882","0.860520166119725","0.955574215856675"
"Permanent","1985","1-pers.-HH","indirect migration background","5","","",""
"Permanent","1985","(Married) couple without C. ","no migration background","804","0.933144301272528","0.916508919767676","0.94977968277738"
"Permanent","1985","(Married) couple without C. ","direct migration background","246","0.912827735936887","0.8786706335151","0.946984838358673"
"Permanent","1985","(Married) couple without C. ","indirect migration background","3","","",""
"Permanent","1985","Single parent ","no migration background","161","0.785362979641853","0.729022500573084","0.841703458710623"
"Permanent","1985","Single parent ","direct migration background","61","0.80690430065197","0.715088752288233","0.898719849015706"
"Permanent","1985","Single parent ","indirect migration background","5","","",""
"Permanent","1985","Couple + C. LE 16 ","no migration background","937","0.951184763821878","0.937748461758907","0.96462106588485"
"Permanent","1985","Couple + C. LE 16 ","direct migration background","562","0.903243726552953","0.879783877303084","0.926703575802822"
"Permanent","1985","Couple + C. LE 16 ","indirect migration background","7","","",""
"Permanent","1985","Couple + C. GT 16 ","no migration background","688","0.80425605567461","0.77762950479715","0.830882606552071"
"Permanent","1985","Couple + C. GT 16 ","direct migration background","230","0.918516975541164","0.885327147582951","0.951706803499376"
"Permanent","1985","Couple + C. GT 16 ","indirect migration background","11","","",""
"Permanent","1985","Couple + C. LE and GT 16","no migration background","330","0.77529036097811","0.73546727523767","0.815113446718551"
"Permanent","1985","Couple + C. LE and GT 16","direct migration background","314","0.831388040973352","0.793030247009509","0.869745834937195"
"Permanent","1985","Couple + C. LE and GT 16","indirect migration background","11","","",""
"Limited","1985","1-pers.-HH","no migration background","43","0.106561621136944","0.0752484979400393","0.13787474433385"
"Limited","1985","1-pers.-HH","direct migration background","9","","",""
"Limited","1985","1-pers.-HH","indirect migration background","","","",""
"Limited","1985","(Married) couple without C. ","no migration background","62","0.0668556987274719","0.0502203172226201","0.0834910802323237"
"Limited","1985","(Married) couple without C. ","direct migration background","16","","",""
"Limited","1985","(Married) couple without C. ","indirect migration background","","","",""
"Limited","1985","Single parent ","no migration background","43","0.214637020358147","0.158296541289377","0.270977499426916"
"Limited","1985","Single parent ","direct migration background","10","","",""
"Limited","1985","Single parent ","indirect migration background","2","","",""
"Limited","1985","Couple + C. LE 16 ","no migration background","51","0.0488152361781217","0.0353789341151504","0.0622515382410929"
"Limited","1985","Couple + C. LE 16 ","direct migration background","48","0.0967562734470471","0.0732964241971782","0.120216122696916"
"Limited","1985","Couple + C. LE 16 ","indirect migration background","1","","",""
"Limited","1985","Couple + C. GT 16 ","no migration background","165","0.19574394432539","0.169117393447929","0.22237049520285"
"Limited","1985","Couple + C. GT 16 ","direct migration background","31","0.0814830244588364","0.0482931965006239","0.114672852417049"
"Limited","1985","Couple + C. GT 16 ","indirect migration background","10","","",""
"Limited","1985","Couple + C. LE and GT 16","no migration background","92","0.22470963902189","0.184886553281449","0.26453272476233"
"Limited","1985","Couple + C. LE and GT 16","direct migration background","52","0.168611959026648","0.130254165062805","0.206969752990491"
"Limited","1985","Couple + C. LE and GT 16","indirect migration background","6","","",""
"Permanent","1986","1-pers.-HH","no migration background","45","0.771758224254406","0.664665420925702","0.878851027583111"
"Permanent","1986","1-pers.-HH","direct migration background","11","","",""
"Permanent","1986","1-pers.-HH","indirect migration background","","","",""
"Permanent","1986","(Married) couple without C. ","no migration background","143","0.851906082161064","0.798354881877606","0.905457282444521"
"Permanent","1986","(Married) couple without C. ","direct migration background","19","","",""
"Permanent","1986","(Married) couple without C. ","indirect migration background","1","","",""
"Permanent","1986","Single parent ","no migration background","19","","",""
"Permanent","1986","Single parent ","direct migration background","7","","",""
"Permanent","1986","Single parent ","indirect migration background","","","",""
"Permanent","1986","Couple + C. LE 16 ","no migration background","116","0.941573067642504","0.900455573359477","0.982690561925532"
"Permanent","1986","Couple + C. LE 16 ","direct migration background","43","0.910115588151347","0.82834641070794","0.991884765594754"
"Permanent","1986","Couple + C. LE 16 ","indirect migration background","1","","",""
"Permanent","1986","Couple + C. GT 16 ","no migration background","95","0.602563159661356","0.526257825933493","0.67886849338922"
"Permanent","1986","Couple + C. GT 16 ","direct migration background","15","","",""
"Permanent","1986","Couple + C. GT 16 ","indirect migration background","5","","",""
"Permanent","1986","Couple + C. LE and GT 16","no migration background","40","0.56963655837797","0.453647857574954","0.685625259180987"
