"plb0037_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","Full Time","lower secondary degree","1740","0.926553664832401","0.914823836809861","0.938283492854941"
"Permanent","1985","Full Time","secondary school degree","663","0.867439600971227","0.843503829714812","0.891375372227642"
"Permanent","1985","Full Time","college entrance qualification","419","0.901782713564747","0.874790744386809","0.928774682742686"
"Permanent","1985","Full Time","Other degree","678","0.928726184221399","0.909880998145034","0.947571370297765"
"Permanent","1985","Full Time","no degree/no degree yet","396","0.940357117736312","0.917544577914877","0.963169657557747"
"Permanent","1985","Part Time","lower secondary degree","573","0.88321305647605","0.858766301858049","0.90765981109405"
"Permanent","1985","Part Time","secondary school degree","190","0.734455904774278","0.680463494272284","0.788448315276272"
"Permanent","1985","Part Time","college entrance qualification","110","0.61702598188875","0.546011287883894","0.688040675893606"
"Permanent","1985","Part Time","Other degree","113","0.834748778681103","0.770656830781747","0.898840726580459"
"Permanent","1985","Part Time","no degree/no degree yet","66","0.818129373804596","0.731406518414105","0.904852229195088"
"Permanent","1985","Not Working","lower secondary degree","33","0.585094847806113","0.452447763870155","0.717741931742072"
"Permanent","1985","Not Working","secondary school degree","14","","",""
"Permanent","1985","Not Working","college entrance qualification","6","","",""
"Permanent","1985","Not Working","Other degree","12","","",""
"Permanent","1985","Not Working","no degree/no degree yet","7","","",""
"Limited","1985","Full Time","lower secondary degree","160","0.073446335167599","0.0617165071450589","0.0851761631901392"
"Limited","1985","Full Time","secondary school degree","108","0.132560399028773","0.108624627772358","0.156496170285189"
"Limited","1985","Full Time","college entrance qualification","48","0.0982172864352527","0.0712253172573144","0.125209255613191"
"Limited","1985","Full Time","Other degree","38","0.0712738157786005","0.0524286297022348","0.0901190018549663"
"Limited","1985","Full Time","no degree/no degree yet","18","","",""
"Limited","1985","Part Time","lower secondary degree","90","0.116786943523951","0.0923401889059499","0.141233698141951"
"Limited","1985","Part Time","secondary school degree","67","0.265544095225722","0.211551684723728","0.319536505727716"
"Limited","1985","Part Time","college entrance qualification","70","0.38297401811125","0.311959324106394","0.453988712116106"
"Limited","1985","Part Time","Other degree","16","","",""
"Limited","1985","Part Time","no degree/no degree yet","10","","",""
"Limited","1985","Not Working","lower secondary degree","20","","",""
"Limited","1985","Not Working","secondary school degree","10","","",""
"Limited","1985","Not Working","college entrance qualification","14","","",""
"Limited","1985","Not Working","Other degree","3","","",""
"Limited","1985","Not Working","no degree/no degree yet","1","","",""
"Permanent","1986","Full Time","lower secondary degree","207","0.876442386747576","0.834981665792775","0.917903107702377"
"Permanent","1986","Full Time","secondary school degree","100","0.886368556566469","0.828615426237606","0.944121686895333"
"Permanent","1986","Full Time","college entrance qualification","81","0.880904213621162","0.814718124584362","0.947090302657962"
"Permanent","1986","Full Time","Other degree","28","","",""
"Permanent","1986","Full Time","no degree/no degree yet","15","","",""
"Permanent","1986","Part Time","lower secondary degree","89","0.697593651822625","0.619535370949724","0.775651932695526"
"Permanent","1986","Part Time","secondary school degree","32","0.382199476996548","0.277025003926967","0.487373950066128"
"Permanent","1986","Part Time","college entrance qualification","25","","",""
"Permanent","1986","Part Time","Other degree","10","","",""
"Permanent","1986","Part Time","no degree/no degree yet","11","","",""
"Permanent","1986","Not Working","lower secondary degree","10","","",""
"Permanent","1986","Not Working","secondary school degree","4","","",""
"Permanent","1986","Not Working","college entrance qualification","3","","",""
"Permanent","1986","Not Working","Other degree","2","","",""
"Permanent","1986","Not Working","no degree/no degree yet","1","","",""
"Limited","1986","Full Time","lower secondary degree","35","0.123557613252424","0.0820968922976229","0.165018334207225"
"Limited","1986","Full Time","secondary school degree","16","","",""
"Limited","1986","Full Time","college entrance qualification","11","","",""
"Limited","1986","Full Time","Other degree","4","","",""
"Limited","1986","Full Time","no degree/no degree yet","","","",""
"Limited","1986","Part Time","lower secondary degree","44","0.302406348177375","0.224348067304474","0.380464629050276"
"Limited","1986","Part Time","secondary school degree","50","0.617800523003452","0.512626049933871","0.722974996073033"
"Limited","1986","Part Time","college entrance qualification","23","","",""
"Limited","1986","Part Time","Other degree","6","","",""
