"plb0037_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Rural Area","Female","60","0.150608830008616","0.116604618072462","0.184613041944769","2"
"Limited","1985","Rural Area","Male","72","0.114753680965532","0.0903822637923652","0.1391250981387","2"
"Limited","1985","Urban Area","Female","239","0.14359087958385","0.127422254733492","0.159759504434209","2"
"Limited","1985","Urban Area","Male","317","0.109571364391022","0.0981517141403751","0.12099101464167","2"
"Permanent","1985","Rural Area","Male","585","0.885246319034467","0.8608749018613","0.909617736207635","1"
"Permanent","1985","Urban Area","Male","2557","0.890428635608978","0.87900898535833","0.901848285859625","1"
"Permanent","1985","Rural Area","Female","365","0.849391169991384","0.815386958055231","0.883395381927538","1"
"Permanent","1985","Urban Area","Female","1568","0.85640912041615","0.840240495565791","0.872577745266508","1"
"Limited","1986","Rural Area","Female","26","","","","2"
"Limited","1986","Rural Area","Male","27","","","","2"
"Limited","1986","Urban Area","Female","66","0.252897410426525","0.200062165004019","0.305732655849031","2"
"Limited","1986","Urban Area","Male","99","0.232424624734185","0.19212570062979","0.27272354883858","2"
"Permanent","1986","Rural Area","Male","69","0.713649240749613","0.623221007047466","0.80407747445176","1"
"Permanent","1986","Urban Area","Male","323","0.767575375265815","0.72727645116142","0.80787429937021","1"
"Permanent","1986","Rural Area","Female","38","0.556223500313561","0.434502665839132","0.677944334787989","1"
"Permanent","1986","Urban Area","Female","194","0.747102589573475","0.694267344150969","0.799937834995981","1"
"Limited","1987","Rural Area","Male","34","0.199043290772951","0.13337099293918","0.264715588606722","2"
"Limited","1987","Urban Area","Female","121","0.309945469553586","0.262500954612528","0.357389984494643","2"
"Limited","1987","Urban Area","Male","139","0.254345951958724","0.216587103075703","0.292104800841745","2"
"Limited","1987","Rural Area","Female","43","0.354101446113784","0.269239266518539","0.43896362570903","2"
"Permanent","1987","Rural Area","Male","108","0.800956709227049","0.735284411393278","0.86662900706082","1"
"Permanent","1987","Urban Area","Male","372","0.745654048041276","0.707895199158255","0.783412896924297","1"
"Permanent","1987","Rural Area","Female","79","0.645898553886216","0.56103637429097","0.730760733481461","1"
"Permanent","1987","Urban Area","Female","244","0.690054530446414","0.642610015505357","0.737499045387472","1"
