"plb0037_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Not Working","inadequately","","","","","2"
"Limited","1985","Not Working","general elemantary","22","","","","2"
"Limited","1985","Not Working","higher vocational","3","","","","2"
"Limited","1985","Not Working","in school","","","","","2"
"Limited","1985","Not Working","higher education","8","","","","2"
"Limited","1985","Not Working","middle vocational","15","","","","2"
"Limited","1985","Not Working","vocational + Abi","1","","","","2"
"Limited","1985","Full Time","higher education","32","0.0685537318359017","0.0433451222146878","0.0937623414571155","2"
"Limited","1985","Full Time","higher vocational","10","","","","2"
"Limited","1985","Part Time","middle vocational","94","0.150558667164939","0.122294895975974","0.178822438353904","2"
"Limited","1985","Part Time","vocational + Abi","5","","","","2"
"Limited","1985","Part Time","higher vocational","3","","","","2"
"Limited","1985","Part Time","higher education","31","0.296456980468165","0.207828322181513","0.385085638754817","2"
"Limited","1985","Full Time","middle vocational","144","0.0611802939889192","0.0512643619177181","0.0710962260601204","2"
"Limited","1985","Full Time","general elemantary","162","0.240150710411934","0.211991036119735","0.268310384704134","2"
"Limited","1985","Full Time","vocational + Abi","7","","","","2"
"Limited","1985","Full Time","inadequately","17","","","","2"
"Limited","1985","Part Time","in school","1","","","","2"
"Limited","1985","Part Time","inadequately","8","","","","2"
"Limited","1985","Part Time","general elemantary","112","0.27384312518107","0.231042884477572","0.316643365884567","2"
"Limited","1985","Full Time","in school","","","","","2"
"Permanent","1985","Full Time","in school","","","","","1"
"Permanent","1985","Full Time","inadequately","357","0.937636279486863","0.913128977650219","0.962143581323506","1"
"Permanent","1985","Full Time","general elemantary","722","0.759849289588066","0.731689615295866","0.788008963880266","1"
"Permanent","1985","Full Time","middle vocational","2100","0.938819706011081","0.92890377393988","0.948735638082282","1"
"Permanent","1985","Full Time","vocational + Abi","117","0.952250549982671","0.914718952379182","0.98978214758616","1"
"Permanent","1985","Full Time","higher vocational","255","0.965877670607435","0.944019915663985","0.987735425550886","1"
"Permanent","1985","Full Time","higher education","354","0.931446268164098","0.906237658542885","0.956654877785312","1"
"Permanent","1985","Part Time","in school","2","","","","1"
"Permanent","1985","Part Time","inadequately","59","0.817374279972782","0.724861412099049","0.909887147846514","1"
"Permanent","1985","Part Time","general elemantary","305","0.72615687481893","0.683356634115433","0.768957115522428","1"
"Permanent","1985","Part Time","middle vocational","521","0.849441332835061","0.821177561646096","0.877705104024026","1"
"Permanent","1985","Part Time","vocational + Abi","28","","","","1"
"Permanent","1985","Part Time","higher vocational","71","0.941624252658546","0.888206295456007","0.995042209861084","1"
"Permanent","1985","Part Time","higher education","71","0.703543019531835","0.614914361245183","0.792171677818487","1"
"Permanent","1985","Not Working","in school","2","","","","1"
"Permanent","1985","Not Working","inadequately","4","","","","1"
"Permanent","1985","Not Working","general elemantary","24","","","","1"
"Permanent","1985","Not Working","middle vocational","38","0.693520651154694","0.569401023749693","0.817640278559694","1"
"Permanent","1985","Not Working","vocational + Abi","","","","","1"
"Permanent","1985","Not Working","higher vocational","1","","","","1"
"Permanent","1985","Not Working","higher education","3","","","","1"
"Limited","1986","Not Working","general elemantary","3","","","","2"
"Limited","1986","Not Working","in school","2","","","","2"
"Limited","1986","Not Working","inadequately","2","","","","2"
"Limited","1986","Not Working","higher vocational","1","","","","2"
"Limited","1986","Not Working","vocational + Abi","","","","","2"
"Limited","1986","Not Working","higher education","5","","","","2"
"Limited","1986","Full Time","higher education","10","","","","2"
"Limited","1986","Not Working","middle vocational","8","","","","2"
"Limited","1986","Full Time","higher vocational","2","","","","2"
"Limited","1986","Full Time","middle vocational","24","","","","2"
"Limited","1986","Part Time","vocational + Abi","2","","","","2"
"Limited","1986","Part Time","higher education","10","","","","2"
"Limited","1986","Full Time","inadequately","1","","","","2"
"Limited","1986","Part Time","middle vocational","38","0.339910400042672","0.258484965239785","0.421335834845559","2"
"Limited","1986","Part Time","higher vocational","","","","","2"
"Limited","1986","Full Time","general elemantary","28","","","","2"
"Limited","1986","Full Time","in school","","","","","2"
"Limited","1986","Full Time","vocational + Abi","1","","","","2"
"Limited","1986","Part Time","in school","","","","","2"
"Limited","1986","Part Time","inadequately","6","","","","2"
"Limited","1986","Part Time","general elemantary","72","0.670824049989908","0.58456314179153","0.757084958188285","2"
"Permanent","1986","Full Time","in school","","","","","1"
"Permanent","1986","Full Time","inadequately","10","","","","1"
"Permanent","1986","Full Time","general elemantary","54","0.625087359812692","0.520307801173775","0.729866918451608","1"
"Permanent","1986","Full Time","middle vocational","263","0.926731019312498","0.896584021638346","0.95687801698665","1"
"Permanent","1986","Full Time","vocational + Abi","22","","","","1"
"Permanent","1986","Full Time","higher vocational","30","0.953184374059135","0.879993492830745","1.02637525528752","1"
"Permanent","1986","Full Time","higher education","53","0.845163488157079","0.755836051999688","0.934490924314469","1"
"Permanent","1986","Part Time","in school","","","","","1"
"Permanent","1986","Part Time","inadequately","10","","","","1"
"Permanent","1986","Part Time","general elemantary","42","0.329175950010092","0.242915041811715","0.41543685820847","1"
"Permanent","1986","Part Time","middle vocational","92","0.660089599957328","0.578664165154441","0.741515034760215","1"
"Permanent","1986","Part Time","vocational + Abi","6","","","","1"
"Permanent","1986","Part Time","higher vocational","7","","","","1"
"Permanent","1986","Part Time","higher education","10","","","","1"
"Permanent","1986","Not Working","in school","","","","","1"
"Permanent","1986","Not Working","inadequately","1","","","","1"
"Permanent","1986","Not Working","general elemantary","10","","","","1"
"Permanent","1986","Not Working","middle vocational","8","","","","1"
"Permanent","1986","Not Working","vocational + Abi","","","","","1"
"Permanent","1986","Not Working","higher vocational","","","","","1"
"Permanent","1986","Not Working","higher education","1","","","","1"
"Limited","1987","Not Working","higher vocational","1","","","","2"
"Limited","1987","Not Working","in school","1","","","","2"
