"plb0037_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Not Employed","1-pers.-HH","6","","","","2"
"Limited","1985","Not Employed","(Married) couple without C. ","10","","","","2"
"Limited","1985","Not Employed","Single parent ","2","","","","2"
"Limited","1985","Employed","(Married) couple without C. ","68","0.0623345575974307","0.0481312692212669","0.0765378459735944","2"
"Limited","1985","Not Employed","Couple + C. LE 16 ","7","","","","2"
"Limited","1985","Not Employed","Couple + C. GT 16 ","8","","","","2"
"Limited","1985","Not Employed","Couple + C. LE and GT 16","13","","","","2"
"Limited","1985","Employed","1-pers.-HH","46","0.092764958071468","0.0675626054121667","0.117967310730769","2"
"Limited","1985","Employed","Single parent ","53","0.210951217845759","0.162818931091981","0.259083504599536","2"
"Limited","1985","Employed","Couple + C. LE 16 ","93","0.0523800071897166","0.0413770937532257","0.0633829206262076","2"
"Limited","1985","Employed","Couple + C. GT 16 ","198","0.185446863041846","0.162623746308587","0.208269979775105","2"
"Limited","1985","Employed","Couple + C. LE and GT 16","137","0.205552098718108","0.17721102871459","0.233893168721625","2"
"Permanent","1985","Not Employed","1-pers.-HH","5","","","","1"
"Permanent","1985","Not Employed","(Married) couple without C. ","8","","","","1"
"Permanent","1985","Not Employed","Single parent ","4","","","","1"
"Permanent","1985","Not Employed","Couple + C. LE 16 ","24","","","","1"
"Permanent","1985","Not Employed","Couple + C. GT 16 ","13","","","","1"
"Permanent","1985","Not Employed","Couple + C. LE and GT 16","11","","","","1"
"Permanent","1985","Employed","1-pers.-HH","463","0.907235041928532","0.882032689269231","0.932437394587833","1"
"Permanent","1985","Employed","(Married) couple without C. ","1045","0.937665442402569","0.923462154026406","0.951868730778733","1"
"Permanent","1985","Employed","Single parent ","223","0.789048782154241","0.740916495400464","0.837181068908019","1"
"Permanent","1985","Employed","Couple + C. LE 16 ","1482","0.947619992810283","0.936617079373792","0.958622906246774","1"
"Permanent","1985","Employed","Couple + C. GT 16 ","916","0.814553136958154","0.791730020224895","0.837376253691413","1"
"Permanent","1985","Employed","Couple + C. LE and GT 16","644","0.794447901281893","0.766106831278375","0.82278897128541","1"
"Limited","1986","Not Employed","1-pers.-HH","3","","","","2"
"Limited","1986","Not Employed","(Married) couple without C. ","2","","","","2"
"Limited","1986","Not Employed","Single parent ","1","","","","2"
"Limited","1986","Not Employed","Couple + C. LE 16 ","","","","","2"
"Limited","1986","Not Employed","Couple + C. GT 16 ","5","","","","2"
"Limited","1986","Employed","(Married) couple without C. ","30","0.140317080450902","0.0909320063757456","0.189702154526058","2"
