"plb0037_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","16-34 y.","Urban Area","444","0.231817672404084","0.213216077482025","0.250419267326144","2"
"Limited","1985","16-34 y.","Rural Area","113","0.247730282916975","0.209428894346763","0.286031671487186","2"
"Limited","1985","35-65 y.","Urban Area","112","0.040031951250852","0.0326252809854758","0.0474386215162282","2"
"Limited","1985","35-65 y.","Rural Area","19","","","","2"
"Limited","1985","66 and older","Urban Area","","","","","2"
"Limited","1985","66 and older","Rural Area","","","","","2"
"Permanent","1985","16-34 y.","Urban Area","1533","0.768182327595916","0.749580732673856","0.786783922517975","1"
"Permanent","1985","16-34 y.","Rural Area","375","0.752269717083025","0.713968328512814","0.790571105653237","1"
"Permanent","1985","35-65 y.","Urban Area","2579","0.959968048749148","0.952561378483772","0.967374719014524","1"
"Permanent","1985","35-65 y.","Rural Area","574","0.968151818448944","0.954018804186214","0.982284832711675","1"
"Permanent","1985","66 and older","Urban Area","13","","","","1"
"Permanent","1985","66 and older","Rural Area","1","","","","1"
"Limited","1986","16-34 y.","Rural Area","51","0.462780443770925","0.372432438998166","0.553128448543684","2"
"Limited","1986","16-34 y.","Urban Area","152","0.294796286657416","0.255719796713706","0.333872776601126","2"
"Limited","1986","35-65 y.","Rural Area","2","","","","2"
"Limited","1986","35-65 y.","Urban Area","13","","","","2"
"Limited","1986","66 and older","Urban Area","","","","","2"
"Limited","1986","66 and older","Rural Area","","","","","2"
"Permanent","1986","16-34 y.","Urban Area","371","0.705203713342584","0.666127223398875","0.744280203286294","1"
"Permanent","1986","16-34 y.","Rural Area","66","0.537219556229075","0.446871551456316","0.627567561001835","1"
"Permanent","1986","35-65 y.","Urban Area","146","0.925985896862827","0.885293904392161","0.966677889333494","1"
"Permanent","1986","35-65 y.","Rural Area","41","0.941456444429872","0.871286113105358","1.01162677575439","1"
"Permanent","1986","66 and older","Urban Area","","","","","1"
"Permanent","1986","66 and older","Rural Area","","","","","1"
"Limited","1987","16-34 y.","Urban Area","233","0.335631844613339","0.29938582869446","0.371877860532218","2"
"Limited","1987","16-34 y.","Rural Area","69","0.325280967325971","0.261150859900241","0.389411074751701","2"
"Limited","1987","35-65 y.","Rural Area","8","","","","2"
"Limited","1987","35-65 y.","Urban Area","27","","","","2"
"Limited","1987","66 and older","Urban Area","","","","","2"
"Limited","1987","66 and older","Rural Area","","","","","2"
"Permanent","1987","16-34 y.","Urban Area","419","0.664368155386661","0.628122139467782","0.70061417130554","1"
"Permanent","1987","16-34 y.","Rural Area","136","0.674719032674029","0.610588925248299","0.738849140099759","1"
"Permanent","1987","35-65 y.","Urban Area","197","0.870727722821324","0.826791980604247","0.914663465038402","1"
"Permanent","1987","35-65 y.","Rural Area","51","0.878124965402048","0.794649735576958","0.961600195227137","1"
"Permanent","1987","66 and older","Urban Area","","","","","1"
"Permanent","1987","66 and older","Rural Area","","","","","1"
"Limited","1988","16-34 y.","Urban Area","416","0.197105752375115","0.179170974112088","0.215040530638143","2"
"Limited","1988","16-34 y.","Rural Area","125","0.262677728961642","0.223266440189405","0.302089017733879","2"
"Limited","1988","35-65 y.","Urban Area","83","0.0347042967023259","0.0273878086166109","0.0420207847880409","2"
"Limited","1988","35-65 y.","Rural Area","26","","","","2"
"Limited","1988","66 and older","Urban Area","1","","","","2"
"Limited","1988","66 and older","Rural Area","2","","","","2"
"Permanent","1988","16-34 y.","Urban Area","1474","0.802894247624885","0.784959469361857","0.820829025887912","1"
"Permanent","1988","16-34 y.","Rural Area","354","0.737322271038358","0.697910982266121","0.776733559810595","1"
"Permanent","1988","35-65 y.","Urban Area","2321","0.965295703297674","0.957979215211959","0.972612191383389","1"
"Permanent","1988","35-65 y.","Rural Area","505","0.935515506604448","0.914624759491141","0.956406253717754","1"
"Permanent","1988","66 and older","Urban Area","9","","","","1"
"Permanent","1988","66 and older","Rural Area","1","","","","1"
"Limited","1989","16-34 y.","Urban Area","178","0.28140203621352","0.243820601546388","0.318983470880652","2"
"Limited","1989","16-34 y.","Rural Area","30","0.234431217486067","0.159563366928989","0.309299068043146","2"
"Limited","1989","35-65 y.","Urban Area","37","0.182897762406278","0.124785735126664","0.241009789685891","2"
"Limited","1989","35-65 y.","Rural Area","8","","","","2"
"Limited","1989","66 and older","Urban Area","","","","","2"
"Limited","1989","66 and older","Rural Area","","","","","2"
"Permanent","1989","16-34 y.","Urban Area","372","0.71859796378648","0.681016529119348","0.756179398453612","1"
"Permanent","1989","16-34 y.","Rural Area","93","0.765568782513933","0.690700931956854","0.840436633071011","1"
"Permanent","1989","35-65 y.","Urban Area","133","0.817102237593722","0.758990210314109","0.875214264873336","1"
"Permanent","1989","35-65 y.","Rural Area","46","0.833742998306907","0.734441161216607","0.933044835397207","1"
"Permanent","1989","66 and older","Urban Area","","","","","1"
"Permanent","1989","66 and older","Rural Area","","","","","1"
"Limited","1990","16-34 y.","Urban Area","156","0.267363913184147","0.229613068152417","0.305114758215877","2"
"Limited","1990","16-34 y.","Rural Area","28","","","","2"
"Limited","1990","35-65 y.","Urban Area","33","0.180062426550135","0.127718673099473","0.232406180000797","2"
"Limited","1990","35-65 y.","Rural Area","11","","","","2"
"Limited","1990","66 and older","Urban Area","","","","","2"
"Limited","1990","66 and older","Rural Area","","","","","2"
"Permanent","1990","16-34 y.","Urban Area","372","0.732636086815853","0.694885241784123","0.770386931847583","1"
"Permanent","1990","16-34 y.","Rural Area","106","0.786465391541595","0.717079745476639","0.85585103760655","1"
"Permanent","1990","35-65 y.","Urban Area","174","0.819937573449865","0.767593819999203","0.872281326900527","1"
"Permanent","1990","35-65 y.","Rural Area","55","0.886550384280352","0.810038420468361","0.963062348092343","1"
"Permanent","1990","66 and older","Urban Area","1","","","","1"
"Permanent","1990","66 and older","Rural Area","","","","","1"
