"plh0220","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","10","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","58","0.202243142123354","0.160041374266946","0.244444909979762"
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","250","0.154577096065657","0.13792310296443","0.171231089166884"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","31","0.152451262461034","0.104178056497854","0.200724468424215"
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","258","0.116572923977981","0.103581597851054","0.129564250104909"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","17","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","67","0.0959365025759327","0.0744695522876641","0.117403452864201"
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","54","0.071139354924236","0.0537764539646074","0.0885022558838647"
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","70","0.0633907077592983","0.050585796959961","0.0761956185586355"
"1 Strongly disagree","2005","Part Time","(0) in school","12","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","13","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","55","0.195389854711033","0.153367653772521","0.237412055649545"
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","127","0.129003756579881","0.10901224960552","0.148995263554241"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","18","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","110","0.084908251558466","0.0698309716841795","0.0999855314327524"
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","22","","",""
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","21","","",""
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","10","","",""
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","29","","",""
