"plh0220","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","63","0.108486435298196","0.0846151397104011","0.13235773088599"
"1 Strongly disagree","2005","(1a) inadequately completed","66","0.228588504421126","0.175681806780237","0.281495202062015"
"1 Strongly disagree","2005","(1b) general elementary school","305","0.17890738502257","0.161380541075898","0.196434228969242"
"1 Strongly disagree","2005","(1c) basic vocational qualification","716","0.139319157089047","0.130301896483521","0.148336417694573"
"1 Strongly disagree","2005","(2b) intermediate general qualification","63","0.107412524892744","0.0821697538148981","0.132655295970591"
"1 Strongly disagree","2005","(2a) intermediate vocational","467","0.0994567085212843","0.0909823985704726","0.107931018472096"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","51","0.0799129554322765","0.0610876520277085","0.0987382588368445"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","110","0.070617791198103","0.0576876977910247","0.0835478846051813"
"1 Strongly disagree","2005","(3a) lower tertiary education","86","0.0598481654118563","0.0483923578030282","0.0713039730206844"
"1 Strongly disagree","2005","(3b) higher tertiary education","122","0.0543707069352078","0.0455053792037807","0.0632360346666349"
"2 on scale 1-7 ","2005","(0) in school","66","0.119720561717279","0.0948022310349648","0.144638892399593"
"2 on scale 1-7 ","2005","(1a) inadequately completed","46","0.186814821315248","0.137708115725347","0.23592152690515"
"2 on scale 1-7 ","2005","(1b) general elementary school","254","0.129812439503401","0.114442997376951","0.145181881629852"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","737","0.130890980169223","0.122108035992192","0.139673924346253"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","71","0.120771155320686","0.0942057316832453","0.147336578958126"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","642","0.146793344596613","0.136772246679209","0.156814442514017"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","80","0.0938824761591292","0.0736334816367658","0.114131470681493"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","187","0.133859683550185","0.116674014492367","0.151045352608002"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","165","0.102092066981797","0.0874698510135233","0.11671428295007"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","208","0.0975747988358546","0.085972974473428","0.109176623198281"
"3 on scale 1-7 ","2005","(0) in school","94","0.127901490035825","0.102265808527033","0.153537171544617"
"3 on scale 1-7 ","2005","(1a) inadequately completed","39","0.156853487340251","0.111035182065093","0.202671792615408"
"3 on scale 1-7 ","2005","(1b) general elementary school","285","0.144784601114463","0.128693252051512","0.160875950177414"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","902","0.150247428542216","0.14094282438955","0.159552032694882"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","84","0.16233639625689","0.132273768100231","0.192399024413549"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","648","0.131519600316174","0.121949637363358","0.14108956326899"
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","113","0.143347231492769","0.11901869431345","0.167675768672088"
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","194","0.12193830578532","0.105423251170993","0.138453360399647"
"3 on scale 1-7 ","2005","(3a) lower tertiary education","182","0.113649792030971","0.0983216932836352","0.128977890778306"
"3 on scale 1-7 ","2005","(3b) higher tertiary education","295","0.108044025526359","0.0959066738814306","0.120181377171287"
"4 on scale 1-7","2005","(0) in school","106","0.153323675935037","0.12566778763785","0.180979564232223"
"4 on scale 1-7","2005","(1a) inadequately completed","48","0.185738849274289","0.136741380970089","0.234736317578489"
"4 on scale 1-7","2005","(1b) general elementary school","428","0.232564594802607","0.213245524267836","0.251883665337378"
"4 on scale 1-7","2005","(1c) basic vocational qualification","1218","0.213144863972266","0.202480549038903","0.223809178905629"
"4 on scale 1-7","2005","(2b) intermediate general qualification","114","0.18278535040776","0.151277198090117","0.214293502725402"
"4 on scale 1-7","2005","(2a) intermediate vocational","1049","0.215485134466988","0.203842687942809","0.227127580991166"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","132","0.157746770975751","0.132440945315756","0.183052596635747"
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","297","0.190637211018796","0.170811769184181","0.210462652853411"
"4 on scale 1-7","2005","(3a) lower tertiary education","309","0.195751962344922","0.176589586298849","0.214914338390995"
"4 on scale 1-7","2005","(3b) higher tertiary education","427","0.177247541785294","0.162316966167908","0.192178117402681"
"5 on scale 1-7","2005","(0) in school","127","0.201434311408982","0.170648802273983","0.23221982054398"
"5 on scale 1-7","2005","(1a) inadequately completed","","","",""
"5 on scale 1-7","2005","(1b) general elementary school","259","0.141873777195519","0.125917919098119","0.15782963529292"
"5 on scale 1-7","2005","(1c) basic vocational qualification","927","0.158105009543438","0.1486044340793","0.167605585007576"
"5 on scale 1-7","2005","(2b) intermediate general qualification","95","0.149160691968319","0.120118115642874","0.178203268293763"
"5 on scale 1-7","2005","(2a) intermediate vocational","823","0.16335201336569","0.152883894713494","0.173820132017885"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","148","0.198944877589547","0.17122977362827","0.226659981550824"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","279","0.184433889858226","0.164859088270865","0.204008691445587"
"5 on scale 1-7","2005","(3a) lower tertiary education","344","0.188963873574918","0.170057389085159","0.207870358064678"
"5 on scale 1-7","2005","(3b) higher tertiary education","486","0.175364066154003","0.160496041318107","0.1902320909899"
"6 on scale 1-7","2005","(0) in school","95","0.135635432483781","0.109353375699688","0.161917489267874"
