"plh0195","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","1-pers.-HH","West Germany","913","0.417203879140447","0.396728922398653","0.437678835882241"
"People exploit","2003","1-pers.-HH","East Germany","335","0.484272465725036","0.447434687244268","0.521110244205803"
"People exploit","2003","(Married) couple without C. ","West Germany","2409","0.467466692556402","0.454129415121686","0.480803969991118"
"People exploit","2003","(Married) couple without C. ","East Germany","1021","0.572076429343473","0.549475238196275","0.594677620490671"
"People exploit","2003","Single parent ","West Germany","409","0.511613224856449","0.477337244007867","0.545889205705032"
"People exploit","2003","Single parent ","East Germany","157","0.523381027978086","0.4649841564014","0.581777899554772"
"People exploit","2003","Couple + C. LE 16 ","West Germany","1649","0.478632277324475","0.462134460512737","0.495130094136213"
"People exploit","2003","Couple + C. LE 16 ","East Germany","464","0.603872367873088","0.570001838789684","0.637742896956491"
"People exploit","2003","Couple + C. GT 16 ","West Germany","1238","0.468861556990334","0.45028446811474","0.487438645865927"
"People exploit","2003","Couple + C. GT 16 ","East Germany","625","0.591314712931214","0.562473080492761","0.620156345369666"
"People exploit","2003","Couple + C. LE and GT 16","West Germany","625","0.502459536014695","0.476324675859315","0.528594396170075"
"People exploit","2003","Couple + C. LE and GT 16","East Germany","233","0.601140502311077","0.553858327215887","0.648422677406266"
"People are fair","2003","1-pers.-HH","West Germany","1315","0.582796120859553","0.562321164117759","0.603271077601347"
"People are fair","2003","1-pers.-HH","East Germany","372","0.515727534274964","0.478889755794197","0.552565312755732"
"People are fair","2003","(Married) couple without C. ","West Germany","2967","0.532533307443598","0.519196030008882","0.545870584878314"
"People are fair","2003","(Married) couple without C. ","East Germany","820","0.427923570656527","0.405322379509329","0.450524761803726"
"People are fair","2003","Single parent ","West Germany","408","0.488386775143551","0.454110794294968","0.522662755992133"
"People are fair","2003","Single parent ","East Germany","124","0.476618972021914","0.418222100445228","0.5350158435986"
"People are fair","2003","Couple + C. LE 16 ","West Germany","1873","0.521367722675525","0.504869905863787","0.537865539487263"
"People are fair","2003","Couple + C. LE 16 ","East Germany","337","0.396127632126912","0.362257103043509","0.429998161210316"
"People are fair","2003","Couple + C. GT 16 ","West Germany","1534","0.531138443009666","0.512561354134073","0.54971553188526"
"People are fair","2003","Couple + C. GT 16 ","East Germany","491","0.408685287068786","0.379843654630334","0.437526919507239"
"People are fair","2003","Couple + C. LE and GT 16","West Germany","781","0.497540463985305","0.471405603829925","0.523675324140685"
"People are fair","2003","Couple + C. LE and GT 16","East Germany","179","0.398859497688924","0.351577322593734","0.446141672784113"
"People exploit","2004","1-pers.-HH","West Germany","","","",""
"People exploit","2004","1-pers.-HH","East Germany","","","",""
"People exploit","2004","(Married) couple without C. ","West Germany","","","",""
"People exploit","2004","(Married) couple without C. ","East Germany","","","",""
"People exploit","2004","Single parent ","West Germany","","","",""
"People exploit","2004","Single parent ","East Germany","","","",""
"People exploit","2004","Couple + C. LE 16 ","West Germany","","","",""
"People exploit","2004","Couple + C. LE 16 ","East Germany","","","",""
"People exploit","2004","Couple + C. GT 16 ","West Germany","","","",""
"People exploit","2004","Couple + C. GT 16 ","East Germany","","","",""
"People exploit","2004","Couple + C. LE and GT 16","West Germany","","","",""
"People exploit","2004","Couple + C. LE and GT 16","East Germany","","","",""
"People are fair","2004","1-pers.-HH","West Germany","","","",""
"People are fair","2004","1-pers.-HH","East Germany","","","",""
"People are fair","2004","(Married) couple without C. ","West Germany","","","",""
"People are fair","2004","(Married) couple without C. ","East Germany","","","",""
"People are fair","2004","Single parent ","West Germany","","","",""
"People are fair","2004","Single parent ","East Germany","","","",""
"People are fair","2004","Couple + C. LE 16 ","West Germany","","","",""
"People are fair","2004","Couple + C. LE 16 ","East Germany","","","",""
"People are fair","2004","Couple + C. GT 16 ","West Germany","","","",""
"People are fair","2004","Couple + C. GT 16 ","East Germany","","","",""
"People are fair","2004","Couple + C. LE and GT 16","West Germany","","","",""
"People are fair","2004","Couple + C. LE and GT 16","East Germany","","","",""
"People exploit","2005","1-pers.-HH","West Germany","","","",""
"People exploit","2005","1-pers.-HH","East Germany","","","",""
"People exploit","2005","(Married) couple without C. ","West Germany","","","",""
"People exploit","2005","(Married) couple without C. ","East Germany","","","",""
"People exploit","2005","Single parent ","West Germany","","","",""
"People exploit","2005","Single parent ","East Germany","","","",""
"People exploit","2005","Couple + C. LE 16 ","West Germany","","","",""
"People exploit","2005","Couple + C. LE 16 ","East Germany","","","",""
"People exploit","2005","Couple + C. GT 16 ","West Germany","","","",""
"People exploit","2005","Couple + C. GT 16 ","East Germany","","","",""
"People exploit","2005","Couple + C. LE and GT 16","West Germany","","","",""
"People exploit","2005","Couple + C. LE and GT 16","East Germany","","","",""
"People are fair","2005","1-pers.-HH","West Germany","","","",""
"People are fair","2005","1-pers.-HH","East Germany","","","",""
"People are fair","2005","(Married) couple without C. ","West Germany","","","",""
"People are fair","2005","(Married) couple without C. ","East Germany","","","",""
"People are fair","2005","Single parent ","West Germany","","","",""
"People are fair","2005","Single parent ","East Germany","","","",""
"People are fair","2005","Couple + C. LE 16 ","West Germany","","","",""
"People are fair","2005","Couple + C. LE 16 ","East Germany","","","",""
"People are fair","2005","Couple + C. GT 16 ","West Germany","","","",""
"People are fair","2005","Couple + C. GT 16 ","East Germany","","","",""
"People are fair","2005","Couple + C. LE and GT 16","West Germany","","","",""
"People are fair","2005","Couple + C. LE and GT 16","East Germany","","","",""
"People exploit","2006","1-pers.-HH","West Germany","","","",""
"People exploit","2006","1-pers.-HH","East Germany","","","",""
"People exploit","2006","(Married) couple without C. ","West Germany","","","",""
"People exploit","2006","(Married) couple without C. ","East Germany","","","",""
"People exploit","2006","Single parent ","West Germany","","","",""
"People exploit","2006","Single parent ","East Germany","","","",""
"People exploit","2006","Couple + C. LE 16 ","West Germany","","","",""
"People exploit","2006","Couple + C. LE 16 ","East Germany","","","",""
"People exploit","2006","Couple + C. GT 16 ","West Germany","","","",""
"People exploit","2006","Couple + C. GT 16 ","East Germany","","","",""
"People exploit","2006","Couple + C. LE and GT 16","West Germany","","","",""
"People exploit","2006","Couple + C. LE and GT 16","East Germany","","","",""
"People are fair","2006","1-pers.-HH","West Germany","","","",""
"People are fair","2006","1-pers.-HH","East Germany","","","",""
"People are fair","2006","(Married) couple without C. ","West Germany","","","",""
"People are fair","2006","(Married) couple without C. ","East Germany","","","",""
"People are fair","2006","Single parent ","West Germany","","","",""
"People are fair","2006","Single parent ","East Germany","","","",""
"People are fair","2006","Couple + C. LE 16 ","West Germany","","","",""
"People are fair","2006","Couple + C. LE 16 ","East Germany","","","",""
"People are fair","2006","Couple + C. GT 16 ","West Germany","","","",""
"People are fair","2006","Couple + C. GT 16 ","East Germany","","","",""
"People are fair","2006","Couple + C. LE and GT 16","West Germany","","","",""
"People are fair","2006","Couple + C. LE and GT 16","East Germany","","","",""
"People exploit","2007","1-pers.-HH","West Germany","","","",""
"People exploit","2007","1-pers.-HH","East Germany","","","",""
"People exploit","2007","(Married) couple without C. ","West Germany","","","",""
"People exploit","2007","(Married) couple without C. ","East Germany","","","",""
"People exploit","2007","Single parent ","West Germany","","","",""
"People exploit","2007","Single parent ","East Germany","","","",""
"People exploit","2007","Couple + C. LE 16 ","West Germany","","","",""
"People exploit","2007","Couple + C. LE 16 ","East Germany","","","",""
"People exploit","2007","Couple + C. GT 16 ","West Germany","","","",""
"People exploit","2007","Couple + C. GT 16 ","East Germany","","","",""
"People exploit","2007","Couple + C. LE and GT 16","West Germany","","","",""
"People exploit","2007","Couple + C. LE and GT 16","East Germany","","","",""
"People are fair","2007","1-pers.-HH","West Germany","","","",""
"People are fair","2007","1-pers.-HH","East Germany","","","",""
"People are fair","2007","(Married) couple without C. ","West Germany","","","",""
"People are fair","2007","(Married) couple without C. ","East Germany","","","",""
"People are fair","2007","Single parent ","West Germany","","","",""
"People are fair","2007","Single parent ","East Germany","","","",""
"People are fair","2007","Couple + C. LE 16 ","West Germany","","","",""
"People are fair","2007","Couple + C. LE 16 ","East Germany","","","",""
"People are fair","2007","Couple + C. GT 16 ","West Germany","","","",""
"People are fair","2007","Couple + C. GT 16 ","East Germany","","","",""
"People are fair","2007","Couple + C. LE and GT 16","West Germany","","","",""
