"plh0195","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Not Employed","4339","0.540620139572365","0.529716167841271","0.551524111303459","2"
"People are fair","2003","Employed","7182","0.501824382220414","0.493507550736942","0.510141213703887","2"
"People exploit","2003","Not Employed","3685","0.459379860427635","0.448475888696541","0.470283832158729","1"
"People exploit","2003","Employed","6702","0.498175617779585","0.489858786296113","0.506492449263057","1"
"People are fair","2004","Not Employed","","","","","2"
"People are fair","2004","Employed","","","","","2"
"People exploit","2004","Not Employed","","","","","1"
"People exploit","2004","Employed","","","","","1"
"People are fair","2005","Not Employed","","","","","2"
"People are fair","2005","Employed","","","","","2"
"People exploit","2005","Not Employed","","","","","1"
"People exploit","2005","Employed","","","","","1"
"People are fair","2006","Not Employed","","","","","2"
"People are fair","2006","Employed","","","","","2"
"People exploit","2006","Not Employed","","","","","1"
"People exploit","2006","Employed","","","","","1"
"People are fair","2007","Not Employed","","","","","2"
"People are fair","2007","Employed","","","","","2"
"People exploit","2007","Not Employed","","","","","1"
"People exploit","2007","Employed","","","","","1"
"People are fair","2008","Not Employed","4077","0.544263467137272","0.532882249067914","0.555644685206629","2"
"People are fair","2008","Employed","6210","0.506687247775874","0.497646647236575","0.515727848315174","2"
"People exploit","2008","Not Employed","3279","0.455736532862728","0.444355314793371","0.467117750932086","1"
"People exploit","2008","Employed","5538","0.493312752224126","0.484272151684827","0.502353352763425","1"
"People are fair","2009","Not Employed","","","","","2"
"People are fair","2009","Employed","","","","","2"
"People exploit","2009","Not Employed","","","","","1"
"People exploit","2009","Employed","","","","","1"
"People are fair","2010","Not Employed","","","","","2"
"People are fair","2010","Employed","","","","","2"
"People exploit","2010","Not Employed","","","","","1"
"People exploit","2010","Employed","","","","","1"
"People are fair","2011","Not Employed","","","","","2"
"People are fair","2011","Employed","","","","","2"
"People exploit","2011","Not Employed","","","","","1"
"People exploit","2011","Employed","","","","","1"
"People are fair","2012","Not Employed","","","","","2"
"People are fair","2012","Employed","","","","","2"
"People exploit","2012","Not Employed","","","","","1"
"People exploit","2012","Employed","","","","","1"
"People are fair","2013","Not Employed","5129","0.600455205897031","0.590099046397958","0.610811365396103","2"
"People are fair","2013","Employed","9694","0.572270462359857","0.564704672948705","0.579836251771009","2"
"People exploit","2013","Not Employed","3464","0.399544794102969","0.389188634603897","0.409900953602042","1"
"People exploit","2013","Employed","6733","0.427729537640143","0.420163748228991","0.435295327051295","1"
"People are fair","2014","Not Employed","","","","","2"
"People are fair","2014","Employed","","","","","2"
"People exploit","2014","Not Employed","","","","","1"
"People exploit","2014","Employed","","","","","1"
"People are fair","2015","Not Employed","","","","","2"
"People are fair","2015","Employed","","","","","2"
"People exploit","2015","Not Employed","","","","","1"
"People exploit","2015","Employed","","","","","1"
"People are fair","2016","Not Employed","","","","","2"
"People are fair","2016","Employed","","","","","2"
"People exploit","2016","Not Employed","","","","","1"
"People exploit","2016","Employed","","","","","1"
"People are fair","2017","Not Employed","","","","","2"
"People are fair","2017","Employed","","","","","2"
"People exploit","2017","Not Employed","","","","","1"
"People exploit","2017","Employed","","","","","1"
"People are fair","2018","Not Employed","6719","0.626634897369415","0.61763253546325","0.635637259275581","2"
"People are fair","2018","Employed","10631","0.60056736226648","0.593321131374148","0.607813593158812","2"
"People exploit","2018","Not Employed","4371","0.373365102630585","0.364362740724419","0.38236746453675","1"
"People exploit","2018","Employed","6919","0.39943263773352","0.392186406841188","0.406678868625853","1"
