"plh0195","year","sampreg","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","West Germany","7482","0.464780635921631","0.457194535755129","0.472366736088133"
"People exploit","2003","East Germany","2905","0.557793720938596","0.544426641145536","0.571160800731655"
"People are fair","2003","West Germany","9123","0.535219364078369","0.527633263911867","0.542805464244871"
"People are fair","2003","East Germany","2398","0.442206279061404","0.428839199268345","0.455573358854464"
"People exploit","2004","West Germany","","","",""
"People exploit","2004","East Germany","","","",""
"People are fair","2004","West Germany","","","",""
"People are fair","2004","East Germany","","","",""
"People exploit","2005","West Germany","","","",""
"People exploit","2005","East Germany","","","",""
"People are fair","2005","West Germany","","","",""
"People are fair","2005","East Germany","","","",""
"People exploit","2006","West Germany","","","",""
"People exploit","2006","East Germany","","","",""
"People are fair","2006","West Germany","","","",""
"People are fair","2006","East Germany","","","",""
"People exploit","2007","West Germany","","","",""
"People exploit","2007","East Germany","","","",""
"People are fair","2007","West Germany","","","",""
"People are fair","2007","East Germany","","","",""
"People exploit","2008","West Germany","6395","0.465618015054803","0.457464598265165","0.473771431844441"
"People exploit","2008","East Germany","2422","0.535190897470991","0.520971116604938","0.549410678337045"
"People are fair","2008","West Germany","7983","0.534381984945197","0.52622856815556","0.542535401734835"
"People are fair","2008","East Germany","2304","0.464809102529009","0.450589321662955","0.479028883395062"
"People exploit","2009","West Germany","","","",""
"People exploit","2009","East Germany","","","",""
"People are fair","2009","West Germany","","","",""
"People are fair","2009","East Germany","","","",""
"People exploit","2010","West Germany","","","",""
"People exploit","2010","East Germany","","","",""
"People are fair","2010","West Germany","","","",""
"People are fair","2010","East Germany","","","",""
"People exploit","2011","West Germany","","","",""
"People exploit","2011","East Germany","","","",""
"People are fair","2011","West Germany","","","",""
"People are fair","2011","East Germany","","","",""
"People exploit","2012","West Germany","","","",""
"People exploit","2012","East Germany","","","",""
"People are fair","2012","West Germany","","","",""
"People are fair","2012","East Germany","","","",""
"People exploit","2013","West Germany","7528","0.401286574277237","0.394385816020869","0.408187332533605"
"People exploit","2013","East Germany","2669","0.482441832311328","0.469399684852433","0.495483979770224"
"People are fair","2013","West Germany","11853","0.598713425722763","0.591812667466395","0.605614183979131"
"People are fair","2013","East Germany","2970","0.517558167688672","0.504516020229776","0.530600315147567"
"People exploit","2014","West Germany","","","",""
"People exploit","2014","East Germany","","","",""
"People are fair","2014","West Germany","","","",""
"People are fair","2014","East Germany","","","",""
"People exploit","2015","West Germany","","","",""
"People exploit","2015","East Germany","","","",""
"People are fair","2015","West Germany","","","",""
"People are fair","2015","East Germany","","","",""
"People exploit","2016","West Germany","","","",""
"People exploit","2016","East Germany","","","",""
"People are fair","2016","West Germany","","","",""
"People are fair","2016","East Germany","","","",""
"People exploit","2017","West Germany","","","",""
"People exploit","2017","East Germany","","","",""
"People are fair","2017","West Germany","","","",""
"People are fair","2017","East Germany","","","",""
"People exploit","2018","West Germany","8763","0.383449379234134","0.377133087340918","0.38976567112735"
"People exploit","2018","East Germany","2527","0.423451218443392","0.410817624322479","0.436084812564305"
"People are fair","2018","West Germany","14001","0.616550620765866","0.61023432887265","0.622866912659082"
"People are fair","2018","East Germany","3349","0.576548781556608","0.563915187435695","0.589182375677521"
