"plh0195","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","1-pers.-HH","1248","0.430247113459188","0.412335022418095","0.448159204500282"
"People exploit","2003","(Married) couple without C. ","3430","0.488102664298154","0.4765703422443","0.499634986352009"
"People exploit","2003","Single parent ","566","0.513862213423114","0.484299114797915","0.543425312048313"
"People exploit","2003","Couple + C. LE 16 ","2113","0.497373579823338","0.482469008627446","0.51227815101923"
"People exploit","2003","Couple + C. GT 16 ","1863","0.494669516447052","0.478953941080794","0.510385091813309"
"People exploit","2003","Couple + C. LE and GT 16","858","0.519766118377157","0.496800320765382","0.542731915988932"
"People are fair","2003","1-pers.-HH","1687","0.569752886540812","0.551840795499718","0.587664977581905"
"People are fair","2003","(Married) couple without C. ","3787","0.511897335701846","0.500365013647991","0.5234296577557"
"People are fair","2003","Single parent ","532","0.486137786576886","0.456574687951686","0.515700885202085"
"People are fair","2003","Couple + C. LE 16 ","2210","0.502626420176662","0.48772184898077","0.517530991372554"
"People are fair","2003","Couple + C. GT 16 ","2025","0.505330483552948","0.489614908186691","0.521046058919205"
"People are fair","2003","Couple + C. LE and GT 16","960","0.480233881622843","0.457268084011068","0.503199679234618"
"People exploit","2004","1-pers.-HH","","","",""
"People exploit","2004","(Married) couple without C. ","","","",""
"People exploit","2004","Single parent ","","","",""
"People exploit","2004","Couple + C. LE 16 ","","","",""
"People exploit","2004","Couple + C. GT 16 ","","","",""
"People exploit","2004","Couple + C. LE and GT 16","","","",""
"People are fair","2004","1-pers.-HH","","","",""
"People are fair","2004","(Married) couple without C. ","","","",""
"People are fair","2004","Single parent ","","","",""
"People are fair","2004","Couple + C. LE 16 ","","","",""
"People are fair","2004","Couple + C. GT 16 ","","","",""
"People are fair","2004","Couple + C. LE and GT 16","","","",""
"People exploit","2005","1-pers.-HH","","","",""
"People exploit","2005","(Married) couple without C. ","","","",""
"People exploit","2005","Single parent ","","","",""
"People exploit","2005","Couple + C. LE 16 ","","","",""
"People exploit","2005","Couple + C. GT 16 ","","","",""
"People exploit","2005","Couple + C. LE and GT 16","","","",""
"People are fair","2005","1-pers.-HH","","","",""
"People are fair","2005","(Married) couple without C. ","","","",""
"People are fair","2005","Single parent ","","","",""
"People are fair","2005","Couple + C. LE 16 ","","","",""
"People are fair","2005","Couple + C. GT 16 ","","","",""
"People are fair","2005","Couple + C. LE and GT 16","","","",""
"People exploit","2006","1-pers.-HH","","","",""
"People exploit","2006","(Married) couple without C. ","","","",""
"People exploit","2006","Single parent ","","","",""
"People exploit","2006","Couple + C. LE 16 ","","","",""
"People exploit","2006","Couple + C. GT 16 ","","","",""
"People exploit","2006","Couple + C. LE and GT 16","","","",""
"People are fair","2006","1-pers.-HH","","","",""
"People are fair","2006","(Married) couple without C. ","","","",""
"People are fair","2006","Single parent ","","","",""
