"plh0195","year","age_gr","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","16-34 y.","2707","0.471308445861988","0.458438534931043","0.484178356792933"
"People exploit","2003","35-65 y.","6235","0.522418993689947","0.513666084183285","0.531171903196609"
"People exploit","2003","66 and older","1445","0.394209654099144","0.378288351324911","0.410130956873377"
"People are fair","2003","16-34 y.","3072","0.528691554138012","0.515821643207067","0.541561465068957"
"People are fair","2003","35-65 y.","6275","0.477581006310053","0.468828096803391","0.486333915816715"
"People are fair","2003","66 and older","2174","0.605790345900856","0.589869043126623","0.621711648675089"
"People exploit","2004","16-34 y.","","","",""
"People exploit","2004","35-65 y.","","","",""
"People exploit","2004","66 and older","","","",""
"People are fair","2004","16-34 y.","","","",""
"People are fair","2004","35-65 y.","","","",""
"People are fair","2004","66 and older","","","",""
"People exploit","2005","16-34 y.","","","",""
"People exploit","2005","35-65 y.","","","",""
"People exploit","2005","66 and older","","","",""
"People are fair","2005","16-34 y.","","","",""
"People are fair","2005","35-65 y.","","","",""
"People are fair","2005","66 and older","","","",""
"People exploit","2006","16-34 y.","","","",""
"People exploit","2006","35-65 y.","","","",""
"People exploit","2006","66 and older","","","",""
"People are fair","2006","16-34 y.","","","",""
"People are fair","2006","35-65 y.","","","",""
"People are fair","2006","66 and older","","","",""
"People exploit","2007","16-34 y.","","","",""
"People exploit","2007","35-65 y.","","","",""
"People exploit","2007","66 and older","","","",""
"People are fair","2007","16-34 y.","","","",""
"People are fair","2007","35-65 y.","","","",""
"People are fair","2007","66 and older","","","",""
"People exploit","2008","16-34 y.","1982","0.486012844388081","0.471107003000548","0.500918685775614"
"People exploit","2008","35-65 y.","5069","0.504458379774587","0.494905571876589","0.514011187672585"
"People exploit","2008","66 and older","1766","0.412715654121414","0.397935088577549","0.42749621966528"
"People are fair","2008","16-34 y.","2337","0.513987155611919","0.499081314224386","0.528892996999452"
"People are fair","2008","35-65 y.","5454","0.495541620225413","0.485988812327415","0.505094428123411"
"People are fair","2008","66 and older","2496","0.587284345878586","0.57250378033472","0.602064911422451"
"People exploit","2009","16-34 y.","","","",""
"People exploit","2009","35-65 y.","","","",""
"People exploit","2009","66 and older","","","",""
"People are fair","2009","16-34 y.","","","",""
"People are fair","2009","35-65 y.","","","",""
"People are fair","2009","66 and older","","","",""
"People exploit","2010","16-34 y.","","","",""
"People exploit","2010","35-65 y.","","","",""
"People exploit","2010","66 and older","","","",""
"People are fair","2010","16-34 y.","","","",""
"People are fair","2010","35-65 y.","","","",""
"People are fair","2010","66 and older","","","",""
"People exploit","2011","16-34 y.","","","",""
"People exploit","2011","35-65 y.","","","",""
"People exploit","2011","66 and older","","","",""
"People are fair","2011","16-34 y.","","","",""
"People are fair","2011","35-65 y.","","","",""
"People are fair","2011","66 and older","","","",""
"People exploit","2012","16-34 y.","","","",""
"People exploit","2012","35-65 y.","","","",""
"People exploit","2012","66 and older","","","",""
"People are fair","2012","16-34 y.","","","",""
"People are fair","2012","35-65 y.","","","",""
"People are fair","2012","66 and older","","","",""
"People exploit","2013","16-34 y.","2358","0.418867162645354","0.405894090356588","0.431840234934119"
"People exploit","2013","35-65 y.","6158","0.449738590093073","0.441668176928052","0.457809003258094"
"People exploit","2013","66 and older","1681","0.349660678405778","0.336264953787462","0.363056403024094"
"People are fair","2013","16-34 y.","3198","0.581132837354646","0.568159765065881","0.594105909643412"
"People are fair","2013","35-65 y.","8438","0.550261409906927","0.542190996741906","0.558331823071948"
"People are fair","2013","66 and older","3187","0.650339321594222","0.636943596975906","0.663735046212539"
"People exploit","2014","16-34 y.","","","",""
"People exploit","2014","35-65 y.","","","",""
"People exploit","2014","66 and older","","","",""
"People are fair","2014","16-34 y.","","","",""
"People are fair","2014","35-65 y.","","","",""
"People are fair","2014","66 and older","","","",""
"People exploit","2015","16-34 y.","","","",""
"People exploit","2015","35-65 y.","","","",""
"People exploit","2015","66 and older","","","",""
"People are fair","2015","16-34 y.","","","",""
"People are fair","2015","35-65 y.","","","",""
"People are fair","2015","66 and older","","","",""
"People exploit","2016","16-34 y.","","","",""
"People exploit","2016","35-65 y.","","","",""
"People exploit","2016","66 and older","","","",""
"People are fair","2016","16-34 y.","","","",""
"People are fair","2016","35-65 y.","","","",""
"People are fair","2016","66 and older","","","",""
"People exploit","2017","16-34 y.","","","",""
"People exploit","2017","35-65 y.","","","",""
"People exploit","2017","66 and older","","","",""
"People are fair","2017","16-34 y.","","","",""
"People are fair","2017","35-65 y.","","","",""
"People are fair","2017","66 and older","","","",""
"People exploit","2018","16-34 y.","3362","0.428522018139053","0.417521525244555","0.439522511033551"
"People exploit","2018","35-65 y.","6416","0.412382683786771","0.40473526302287","0.420030104550671"
"People exploit","2018","66 and older","1512","0.307788603176398","0.294928779789189","0.320648426563607"
"People are fair","2018","16-34 y.","4412","0.571477981860947","0.560477488966449","0.582478474755445"
"People are fair","2018","35-65 y.","9501","0.587617316213229","0.579969895449329","0.59526473697713"
"People are fair","2018","66 and older","3437","0.692211396823602","0.679351573436393","0.705071220210811"
