"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2000","Couple + C. GT 16 ","7.24","8","3905","5","6","8","9","10","7.18","7.3","0","10","8","8"
"2000","Couple + C. LE 16","7.48","8","5170","5","7","9","9","10","7.43","7.53","0","10","8","8"
"2000","Couple + C. LE and GT 16","7.43","8","1907","5","6","9","9","10","7.35","7.51","0","10","8","8"
"2000","Single parent","7.22","8","1186","5","6","8","9","10","7.11","7.33","0","10","7","8"
"2001","(Married) couple without C.","6.95","7","6725","4","6","8","9","10","6.9","7","0","10","7","7"
"2001","1-pers.-HH","6.89","7","2885","4","5","8","9","10","6.82","6.96","0","10","7","7"
"2001","Couple + C. GT 16 ","7.34","8","3579","5","6","9","9","10","7.28","7.4","0","10","8","8"
"2001","Couple + C. LE 16","7.55","8","4696","5","7","9","9","10","7.5","7.6","0","10","8","8"
"2001","Couple + C. LE and GT 16","7.43","8","1716","5","7","9","9","10","7.34","7.52","0","10","8","8"
"2001","Single parent","7.28","8","1109","5","6","9","9","10","7.17","7.39","0","10","7","8"
"2002","(Married) couple without C.","6.72","7","7225","4","5","8","9","10","6.67","6.77","0","10","7","7"
"2002","1-pers.-HH","6.68","7","2889","4","5","8","9","10","6.6","6.76","0","10","7","7"
"2002","Couple + C. GT 16 ","7.03","7","3933","5","6","8","9","10","6.97","7.09","0","10","7","8"
"2002","Couple + C. LE 16","7.3","8","4669","5","6","8","9","10","7.25","7.35","0","10","8","8"
"2002","Couple + C. LE and GT 16","7.23","8","1915","5","6","8","9","10","7.15","7.31","0","10","8","8"
"2002","Single parent","6.95","7","1104","4","6","8","9","10","6.84","7.06","0","10","7","8"
"2003","(Married) couple without C.","6.6","7","7113","4","5","8","9","10","6.55","6.65","0","10","7","7"
"2003","1-pers.-HH","6.6","7","2878","4","5","8","9","10","6.52","6.68","0","10","7","7"
"2003","Couple + C. GT 16 ","6.92","7","3894","4","6","8","9","10","6.86","6.98","0","10","7","8"
"2003","Couple + C. LE 16","7.22","8","4328","5","6","8","9","10","7.17","7.27","0","10","8","8"
"2003","Couple + C. LE and GT 16","7.06","8","1821","4","6","8","9","10","6.97","7.15","0","10","8","8"
"2003","Single parent","6.8","7","1093","4","5","8","9","10","6.68","6.92","0","10","7","7"
"2004","(Married) couple without C.","6.39","7","7065","3","5","8","9","10","6.34","6.44","0","10","7","7"
"2004","1-pers.-HH","6.37","7","2815","3","5","8","9","10","6.29","6.45","0","10","7","7"
"2004","Couple + C. GT 16 ","6.73","7","3858","4","5","8","9","10","6.67","6.79","0","10","7","7"
"2004","Couple + C. LE 16","7.11","7","4002","5","6","8","9","10","7.06","7.16","0","10","8","8"
"2004","Couple + C. LE and GT 16","7.03","7","1771","5","6","8","9","10","6.94","7.12","0","10","7","8"
"2004","Single parent","6.68","7","1075","4","5","8","9","10","6.56","6.8","0","10","7","7"
"2005","(Married) couple without C.","","","","","","","","","","","","","",""
"2005","1-pers.-HH","","","","","","","","","","","","","",""
"2005","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2005","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","Single parent","","","","","","","","","","","","","",""
"2006","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","1-pers.-HH","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","Single parent","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","","","","","","","","","","","","","",""
"2007","1-pers.-HH","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2007","Single parent","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","6.61","7","6787","4","5","8","9","10","6.56","6.66","0","10","7","7"
"2008","1-pers.-HH","6.41","7","2873","3","5","8","9","10","6.33","6.49","0","10","7","7"
"2008","Couple + C. GT 16 ","7.01","7","3301","4","6","8","9","10","6.94","7.08","0","10","8","8"
"2008","Couple + C. LE 16","7.54","8","3177","5","7","9","9","10","7.48","7.6","0","10","8","8"
"2008","Couple + C. LE and GT 16","7.39","8","1180","5","6","9","9","10","7.29","7.49","0","10","8","8"
"2008","Single parent","7.19","8","1066","4","6","9","10","10","7.06","7.32","0","10","8","8"
"2009","(Married) couple without C.","6.66","7","6458","4","5","8","9","10","6.61","6.71","0","10","7","7"
"2009","1-pers.-HH","6.64","7","2784","4","5","8","9","10","6.56","6.72","0","10","7","7"
"2009","Couple + C. GT 16 ","7.02","7","3126","5","6","8","9","10","6.96","7.08","0","10","7","8"
"2009","Couple + C. LE 16","7.29","8","2832","5","6","8","9","10","7.23","7.35","0","10","8","8"
"2009","Couple + C. LE and GT 16","7.29","8","1160","5","6","8","9","10","7.2","7.38","1","10","8","8"
"2009","Single parent","7","7","974","4","6","8","9","10","6.88","7.12","0","10","7","8"
"2010","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","1-pers.-HH","","","","","","","","","","","","","",""
"2010","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2010","Single parent","","","","","","","","","","","","","",""
"2011","(Married) couple without C.","6.87","7","6944","4","5","8","9","10","6.82","6.92","0","10","7","7"
"2011","1-pers.-HH","6.61","7","2957","4","5","8","9","10","6.53","6.69","0","10","7","7"
"2011","Couple + C. GT 16 ","7.23","8","2875","5","6","8","9","10","7.16","7.3","0","10","8","8"
