"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","7.42","8","4407","5","6","9","10","7.36","7.48","8","8"
"1991","7.19","8","13347","5","6","8","9","7.16","7.22","8","8"
"1992","6.97","7","13116","4","6","8","9","6.94","7","7","8"
"1993","6.8","7","12965","4","5","8","9","6.77","6.83","7","7"
"1994","6.81","7","12736","4","5","8","9","6.78","6.84","7","7"
"1995","6.85","7","13159","4","5","8","9","6.82","6.88","7","7"
"1996","6.74","7","12982","4","5","8","9","6.71","6.77","7","7"
"1997","6.55","7","12769","4","5","8","9","6.51","6.59","7","7"
"1998","6.85","7","14146","4","5","8","9","6.82","6.88","7","7"
"1999","6.98","7","13571","4","6","8","9","6.95","7.01","7","8"
"2000","7.09","8","23713","5","6","8","9","7.07","7.11","8","8"
"2001","7.16","8","21510","5","6","8","9","7.13","7.19","8","8"
"2002","6.91","7","22483","4","6","8","9","6.89","6.93","7","8"
"2003","6.79","7","21755","4","5","8","9","6.76","6.82","7","7"
"2004","6.61","7","21182","4","5","8","9","6.58","6.64","7","7"
"2005","","","","","","","","","","",""
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","6.84","7","18761","4","5","8","9","6.81","6.87","7","8"
"2009","6.85","7","17655","4","5","8","9","6.82","6.88","7","7"
"2010","","","","","","","","","","",""
"2011","6.98","7","17859","4","6","8","9","6.95","7.01","8","8"
"2012","7.82","8","7057","5","7","9","10","7.78","7.86","8","8"
"2013","7.24","8","23117","5","6","9","10","7.21","7.27","8","8"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","","","","","","","","","","",""
"2018","7.54","8","24612","5","7","9","10","7.52","7.56","8","8"
