"plh0178","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Urban Area","Male","46","0.00770928513276806","0.00509629073994149","0.0103222795255946","0"
"0 Completely dissatisfied","1985","Urban Area","Female","66","0.012294567754696","0.00905138342878372","0.0155377520806083","0"
"0 Completely dissatisfied","1985","Rural Area","Male","11","","","","0"
"0 Completely dissatisfied","1985","Rural Area","Female","18","","","","0"
"1 on Scale 1 to 10","1985","Urban Area","Male","35","0.00717938265416523","0.00465711654725851","0.00970164876107196","1"
"1 on Scale 1 to 10","1985","Urban Area","Female","54","0.00925859155653903","0.00643985882129756","0.0120773242917805","1"
"1 on Scale 1 to 10","1985","Rural Area","Female","16","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","Male","10","","","","1"
"10 Completely satisfied","1985","Urban Area","Male","858","0.217166682721815","0.204848597373649","0.229484768069981","10"
"10 Completely satisfied","1985","Urban Area","Female","956","0.246745410642295","0.2340573071027","0.25943351418189","10"
"10 Completely satisfied","1985","Rural Area","Male","253","0.236464293949199","0.211444964129597","0.261483623768801","10"
"10 Completely satisfied","1985","Rural Area","Female","271","0.25428489611658","0.229182456781824","0.279387335451337","10"
"2 on Scale 1 to 10","1985","Urban Area","Male","130","0.0271704344853031","0.0223133167387493","0.032027552231857","2"
"2 on Scale 1 to 10","1985","Urban Area","Female","160","0.0300605853891957","0.0250351661319693","0.0350860046464221","2"
"2 on Scale 1 to 10","1985","Rural Area","Male","30","0.0249719373402314","0.0157841086970798","0.034159765983383","2"
"2 on Scale 1 to 10","1985","Rural Area","Female","29","","","","2"
"3 on Scale 1 to 10","1985","Urban Area","Male","184","0.0397627026387536","0.0339250373189841","0.0456003679585232","3"
"3 on Scale 1 to 10","1985","Urban Area","Female","201","0.0384892957441821","0.0328275765854115","0.0441510149029526","3"
"3 on Scale 1 to 10","1985","Rural Area","Male","49","0.0427568492459084","0.030844643335444","0.0546690551563728","3"
"3 on Scale 1 to 10","1985","Rural Area","Female","41","0.0302311560374146","0.0203608489428047","0.0401014631320245","3"
"4 on Scale 1 to 10","1985","Urban Area","Male","200","0.0419554015181616","0.0359657885025072","0.047945014533816","4"
"4 on Scale 1 to 10","1985","Rural Area","Female","43","0.0351905900427927","0.0245686654577765","0.0458125146278089","4"
"4 on Scale 1 to 10","1985","Urban Area","Female","210","0.0410193993186567","0.0351822495294201","0.0468565491078933","4"
