"plh0178","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","Male","5","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","Female","4","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Male","18","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Female","20","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Male","9","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Female","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Male","28","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Female","49","0.023869547441821","0.0162334770272565","0.0315056178563855","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Male","14","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Female","18","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Male","24","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Female","24","","","","0"
"1 on Scale 1 to 10","1984","1-pers.-HH","Male","7","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","16","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Female","9","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Male","3","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","14","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","23","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","5","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Female","1","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","Female","7","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Male","8","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","9","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","12","","","","1"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Male","332","0.22466789038941","0.203775342689932","0.245560438088887","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Female","310","0.209666249663436","0.189302233700632","0.230030265626241","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Male","285","0.282216997755088","0.255312057781014","0.309121937729161","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Female","212","0.247383151982676","0.219239772720978","0.275526531244374","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Male","239","0.269056726361743","0.240369370929874","0.297744081793613","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Female","173","0.212076705668525","0.18357157738757","0.24058183394948","10"
"10 Completely satisfied","1984","1-pers.-HH","Male","141","0.277118290423499","0.239227653126411","0.315008927720588","10"
"10 Completely satisfied","1984","1-pers.-HH","Female","297","0.399091957450888","0.364964781973198","0.433219132928579","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Male","486","0.385129577421848","0.359152015858694","0.411107138985001","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Female","402","0.314776344532403","0.289946976023967","0.339605713040839","10"
"10 Completely satisfied","1984","Single parent ","Male","44","0.23580308271306","0.176525244392927","0.295080921033192","10"
"10 Completely satisfied","1984","Single parent ","Female","72","0.196024958527892","0.156110222503565","0.235939694552219","10"
"2 on Scale 1 to 10","1984","1-pers.-HH","Female","13","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","51","0.0287720992214702","0.0204040666249314","0.0371401318180091","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","67","0.0397492723021094","0.0299757566061035","0.0495227879981152","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","25","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","34","0.036140679419892","0.0239673549502698","0.0483140038895142","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","15","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","38","0.0415217555723181","0.0276105897014014","0.0554329214432349","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","Male","21","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Male","19","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Female","17","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","Male","8","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","Female","18","","","","2"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","44","0.0492423934677361","0.034154138070206","0.0643306488652663","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","85","0.0493168504476233","0.0384777665381923","0.0601559343570543","3"
"3 on Scale 1 to 10","1984","Single parent ","Female","22","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Male","19","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Female","23","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Male","34","0.0207623623157555","0.0131505937282211","0.0283741309032899","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Female","44","0.0297314469650027","0.0206510997056998","0.0388117942243055","3"
"3 on Scale 1 to 10","1984","Single parent ","Male","5","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","99","0.0546394805912997","0.043269861558976","0.0660090996236234","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","35","0.0329280181803062","0.0222606801880173","0.0435953561725951","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","34","0.0361100236399425","0.0239416696798964","0.0482783775999886","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","24","","","","3"
"4 on Scale 1 to 10","1984","1-pers.-HH","Female","18","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Female","41","0.0297539632649941","0.0206702836807667","0.0388376428492214","4"
"4 on Scale 1 to 10","1984","Single parent ","Male","7","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","60","0.0329162558584576","0.0239849642391323","0.0418475474777829","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","70","0.0474145130740008","0.0367828420724602","0.0580461840755413","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","Male","18","","","","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Male","30","0.0203446837970589","0.0128082607873194","0.0278811068067985","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","42","0.0395041257918054","0.026799168910397","0.0522090826732138","4"
"4 on Scale 1 to 10","1984","Single parent ","Female","18","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","37","0.0337154599376264","0.0229257214497022","0.0445051984255506","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","46","0.0570675165309743","0.0408915838590048","0.0732434492029437","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","29","","","","4"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Male","106","0.0701439114648601","0.0565104540962558","0.0837773688334645","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","Female","69","0.0813509938894996","0.0623000680849394","0.10040191969406","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","181","0.119277489197614","0.103052821662145","0.135502156733082","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","202","0.129727695549882","0.11291885202881","0.146536539070954","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","86","0.0801802928197298","0.0639461623136124","0.0964144233258473","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","105","0.11571324072696","0.0948494938376545","0.136576987616266","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","91","0.0987640011081381","0.0794645323950032","0.118063469821273","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","84","0.118196312368722","0.0956838777638933","0.14070874697355","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","Male","58","0.0920821201208426","0.067604080375207","0.116560159866478","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Female","114","0.084091208186701","0.0692540793888136","0.0989283369845884","5"
"5 on Scale 1 to 10","1984","Single parent ","Male","18","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","Female","46","0.124021821897461","0.0908818611366768","0.157161782658245","5"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Male","92","0.06351379031353","0.0504944837424897","0.0765330968845702","6"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","91","0.0740354833507053","0.0583838023008102","0.0896871644006004","6"
"6 on Scale 1 to 10","1984","1-pers.-HH","Female","39","0.0495124650531928","0.0343946044485511","0.0646303256578345","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","59","0.0694534799696732","0.0517258533699088","0.0871811065694375","6"
"6 on Scale 1 to 10","1984","1-pers.-HH","Male","38","0.0703881397090615","0.0487327368280252","0.0920435425900978","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","105","0.0655057336735339","0.0531285487617779","0.07788291858529","6"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","68","0.0685165222756674","0.0520390932584017","0.0849939512929331","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","68","0.067277303312121","0.0510727408007578","0.0834818658234843","6"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Female","101","0.0704331858292314","0.0567534588906661","0.0841129127677968","6"
"6 on Scale 1 to 10","1984","Single parent ","Male","11","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","Female","32","0.0756801475041707","0.0490876934172214","0.10227260159112","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","125","0.070991555797935","0.0581360197252324","0.0838470918706376","6"
"7 on Scale 1 to 10","1984","1-pers.-HH","Male","68","0.120348961202298","0.0928040054466507","0.147893916957944","7"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Male","149","0.106542806427727","0.0900724845739689","0.123013128281485","7"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Female","158","0.117035791486553","0.0998496115413723","0.134221971431734","7"
"7 on Scale 1 to 10","1984","1-pers.-HH","Female","68","0.0791314168842056","0.0603194957842462","0.097943337984165","7"
"7 on Scale 1 to 10","1984","Single parent ","Male","23","","","","7"
"7 on Scale 1 to 10","1984","Single parent ","Female","48","0.121514709005997","0.0886645129813343","0.15436490503066","7"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","134","0.122375943405585","0.102785415236936","0.141966471574234","7"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","125","0.140994992753116","0.118296139962037","0.163693845544195","7"
